identifier,name,url,price,old_price,status,sku,category,brand,image_url,shipping_cost,stock,dealer
10074,Nash KNX Cradle,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_446_452_478&products_id=10074,59.99,,new,5055108943006,Unhooking Mats > Cradles,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10074/thumb500x500/761880023/T4575.jpg,6.95,,
10075,Nash KNX Cradle Deluxe,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_446_452_478&products_id=10075,64.99,,new,5055108943013,Unhooking Mats > Cradles,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10075/thumb500x500/2623045440/T0146.jpg,6.95,,
10076,Nash Black OPS Landing Net,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_446_452_479&products_id=10076,199.99,,new,5055108917052,Nets,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10076/thumb500x500/2153366859/Black-OPS-Landing-Net-Bjpeg.jpg,,,
10077,Nash Scope Landing Net,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_446_452_479&products_id=10077,149.99,,new,5055108919254,Nets,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10077/thumb500x500/4075071604/T1925.jpg,,,
10078,"Nash Pursuit 42"" Landing Net",http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_446_452_479&products_id=10078,99.99,,new,5055108915515,Nets,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10078/thumb500x500/3720434808/T1551.jpg,6.95,,
10079,Korum 11ft Waggler Rod,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_391_392_1641&products_id=10079,54.99,,new,5055977443300,Korum Float Rods,Korum,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10079/thumb500x500/2259847554/KROD-02.jpg,6.95,,
10081,Korum Carp Rod 12ft - 2.5lb T.C,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_391_392_395&products_id=10081,35.19,,new,5055977448794,Korum Carp Rods,Korum,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10081/thumb500x500/1169935155/Carp-Rod_detail-1.jpg,6.95,,
10082,Korum Carp Rod 12ft - 2.75lb T.C,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_391_392_395&products_id=10082,37.83,,new,5055977448800,Korum Carp Rods,Korum,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10082/thumb500x500/2978503278/Carp-Rod_detail-1.jpg-New-2017.jpg,6.95,,
10083,Korum Carp Rod 12ft - 3lb T.C,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_391_392_395&products_id=10083,39.59,,new,5055977448817,Korum Carp Rods,Korum,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10083/thumb500x500/2978503278/Carp-Rod_detail-1.jpg-New-2017.jpg,6.95,,
10084,Fox EOS 12ft 3lb TC,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1391_1642&products_id=10084,39.99,,new,5055350281154,Fox EOS Rod,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10084/thumb500x500/1678265257/CRD254a.jpg,6.95,,
10085,Fox EOS 13ft 3.5lb TC,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1391_1642&products_id=10085,49.99,,new,5055350281155,Fox EOS Rod,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10085/thumb500x500/1678265257/CRD254a.jpg,6.95,,
10086,Korum 12ft 1.5lb Carp Float Rod,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_391_392_395&products_id=10086,37.83,,new,5055977448831,Korum Carp Rods,Korum,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10086/thumb500x500/831129644/KCROD-11-12FT-CARP-FLOAT.jpg,6.95,,
10087,Korum 13ft 1.75lb Carp Float Rod,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_391_392_395&products_id=10087,39.59,,new,5055977448848,Korum Carp Rods,Korum,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10087/thumb500x500/492911479/KCROD-12-13FT-CARP-FLOAT_back-view.jpg,6.95,,
10088,Fox EOS 7000 Reel,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1078&products_id=10088,49.99,,new,5055350260685,Reels,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10088/thumb500x500/2606608145/CRL063.jpg,6.95,,
10089,Fox EOS 5000 Reel,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1078&products_id=10089,44.99,,new,5055350260678,Reels,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10089/thumb500x500/2789050017/CRL062.jpg,6.95,,
10090,Fox EOS 1200FS,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1078&products_id=10090,119.99,,new,5055350282069,Reels,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10090/thumb500x500/1942858939/EOS-12000FS_Main.jpg,,,
10091,Korum 11ft Feeder 3 Piece 45G,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_391_392_394&products_id=10091,39.59,,new,5055977449944,Korum Feeder Rods,Korum,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10091/thumb500x500/2563040405/KFROD-01-11FT-45G.jpg,6.95,,
10092,Fox EOS 12000,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1078&products_id=10092,89.99,,new,5055350282052,Reels,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10092/thumb500x500/183550774/EOS-12000_Main.jpg,6.95,,
10093,Fox FX 13 Reel,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1078&products_id=10093,169.99,,new,5055350282366,Reels,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10093/thumb500x500/3140768817/FX13.jpg,,,
10094,Korum 12ft Feeder 3 Piece 45G,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_391_392_394&products_id=10094,39.59,,new,5055977449951,Korum Feeder Rods,Korum,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10094/thumb500x500/2563040405/KFROD-01-11FT-45G.jpg,6.95,,
10095,Fox FX 11 Reel,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1078&products_id=10095,119.99,,new,5055350282359,Reels,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10095/thumb500x500/237276373/FX11_Main.jpg,,,
10096,Fox FX 9 Reel,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_1078&products_id=10096,109.99,,new,5055350273975,Reels,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10096/thumb500x500/3230774389/FX9_Main.jpg,,,
10097,Korum 12ft Feeder 3 Piece 60G,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_391_392_394&products_id=10097,39.59,,new,5055977449968,Korum Feeder Rods,Korum,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10097/thumb500x500/656066211/KFROD-03-12FT-60G.jpg,6.95,,
10098,Korum 12ft Feeder 3 Piece 90G,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_391_392_394&products_id=10098,43.99,,new,5055977449975,Korum Feeder Rods,Korum,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10098/thumb500x500/656066211/KFROD-03-12FT-60G.jpg,6.95,,
10099,Korum 12ft Feeder 3 Piece 120G,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_391_392_394&products_id=10099,43.99,,new,5055977449982,Korum Feeder Rods,Korum,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10099/thumb500x500/656066211/KFROD-03-12FT-60G.jpg,6.95,,
10100,Korum 13ft Feeder 3 Piece 120G,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_391_392_394&products_id=10100,43.99,,new,5055977449999,Korum Feeder Rods,Korum,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10100/thumb500x500/2954238738/KFROD-08-13FT-180G.jpg,6.95,,
10101,Korum 13ft Feeder 3 Piece 150G,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_391_392_394&products_id=10101,48.39,,new,5055977450018,Korum Feeder Rods,Korum,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10101/thumb500x500/2954238738/KFROD-08-13FT-180G.jpg,6.95,,
10102,Korum 13ft Feeder 3 Piece 180G,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_391_392_394&products_id=10102,48.39,,new,5055977450018,Korum Feeder Rods,Korum,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10102/thumb500x500/2954238738/KFROD-08-13FT-180G.jpg,6.95,,
10103,Fox Royale Euro Dome 1 Man,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_730&products_id=10103,251.99,,new,5055350280232,Bivvies and Shelters,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10103/thumb500x500/2471351243/CUM186-2.jpg,,,
10104,Fox Retreat + Compact,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_730&products_id=10104,332.99,,new,5055350282830,Bivvies and Shelters,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10104/thumb500x500/1787563026/CUM197g.jpg,,,
10105,Fox Ven-Tec Retreat + 1 Man Bivvy,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_730&products_id=10105,386.99,,new,5055350282854,Bivvies and Shelters,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10105/thumb500x500/772236166/CUM199.jpg,,,
10106,Fox Ven-Tec Retreat + 1 Man Ext Wrap,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_730&products_id=10106,215.99,,new,5055350282861,Bivvies and Shelters,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10106/thumb500x500/904940194/CUM200.jpg,,,
10107,Fox Ven-Tec Retreat + 2 Man Bivvy,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_730&products_id=10107,449.99,,new,5055350282885,Bivvies and Shelters,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10107/thumb500x500/3823012666/CUM200a.jpg,,,
10108,Fox Ven-Tec Retreat + 2 Man Ext Wrap,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_730&products_id=10108,269.99,,new,5055350282892,Bivvies and Shelters,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10108/thumb500x500/1917857906/CUM203.jpg,,,
10109,Fox Easy Dome 1 Man Maxi,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_730&products_id=10109,332.99,,new,5055350282779,Bivvies and Shelters,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10109/thumb500x500/2181667434/CUM190c.jpg,,,
10110,Fox Easy Dome 2 Man Maxi,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_730&products_id=10110,386.99,,new,5055350282786,Bivvies and Shelters,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10110/thumb500x500/511125575/CUM191.jpg,,,
10111,Fox Easy Dome 2 Man Euro Maxi,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_730&products_id=10111,449.99,,new,5055350282793,Bivvies and Shelters,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10111/thumb500x500/1507283607/CUM192.jpg,,,
10112,Fox Ven Tec  Reflex Compact Bivvy,http://www.fishingtackle2go.co.uk/index.php?main_page=product_info&cPath=72_565_730&products_id=10112,341.99,,new,,Bivvies and Shelters,Fox,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/1/0/10112/thumb500x500/3627784595/CUM188.jpg,,,
