identifier,sku,name,price,url,category,brand,image_url,shipping_cost,stock,dealer
9301,5060236148834,"Trakker Rotary Stove, Windshield and Complete Cookset with FREE Cutlery Set",82.50,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Carp-Tackle-Deals/Best-Cooking-Equipment-Deals/Trakker-Rotary-Stove-Windshield-and-Complete-Cookset-with-FREE-Cutlery-Set?cPath=72_1327_1568&,Cooking Equipment,trakker,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9301/thumb500x500/2384629403/Trakker-Set-1.jpg,6.95,,
9302,5060236148841,"Trakker Tri-Lite Stove, Power Kettle, Windshield & Brew Kit - FREE Cutlery Set",102.50,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Carp-Tackle-Deals/Best-Cooking-Equipment-Deals/Trakker-Tri-Lite-Stove-Power-Kettle-Windshield-Brew-Kit-FREE-Cutlery-Set?cPath=72_1327_1568&,Cooking Equipment,trakker,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9302/thumb500x500/2873128445/Trekker-Set4.jpg,,,
9303,,"Trakker Rotary Stove, Power Kettle, Windshield & Brew Kit with FREE Cutlery Set - FREE Next Day Delivery",95.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Carp-Tackle-Deals/Best-Cooking-Equipment-Deals/Trakker-Rotary-Stove-Power-Kettle-Windshield-Brew-Kit-with-FREE-Cutlery-Set-FREE-Next-Day-Delivery?cPath=72_1327_1568&,Cooking Equipment,trakker,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9303/thumb500x500/604012637/Trekker-Set2.jpg,6.95,,
9304,5055977443744,Preston Competition Pro XL Flat Pole Roller x 2 (Pair) * New for 2016* PFROL/02,140.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Match-Tackle-Deals/Best-Pole-Roller-Deals/Preston-Competition-Pro-XL-Flat-Pole-Roller-x-2-Pair-New-for-2016-PFROL-02?cPath=18_64&,Rollers & Roosts,Preston Innovations,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9304/thumb500x500/1959168414/Preston-Roller--meadium.jpg,,,
9305,5055977443751,Preston Competition Pro Super XL Flat Pole Roller x 2 (Pair) * New for 2016*,155.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Match-Tackle-Deals/Best-Pole-Roller-Deals/Preston-Competition-Pro-Super-XL-Flat-Pole-Roller-x-2-Pair-New-for-2016?cPath=18_64&,Rollers & Roosts,Preston Innovations,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9305/thumb500x500/1959168414/Preston-Roller--meadium.jpg,,,
9306,5055977443737,Preston Competition Pro Flat Pole Roller x 2 (Pair),112.50,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Match-Tackle-Deals/Best-Pole-Roller-Deals/Preston-Competition-Pro-Flat-Pole-Roller-x-2-Pair?cPath=18_64&,Rollers & Roosts,Preston Innovations,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9306/thumb500x500/1702618192/Prestonsmallrollers x 2.jpg,,,
9307_1773,5055108929512,[u'Nash Siren R3 x 3 Alarms + R3 Receiver Set in Presentation Case * Brand New*'] Red,330.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Carp-Tackle-Deals/Best-Alarm-Deals/Nash-Siren-R3-x-3-Alarms-R3-Receiver-Set-in-Presentation-Case-Brand-New?cPath=72_446_453&,Bite Indication,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9307/thumb500x500/2292311552/SIREN-R3.jpg,,,
9307_1774,5055108929512,[u'Nash Siren R3 x 3 Alarms + R3 Receiver Set in Presentation Case * Brand New*'] White,330.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Carp-Tackle-Deals/Best-Alarm-Deals/Nash-Siren-R3-x-3-Alarms-R3-Receiver-Set-in-Presentation-Case-Brand-New?cPath=72_446_453&,Bite Indication,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9307/thumb500x500/2292311552/SIREN-R3.jpg,,,
9307_1775,5055108929512,[u'Nash Siren R3 x 3 Alarms + R3 Receiver Set in Presentation Case * Brand New*'] Blue,330.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Carp-Tackle-Deals/Best-Alarm-Deals/Nash-Siren-R3-x-3-Alarms-R3-Receiver-Set-in-Presentation-Case-Brand-New?cPath=72_446_453&,Bite Indication,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9307/thumb500x500/2292311552/SIREN-R3.jpg,,,
9307_1776,5055108929512,[u'Nash Siren R3 x 3 Alarms + R3 Receiver Set in Presentation Case * Brand New*'] Green,330.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Carp-Tackle-Deals/Best-Alarm-Deals/Nash-Siren-R3-x-3-Alarms-R3-Receiver-Set-in-Presentation-Case-Brand-New?cPath=72_446_453&,Bite Indication,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9307/thumb500x500/2292311552/SIREN-R3.jpg,,,
9307_1777,5055108929512,[u'Nash Siren R3 x 3 Alarms + R3 Receiver Set in Presentation Case * Brand New*'] Red,330.00,http://www.fishingtackle2go.co.uk/Best-Deals/Best-Carp-Tackle-Deals/Best-Alarm-Deals/Nash-Siren-R3-x-3-Alarms-R3-Receiver-Set-in-Presentation-Case-Brand-New?cPath=72_446_453&,Bite Indication,Nash Tackle,http://www.fishingtackle2go.co.uk/images/magictoolbox_cache/8c95d73fec130487c102a73bf1ab42ce/9/3/9307/thumb500x500/2292311552/SIREN-R3.jpg,,,
