ProductId,ProductNr,ProductName,ReportCategoryName,EANNumber,StockQty,Brand,ProductCostPriceExVat,ProductSalesPrice_InclVAT,RRP,ProductURL,ProductImage,Tag
3767,WEL0043,Wella Sp Clear Scalp Shampoo 250ml,Hårpleie,4015600084769,582,Wella SP,45.28,189,205,https://www.blivakker.no/product/3767,http://static.blivakker.no/Media/2/0/300_300/_WEL0043_1.jpg,
3427,KMS0047,Kms California - Moistrepair Therapy Treatment 125ml,Hårpleie,4044897205304,59,KMS California,56.14,189,239,https://www.blivakker.no/product/3427,http://static.blivakker.no/Media/2/0/300_300/F03CC2EAC8C8C55840BB1C9F65F7F9CA_3427_0.jpg,
3638,Der0067,Dermalogica - Ultracalming Cleanser 250ml,Hudpleie,666151010437,12,Dermalogica,159.35,349,395,https://www.blivakker.no/product/3638,http://static.blivakker.no/Media/2/0/300_300/BCF7768C828C06C66A9FAFB107F12763_3638_0.jpg,
3047116,moe0003,Minerals of Eden Balsam Dead Sea Mud & Minerals 500ml,Hårpleie,7290012082771,88,Minerals of Eden,71.44,429,599,https://www.blivakker.no/product/3047116,http://static.blivakker.no/Media/2/0/300_300/48CC72073B35965C6F6107E07EB5C570_3047116_0.jpg,
3036004,BAL0023,"The Balm TimeBalm Anti Wrinkle Concealer Light/Medium 7,5g",Sminke,681619200038,217,The Balm,59.84,189,209,https://www.blivakker.no/product/3036004,http://static.blivakker.no/Media/2/0/300_300/B00FA2019ADE42DE8DEAB9F1622713F2_3036004_0.jpg,
3060191,SHE0320,Shelas Bomullspinner 200 stk.,Hudpleie,,3062,Shela`s,12510.00,25,,https://www.blivakker.no/product/3060191,http://static.blivakker.no/Media/2/0/300_300/8BF57BEDF76EC23A120770ADF01E5DAF_3060191_0.jpg,
1557,RED0018,Redken # 12 Rough Paste 75ml,Hårpleie,884486178626,277,Redken,63.51,189,299,https://www.blivakker.no/product/1557,http://static.blivakker.no/Media/2/0/300_300/768C6D822A6E3E218185D454D47DE546_1557_0.jpg,
4495,idb0285,BareMinerals - Original Foundation Spf 15 - Golden Tan 8g,Sminke,98132269679,347,BareMinerals,153.12,399,459,https://www.blivakker.no/product/4495,http://static.blivakker.no/Media/2/0/300_300/C5326A99437AB1C6AB14262C0FA202FC_4495_0.jpg,
202361,KMS0097,Kms California - Hairplay Sea Salt Spray 200ml,Hårpleie,4044897355450,122,KMS California,40.67,149,335,https://www.blivakker.no/product/202361,http://static.blivakker.no/Media/2/0/300_300/CFAAE2A166B2276C756D4750EE23D99A_202361_2.jpg,
3054521,EXU0083,Exuviance Super Retinol Concentrate 30ml,Hudpleie,732013200732,,Exuviance,229.7,549,,https://www.blivakker.no/product/3054521,http://static.blivakker.no/Media/2/0/300_300/1102BA66602C01B5FBA1B31479AE0CC4_3054521_0.jpg,
3040440,ORI0009,Orofluido Beauty Elixir 50ml,Hårpleie,8432225069449,490,Orofluido,43.6,209,218,https://www.blivakker.no/product/3040440,http://static.blivakker.no/Media/2/0/300_300/EA142767714A817E03288950A21C955B_3040440_0.jpg,
1779,TIB0021,Tigi Bedhead Superstar Queen For A Day 300ml,Hårpleie,615908425888,114,Tigi Bedhead,50.14,159,249,https://www.blivakker.no/product/1779,http://static.blivakker.no/Media/2/0/300_300/5FAA6BAB485910376B6E21C23938E703_1779_2.jpg,
2986,Der0059,Dermalogica - Skin Hydrating Booster 30ml,Hudpleie,666151050624,17,Dermalogica,260.82,689,765,https://www.blivakker.no/product/2986,http://static.blivakker.no/Media/2/0/300_300/_Der0059_1.jpg,
201029,REE0007,REN - T-Zone Balancing Gel Cream 50ml,Hudpleie,5060033779187,499,REN,117.51,319,395,https://www.blivakker.no/product/201029,http://static.blivakker.no/Media/2/0/300_300/3A37E1250F2C8D6D81CC0DD0DE31AE53_201029_2.jpg,
3051836,EXU0066,Exuviance Collagen Triple Boost Serum 30ml,Hudpleie,732013200343,215,Exuviance,230.64,519,599,https://www.blivakker.no/product/3051836,http://static.blivakker.no/Media/2/0/300_300/D489145128C129614A18C5DEB4A14387_3051836_0.jpg,
3050721,KER0265,Kérastase Resistance Ciment Thermique 150ml,Hårpleie,3474630652439,623,Kérastase,88.9,285,285,https://www.blivakker.no/product/3050721,http://static.blivakker.no/Media/2/0/300_300/EDFD31885F8A2C07E3EC41E0F3BCB16E_3050721_0.jpg,
3056296,NYX0195,NYX Soft Matte Lip Cream Antwerp SMLC05,Sminke,800897142865,6,NYX,34.76,79,,https://www.blivakker.no/product/3056296,http://static.blivakker.no/Media/2/0/300_300/15E44EB8F9790AE81272093CBE219FB7_3056296_0.jpg,
1563,REM0003,Redken For Men - Go Clean Shampoo 300ml,Hårpleie,743877010566,147,Redken for men,60.00,179,276,https://www.blivakker.no/product/1563,http://static.blivakker.no/Media/2/0/300_300/676752BFFDC512CEA91CCF75EE309965_1563_0.jpg,
3059047,RED0333,Redken Frizz Dismiss Mask Intensive Rinse-out Treatment 250ml,Hårpleie,884486210999,251,Redken,102.04,349,419,https://www.blivakker.no/product/3059047,http://static.blivakker.no/Media/2/0/300_300/D70FBCAFB5241DB8C620A9977BE66DBC_3059047_0.jpg,
3047391,IDB0697,BareMinerals - Get Started Complexion Kit 7 Deler - Medium Beige,Sminke,98132365197,480,BareMinerals,247.31,539,599,https://www.blivakker.no/product/3047391,http://static.blivakker.no/Media/2/0/300_300/0512CC85A71185130B2083F7D6C22C49_3047391_2.jpg,
3060212,SHE0325,Shelas Jewlery Organizer,Accessories,,2879,Shela`s,24.67,249,,https://www.blivakker.no/product/3060212,http://static.blivakker.no/Media/2/0/300_300/415374BA12234BEC165CBB4F2B74A1E4_3060212_0.jpg,
4293,RED0122,Redken Thickening Lotion 06 150ml,Hårpleie,884486179029,204,Redken,59.8,199,289,https://www.blivakker.no/product/4293,http://static.blivakker.no/Media/2/0/300_300/F4FEA79AA82333BEE8891B897015A391_4293_0.jpg,
1411,LAN0172,"Lancome Definicils - Mascara #01 Svart Infini 6,5ml",Sminke,3147758185010,1,Lancome,129.29,279,305,https://www.blivakker.no/product/1411,http://static.blivakker.no/Media/2/0/300_300/_LAN0172_1.jpg,
3060248,SHE0328,Shelas Turbie twist,Accessories,,6984,Shela`s,36404.00,129,,https://www.blivakker.no/product/3060248,http://static.blivakker.no/Media/2/0/300_300/D6BC36C0496B3194434D886A11DAFB6B_3060248_0.jpg,
201026,REE0004,REN - T-Zone Control Cleansing Gel 150ml,Hudpleie,5060033779156,761,REN,81.48,209,245,https://www.blivakker.no/product/201026,http://static.blivakker.no/Media/2/0/300_300/EC7D3609CD6B91DBB966AF72DC828466_201026_5.jpg,
3772,WEL0045,Wella Sp Balance Scalp Shampoo 250ml,Hårpleie,4015600112417,527,Wella SP,45.28,189,205,https://www.blivakker.no/product/3772,http://static.blivakker.no/Media/2/0/300_300/_WEL0045_1.jpg,
4180,SEH0010,Big Sexy Hair - Spray and Play Harder Firm Volumizing Hairspray 300ml,Hårpleie,646630005147,214,SEXY HAIR,35.48,169,268,https://www.blivakker.no/product/4180,http://static.blivakker.no/Media/2/0/300_300/_SEH0010_1.jpg,
3047729,REA0003,Real Techniques Foundation Brush,Accessories,79625014020,411,Real Techniques,35.5,109,129,https://www.blivakker.no/product/3047729,http://static.blivakker.no/Media/2/0/300_300/5202B9718525BC830F0597341E502A17_3047729_2.jpg,
3045922,WET0067,Wet`n Wild Cover All Liquid Concealer Wand - Light E812A,Sminke,4049775581211,,Wet`n Wild,15.75,45,45,https://www.blivakker.no/product/3045922,http://static.blivakker.no/Media/2/0/300_300/1703E49E89706FEE4EBDAB9A54B25938_3045922_4.jpg,
1928,RED0026,Redken Forceful No.23 Finishing Spray 400ml,Hårpleie,3474636335886,284,Redken,59.8,209,279,https://www.blivakker.no/product/1928,http://static.blivakker.no/Media/2/0/300_300/398527FA91A35C46937BA7291A3EC556_1928_0.jpg,
3051841,EXU0071,Exuviance Ultra Restorative Creme 227g,Hudpleie,14947IB,,Exuviance,216.93,549,559,https://www.blivakker.no/product/3051841,http://static.blivakker.no/Media/2/0/300_300/C61E4D4B6ABE74DC862DA716A1FC205A_3051841_2.jpg,
200139,TCA0065,Tigi Catwalk Haute Iron Spray 200ml,Hårpleie,615908426021,,Tigi Catwalk,52.9,149,259,https://www.blivakker.no/product/200139,http://static.blivakker.no/Media/2/0/300_300/E204A51DB7EF9C032011AD4B16EA9B6B_200139_1.jpg,
2744,Der0037,Dermalogica - Daily Microfoliant 75g,Hudpleie,666151020504,476,Dermalogica,244.99,579,615,https://www.blivakker.no/product/2744,http://static.blivakker.no/Media/2/0/300_300/_Der0037_1.jpg,
3054477,SHE0192,Shelas Cosmetic Organizer,Accessories,,,Shela`s,29.54,129,,https://www.blivakker.no/product/3054477,http://static.blivakker.no/Media/2/0/300_300/EBB3E4498385D20E360D4DFE20A26EE8_3054477_0.jpg,
3032482,EME0009,emerginC At-Home Facial Peel And Clarifying Sett,Hudpleie,892852002581,43,emerginC,256.96,809,899,https://www.blivakker.no/product/3032482,http://static.blivakker.no/Media/2/0/300_300/6123D85F237B6231C2506EC5D71A74F9_3032482_0.jpg,
3032056,SKI0008,Skin Logic Foot Repair,Hudpleie,8809295013779,,Skin Logic,18.65,69,89,https://www.blivakker.no/product/3032056,http://static.blivakker.no/Media/2/0/300_300/30556852D54C6DC5CF4C93C6D840000D_3032056_0.jpg,
3045011,RED0280,Redken Color Extend Magnetics Deep Attraction Mask 250ml,Hårpleie,884486136411,195,Redken,91.5,349,419,https://www.blivakker.no/product/3045011,http://static.blivakker.no/Media/2/0/300_300/4464EE959F736740C4516C8CBA2FFE72_3045011_0.jpg,
