identifier,sku,category,brand,name,url,price,promo_start,promo_end
1030,8435439800839,SmartPhones > Android,,Smartphone Bq Aquaris X5 2GB/32GB Branco/Prata (C000082),https://www.pcdiga.com/2/21638/Smartphone-Bq-Aquaris-X5-2GB-32GB-Branco-Prata-C000082,239.9,2016-09-16,
1031,8435439800846,SmartPhones > Android,,Smartphone Bq Aquaris X5 2GB/32GB Cinza/Antracite (C000083),https://www.pcdiga.com/2/21639/Smartphone-Bq-Aquaris-X5-2GB-32GB-Cinza-Antracite-C000083,239.9,2016-09-16,
2685,8806087579758,"Imagem > Televisões > Até 40""",,"Televisão LG Plana 4K CP UHD Smart TV 40"" (40UH630V)",https://www.pcdiga.com/2/21640/Televisao-LG-Plana-4K-CP-UHD-Smart-TV-40-40UH630V,439,2016-09-16,
2686,8806087710243,"Imagem > Televisões > 41"" a 55""",,"Televisão LG Plana 4K UHD Smart TV 55"" (55UH600V)",https://www.pcdiga.com/2/21641/Televisao-LG-Plana-4K-UHD-Smart-TV-55-55UH600V,669,2016-09-16,
Smartphone Meizu M3 Note 4G 32GB Dual SIM Gray (M681H),6937520011190,SmartPhones > Android,,Smartphone Meizu M3 Note 4G 32GB Dual SIM Gray (M681H),https://www.pcdiga.com/2/21628/Smartphone-Meizu-M3-Note-4G-32GB-Dual-SIM-Gray-M681H,229,,
583,4712900409017,Componentes > Motherboards > Intel > Socket 2011,,Motherboard Asus X99-E (90MB0QL0-M0EAY0) + Oferta RAM,https://www.pcdiga.com/2/21604/Motherboard-Asus-X99-E-90MB0QL0-M0EAY0-Oferta-RAM,249.9,2016-09-16,
582,4712900399141,Componentes > Motherboards > Intel > Socket 2011,,Motherboard Asus X99-A II (90MB0Q80-M0EAY0),https://www.pcdiga.com/2/21603/Motherboard-Asus-X99-A-II-90MB0Q80-M0EAY0,289.9,2016-09-16,
581,4712900403329,Componentes > Motherboards > Intel > Socket 2011,,Asus Strix X99 Gaming (90MB0QK0-M0EAY0) + Oferta RAM,https://www.pcdiga.com/2/21602/Asus-Strix-X99-Gaming-90MB0QK0-M0EAY0-Oferta-RAM,319.9,2016-09-16,
Samsung MicroSDXC UHS-I PRO 64GB (MB-MG64D/EU),8806086039123,Armazenamento > Cartões Memória > MicroSD,,Samsung MicroSDXC UHS-I PRO 64GB (MB-MG64D/EU),https://www.pcdiga.com/2/21607/Samsung-MicroSDXC-UHS-I-PRO-64GB-MB-MG64D-EU,25.9,,
3774,8809400851760,Componentes > Drives Ópticas > Externas,,Samsung gravador Blu-ray Slim Externo Branco(SE-506CB/RSWDE),https://www.pcdiga.com/2/21617/Samsung-gravador-Blu-ray-Slim-Externo-BrancoSE-506CB-RSWDE,85.9,2016-09-16,
4676,810354023002,Redes / Comunicação > Acessórios,,Adaptador Ubiquiti POE-24-12W-G,https://www.pcdiga.com/2/21170/Adaptador-Ubiquiti-POE-24-12W-G,14.9,2016-09-16,
Samsung gravador Blu-ray Slim Externo Preto (SE-506CB/RSBDE),,Componentes > Drives Ópticas > Externas,,Samsung gravador Blu-ray Slim Externo Preto (SE-506CB/RSBDE),https://www.pcdiga.com/2/21618/Samsung-gravador-Blu-ray-Slim-Externo-Preto-SE-506CB-RSBDE,89.9,2016-09-16,
