SKU,category_name,brand,ean,Web Description,store_status,should_be_visible,price,url_key,warnings
5310557,Lentes Intermutáveis - CSC,SAMSUNG,8806085980501,Máquina Fotográfica Digital SAMSUNG Nx30,Enabled,No,849.99,https://www.worten.pt/maquina-fotografica-digital-samsung-nx30.html,not_visible_because_stock_lower_min_stock
5337197,Máq. Reflex,NIKON,8431016852512,Máquina fotográfica NIKON D5200+DX18-55MM G+OFERTAS,Enabled,Yes,749.99,https://www.worten.pt/maquina-fotografica-nikon-d5200-dx18-55g-ofertas.html,
5342163,Máq. Reflex,NIKON,8431016530014,Máquina fotográfica NIKON D5300+AF-S DX18-55MM G+Est+Liv,Enabled,Yes,819.99,https://www.worten.pt/maquina-fotografica-nikon-d5300-afs-dx18-55g-est-liv.html,
5345917,Máq. Reflex,OLYMPUS,4545350046200,Máquina Fotográfica OLYMPUS E-M10 14-42MM IIR Preta,Enabled,Yes,699,https://www.worten.pt/maquina-fotografica-olympus-e-m10-14-42iir-preta.html,
5345924,Máq. Superzoom,OLYMPUS,4545350045654,MAQ. FOT. DIG. OLYMPUS SH-60 BRANCA,Disabled,No,209.99,https://www.worten.pt/maq-fot-dig-olympus-sh-60-branca.html,not_visible_because_not_enabled
5347620,Lentes Intermutáveis - CSC,SAMSUNG,8806086330343,Online Description 5347620,Disabled,No,349,https://www.worten.pt/online-description-5347620.html,not_visible_because_not_enabled
5347619,Lentes Intermutáveis - CSC,SAMSUNG,8806086329996,Online Description 5347619,Disabled,No,349,https://www.worten.pt/online-description-5347619.html,not_visible_because_not_enabled
5358287,Lentes Intermutáveis - CSC,SONY,4905524974409,nd,Disabled,No,789,https://www.worten.pt/nd-84300.html,"not_visible_because_not_enabled, missing oms_source"
5398755,Máq. Superzoom,CANON,4549292016390,Máquina fotográfica Digital CANON SX400IS preta,Enabled,Yes,229,https://www.worten.pt/maquina-fotografica-digital-canon-sx400is-preta.html,
5413051,Avançada,CANON,4549292020373,Online Description 5413051,Disabled,No,709.99,https://www.worten.pt/online-description-5413051.html,not_visible_because_not_enabled
5413054,Máq. Reflex,CANON,8714574625034,Online Description 5413054,Disabled,No,1799,https://www.worten.pt/online-description-5413054.html,not_visible_because_not_enabled
5413052,Máq. Superzoom,CANON,4549292017380,Máquina Fotográfica Digital PowerShot CANON SX60HS,Enabled,No,579.99,https://www.worten.pt/maquina-fotografica-digital-powershot-canon-sx60hs.html,not_visible_because_stock_lower_min_stock
5428070,Máq. Reflex,SONY,4905524979299,nd,Disabled,No,1799,https://www.worten.pt/nd-2.html,not_visible_because_not_enabled
5432540,Lentes Intermutáveis - CSC,SAMSUNG,8806086569316,Online Description 5432540,Disabled,No,699.99,https://www.worten.pt/catalog/product/view/id/565020/s/online-description-5432540/,not_visible_because_not_enabled
5435820,Lentes Intermutáveis - CSC,SAMSUNG,8806086517379,Online Description 5435820,Disabled,No,399,https://www.worten.pt/catalog/product/view/id/566688/s/online-description-5435820/,not_visible_because_not_enabled
