item_group_id,link,title,description,image_link,price,brand,condition,id,product_type,gtin,mpn,availability,shipping,color,size,age_group,gender,Type
278626,http://www.gooutdoors.co.uk/oakley-fives-squared-sunglasses-polished-white-iridium-p278626,Oakley Fives Squared Sunglasses (Polished White/Black Iridium),"Oakley Fives Squared sunglasses use Oakley's Condensed Cranial Geometry for a tapered architecture that feels as good as it looks - dimensional reliefs, metal icons and sculpturally integrated hinges give them a supremely comfortable and secure fit.T",http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/29389-2407131508541858177430.jpg,76,Oakley,New,278543,Walking>Clothing>Accessories>Sunglasses>Fives Squared Sunglasses (Polished White/Black Iridium),700285229751,CORE-EMAA-03-443,out of stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,Adult,Male,
282823,http://www.gooutdoors.co.uk/regatta-afterall-3-in-1-womens-p282823,Regatta Afterall Women's 3-in-1 Waterproof Jacket,"The RegattaAfterall 3-in-1 Jacket is a combination waterproof shell with a removable fleece top that can be zipped in or wornseparatelyto suit your needs.The outer jacket uses waterproof, windproof and breathable Isotex10000 stretchfabric with taped ",http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/29828-2008131143091858177430.jpg,"79,99",Regatta,New,280294,Women's>Clothing>Coats & Jackets>3-in-1 Jackets>Afterall Women's 3-in-1 Waterproof Jacket,5051513148876,CORE-OWAF-RWP105,out of stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,Adult,Female,
214803,http://www.gooutdoors.co.uk/dare2b-whisperer-ear-muffs-p214803,Dare 2b Whisperer Ear Muffs,The Whisperer Ear Muffs are great fun and will keep their ears lovely and warm.    Soft faux fur lining     Good thermal insulation     Fixed frame ,http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/24845-0811121135541858177430.jpg,"8,99",Dare 2b,New,214769,Children's>Clothing>Hats & Headwear>Whisperer Ear Muffs,5051522267148,CORE-SCLA-DGC004,in stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,Kids,Unisex,
282960,http://www.gooutdoors.co.uk/reflective-buff-r-black--p282960,Buff Reflective Buff (R Black),"The Original Buff is a very versatile multifunctionaltubular accessory, that's ideal for many activities. This reflectiveversion has 2 additional stripes of Scotchlite&trade; for added nighttimevisibility.It will keep you warm in the cold, or wick mo",http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/29997-0509131624021858177430.jpg,"16,2",Buff,New,280618,Climbing>Climbing Clothing>Reflective Buff (R Black),8428927088666,CORE-OMRE-104882,in stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,Adult,Male,
212541,http://www.gooutdoors.co.uk/montane-punk-balaclava-p212541,Montane Punk Balaclava,"Designed to layer perfectly under a mountain shell hood, or give you an ergonomic fit when worn on its own, the Montane Punk Balaclava is a lightweight wind blocking head cover for those who expose themsleves to freezing temperatures.Constructed from",http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/22302-0907121459261858177430.jpg,18,Montane,New,212470,Climbing>Climbing Clothing>Punk Balaclava,5055571700571,CORE-OMQB-MPUBA,in stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,Adult,Male,
134542,http://www.gooutdoors.co.uk/paramo-aspira-mens-waterproof-jacket-p134542,Paramo Men's Aspira Waterproof Jacket,    Less prone to abrasion or damage through new reversed zips.     New higher volume hood fits over all types of helmets and is adjustable with cordlocks.     'Fast Access' chest pocket.     Maximum freedom of movement and increased comfort provided,http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/12885-1110101412381858177430.jpg,"265,5",Paramo,New,70512,Climbing>Climbing Clothing>Men's Aspira Waterproof Jacket,695038034860,CORE-OMAD-C1U23D,out of stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",Cobalt Blue,L,Adult,Male, Test Line 
166959,http://www.gooutdoors.co.uk/winter-cycle-glove-p166959,SealSkinz Winter Cycle Gloves,    Neoprene cuffs    Waterproof    Breathable membrane    Ergonomic fit    Rip stop design,http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/12655-3009101154001858177430.jpg,28,SealSkinz,New,166912,Men's>Clothing>Gloves & Mitts>Gloves>Winter Cycle Gloves,5060032394558,CORE-GMVA-KJ991,in stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,Adult,Male,
284176,http://www.gooutdoors.co.uk/mesmerise-hoodie-womens-fleece-p284176,Dare 2b Mesmerise Women's Hoody,    Polyester jersey fabric with bonded microfleece back     Grown on hood with adjusters     Kangaroo handwarmer pockets     Ribbed cuffs and hem ,http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/30189-2509131035001858177430.jpg,"34,99",Dare 2b,New,284062,Walking>Clothing>Fleeces & Midlayers>Midweight>Mesmerise Women's Hoody,5051522314279,CORE-SWGC-DWL092,in stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,Adult,Female,
162706,http://www.gooutdoors.co.uk/montane-extreme-glove-p162706,Montane Men's Extreme Gloves,"The Montane Extreme Gloves have been designed for cold weather mountain activities, where warmth is essential without losing dexterity and feel.Perfect for skiing, climbing or winter mountain walking, their combination of deep warm pile with an extra",http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/12463-2209101515551858177430.jpg,45,Montane,New,162629,Skiing>Clothing>Gloves & Mitts>Men's Extreme Gloves,5055200169458,CORE-OMOC-MEXGL,in stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,Adult,Male,
173276,http://www.gooutdoors.co.uk/buff-lumirama--p173276,"Buff Original, Lumirama","Standard fits most adults, if you require something smaller, try Medium Machine washable. Non iron. A Buff® won€™t lose its elasticity No irritating seams or hems 100% Polyester Microfibre ",http://defd230db96761500ca7-61c6d5aeae250d28854ed3e240a16b15.r17.cf3.rackcdn.com/Products/13584-1412100947131858177430.jpg,"11,7",Buff,New,173238,"Walking>Clothing>Hats & Headwear>Neck Gaiters>Original, Lumirama",8428927116741,CORE-OMRE-11674,in stock,"GB::Free Delivery over £50  (up to 5 working days):0.00,GB::Standard Delivery (up to 5 working days):4.95,GB::Next Working Day (order by 4pm Mon-Thur):8.95,GB::Saturday Delivery (order by 4pm Friday):9.95,GB::British Forces Post Office (BFPO):4.95,GB::Republic of Ireland - Standard Delivery:7.95",,,Adult,Male,
