Begovic,1
Ivanovic,2
Fàbregas,4
Zouma,5
Baba,6
Kanté,7
Oscar,8
Hazard,10
Pedro,11
Mikel,12
Courtois,13
Traore,14
Kenedy,16
Remy,18
Diego Costa,19
Miazga,20
Matic,21
Willian,22
Batshuayi,23
Cahill,24
Terry,26
Azpilicueta,28
Aina,34
Loftus-Cheek,36
Brown,27
