name,category,price,code,brand,id,image_url
MFT44-154,Motobineuses,299.99,611966649301,McCulloch,72,
MFT55-170R,Motobineuses,399.99,611966649401,McCulloch,73,
MFT60-120R,Motobineuses,549.99,611966649501,McCulloch,74,
MRT6,Motobineuses,949.99,611960910021,McCulloch,75,
Trimmac,Coupe bordure,99,967256201,McCulloch,76,
T26CS,Coupe bordure,139,000967207701,McCulloch,77,
B26PS,Débrousailleuse,169,000967207801,McCulloch,78,
"B26PS + 
acc. Taille haies",Débrousailleuse,,000967147101,McCulloch,79,
B28B,Débrousailleuse,249,0009667786-01,McCulloch,80,
MT305CBS,Débrousailleuse,,,McCulloch,81,
B40B ELITE,Débrousailleuse,389,000966778701,McCulloch,82,
Superlite 4528,Taille-haie,199.99,000966693301,McCulloch,83,
Ergolite6028,Taille-haie,249.9,000966693401,McCulloch,84,
CS 340,Troncvonneuse,159.99,000966631401,McCulloch,85,
CS 380,Troncvonneuse,179.99,000967326307,McCulloch,86,
CS 380T,Troncvonneuse,199.99,000966631503,McCulloch,87,
CS 380T + Caisse + gants,Troncvonneuse,209.9,000966631504,McCulloch,88,
CS 410 ELITE,Troncvonneuse,349,000966631618,McCulloch,89,
CS 450 ELITE,Troncvonneuse,419,000966631718,McCulloch,90,
MAC GB 320,Aspirateur souffleur broyeur,129.99,000967167201,McCulloch,91,
MAC GBV 345,Aspirateur souffleur broyeur,179.99,000967167001,McCulloch,92,
MSB 121E,Fraise àneige,631.578947368421,611961810008,McCulloch,93,
PM 55,Fraise àneige,1253.68421052632,611961910024,McCulloch,94,
PM 85,Fraise àneige,1804.73684210526,611961910042,McCulloch,95,
PM 105,Fraise àneige,1935.78947368421,611961910043,McCulloch,96,
Microlite,Tondeuse ,74.99,610963280262,Flymo,97,
Turbo Lite 330,Tondeuse ,114.99,610963330862,Flymo,98,
Turbo 400,Tondeuse ,134.99,610963410062,Flymo,99,
Glider 330,Tondeuse ,149.99,"000966618762
",Flymo,100,
Robot de tonte AL-KO Robolinho 100,Robotic,1669,Robholino 100,AL-KO,101,http://www.al-ko.com/shop/media/catalog/product/cache/10/image/372x414/9df78eab33525d08d6e5fb8d27136e95/1/1/119509-robolinho-100-2_original_1.jpg
Robot de tonte AL-KO Robolinho 3000,Robotic,1999,Robholino 3000,AL-KO,102,http://www.al-ko.com/shop/media/catalog/product/cache/10/image/372x414/9df78eab33525d08d6e5fb8d27136e95/1/1/119356_2_1.jpg
Robot de tonte AL-KO Robolinho 4000,Robotic,,Robholino 4000,AL-KO,103,http://www.al-ko.com/shop/media/catalog/product/cache/10/image/372x414/9df78eab33525d08d6e5fb8d27136e95/1/1/119511-02-robolinho-4000_original_1.jpg
Tondeuse robot Ambrogio L30 Deluxe,Robotic,,L30 Deluxe,Ambrogio,104,http://www.ambrogiorobot.it/images/uploads/banners/119/l30deluxe__large.jpg
Tondeuse robot Ambrogio L30 Elite,Robotic,,L30 Elite,Ambrogio,105,http://www.ambrogiorobot.it/images/uploads/banners/90/schermata_2013-11-04_a_14.11.12__large.png
,Pro electric,,GLC3630L,Black & Decker,106,
,Pro electric,,GTC3655L,Black & Decker,107,
,Pro electric,,AKE 30 Li,Bosch,108,
,Pro electric,,GFR 42,Bosch,109,
,Pro electric,,GFR 25,Bosch,110,
,Pro electric,,art 26 li,Bosch,111,
,Pro electric,,art 23 li,Bosch,112,
,Pro electric,,ALB 36 Li,Bosch,113,
Tondeuse robot Bosch Indego,Robotic,,Indego,Bosch,114,http://www.bosch-do-it.de/media/media/garden/gardenmedia/209530/34013/34013_prodimg/576080_600_370.png
,Robotic,,Indego 1200,Bosch,115,
,Wheeled,,PT 170 HD,Castel Garden,116,
,Wheeled,,XT 220 HD,Castel Garden,117,
,Wheeled,,PG 140,Castel Garden ,118,
,Pro electric,,CGT400,Core,119,
,Pro electric,,CHT 410 ,Core,120,
,Pro electric,,CBP 420,Core,121,
,Wheeled,,CC 714 HF,CubCadet ,122,
,Wheeled,,CC714 TE,CubCadet ,123,
,Wheeled,,CC 1016 AF,CubCadet ,124,
,Wheeled,,CC 1018 HE,CubCadet ,125,
,Wheeled,,CC 1016 KHG,CubCadet ,126,
,Pro electric,,AS3626LGEA,Dolmar,127,
,Pro electric,,AG-3629,Dolmar,128,
,Handheld,,GT225i,Echo,129,
,Handheld,,GT225,Echo,130,
,Handheld,,PB770H,Echo,131,http://www.ppk.fr/files/CP_ECHO_PB-770_G.jpg
,Handheld,,PB770T,Echo,132,http://www.ppk.fr/files/CP_ECHO_PB-770_G.jpg
,Handheld,,HC155,Echo,133,http://www.ppk.fr/files/ECHO_HC-155ES_G.jpg
,Handheld,,HC150,Echo,134,
,Robotic,,R80Li,Gardena,135,
