identifier,sku,name,price,url,category,brand,image_url,shipping_cost,stock,dealer
SPM8000732227,8423,Disney Cars Exclusive Limited Edition Set #8423 World Grand Prix Racing Rivalry,92.24,http://www.sears.com/lego-disney-cars-exclusive-limited-edition-set-8423/p-SPM608600914,Blocks > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/27946/307555914?src=http%3A%2F%2Fimg.reversede.com%2Fimages%2FI%2F51IuntNplBL.jpg&d=67884bd7c0a5ce8170173a5fa3e12b858ca493c8,0.0,,Sears - Factory Advantage LLC
SPM7748299423,e63lnyup8g,Lego Star Wars Jamgo Fett Pen,16.51,http://www.sears.com/lego-star-wars-jamgo-fett-pen/p-SPM1899453214,Blocks > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/27946/2807051014?src=http%3A%2F%2Fimg.reversede.com%2Fimages%2FI%2F31XdHqkky0L.jpg&d=949809f0115125f1e136d65a331196606acc415f,6.99,,Sears - Edealszone LLC
SPM8144590229,e63lnyup8g,Lego Star Wars Jamgo Fett Pen,16.39,http://www.sears.com/lego-star-wars-jamgo-fett-pen/p-SPM1899453214,Blocks > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/27946/2807051014?src=http%3A%2F%2Fimg.reversede.com%2Fimages%2FI%2F31XdHqkky0L.jpg&d=949809f0115125f1e136d65a331196606acc415f,9.99,,Sears - Amazonlot
SPM11820017819,7208,City Fire Station (7208),184.99,http://www.sears.com/lego-city-fire-station-7208/p-SPM611349014,Blocks > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/27946/296525114?src=http%3A%2F%2Fimg.reversede.com%2Fimages%2FI%2F61Ur6SZnRRL.jpg&d=444c3de55a4a46a883324e8fdcf9b4638ba7c0b1,9.99,,Sears - bobs shop
SPM8152231929,7208,City Fire Station (7208),248.19,http://www.sears.com/lego-city-fire-station-7208/p-SPM611349014,Blocks > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/27946/296525114?src=http%3A%2F%2Fimg.reversede.com%2Fimages%2FI%2F61Ur6SZnRRL.jpg&d=444c3de55a4a46a883324e8fdcf9b4638ba7c0b1,15.99,,Sears - Amazonlot
SPM7675702905,7208,City Fire Station (7208),282.36,http://www.sears.com/lego-city-fire-station-7208/p-SPM611349014,Blocks > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/27946/296525114?src=http%3A%2F%2Fimg.reversede.com%2Fimages%2FI%2F61Ur6SZnRRL.jpg&d=444c3de55a4a46a883324e8fdcf9b4638ba7c0b1,0.0,,Sears - Factory Advantage LLC
SPM8151843129,82282711,Jetrax T6,145.69,http://www.sears.com/lego-bionicle-jetrax-t6-8942/p-05213219000P,Blocks > ,LEGO,http://c.shld.net/rpx/i/s/i/spin/image/spin_prod_109198501,9.99,,Sears - Amazonlot
SPM7882403927,7316,LEGO LIFE ON MARS 7316 EXCAVATION SEARCHER,132.74,http://www.sears.com/lego-life-on-mars-7316-excavation-searcher/p-SPM630075314,Blocks > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/27946/354282714?src=http%3A%2F%2Fimg.reversede.com%2Fimages%2FI%2F41RKEQ8CB2L.jpg&d=4e0a4363c3a296c17cc2e61ebc94425b20e873ef,0.0,,Sears - Factory Advantage LLC
SPM7735247623,e63kur12f6,Racers:  Racer X & Taejo Togokahn,202.11,http://www.sears.com/lego-racers-racer-x-taejo-togokahn/p-SPM613629314,Blocks > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/27946/294440714?src=http%3A%2F%2Fimg.reversede.com%2Fimages%2FI%2F41haNJsfFzL.jpg&d=39e8d1617ca8c25c0095a080929398157e560ce5,14.99,,Sears - Edealszone LLC
SPM8152179629,e63kur12f6,Racers:  Racer X & Taejo Togokahn,201.99,http://www.sears.com/lego-racers-racer-x-taejo-togokahn/p-SPM613629314,Blocks > ,LEGO,http://c.shld.net/rpx/i/s/pi/mp/27946/294440714?src=http%3A%2F%2Fimg.reversede.com%2Fimages%2FI%2F41haNJsfFzL.jpg&d=39e8d1617ca8c25c0095a080929398157e560ce5,15.65,,Sears - Amazonlot
