"device","url"
"iPhone 5S 16GB","http://www.phones4u.co.uk/apple/iphone/5s/16gb-space-grey/contract"
"iPhone 5S 32GB","http://www.phones4u.co.uk/apple/iphone/5s/32gb-space-grey/contract"
"iPhone 5S 64GB","http://www.phones4u.co.uk/apple/iphone/5s/64gb-space-grey/contract"
"iPhone 5C 16GB","http://www.phones4u.co.uk/apple/iphone/5c/16gb-blue/contract"
"iPhone 5C 32GB","http://www.phones4u.co.uk/apple/iphone/5c/32gb-blue/contract"
"Sony Xperia Z1","http://www.phones4u.co.uk/sony/xperia/z1/compact/lime/contract"
"Nokia Lumia 1020","http://www.phones4u.co.uk/plans?packageType=FTC&tariffType=PAY_MONTHLY&deviceType=HANDSET&deviceCode=NOK1020BLCK"
"Samsung Galaxy S4","http://www.phones4u.co.uk/samsung/galaxy/s4/black/contract"
"HTC One","http://www.phones4u.co.uk/htc/one/red/contract"
