sku,name,price,brand_id,brand,brand_type,department_desc,category,sub_category,segment
8393035,Darrell Lea Peanut Brittle 135G,$3.15,DARR,DARRELL LEA,National Trusted Brand,Everyday Needs,Chocolate,Choc Confect Bags,Darrell Lea
14610,Pantene Treatment Bb Creme 135ml,$9.00,PANT,PANTENE,National Trusted Brand,Everyday Needs,Toiletries,Shampoo&Conditionr,Treatments
312194,Biore Daily Recharge Spf Moisturiser 100ml,$10.95,BIOR,BIORE,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Other-Skincare
5941438,So..Sinful EDT 20ML Spray,$19.00,SO,SO,National Trusted Brand,Everyday Needs,Beauty Care,Fragrance,General Fragrance
7250392,So..Sinful Edt 100ML,$24.00,SO,SO,National Trusted Brand,Everyday Needs,Beauty Care,Fragrance,General Fragrance
7250422,So..Sinful Bodyspray 150G,$4.95,SO,SO,National Trusted Brand,Everyday Needs,Beauty Care,Fragrance,General Fragrance
8217071,Grans Caramel Fudge 140G Bagcar Hang,$3.00,GRAN,GRANS FUDGE,National Trusted Brand,Everyday Needs,Chocolate,Choc Confect Bags,Oth Choc Conf Bags
196939,Clean & Clear Scrub Blackhead Clearing 140g,$9.95,CLEN,CLEAN & CLEAR,National Trusted Brand,Everyday Needs,Beauty Care,Teenage Skincare,Clean & Clear
780252,Colgate Optic White Toothpaste Enamel 140g,$9.95,COLG,COLGATE,National Trusted Brand,Everyday Needs,Toiletries,Oral Care,Toothpaste
232310,Nad's Wax Brazilian & Bikini 140g,$14.95,NADS,NAD'S,National Trusted Brand,Everyday Needs,Toiletries,Womens Hair Remova,Depil Wax & Strips
826705,Pringles Extra Kick Jalepeno Crisps 140G,$4.00,PRIG,PRINGLES,National Trusted Brand,Everyday Needs,Food & Snacks,Chips & Snacks,Other
258266,Biore Pore Scrub Unclogging 135ml,$9.95,BIOR,BIORE,National Trusted Brand,Everyday Needs,Beauty Care,Skincare Face,Other-Skincare
748054,Oral B Pro Health Fresh Mint ToothPaste 145g,$6.95,ORAL,ORAL B,National Trusted Brand,Everyday Needs,Toiletries,Oral Care,Toothpaste
8393033,Darrell Lea Choc Peanuts 145gm,$3.15,DARR,DARRELL LEA,National Trusted Brand,Everyday Needs,Chocolate,Choc Confect Bags,Darrell Lea
795075,Wrigleys Extra Bubblemint 10 Piece Pellet,$1.00,EXTR,WRIGLEYS,National Trusted Brand,Everyday Needs,Confectionery,Impulse Confect,Chewing Gum
