Exit Date,Product Number,Launch Date,Product Description,ACV Fall,Future Product Policy,ACV Spg,Present Product Policy,Theme,NIP ($),On Shelf,Item ID,Margin,Case Pack,RRP
12/31/2016,10673,3/1/2014,Race Car Rally,0,B,0,B,LEGO® Juniors,22.74,Full Year,6061893,35%,2,34.99
12/31/2016,10674,3/1/2014,Pony Farm,0,B,0,B,LEGO® Juniors,22.74,Full Year,6061895,35%,2,34.99
12/31/2016,10680,3/1/2015,Garbage Truck,0,C,0,C,LEGO® Juniors,15.49,March,6101007,38%,3,24.99
12/31/2016,10683,8/1/2015,Road Work Truck,0,A,0,,LEGO® Juniors,15.49,August,6101018,38%,3,24.99
12/31/2016,10684,3/1/2015,Supermarket Suitcase,0,B,0,B,LEGO® Juniors,19.79,March,6101085,34%,4,29.99
12/31/2016,10685,3/1/2015,Fire Suitcase,0,B,0,B,LEGO® Juniors,19.79,March,6101089,34%,4,29.99
12/31/2016,10686,8/1/2015,Family House,0,A,0,,LEGO® Juniors,24.79,August,6101094,38%,3,39.99
12/31/2016,10687,8/1/2015,Spider-Man™ Hideout,0,A,0,,LEGO® Juniors,20.99,August,6101099,30%,4,29.99
,10720,,Police Helicopter Chase,,,,,Juniors,,,,,,12.99
,10721,,Iron Man vs. Loki,,,,,Juniors,,,,,,17.99
,10722,,Snake Showdown,,,,,Juniors,,,,,,17.99
,10723,,Ariel’s Dolphin Carriage,,,,,Juniors,,,,,,17.99
,10724,,Batman™ & Superman™ vs. Lex Luthor™,,,,,Juniors,,,,,,24.99
,10725,,Lost Temple,,,,,Juniors,,,,,,39.99
,10726,,Stephanie’s Horse Carriage,,,,,Juniors,,,,,,15.99
,10727,,Emma’s Ice Cream Truck,,,,,Juniors,,,,,,24.99
,10728,,Mia’s Vet Clinic,,,,,Juniors,,,,,,39.99
,10729,,Cinderella’s Carriage,,,,,Juniors,,,,,,24.99
,10654,,TRU Exclusive,,,,,LEGO Classic,,,,,,0
