Number,Code,Manufacturer,Description,Html Description,Specification,Part Number,Warranty,Measure,Section,Date Added,Price,Web Price,Web Expiry,Daily Offer,Available,Options,FFX,FFX
31,EK6100,Makita,Makita EK6100 305mm Petrol Disc Cutter,"<p> <strong>Makita Petrol Disc&nbspcutter </strong>305mm (12&quot)&nbsp EK6100 is&nbspequipped with 61cm&sup3 2-stroke engine with stratified scavenging system.</p> <p> Makita has updated the DPC6430 12&quot stone cutting saw and this machine is a worthy rival to the Stihl TS410.</p> <p> The new model has the following advantages:</p> <ul> <li> Lightweight 1.2kg (2.6lbs) lighter than DPC6430</li> <li> Enhanced air filtration cyclone pre-separation system effectively removes dust particles away from intake air and reduces dust stuck on the filter.</li> </ul> <p> Includes:</p> <ul> <li> Tool Kit</li> <li> Dust suppression kit</li> </ul> <p class=""product_item_info_main_content""> Features:</p> <ul class=""userbenefits""> <li> Rapid start pull force required to start the machine is drastically reduced with spring-assisted recoil starter.</li> <li> Touch and Stop Switch</li> <li> Fuel primer for easy starting.</li> <li> High quality driving belt does not require tensioning once the proper tension is adjusted.</li> <li> Enhanced Air Filtration</li> <li> Developed in compliance with all known exhaust emission regulations</li> <li> Lightweight 1.2kg (2.6lbs) lighter than DPC6430</li> <li> Water supply with intake filter and fine adjustment for adequate dust protection.</li> </ul>",,EK6100,1 Year,,Outdoor Power Tools / Disc Cutters,18-Jan-13,455,0,1-Dec-16,,Yes,,,
13,GA5030,Makita,Makita 125mm Angle Grinder GA5030,"<p> Makita 125mm Angle Grinder&nbsp&nbsp GA5030</p> <p> Small diameter Angle grinders with ergonomically best possible barrel grip. Regardless of whether the user grips motor housing or rear cover, the extra-ergonomic barrel grip fits any users palm and fingers perfectly, and provides easy and comfortable handling while minimizing hand fatigue and pain.</p> <div class=""product_item_info_main_content""> <ul class=""userbenefits""> <li> Machined bevel gears.</li> <li> Small gear housing for easy handling and manoeuvrability.</li> <li> Powerful 720W motor with excellent heat-resistance.</li> <li> Ergonomic 20 degree side grip angle.</li> </ul> </div> <div class=""techspec_titel""> Bore Diameter&nbsp -&nbsp 22.23mm</div> <div class=""techspec_holder""> <div class=""techspec_titel""> Wheel Size -&nbsp 125mm</div> <div class=""techspec_titel""> Input Wattage&nbsp -&nbsp 720w</div> </div> <div class=""techspec_holder""> <div class=""techspec_titel""> No Load Speed&nbsp -&nbsp 11000rpm</div> <div class=""techspec_titel""> Net weight&nbsp&nbsp -&nbsp 1.8kg</div> </div>",,GA5030,1 Year (3yrs if registered online),,Power Tools Mains / Grinders,10-Jan-13,35,0,3-Feb-15,,Yes,"[110V], [240V]",,
7,GA9020S,Makita,Makita GA9020S 230mm Angle Grinder with Soft Start (9inch),"<p> <strong>Makita GA9020 </strong>230mm Angle Grinder with Soft Start (9inch)</p> <p> <span itemprop=""deion"">The updated replacement to the&nbsphugely popular 9069 grinder from Makita.</span></p> <p> <span itemprop=""deion"">The <strong>Makita GA9020 </strong>single speed 230mm 2000w angle grinder has been adopted by the construction industry, when fitted with a diamond blade the Makita GA9020 will cut anything from roof tiles to paving slabs, fitted with a superior anti dust structure device to protect the armature and weighing a mere 5.8kg,</span></p> <p> <span itemprop=""deion"">A</span><span itemprop=""deion"">&nbsplighter option to a petrol cutter which can be heavy and cumbersome and difficult to start. The<strong> Makita GA9020 </strong>is fitted with a 2 stage on/off switch which requires the user to push the switch forward then pull up and a soft grip rear handle for user comfort and added grip. The front side handle has 3 positions, either side of the gear box for user comfort, or on the top of the gear box which is a position favoured for cutting.<br /> </span></p> <p> <strong>Features:</strong></p> <ul> <li> Latest model Makita 9inch angle grinder</li> <li> Spindle Lock for fast and easy disc change</li> <li> Double Insulated</li> <li> Soft Start</li> <li> Available in 110V &amp 240V</li> </ul> <p> <strong>Specification:</strong></p> <ul> <li> Wheel Size: 230mm</li> <li> Bore Size: 22mm</li> <li> Spindle size: M14 x 2mm</li> <li> Wire Cup Brush: 110mm</li> <li> No Load Speed 6,600rpm</li> <li> Input Wattage 2,000W</li> <li> Net Weight 4.7kg</li> </ul> <p> <strong>Includes:</strong></p> <ul> <li> Lock Nut Wrench</li> <li> Side Handle</li> <li> Wheel Guard</li> </ul>",,GA9020S,1 Year,,Power Tools Mains / Grinders,4-Sep-08,65,0,,,Yes,"[110V], [240V]",,
30,GEX150AC,Bosch,Bosch GEX 150AC Random Orbit Sander,"<p> <strong>Bosch GEX 150AC Random Orbit Sander</strong></p> <p> The random orbit motion plus rotation ensures the finest sanding with high sanding performance. With aluminium bearing flange for long service life and high running smoothness, control Electronic and speed preselection, i.e. the right speed for every application and even the sanding plate brake prevents damage (scoring) on workpiece! Bosch&#39s very own Micro-filter System means perfect mobile extraction. With velcro-type fastening for rapid, convenient sanding sheet changes. Best for sanding and polishing wood, metal and plastic, paint and varnish, even on curved surfaces. Also suitable for left-handers!</p> <p> <strong>Specification:</strong></p> <ul> <li> Power Input - 340W</li> <li> No Load Orbit Rate - 4500-12000/min</li> <li> Base Plate Size - 150mm Dia.</li> <li> Weight - 2.1kg</li> </ul>",,GEX 150AC,1 Year,,Power Tools Mains / Sanders and Polishers,4-Sep-08,135,0,30-Nov-16,,Yes,"[240V], [110V]",,
18,HR2630,Makita,Makita HR2630 Rotary Hammer,"<p> The <strong>Makita HR2630 </strong>SDS+ rotary hammer drill features compact and lightweight tool design, ergonomic handle and many other features designed for more comfort and better control.</p> <p> 3 modes: Rotation only/Rotation with hammering/Hammering only.</p> <p> <strong>Makita HR2630 </strong>Rotary Hammer</p> <p> <strong>Features:</strong></p> <ul> <li> Forward/reverse rotation</li> <li> Torque Limiter</li> <li> Job Light</li> </ul> <p> <strong>Specification:</strong></p> <ul> <li> Max in concrete: Drill - 26mm</li> <li> Max in concrete: Core - 80mm</li> <li> Max in Steel - 13mm</li> <li> Max in Wood - 32mm</li> <li> Joules - 2.9</li> <li> Vibration - 15.5m/sec</li> <li> Blows per minute - 0-4,600bpm</li> <li> No load speed - 0-1,200rpm</li> <li> Input Wattage - 800w</li> <li> Net Weight - 2.9kg</li> </ul> <p> <strong>Includes:</strong></p> <ul> <li> Side Handle</li> <li> Depth Stop</li> <li> Case</li> </ul>",,HR2630,1 Year,,Power Tools Mains / Drills / Hammer Drills - SDS Plus,21-Jan-09,81.67,0,,,Yes,"[110V], [240V]",,
9,HW101,Makita,Makita HW101 Compact Pressure Washer,"<p> The Makita HW101 Compact Power Washer is ideal for domestic use on driveways or patios.</p> <p> The lance features an adjustable nozzle for accurate cleaning and there is an adjustable detergent bottle that allows you to apply solutions depending on the job.</p> <p> It has a universal electric motor with wobble plate pump and an aluminium pump head. Features a Total Stop System (TSS) which switches the motor on and off when the lance trigger is operated, prolonging the motor life. The stainless steel pistons provide increased working life and more reliability.</p> <p> <strong>Specification:</strong></p> <ul> <li> Max pressure: 100 bar</li> <li> Max flow: 360 L/hr</li> <li> Input wattage: 1.3kw</li> <li> Motor type: induction</li> <li> Pump: Triplex with wobble plate</li> <li> Net Weight: 6.5kg</li> </ul> <p> <b>Comes with:</b></p> <ul> <li> 3meter HP hose</li> <li> Gun and lance (Fan head)</li> <li> Detergent bottle</li> </ul>",,HW101,1 year,,Outdoor Power Tools / Power Washers,4-Sep-08,41.6,0,,,Yes,,,
6,LB1200F,Makita,Makita LB1200F 305mm Band Saw 240v,"<p> <strong>Makita</strong>&nbsp<strong>BAND SAW</strong> 305mm LB1200 240V is a High efficiency band saw with casters for easy mobility.</p> <ul> <li> cutting speed : L/6.7m/sec&nbsp&nbsp H/13.3m/sec</li> <li> cutting capacities : H/165mm&nbsp&nbsp W/305mm</li> <li> Blade size : 2240mm/6.13-16mm</li> <li> 2 speeds</li> <li> net weight : 81kg</li> <li> table tilt range : 2-45</li> <li> table size : 560x400mm</li> <li> table height : 1m</li> <li> wattage : 900w</li> <li> 240v</li> </ul> <p> Comes with :</p> <ul> <li> Rip fence,</li> <li> Push stick,</li> <li> Stand,</li> <li> Hex wrenches,</li> <li> 4x blades (13mm wood, 16mm wood, 16mm metal, 6mm scrolling)</li> </ul>",,LB1200,1 year,,Power Tools Mains / Mains Saws / Band Saws,14-Feb-12,385,0,,,Yes,,,
3,LCT204W,Makita,LCT204W 2 Piece Cordless 10.8v Kit,"<p> Makita LCT204W - 2 Piece 10.8V Impact Driver &amp Drill Driver in Aluminium Case</p> <p class=""deion""> 10.8V Twin Impact and Drill Driver in Aluminium Case - LCT204W</p> <p class=""deion""> <strong>DF330D&nbsp- Drill Driver</strong></p> <ul> <li> Conveniently located push button for forward and reverse.</li> <li> High comfort grips.</li> <li> Ideal for applications in tight spaces.</li> <li> Two speed gear box.</li> <li> LED job light.</li> <li> Key-less 3 jaw chuck for use with your existing accessories.</li> </ul> <p> <strong>TD090D - Impact Driver</strong></p> <ul> <li> Conveniently located push button for forward and reverse.</li> <li> High comfort grips.</li> <li> Ideal for applications in tight spaces.</li> <li> Keyless single sleeve hex chuck.</li> <li> LED job light.</li> <li> Lithium-ion batteries have greater life spans than their Ni-MH or Ni-Cad counterparts giving 430% greater run time.</li> <li> Minimal pressure required from the operator.</li> </ul> <p class=""deion""> <strong>Includes</strong>:</p> <ul> <li> DF330D - Drill Driver</li> <li> TD090D - Impact Driver</li> <li> DC10WA - Charger</li> <li> BL1013 - Batteries x 2 - 1.3Ah Li-ion</li> <li> Aluminum Case</li> </ul>",,LCT204W,1 Year,,Power Tools Cordless / Cordless Combo Packs,5-Dec-08,103,0,31-Dec-15,26-Jul-15,Yes,,,
25,MLS100,Makita,Makita MLS100 Mitre Saw 255mm,"<p> <span class=""Apple-style-span""><strong>Makita</strong> <strong>MLS100 </strong>Mitre Saw 255mm </span></p> <p> <span class=""Apple-style-span"">The MLS100 Mitre saw has a compact and robust construction for more accurate cuts.</span></p> <p> <span class=""Apple-style-span"">Power input: 1500w</span></p> <p> Blade Diameter: 255 x 30mm<br /> Max. cut (90&ordm): 75mm<br /> Max. bevel range: 45&ordm-45&ordm<br /> No Load Speed: 4,200rpm<br /> Weight: 14.7kg</p> <p> Entry level mitre saw<br /> Positive mitre stops</p> <p> <strong>Supplied with:</strong></p> <ul> <li> TCT saw blade</li> <li> Dust bag</li> <li> Extension arms</li> <li> Vertical clamp</li> </ul> <p> <span style=""color: #f00"">&nbsp</span></p>",,MLS100,1 Year,,Power Tools Mains / Mains Saws / Mitre Saws,16-Mar-09,120.49,0,,,Yes,"[110V], [240V]",,
15,MLT100,Makita,Makita MLT100 Table Saw,"<p> <strong>The MLT100 Table Saw includes as standard: TCT blade, Rip fence, Push stick, Mitre guage with vise, Wrenches and Triangular rule!!<br /> <br /> </strong></p> <p> Features :</p> <p> Electronic brake</p> <p> Double insulated</p> <p> Available in 110V &amp 240V</p> <p> &nbsp</p> <p> Specification :</p> <p> Blade Diameter: 260mm</p> <p> Bore Diameter: 30mm</p> <p> Table length (with sub-tables - included): 590mm main 790mm with sub tables</p> <p> Table width (with sub-tables - included): 610mm main 760mm with sub table</p> <p> No Load Speed: 4500rpm</p> <p> Input wattage: 1500w</p> <p> Net Weight: 38kg</p>",,MLT100,1 Year,,Power Tools Mains / Mains Saws / Table Saws,5-Dec-08,350,0,31-Jan-16,,Yes,"[110V], [240V]",,
