CLIENT PRODUCT,PRICE,SKU,CATEGORY,BRAND,IMAGE
Razer Death Adder Chroma,69.99,RZ01-01210100-R3U1,Mice,Razer,http://assets.razerzone.com/eeimages/products/17531/deathadder_chroma_gallery_5__store_gallery.png
Razer Naga 2014,79.99,RZ01-01040100-R3U1,Mice,Razer,http://assets.razerzone.com/eeimages/products/13785/razer-naga-2014-right-01s__store_gallery.png
Razer BlackWidow Chroma,169.99,RZ03-01220200-R3U1,Keyboards,Razer,http://assets.razerzone.com/eeimages/products/17557/razer-blackwidow-ultimate-gallery-02__store_gallery.png
Razer BlackWidow Ultimate,129.99,RZ03-00384600-R3U1,Keyboards,Razer,http://assets.razerzone.com/eeimages/products/17561/razer-blackwidow-ultimate-gallery-01__store_gallery.png
Kraken Green Pro,79.99,RZ04-00870100-R3U1,Audio,Razer,http://assets.razerzone.com/eeimages/products/2948/razer-kraken-std-08-latest__store_gallery.png
