SKU,BRAND,NAME,PRODUCT CODE,PRICE,AVAILABILITY,CAT LONG,URL
13122413470032,Fender,KURT COBAIN JAGUAR NOS,143001700,1112.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=13122413470032
12031011572058,Fender,"American Standard Telecaster, MN, Natural",113202721,1160.00,1,Guitars - Electric,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=12031011572058
14072910050532,Fender,CLSC PLYR BAJA 60S TELE RW CAR,141510309,661.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=14072910050532
06030813034818,Fender,Fender Custom Telecaster FMT-RW-Amber,262000520,594.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=06030813034818
11092910343658,Fender,"Fender Standard Telecaster LH MN Candy Apple Red, Tinted Neck",145122509,470.00,1,Guitars - Electric - LH,http://www.guitarguitar.co.uk/left_guitars_detail.asp?stock=11092910343658
14121915500458,Fender,STD TELE HH RW OLW,149400505,451.00,0,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=14121915500458
11092817000758,Fender,"Fender Standard Stratocaster HSS MN Candy Apple Red, Tinted Neck",144702509,460.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=11092817000758
14121915513058,Fender,STD TELE HH RW BLK,149400506,451.00,0,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=14121915513058
150904289162008,Fender,American Special Strat MN Olympic White (2015),115602305,776.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=150904289162008
151221291756002,Fender,AM ELITE TELE MN BTB,114212750,1333.00,0,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=151221291756002
11080216254418,Fender,Jim Adkins JA-90 Telecaster Natural **New For 2010**,262350521,584.00,1,Guitars - Electric - Semi Acoustic,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=11080216254418
13122413454232,Fender,"Troy Van Leeuwen Jazzmaster®, Bound Rosewood Fingerboard, Oxblood",140070793,1035.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=13122413454232
11122910480658,Fender,"Johnny Marr Jaguar®, Rosewood Fingerboard, Olympic White",116400705,1583.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=11122910480658
12031010323732,Fender,"American Standard Stratocaster, RN, 3 Tone Sunburst",113000700,1160.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=12031010323732
12031010553432,Fender,"American Standard Stratocaster, RN, Olympic White",113000705,1112.00,1,Guitars - Electric - Solid Body,http://www.guitarguitar.co.uk/electric_guitars_detail.asp?stock=12031010553432
