sku,identifier,name,category,price
70791,,Skull Warrior,Bionicle,12.99
70792,,Skull Slicer,Bionicle,12.99
70793,,Skull Basher,Bionicle,12.99
70794,,Skull Scorpio,Bionicle,12.99
70795,,Mask Maker vs. Skull Grinder,Bionicle,24.99
71300,71300,Uxar Creature of Jungle,Bionicle,6.99
71301,71301,Ketar Creature of Stone,Bionicle,6.99
71302,71302,Akida Creature of Water,Bionicle,6.99
71303,71303,Ikir Creature of Fire,Bionicle,6.99
71304,71304,Terak Creature of Earth,Bionicle,6.99
71305,71305,Lewa Uniter of Jungle,Bionicle,9.99
71306,71306,Pohatu Uniter of Stone,Bionicle,9.99
71307,71307,Gali Uniter of Water,Bionicle,9.99
71308,71308,Tahu Uniter of Fire,Bionicle,14.99
71309,71309,Onua Uniter of Earth,Bionicle,14.99
71310,71310,Umarak the Hunter,Bionicle,14.99
71311,71311,Kopaka and Melum - Unity set,Bionicle,19.99
71312,71312,Ekimu the Mask Maker,Bionicle,9.99
71313,71313,Lava Beast,Bionicle,9.99
71314,71314,Storm Beast,Bionicle,9.99
71315,71315,Quake Beast,Bionicle,9.99
71316,71316,Umarak the Destroyer,Bionicle,17.99
75107,,Jango Fett�,Constraction Star Wars,14.99
75108,,Clone Commander Cody�,Constraction Star Wars,14.99
75109,,Obi-Wan Kenobi�,Constraction Star Wars,19.99
75110,,Luke Skywalker�,Constraction Star Wars,19.99
75111,,Darth Vader�,Constraction Star Wars,24.99
75112,,General Grievous�,Constraction Star Wars,29.99
75113,75113,Rey,Constraction Star Wars,14.99
75114,75114,First Order Stormtrooper™,Constraction Star Wars,14.99
75115,75115,Poe Dameron™,Constraction Star Wars,19.99
75116,75116,Finn,Constraction Star Wars,19.99
75117,75117,Kylo Ren™,Constraction Star Wars,19.99
75118,75118,Captain Phasma™,Constraction Star Wars,19.99
75119,75119,Constraction 2016_7,Constraction Star Wars,19.99
75120,75120,Constraction 2016_8,Constraction Star Wars,19.99
75121,75121,Constraction 2016_9,Constraction Star Wars,19.99
10667,,LEGO® Juniors Construction,Juniors,14.99
10673,,Race Car Rally,Juniors,24.99
10674,,Pony Farm,Juniors,24.99
10680,,Garbage Truck,Juniors,15.99
10683,,Road Work Truck,Juniors,15.99
10684,,Supermarket Suitcase,Juniors,19.99
10685,,Fire Suitcase,Juniors,19.99
10686,,Family House,Juniors,24.99
10687,,Spider-Man� Hideout,Juniors,29.99
10720,10720,Police Helicopter Chase,Juniors,8.99
10721,10721,Iron Man vs. Loki,Juniors,11.99
10722,10722,Snake Showdown,Juniors,12.99
10723,10723,Ariel’s Dolphin Carriage,Juniors,12.99
10724,10724,Batman™ & Superman™ vs. Lex Luthor™,Juniors,19.99
10725,10725,Lost Temple,Juniors,24.99
10726,10726,Stephanie’s Horse Carriage,Juniors,8.99
10727,10727,Emma’s Ice Cream Truck,Juniors,17.99
10728,10728,Mia’s Vet Clinic,Juniors,24.99
10729,10729,Cinderella’s Carriage,Juniors,19.99
10654,10654,TRU Exclusive,LEGO Classic,49.99
10682,,LEGO® Creative Suitcase,LEGO Classic,34.99
10692,,LEGO� Creative Bricks,LEGO Classic,12.99
10693,,LEGO� Creative Supplement,LEGO Classic,17.99
10694,,LEGO� Creative Supplement Bright,LEGO Classic,17.99
10695,,LEGO� Creative Building Box,LEGO Classic,19.99
10696,,LEGO� Medium Creative Brick Box,LEGO Classic,24.99
10697,,LEGO� Large Creative Box,LEGO Classic,49.99
10698,,LEGO� Large Creative Brick Box,LEGO Classic,34.99
10699,,Sand Baseplate,LEGO Classic,6.99
10700,,Green Baseplate,LEGO Classic,6.99
10701,,Gray Baseplate,LEGO Classic,12.99
10702,10702,LEGO® Creative Building Set,LEGO Classic,19.99
10705,10705,LEGO® Creative Building Basket,LEGO Classic,34.99
630,,Brick Separator,LEGO Classic,1.99
41055,,Cinderella's Romantic Castle,Disney Princess,59.99
41061,,Jasmine's Exotic Palace,Disney Princess,19.99
41062,,Elsa�s Sparkling Ice Castle,Disney Princess,34.99
41063,,Ariel�s Undersea Palace,Disney Princess,49.99
41065,41065,Rapunzel’s Best Day Ever,Disney Princess,19.99
41066,41066,Anna & Kristoff’s Sleigh Adventure,Disney Princess,24.99
