Product No.,Item Description English,Item Description Local (French),Item Description Local (Dutch),Theme,RRP Price EUR
41117,Pop Star TV Studio,Pop Star TV Studio,Pop Star TV Studio,LEGO Friends,19.99
41118,Heartlake Supermarket,Heartlake Supermarket,Heartlake Supermarket,LEGO Friends,34.99
41119,Heartlake Cupcake Café,Heartlake Cupcake Café,Heartlake Cupcake Café,LEGO Friends,44.99
41120,Adventure Camp Archery,Adventure Camp Archery,Adventure Camp Archery,LEGO Friends,9.99
41121,Adventure Camp Rafting,Adventure Camp Rafting,Adventure Camp Rafting,LEGO Friends,34.99
41122,Adventure Camp Tree House,Adventure Camp Tree House,Adventure Camp Tree House,LEGO Friends,79.99
41123,Foal's Washing Station,Foal's Washing Station,Foal's Washing Station,LEGO Friends,9.99
41124,Heartlake Puppy Daycare,Heartlake Puppy Daycare,Heartlake Puppy Daycare,LEGO Friends,34.99
41125,Horse Vet Trailer,Horse Vet Trailer,Horse Vet Trailer,LEGO Friends,39.99
41126,Heartlake Riding Club,Heartlake Riding Club,Heartlake Riding Club,LEGO Friends,69.99
41127,Amusement Park Arcade,Amusement Park Arcade,Amusement Park Arcade,LEGO Friends,17.99
41128,Amusement Park Space Ride,Amusement Park Space Ride,Amusement Park Space Ride,LEGO Friends,19.99
41129,Amusement Park Hot Dog Van,Amusement Park Hot Dog Van,Amusement Park Hot Dog Van,LEGO Friends,29.99
41130,Amusement Park Roller Coaster,Amusement Park Roller Coaster,Amusement Park Roller Coaster,LEGO Friends,99.99
41131,LEGO Friends Advent Calendar 2016,LEGO Friends Advent Calendar 2016,LEGO Friends Advent Calendar 2016,LEGO Friends,24.99
41132,Heartlake Party Shop,Heartlake Party Shop,Heartlake Party Shop,LEGO Friends,34.99
41133,Amusement Park Bumper Cars,Amusement Park Bumper Cars,Amusement Park Bumper Cars,LEGO Friends,44.99
41134,Heartlake Performance School,Heartlake Performance School,Heartlake Performance School,LEGO Friends,89.99
41135,Livi's Pop Star House,Livi's Pop Star House,Livi's Pop Star House,LEGO Friends,59.99
66537,LEGO Friends Value Pack,LEGO Friends Value Pack,LEGO Friends Value Pack,LEGO Friends,29.99
66539,LEGO Friends VP,LEGO Friends VP,LEGO Friends VP,LEGO Friends,69.99
9071,Building Plates,Building Plates,Building Plates,LE Preschool,31.5
9286,Large Building Plates Set,Large Building Plates Set,Large Building Plates Set,LE Preschool,29.5
9348,Community Minifigure Set,Community Minifigure Set,Community Minifigure Set,LE Preschool,48.5
9349,Fairytale and Historic Minifigure Set,Fairytale and Historic Minifigure Set,Fairytale and Historic Minifigure Set,LE Preschool,48.5
9386,"Doors, Windows & Roof Tiles","Doors, Windows & Roof Tiles","Doors, Windows & Roof Tiles",LE Preschool,40.99
9387,Wheels Set,Wheels Set,Wheels Set,LE Preschool,38.5
45500,EV3 Intelligent Brick,EV3 Intelligent Brick,EV3 Intelligent Brick,MINDSTORMS Education,199.99
45501,EV3 Rechargeable DC Battery,EV3 Rechargeable DC Battery,EV3 Rechargeable DC Battery,MINDSTORMS Education,109.99
45502,EV3 Large Servo Motor,EV3 Large Servo Motor,EV3 Large Servo Motor,MINDSTORMS Education,29.99
45503,EV3 Medium Servo Motor,EV3 Medium Servo Motor,EV3 Medium Servo Motor,MINDSTORMS Education,26.99
45504,EV3 Ultrasonic Sensor,EV3 Ultrasonic Sensor,EV3 Ultrasonic Sensor,MINDSTORMS Education,34.99
45505,EV3 Gyro Sensor,EV3 Gyro Sensor,EV3 Gyro Sensor,MINDSTORMS Education,34.99
45506,EV3 Color Sensor,EV3 Color Sensor,EV3 Color Sensor,MINDSTORMS Education,34.99
45507,EV3 Touch Sensor,EV3 Touch Sensor,EV3 Touch Sensor,MINDSTORMS Education,19.99
45508,EV3 Infrared Beacon,EV3 Infrared Beacon,EV3 Infrared Beacon,MINDSTORMS Education,34.99
45509,EV3 Infrared Sensor,EV3 Infrared Sensor,EV3 Infrared Sensor,MINDSTORMS Education,34.99
45514,EV3 Cable Pack,EV3 Cable Pack,EV3 Cable Pack,MINDSTORMS Education,17.99
45517,Transformer 10V DC,Transformer 10V DC,Transformer 10V DC,MINDSTORMS Education,29.99
60100,Airport Starter Set,Airport Starter Set,Airport Starter Set,City Airport,9.99
60101,Airport Cargo Plane,Airport Cargo Plane,Airport Cargo Plane,City Airport,19.99
60102,Airport VIP Service,Airport VIP Service,Airport VIP Service,City Airport,54.99
60103,Airport Air Show,Airport Air Show,Airport Air Show,City Airport,89.99
60104,Airport Passenger Terminal,Airport Passenger Terminal,Airport Passenger Terminal,City Airport,109.99
60105,Fire ATV,Fire ATV,Fire ATV,City Fire,5.99
60106,Fire Starter Set,Fire Starter Set,Fire Starter Set,City Fire,9.99
60107,Fire Ladder Truck,Fire Ladder Truck,Fire Ladder Truck,City Fire,19.99
60108,Fire Response Unit,Fire Response Unit,Fire Response Unit,City Fire,34.99
60109,Fire Boat,Fire Boat,Fire Boat,City Fire,79.99
60110,Fire Station,Fire Station,Fire Station,City Fire,99.99
60111,Fire Utility Truck,Fire Utility Truck,Fire Utility Truck,City Fire,39.99
60112,Fire Engine,Fire Engine,Fire Engine,City Fire,44.99
66541,LEGO City VP_2,LEGO City VP_2,LEGO City VP_2,City Fire,0
60113,Rally Car,Rally Car,Rally Car,City Great Vehicles,9.99
60114,Race Boat,Race Boat,Race Boat,City Great Vehicles,9.99
60115,4 x 4 Off Roader,4 x 4 Off Roader,4 x 4 Off Roader,City Great Vehicles,19.99
60116,Ambulance Plane,Ambulance Plane,Ambulance Plane,City Great Vehicles,19.99
60117,Van & Caravan,Van & Caravan,Van & Caravan,City Great Vehicles,19.99
60118,Garbage Truck,Garbage Truck,Garbage Truck,City Great Vehicles,19.99
60119,Ferry,Ferry,Ferry,City Great Vehicles,32.99
60120,Volcano Starter Set,Volcano Starter Set,Volcano Starter Set,City In/Out,9.99
60121,Volcano Exploration Truck,Volcano Exploration Truck,Volcano Exploration Truck,City In/Out,19.99
60122,Volcano Crawler,Volcano Crawler,Volcano Crawler,City In/Out,29.99
60123,Volcano Supply Helicopter,Volcano Supply Helicopter,Volcano Supply Helicopter,City In/Out,54.99
60124,Volcano Exploration Base,Volcano Exploration Base,Volcano Exploration Base,City In/Out,109.99
60125,Volcano Heavy-lift Helicopter,Volcano Heavy-lift Helicopter,Volcano Heavy-lift Helicopter,City In/Out,139.99
66540,LEGO City VP_1,LEGO City VP_1,LEGO City VP_1,City In/Out,0
60126,Tire Escape,Tire Escape,Tire Escape,City Police,5.99
60127,Prison Island Starter Set,Prison Island Starter Set,Prison Island Starter Set,City Police,9.99
60128,Police Pursuit,Police Pursuit,Police Pursuit,City Police,19.99
60129,Police Patrol Boat,Police Patrol Boat,Police Patrol Boat,City Police,44.99
60130,Prison Island,Prison Island,Prison Island,City Police,89.99
60131,Crooks Island,Crooks Island,Crooks Island,City Police,34.99
60132,Service Station,Service Station,Service Station,City Town,79.99
60133,LEGO® City Advent Calendar,LEGO® City Advent Calendar,LEGO® City Advent Calendar,City Town,24.99
60134,Fun in the park - City People Pack,Fun in the park - City People Pack,Fun in the park - City People Pack,City Town,44.99
10218,Pet Shop,Pet Shop,Pet Shop,Creator Expert,149.99
10247,Ferris Wheel,Ferris Wheel,Ferris Wheel,Creator Expert,189.99
10248,Ferrari F40,Ferrari F40,Ferrari F40,Creator Expert,89.99
10249,Winter Toy Shop,Winter Toy Shop,Winter Toy Shop,Creator Expert,79.99
10251,Brick Bank,Brick Bank,Brick Bank,Creator Expert,169.99
10252,Confidential -  Expert 2 2016,Confidential -  Expert 2 2016,Confidential -  Expert 2 2016,Creator Expert,104.99
10253,Confidential - Expert 3 2016,Confidential - Expert 3 2016,Confidential - Expert 3 2016,Creator Expert,249.99
10254,Confidential -  Expert 4 2016,Confidential -  Expert 4 2016,Confidential -  Expert 4 2016,Creator Expert,104.99
31040,Desert Racers,Desert Racers,Desert Racers,LEGO Creator,5.99
31041,Construction Vehicles,Construction Vehicles,Construction Vehicles,LEGO Creator,5.99
31042,Super Soarer,Super Soarer,Super Soarer,LEGO Creator,9.99
31043,Chopper Transporter,Chopper Transporter,Chopper Transporter,LEGO Creator,9.99
31044,Park Animals,Park Animals,Park Animals,LEGO Creator,17.99
31045,Ocean Explorer,Ocean Explorer,Ocean Explorer,LEGO Creator,17.99
31046,Fast Car,Fast Car,Fast Car,LEGO Creator,19.99
31047,Propeller Plane,Propeller Plane,Propeller Plane,LEGO Creator,19.99
31048,Lakeside Lodge,Lakeside Lodge,Lakeside Lodge,LEGO Creator,29.99
31049,Twin Spin Helicopter,Twin Spin Helicopter,Twin Spin Helicopter,LEGO Creator,34.99
31050,Corner Deli,Corner Deli,Corner Deli,LEGO Creator,39.99
31051,Lighthouse Point,Lighthouse Point,Lighthouse Point,LEGO Creator,54.99
31052,Vacation Getaways,Vacation Getaways,Vacation Getaways,LEGO Creator,69.99
31053,Treehouse Adventures,Treehouse Adventures,Treehouse Adventures,LEGO Creator,34.99
41554,Kuffs,Kuffs,Kuffs,Mixels,3.99
41555,Busto,Busto,Busto,Mixels,3.99
41556,Tiketz,Tiketz,Tiketz,Mixels,3.99
41557,Camillot,Camillot,Camillot,Mixels,3.99
41558,Mixadel,Mixadel,Mixadel,Mixels,3.99
41559,Paladum,Paladum,Paladum,Mixels,3.99
41560,Jamzy,Jamzy,Jamzy,Mixels,3.99
41561,Tapsy,Tapsy,Tapsy,Mixels,3.99
41562,Trumpsy,Trumpsy,Trumpsy,Mixels,3.99
41563,Splasho,Splasho,Splasho,Mixels,3.99
41564,Aquad,Aquad,Aquad,Mixels,3.99
41565,Hydro,Hydro,Hydro,Mixels,3.99
41566,Sharx,Sharx,Sharx,Mixels,3.99
41567,Skulzy,Skulzy,Skulzy,Mixels,3.99
41568,Lewt,Lewt,Lewt,Mixels,3.99
41569,Surgeo,Surgeo,Surgeo,Mixels,3.99
41570,Skrubz,Skrubz,Skrubz,Mixels,3.99
41571,Tuth,Tuth,Tuth,Mixels,3.99
41572,Gobbol,Gobbol,Gobbol,Mixels,3.99
41573,Sweepz,Sweepz,Sweepz,Mixels,3.99
41574,Compax,Compax,Compax,Mixels,3.99
41575,Cobrax,Cobrax,Cobrax,Mixels,3.99
41576,Spinza,Spinza,Spinza,Mixels,3.99
41577,Mysto,Mysto,Mysto,Mixels,3.99
41578,Screeno,Screeno,Screeno,Mixels,3.99
41579,Camsta,Camsta,Camsta,Mixels,3.99
41580,Myke,Myke,Myke,Mixels,3.99
88000,Power Functions AAA Battery Box,Power Functions AAA Battery Box,Power Functions AAA Battery Box,LEGO Functions,12.99
88002,Power Functions Train Motor,Power Functions Train Motor,Power Functions Train Motor,LEGO Functions,14.99
88003,Power Functions L-Motor,Power Functions L-Motor,Power Functions L-Motor,LEGO Functions,14.99
88004,Power Functions Servo Motor,Power Functions Servo Motor,Power Functions Servo Motor,LEGO Functions,26.99
8869,Power Functions Control Switch,Power Functions Control Switch,Power Functions Control Switch,LEGO Functions,6.99
8870,Power Functions Light,Power Functions Light,Power Functions Light,LEGO Functions,7.99
8871,Power Functions Extension Wire 20”,Power Functions Extension Wire 20”,Power Functions Extension Wire 20”,LEGO Functions,4.99
8878,Power Functions Rechargeable Battery box,Power Functions Rechargeable Battery box,Power Functions Rechargeable Battery box,LEGO Functions,56.99
8879,Power Functions IR Speed Remote Control,Power Functions IR Speed Remote Control,Power Functions IR Speed Remote Control,LEGO Functions,14.99
8881,Power Functions Battery Box,Power Functions Battery Box,Power Functions Battery Box,LEGO Functions,7.99
8882,Power Functions XL-Motor,Power Functions XL-Motor,Power Functions XL-Motor,LEGO Functions,11.99
8883,Power Functions M-Motor,Power Functions M-Motor,Power Functions M-Motor,LEGO Functions,9.99
8884,Power Functions IR RX,Power Functions IR RX,Power Functions IR RX,LEGO Functions,16.99
8885,Power Functions IR TX,Power Functions IR TX,Power Functions IR TX,LEGO Functions,10.99
8886,Power Functions Extension Wire 8”,Power Functions Extension Wire 8”,Power Functions Extension Wire 8”,LEGO Functions,3.99
2000409,LEGO® SERIOUS PLAY® Window Exploration B,LEGO® SERIOUS PLAY® Window Exploration B,LEGO® SERIOUS PLAY® Window Exploration B,LEGO Serious Play,359.99
2000414,LEGO® SERIOUS PLAY® Starter Kit,LEGO® SERIOUS PLAY® Starter Kit,LEGO® SERIOUS PLAY® Starter Kit,LEGO Serious Play,649
2000430,LEGO® SERIOUS PLAY® Identity and Landsca,LEGO® SERIOUS PLAY® Identity and Landsca,LEGO® SERIOUS PLAY® Identity and Landsca,LEGO Serious Play,699.99
2000431,LEGO® SERIOUS PLAY® Connections Kit,LEGO® SERIOUS PLAY® Connections Kit,LEGO® SERIOUS PLAY® Connections Kit,LEGO Serious Play,559.99
71170,Starter Pack PLAYSTATION® 3,Starter Pack PLAYSTATION® 3,Starter Pack PLAYSTATION® 3,Dimensions,0
71171,Starter Pack PLAYSTATION® 4,Starter Pack PLAYSTATION® 4,Starter Pack PLAYSTATION® 4,Dimensions,0
71172,Starter Pack Xbox One™,Starter Pack Xbox One™,Starter Pack Xbox One™,Dimensions,0
71173,Starter Pack Xbox 360®,Starter Pack Xbox 360®,Starter Pack Xbox 360®,Dimensions,0
71174,Starter Pack Wii U™,Starter Pack Wii U™,Starter Pack Wii U™,Dimensions,0
71201,Back to the Future™ Level Pack,Back to the Future™ Level Pack,Back to the Future™ Level Pack,Dimensions,29.99
71202,The Simpsons™ Level Pack,The Simpsons™ Level Pack,The Simpsons™ Level Pack,Dimensions,29.99
71203,Portal® 2 Level Pack,Portal® 2 Level Pack,Portal® 2 Level Pack,Dimensions,29.99
71204,Doctor Who Level Pack,Doctor Who Level Pack,Doctor Who Level Pack,Dimensions,29.99
71205,Jurassic World™ Team Pack,Jurassic World™ Team Pack,Jurassic World™ Team Pack,Dimensions,29.99
71206,Scooby-Doo!™ Team Pack,Scooby-Doo!™ Team Pack,Scooby-Doo!™ Team Pack,Dimensions,29.99
71207,NINJAGO™ Team Pack,NINJAGO™ Team Pack,NINJAGO™ Team Pack,Dimensions,29.99
71209,Wonder Woman™ Fun Pack,Wonder Woman™ Fun Pack,Wonder Woman™ Fun Pack,Dimensions,17.99
