Unique Product Code,Product name,Brand,Product Group,Stock Availability?,Product URL,Image URL
SHIMELRR2250000BSHSS,Dura Ace Di2 9070 11Spd Rear Gear SS (Short)                                                        ,Shimano                                           ,ELECTRONIC DERAILLEUR REAR                        ,yes,http://www.ribblecycles.co.uk/shimano-dura-ace-di2-9070-11spd-rear-gear/,
SHIMWHFR202BK00HG450,Pr Whls R501 Std Spoke Clin Black 8/9/10 Shim                                                       ,Shimano                                           ,WHEELS FACTORY ROAD / TRI                         ,yes,http://www.ribblecycles.co.uk/shimano-pr-whls-r501-standard-spoke-clincher/,
CAMPGRRR929000000000,Chorus 11Spd Rear Derailleur                                                                        ,Campagnolo                                        ,GEARS REAR-ROAD                                   ,yes,http://www.ribblecycles.co.uk/campagnolo-chorus-11spd-rear-derailleur/,
CAMPGRSS983BK0000000,Ultrashift Ergos Super Record 11Spd w/cbls Black                                                    ,Campagnolo                                        ,GEARSHIFT/BRAKE LEVER SETS - ROAD                 ,no,http://www.ribblecycles.co.uk/campagnolo-ultrashift-ergos-super-record-11spd-w-cbls/,
ASSOZBBS380BK00LG000,T Equipe S7 Bib Shorts Black LG                                                                     ,Assos                                             ,BIB SHORTS                                        ,yes,http://www.ribblecycles.co.uk/assos-t-equipe-s7-bib-shorts/,
SHIMCHAR164000072340,105 Black 5800 11Spd Chainset Compact 172.5 34/50                                                   ,Shimano                                           ,CHAINSETS ROAD                                    ,yes,http://www.ribblecycles.co.uk/shimano-105-black-5800-11spd-chainset/,
FULCWHFR260BKWHHG450,Pair Wheels Racing 3 Black/White 9/10/11 Shim                                                       ,Fulcrum                                           ,WHEELS FACTORY ROAD / TRI                         ,yes,http://www.ribblecycles.co.uk/fulcrum-pair-wheels-racing-3/,
SHIMELBA205000000000,Di2 Internal Fit Battery 7.4V                                                                       ,Shimano                                           ,BATTERIES / POWER UNITS                           ,yes,http://www.ribblecycles.co.uk/shimano-di2-internal-fit-battery-7-4v/,
SHIMGRRR463000000000,Dura Ace 9000 11Spd Rear Gear SS                                                                    ,Shimano                                           ,GEARS REAR-ROAD                                   ,yes,http://www.ribblecycles.co.uk/shimano-dura-ace-9000-11spd-rear-gear-ss/,
SHIMELCB2000000ININB,Di2 Cableset Internal for internal batt                                                             ,Shimano                                           ,ELECTRONIC CABLESETS                              ,yes,http://www.ribblecycles.co.uk/shimano-di2-cableset/,
SHIMWHFR3960000HG475,Pr Whls RS81 C35 Carb Clincher 10/11 Shim                                                           ,Shimano                                           ,WHEELS FACTORY ROAD / TRI                         ,yes,http://www.ribblecycles.co.uk/shimano-pr-whls-rs81-c35-carb-clincher/,
SHIMELRR2050000CMDGS,Ultegra Di2 6870 11Spd Rear Gear GS (Medium)                                                        ,Shimano                                           ,ELECTRONIC DERAILLEUR REAR                        ,yes,http://www.ribblecycles.co.uk/shimano-ultegra-di2-6870-11spd-rear-gear/,
CAMPGRRR943000000000,Super Record 11Spd Rear Derailleur                                                                  ,Campagnolo                                        ,GEARS REAR-ROAD                                   ,yes,http://www.ribblecycles.co.uk/campagnolo-super-record-11spd-rear-derailleur/,
SHIMGRRR5280000BSHSS,105 Black (5800) 11Spd Rear Gear Short (SS)                                                         ,Shimano                                           ,GEARS REAR-ROAD                                   ,yes,http://www.ribblecycles.co.uk/shimano-105-black-5800-11spd-rear-gear/,
ASSOZBBS380BK00CMD00,T Equipe S7 Bib Shorts Black MD                                                                     ,Assos                                             ,BIB SHORTS                                        ,yes,http://www.ribblecycles.co.uk/assos-t-equipe-s7-bib-shorts/,
SHIMCHAI190000000000,11Spd 5800 (HG600 105 Chain)                                                                        ,Shimano                                           ,CHAINS                                            ,yes,http://www.ribblecycles.co.uk/shimano-11spd-5800-hg600-105-chain/,
CAMPWHFR3430000ED150,Pr Whl Shamal Ultra Blk D Lbl Cli 10/11Camp0135347                                                  ,Campagnolo                                        ,WHEELS FACTORY ROAD / TRI                         ,no,http://www.ribblecycles.co.uk/campagnolo-pr-whls-shamal-ultra-blk-dark-label-cli/,
SHIMCASS931000011320,11 Spd Ultegra 6800 Cassette 11-32                                                                  ,Shimano                                           ,CASSETTES-ROAD                                    ,yes,http://www.ribblecycles.co.uk/shimano-11-spd-ultegra-6800-cassette/,
SHIMCHAR202000072340,Dura Ace 9000 11Spd Chainset 172.5 34/50                                                            ,Shimano                                           ,CHAINSETS ROAD                                    ,yes,http://www.ribblecycles.co.uk/shimano-dura-ace-9000-11spd-chainset/,
SHIMWHFR366BKRDHG500,Pr Whls RS11 Clincher Black/Red 8/9/10/11 Shim                                                      ,Shimano                                           ,WHEELS FACTORY ROAD / TRI                         ,yes,http://www.ribblecycles.co.uk/shimano-pr-whls-rs11-clincher/,
SHIMBTBR7440000600BS,BB-R60 11 Speed Cups (Ultegra 6800/105 5800) Eng                                                    ,Shimano                                           ,BOTTOM BRACKETS-ROAD                              ,yes,http://www.ribblecycles.co.uk/shimano-bb-r60-11-speed-cups-ultegra-6800-105-5800/,
