Code,Site,Category,Brand,Name,URL,Price,Screen Size
101822,A. Schlageter,Fischfinder & Combi Echolote,Garmin,Garmin GPSMap 1020xs Chirp 10 Zoll mit Airmar B150m Durchbruchgeber Bronze CHIRP,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Garmin/GPSMap-Serie-Combi/Garmin-GPSMap-1020xs-Chirp-10-Zoll--10957.html,2318,"10"""
101822,A. Schlageter,Fischfinder & Combi Echolote,Garmin,Garmin GPSMap 1020xs Chirp 10 Zoll mit Top Servicepaket,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Garmin/GPSMap-Serie-Combi/Garmin-GPSMap-1020xs-Chirp-10-Zoll--10957.html,2008.9,"10"""
101828,A. Schlageter,Fischfinder & Combi Echolote,Garmin,Garmin echo 301dv 2D und DownVü Echolot,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Garmin/Echo-Serie-Fischfinder/Garmin-echo-301dv-2D-und-DownVue-Echolot--11110.html,267.9,"3"""
101828,A. Schlageter,Fischfinder & Combi Echolote,Garmin,Garmin echo 301dv 2D und DownVü Echolot mit Top Servicepaket,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Garmin/Echo-Serie-Fischfinder/Garmin-echo-301dv-2D-und-DownVue-Echolot--11110.html,287.8,"3"""
101645,A. Schlageter,Fischfinder & Combi Echolote,Garmin,Garmin GPSMap 527xs Fischfinder mit GPS / Chirp möglich,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Garmin/GPSMap-Serie-Combi/Garmin-GPSMap-527xs-Fischfinder-mit-GPS-Chirp-moeglich--10669.html,759,"5"""
101645,A. Schlageter,Fischfinder & Combi Echolote,Garmin,Garmin GPSMap 527xs Fischfinder mit GPS / Chirp möglich mit Airmar TM150m 300W CHIRP (unser Tipp),http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Garmin/GPSMap-Serie-Combi/Garmin-GPSMap-527xs-Fischfinder-mit-GPS-Chirp-moeglich--10669.html,1008.9,"5"""
101645,A. Schlageter,Fischfinder & Combi Echolote,Garmin,Garmin GPSMap 527xs Fischfinder mit GPS / Chirp möglich mit Airmar P66 Geber,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Garmin/GPSMap-Serie-Combi/Garmin-GPSMap-527xs-Fischfinder-mit-GPS-Chirp-moeglich--10669.html,898.9,"5"""
010-10253-00,A. Schlageter,Echolotzubehör & Portabelsets,Garmin,Garmin Saugnapf für Echo Serie,http://www.angel-schlageter.de/Echolote-Navigation/Echolotzubehoer-Portabelsets/Geberstangen-und-Saugnaepfe/Saugnaepfe/Garmin-Saugnapf-fuer-Echo-Serie--10776.html ,19.9,Other
101749,A. Schlageter,Autopiloten,Garmin,"Garmin Hydraulikpumpe 2,1ltr. für Autopilot GHP",http://www.angel-schlageter.de/Echolote-Navigation/Autopiloten/Garmin/Einzelkomponenten/Garmin-Hydraulikpumpe-21ltr-fuer-Autopilot-GHP--11287.html,899,AutoPilot
103104,A. Schlageter,Fischfinder & Combi Echolote,Garmin,Garmin GPSMAP 7410xsv mit Panoptix P30 Down,http://www.angel-schlageter.de/Echolote-GPS/Fischfinder-Combi-Echolote/Echolot-Empfehlungen/Garmin-GPSMAP-7410xsv-mit-Panoptix-P30-Down--12655.html,3599,"10"""
103104,A. Schlageter,Fischfinder & Combi Echolote,Garmin,Garmin GPSMAP 7410xsv mit Panoptix P30 Down mit Top Servicepaket,http://www.angel-schlageter.de/Echolote-GPS/Fischfinder-Combi-Echolote/Echolot-Empfehlungen/Garmin-GPSMAP-7410xsv-mit-Panoptix-P30-Down--12655.html,3628.9,"10"""
010-01284-01,A. Schlageter,Fischfinder & Combi Echolote,Garmin,Garmin PANOPTIX PS31 FORWARD Schwinger mit Top Servicepaket,http://www.angel-schlageter.de/Echolote-GPS/Fischfinder-Combi-Echolote/Garmin/PanOptix-Systeme/Garmin-PANOPTIX-PS31-FORWARD-Schwinger--12637.html,1328.9,N/A
010-01284-01,A. Schlageter,Fischfinder & Combi Echolote,Garmin,Garmin PANOPTIX PS31 FORWARD Schwinger,http://www.angel-schlageter.de/Echolote-GPS/Fischfinder-Combi-Echolote/Garmin/PanOptix-Systeme/Garmin-PANOPTIX-PS31-FORWARD-Schwinger--12637.html,1299,N/A
010-01284-00,A. Schlageter,Fischfinder & Combi Echolote,Garmin,Garmin PANOPTIX PS30 DOWN Schwinger mit Top Servicepaket,http://www.angel-schlageter.de/Echolote-GPS/Fischfinder-Combi-Echolote/Echolot-Empfehlungen/Garmin-PANOPTIX-PS30-DOWN-Schwinger--12636.html,1328.9,N/A
010-01284-00,A. Schlageter,Fischfinder & Combi Echolote,Garmin,Garmin PANOPTIX PS30 DOWN Schwinger,http://www.angel-schlageter.de/Echolote-GPS/Fischfinder-Combi-Echolote/Echolot-Empfehlungen/Garmin-PANOPTIX-PS30-DOWN-Schwinger--12636.html,1299,N/A
102198,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird 678cx HD - Modell 2015,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/600-Serie/Humminbird-678cx-HD-Modell-2015--11376.html,419,"5"""
102202,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird 688cxi HD DI Combo - Modell 2015,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/600-Serie/Humminbird-688cxi-HD-DI-Combo-Modell-2015--11380.html,619,"5"""
101574,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird PiranhaMAX 153x - Fischfinder,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/PiranhaMAX-2014-Modelle/Humminbird-PiranhaMAX-153x-Fischfinder--10600.html,94.9,"4"""
102002,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird ONIX 8ci Si Touch Echolot mit GPS - Modell 2015,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Onix-Serie/Humminbird-ONIX-8ci-Si-Touch-Echolot-mit-GPS-Modell-2015--11174.html,2949,"8"""
102203,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird 688cxi HD XD Combo - Modell 2015,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/600-Serie/Humminbird-688cxi-HD-XD-Combo-Modell-2015--11381.html,619,"5"""
720071-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird AS SW Y,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-AS-SW-Y--3709.html,35.9,other
101577,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird PiranhaMAX 195cx - Color Fischfinder mit Service,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/PiranhaMAX-2014-Modelle/Humminbird-PiranhaMAX-195cx-Color-Fischfinder--10603.html,225.8,"3"""
101577,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird PiranhaMAX 195cx - Color Fischfinder,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/PiranhaMAX-2014-Modelle/Humminbird-PiranhaMAX-195cx-Color-Fischfinder--10603.html,195.9,"3"""
101575,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird PiranhaMAX 165x - Fischfinder mit Service,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/PiranhaMAX-2014-Modelle/Humminbird-PiranhaMAX-165x-Fischfinder--10601.html,145.8,"3"""
101575,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird PiranhaMAX 165x - Fischfinder,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/PiranhaMAX-2014-Modelle/Humminbird-PiranhaMAX-165x-Fischfinder--10601.html,115.9,"3"""
101576,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird PiranhaMAX 175x - Fischfinder mit Service,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/PiranhaMAX-2014-Modelle/Humminbird-PiranhaMAX-175x-Fischfinder--10602.html,159.8,"3"""
101576,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird PiranhaMAX 175x - Fischfinder,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/PiranhaMAX-2014-Modelle/Humminbird-PiranhaMAX-175x-Fischfinder--10602.html,129.9,"3"""
408260-1m,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird 1159cxi DI Echolot mit DownScan - Modell 2015,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/1100-Serie/Humminbird-1159cxi-DI-Echolot-mit-DownScan-Modell-2015--10195.html,2449,"10"""
740106-1,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird MS PM,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/Humminbird-ZubehoerErsatzteile/Humminbird-MS-PM--3674.html,39.95,other
102201,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird 688cxi HD Combo - Modell 2015,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/600-Serie/Humminbird-688cxi-HD-Combo-Modell-2015--11379.html,529,"5"""
101435,A. Schlageter,Radaranlagen,Humminbird,Humminbird Radar Antenne 2kw,http://www.angel-schlageter.de/Echolote-Navigation/Radaranlagen/Antennen/Humminbird-Radar-Antenne-2kw--10498.html,1720,radar
101584,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird 571x HD DI Echolot mit Down Imaging,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/500-Serie-2013-Modelle/Humminbird-571x-HD-DI-Echolot-mit-Down-Imaging--10610.html,355.9,"5"""
408250-1m,A. Schlageter,Fischfinder & Combi Echolote,Humminbird,Humminbird 959cx DI Echolot mit DownScan - Modell 2015,http://www.angel-schlageter.de/Echolote-Navigation/Fischfinder-Combi-Echolote/Humminbird/900-Serie/Humminbird-959cx-DI-Echolot-mit-DownScan-Modell-2015--10194.html,1469,"8"""
