sku,category,id,ean,name,launch,available,price
41100,LEGO® Friends,,,L'avion privé de Heartlake City,,,26.99
41101,LEGO® Friends,,,Le grand hôtel de Heartlake City,,,139.99
41103,LEGO® Friends,,,Le studio d'enregistrement,,,14.99
41104,LEGO® Friends,,,La loge de la chanteuse,,,29.99
41105,LEGO® Friends,,,La scène de la chanteuse,,,44.99
41106,LEGO® Friends,,,La tournée en bus,,,59.99
41107,LEGO Friends,,,Pop Star Limo,,,24.99
41108,LEGO Friends,,,Heartlake Food Market,,,39.99
41109,LEGO Friends,,,Heartlake Airport,,,89.99
41110,LEGO Friends,,,Birthday Party,,,19.99
41111,LEGO Friends,,,Party Train,,,9.99
41112,LEGO Friends,,,Party Cakes,,,4.99
41113,LEGO Friends,,,Party Gift Shop,,,4.99
41114,LEGO Friends,,,Party Styling,,,4.99
41115,LEGO Friends,,,Emma's Creative Workshop,,,9.99
41116,LEGO Friends,,,Olivia's Exploration Car,,,14.99
41117,LEGO Friends,,,Pop Star TV Studio,,,19.99
41118,LEGO Friends,,,Heartlake Supermarket,,,34.99
41119,LEGO Friends,,,Heartlake Cupcake Café,,,39.99
41120,LEGO Friends,,,Adventure Camp Archery,,,9.99
41121,LEGO Friends,,,Adventure Camp Rafting,,,29.99
41122,LEGO Friends,,,Adventure Camp Tree House,,,74.99
41123,LEGO Friends,,,Foal's Washing Station,,,9.99
41124,LEGO Friends,,,Heartlake Puppy Daycare,,,29.99
41125,LEGO Friends,,,Horse Vet Trailer,,,39.99
41126,LEGO Friends,,,Heartlake Riding Club,,,64.99
41127,LEGO Friends,,,Amusement Park Arcade,,,14.99
41128,LEGO Friends,,,Amusement Park Space Ride,,,19.99
41129,LEGO Friends,,,Amusement Park Hot Dog Van,,,29.99
41130,LEGO Friends,,,Amusement Park Roller Coaster,,,99.99
41131,LEGO Friends,,,LEGO Friends Advent Calendar 2016,,,19.99
41132,LEGO Friends,,,Heartlake Party Shop,,,29.99
41133,LEGO Friends,,,Amusement Park Bumper Cars,,,39.99
41134,LEGO Friends,,,Heartlake Performance School,,,79.99
41135,LEGO Friends,,,Livi's Pop Star House,,,54.99
66537,LEGO Friends,,,LEGO Friends Value Pack,,,29.99
66539,LEGO Friends,,,LEGO Friends VP,,,64.99
5000463,LE Preschool,,,4004 LEGO® Storage Brick 8 (2x4 Stud) Re,,,0
5001267,LE Preschool,,,4004 LEGO® Storage Brick 8 (2x4 Stud) Ye,,,0
9071,LE Preschool,,,Building Plates,,,30.99
9286,LE Preschool,,,Large Building Plates Set,,,29.99
9348,LE Preschool,,,Community Minifigure Set,,,47.99
9349,LE Preschool,,,Fairytale and Historic Minifigure Set,,,47.99
9386,LE Preschool,,,"Doors, Windows & Roof Tiles",,,40.5
9387,LE Preschool,,,Wheels Set,,,38.5
