Unique product code,Product name,Brand,Category,Price,RRP,Shipping cost,Cost price,Stock availability,Product page URL,EAN
150151,SILENTNIGHT EGYPTIAN COTTON 4.5 TOG DUVET - KING,Silentnight,DUVETS,39.99,,Free Shipping,12.87,In Stock,https://www.sleepypeople.com/silentnight-egyptian-cotton-duvet-4-5-tog.html,5012701217606
312349GE,SILENTNIGHT ANTI ALLERGY 10.5 TOG DUVET - SUPER KING,Silentnight,DUVETS,28.99,,Free Shipping,8.19,Out Of Stock,https://www.sleepypeople.com/silentnight-anti-allergy-duvet-10-5-tog.html,5012701312349
345217GE,SILENTNIGHT MEMORY FOAM TRADITIONAL PILLOW,Silentnight,PILLOWS,17.99,,Free Shipping,3.56,Out Of Stock,https://www.sleepypeople.com/silentnight-memory-foam-traditional-pillow.html,5012701286435
415071EB,SILENTNIGHT FEBREZE SOFT TOUCH MATTRESS PROTECTOR - DOUBLE,Silentnight,PROTECTORS,19.99,,Free Shipping,4.4,In Stock,https://www.sleepypeople.com/silentnight-febreze-soft-touch-mattress-protector.html,5012701415071
357920GP,SILENTNIGHT IMPRESS 2.5CM MEMORY FOAM MATTRESS TOPPER - SUPER KING,Silentnight,MATTRESS TOPPERS,54.99,,Free Shipping,19.071,Out Of Stock,https://www.sleepypeople.com/silentnight-impress-memory-foam-mattress-topper-2-5cm.html,5012701357920
415064EB,SILENTNIGHT FEBREZE SOFT TOUCH MATTRESS PROTECTOR - SINGLE,Silentnight,PROTECTORS,17.99,,Free Shipping,3.53,In Stock,https://www.sleepypeople.com/silentnight-febreze-soft-touch-mattress-protector.html,5012701415064
419673LS,SILENTNIGHT DUCK FEATHER 10.5 TOG DUVET - KING,Silentnight,DUVETS,57.99,,Free Shipping,20.241,In Stock,https://www.sleepypeople.com/silentnight-duck-feather-duvet-10-5-tog.html,5012701419673
275071LS,SILENTNIGHT DUCK FEATHER AND DOWN MATTRESS TOPPER - DOUBLE,Silentnight,MATTRESS TOPPERS,57.99,,Free Shipping,20.15,In Stock,https://www.sleepypeople.com/silentnight-duck-feather-and-down-mattress-topper.html,5012701275071
298919TJ,SILENTNIGHT MEMORY FOAM CONTOUR 3CM MATTRESS TOPPER - DOUBLE,Silentnight,MATTRESS TOPPERS,60.99,,Free Shipping,21.307,In Stock,https://www.sleepypeople.com/silentnight-memory-foam-contour-mattress-topper-3cm.html,5012701298902
150029,SILENTNIGHT POCKET SPRUNG PILLOW,Silentnight,PILLOWS,26.99,,Free Shipping,7.15,In Stock,https://www.sleepypeople.com/silentnight-pocket-sprung-pillow.html,5012701226356
275088LS,SILENTNIGHT DUCK FEATHER AND DOWN MATTRESS TOPPER - KING,Silentnight,MATTRESS TOPPERS,62.99,,Free Shipping,21.85,In Stock,https://www.sleepypeople.com/silentnight-duck-feather-and-down-mattress-topper.html,5012701275088
419710LS,SILENTNIGHT DUCK FEATHER 13.5 TOG DUVET - KING,Silentnight,DUVETS,32.99,,Free Shipping,21.398,In Stock,https://www.sleepypeople.com/silentnight-duck-feather-duvet-13-5-tog.html,5012701419710
209046,SILENTNIGHT IMPRESS MEMORY FOAM CONTOUR PILLOW - MEDIUM,Silentnight,PILLOWS,28.99,,Free Shipping,7.8625,In Stock,https://www.sleepypeople.com/silentnight-impress-memory-foam-contour-pillow-medium.html,5012701210010
372312EB,SILENTNIGHT ULTRABOUNCE PILLOW - 4 PACK,Silentnight,PILLOWS,20.99,,Free Shipping,4.58,In Stock,https://www.sleepypeople.com/silentnight-ultrabounce-pillow-4-pack.html,5012701372312
201058,SILENTNIGHT IMPRESS 5CM MEMORY FOAM MATTRESS TOPPER - KING,Silentnight,MATTRESS TOPPERS,99.99,,Free Shipping,36.74,In Stock,https://www.sleepypeople.com/silentnight-impress-memory-foam-mattress-topper-5cm.html,5012701201674
419680LS,SILENTNIGHT DUCK FEATHER 10.5 TOG DUVET - SUPER KING,Silentnight,DUVETS,64.99,,Free Shipping,22.412,In Stock,https://www.sleepypeople.com/silentnight-duck-feather-duvet-10-5-tog.html,5012701419680
389976MA,SILENTNIGHT EGYPTIAN COTTON MATTRESS PROTECTOR - SINGLE,Silentnight,PROTECTORS,18.99,,Free Shipping,3.705,In Stock,https://www.sleepypeople.com/silentnight-egyptian-cotton-mattress-protector.html,5012701389976
419727LS,SILENTNIGHT DUCK FEATHER 13.5 TOG DUVET - SUPER KING,Silentnight,DUVETS,38.99,,Free Shipping,25.896,In Stock,https://www.sleepypeople.com/silentnight-duck-feather-duvet-13-5-tog.html,5012701419727
298926TJ,SILENTNIGHT MEMORY FOAM CONTOUR 3CM MATTRESS TOPPER - KING,Silentnight,MATTRESS TOPPERS,70.99,,Free Shipping,24.57,In Stock,https://www.sleepypeople.com/silentnight-memory-foam-contour-mattress-topper-3cm.html,5012701298926
389983MA,SILENTNIGHT EGYPTIAN COTTON MATTRESS PROTECTOR - DOUBLE,Silentnight,PROTECTORS,22.99,,Free Shipping,5.2,In Stock,https://www.sleepypeople.com/silentnight-egyptian-cotton-mattress-protector.html,5012701389983
374996GE,SILENTNIGHT GOOSE FEATHER PILLOW - 2 PILLOWS,Silentnight,PILLOWS,25.99,,Free Shipping,6.37,In Stock,https://www.sleepypeople.com/silentnight-luxury-goose-feather-pillow.html,5012701374996
326919AG,SILENTNIGHT HEATED MATTRESS COVER - DOUBLE,Silentnight,BEDDING > ELECTRIC BLANKETS,77.99,,Free Shipping,27.09,Out Of Stock,https://www.sleepypeople.com/silentnight-comfort-control-heated-mattress-cover.html,5012701326919
150174,SILENTNIGHT WATERPROOF MATTRESS PROTECTOR - DOUBLE,Silentnight,PROTECTORS,14.99,,Free Shipping,1.963,In Stock,https://www.sleepypeople.com/silentnight-waterproof-mattress-protector.html,5012701217835
150169,SILENTNIGHT QUILTED MATTRESS PROTECTOR - KING,Silentnight,PROTECTORS,19.99,,Free Shipping,3.9,In Stock,https://www.sleepypeople.com/silentnight-quilted-mattress-protector.html,5012701217781
406703GE,SILENTNIGHT JUST LIKE DOWN MICROFIBRE PILLOW - 2 PACK,Silentnight,PILLOWS,18.99,,Free Shipping,3.5,In Stock,https://www.sleepypeople.com/silentnight-just-like-down-microfibre-pillow.html,5012701315326
201057,SILENTNIGHT IMPRESS 5CM MEMORY FOAM MATTRESS TOPPER - DOUBLE,Silentnight,MATTRESS TOPPERS,94.99,,Free Shipping,33.475,In Stock,https://www.sleepypeople.com/silentnight-impress-memory-foam-mattress-topper-5cm.html,5012701201667
