Product No.,Item no,Item Description English, Local Launch, Local          Exit,Product Category,Theme,RRP price EUR
41093,41093,Heartlake Hair Salon,,,,LEGO Friends,32.99
41094,41094,Heartlake Lighthouse,,,,LEGO Friends,44.99
41095,41095,Emma’s House,,,,LEGO Friends,74.99
41097,41097,Heartlake Hot Air Balloon,,,,LEGO Friends,32.99
41099,41099,Heartlake Skate Park,,,LEGO Friends,LEGO Friends,19.99
41100,41100,Heartlake Private Jet,,,LEGO Friends,LEGO Friends,26.99
41101,41101,Heartlake Grand Hotel,,,LEGO Friends,LEGO Friends,139.99
41103,41103,Pop Star Recording Studio,,,LEGO Friends,LEGO Friends,14.99
41104,41104,Pop Star Dressing Room,,,LEGO Friends,LEGO Friends,32.99
41105,41105,Pop Star Show Stage,,,LEGO Friends,LEGO Friends,49.99
41106,41106,Pop Star Tour Bus,,,LEGO Friends,LEGO Friends,64.99
41107,41107,Pop Star Limo,,,,LEGO Friends,26.99
41108,41108,Heartlake Food Market,,,,LEGO Friends,44.99
41109,41109,Heartlake Airport,,,,LEGO Friends,99.99
41110,41110,Birthday Party,,,,LEGO Friends,19.99
41111,41111,Party Train,,,,LEGO Friends,9.99
41112,41112,Party Cakes,,,,LEGO Friends,5.99
41113,41113,Party Gift Shop,,,,LEGO Friends,5.99
41114,41114,Party Styling,,,,LEGO Friends,5.99
41115,41115,Emma's Creative Workshop,,,,LEGO Friends,9.99
41116,41116,Olivia's Exploration Car,,,,LEGO Friends,17.99
41117,41117,Pop Star TV Studio,,,,LEGO Friends,19.99
41118,41118,Heartlake Supermarket,,,,LEGO Friends,34.99
41119,41119,Heartlake Cupcake Café,,,,LEGO Friends,44.99
41120,41120,Adventure Camp Archery,,,,LEGO Friends,9.99
41121,41121,Adventure Camp Rafting,,,,LEGO Friends,34.99
41122,41122,Adventure Camp Tree House,,,,LEGO Friends,79.99
41123,41123,Foal's Washing Station,,,,LEGO Friends,9.99
41124,41124,Heartlake Puppy Daycare,,,,LEGO Friends,34.99
41125,41125,Horse Vet Trailer,,,,LEGO Friends,39.99
41126,41126,Heartlake Riding Club,,,,LEGO Friends,69.99
41127,41127,Amusement Park Arcade,,,,LEGO Friends,17.99
41128,41128,Amusement Park Space Ride,,,,LEGO Friends,19.99
41129,41129,Amusement Park Hot Dog Van,,,,LEGO Friends,29.99
41130,41130,Amusement Park Roller Coaster,,,,LEGO Friends,99.99
41131,41131,LEGO Friends Advent Calendar 2016,,,,LEGO Friends,24.99
41132,41132,Heartlake Party Shop,,,,LEGO Friends,34.99
41133,41133,Amusement Park Bumper Cars,,,,LEGO Friends,44.99
41134,41134,Heartlake Performance School,,,,LEGO Friends,89.99
41135,41135,Livi's Pop Star House,,,,LEGO Friends,59.99
66537,66537,LEGO Friends Value Pack,,,,LEGO Friends,29.99
66539,66539,LEGO Friends VP,,,,LEGO Friends,69.99
9071,9071,Building Plates,,,LE Preschool,LE Preschool,31.5
9286,9286,Large Building Plates Set,,,LE Preschool,LE Preschool,29.5
9348,9348,Community Minifigure Set,,,LE Preschool,LE Preschool,48.5
9349,9349,Fairytale and Historic Minifigure Set,,,LE Preschool,LE Preschool,48.5
9386,9386,"Doors, Windows & Roof Tiles",,,LE Preschool,LE Preschool,40.99
9387,9387,Wheels Set,,,LE Preschool,LE Preschool,38.5
45500,45500,EV3 Intelligent Brick,,,MINDSTORMS Education,MINDSTORMS Education,199.99
45501,45501,EV3 Rechargeable DC Battery,,,MINDSTORMS Education,MINDSTORMS Education,109.99
45502,45502,EV3 Large Servo Motor,,,MINDSTORMS Education,MINDSTORMS Education,29.99
45503,45503,EV3 Medium Servo Motor,,,MINDSTORMS Education,MINDSTORMS Education,26.99
45504,45504,EV3 Ultrasonic Sensor,,,MINDSTORMS Education,MINDSTORMS Education,34.99
45505,45505,EV3 Gyro Sensor,,,MINDSTORMS Education,MINDSTORMS Education,34.99
45506,45506,EV3 Color Sensor,,,MINDSTORMS Education,MINDSTORMS Education,34.99
45507,45507,EV3 Touch Sensor,,,MINDSTORMS Education,MINDSTORMS Education,19.99
45508,45508,EV3 Infrared Beacon,,,MINDSTORMS Education,MINDSTORMS Education,34.99
45509,45509,EV3 Infrared Sensor,,,MINDSTORMS Education,MINDSTORMS Education,34.99
45514,45514,EV3 Cable Pack,,,MINDSTORMS Education,MINDSTORMS Education,17.99
45517,45517,Transformer 10V DC,,,MINDSTORMS Education,MINDSTORMS Education,29.99
60100,60100,Airport Starter Set,,,,City Airport,9.99
60101,60101,Airport Cargo Plane,,,,City Airport,19.99
60102,60102,Airport VIP Service,,,,City Airport,54.99
60103,60103,Airport Air Show,,,,City Airport,89.99
60104,60104,Airport Passenger Terminal,,,,City Airport,109.99
60090,60090,Deep Sea Scuba Scooter,,,City Deep Sea Explorers,City Deep Sea Explorers,5.99
60091,60091,Deep Sea Starter Set,,,City Deep Sea Explorers,City Deep Sea Explorers,9.99
60092,60092,Deep Sea Submarine,,,City Deep Sea Explorers,City Deep Sea Explorers,32.99
60093,60093,Deep Sea Helicopter,,,City Deep Sea Explorers,City Deep Sea Explorers,54.99
60095,60095,Deep Sea Exploration Vessel,,,City Deep Sea Explorers,City Deep Sea Explorers,109.99
60096,60096,Deep Sea Operation Base,,,,City Deep Sea Explorers,84.99
60072,60072,Demolition Starter Set,,,,City Demolition,9.99
60073,60073,Service Truck,,,,City Demolition,19.99
60074,60074,Bulldozer,,,,City Demolition,32.99
60076,60076,Demolition Site,,,,City Demolition,69.99
60105,60105,Fire ATV,,,,City Fire,5.99
60106,60106,Fire Starter Set,,,,City Fire,9.99
60107,60107,Fire Ladder Truck,,,,City Fire,19.99
60108,60108,Fire Response Unit,,,,City Fire,34.99
60109,60109,Fire Boat,,,,City Fire,79.99
60110,60110,Fire Station,,,,City Fire,99.99
60111,60111,Fire Utility Truck,,,,City Fire,39.99
60112,60112,Fire Engine,,,,City Fire,44.99
66541,66541,LEGO City VP_2,,,,City Fire,0
60081,60081,Pickup Tow Truck,,,,City Great Vehicles,19.99
60084,60084,Racing Bike Transporter,,,,City Great Vehicles,19.99
60085,60085,4x4 with Powerboat,,,,City Great Vehicles,32.99
60113,60113,Rally Car,,,,City Great Vehicles,9.99
60114,60114,Race Boat,,,,City Great Vehicles,9.99
60115,60115,4 x 4 Off Roader,,,,City Great Vehicles,19.99
60116,60116,Ambulance Plane,,,,City Great Vehicles,19.99
60117,60117,Van & Caravan,,,,City Great Vehicles,19.99
60118,60118,Garbage Truck,,,,City Great Vehicles,19.99
60119,60119,Ferry,,,,City Great Vehicles,32.99
60120,60120,Volcano Starter Set,,,,City In/Out,9.99
60121,60121,Volcano Exploration Truck,,,,City In/Out,19.99
60122,60122,Volcano Crawler,,,,City In/Out,29.99
60123,60123,Volcano Supply Helicopter,,,,City In/Out,54.99
60124,60124,Volcano Exploration Base,,,,City In/Out,109.99
60125,60125,Volcano Heavy-lift Helicopter,,,,City In/Out,139.99
66540,66540,LEGO City VP_1,,,,City In/Out,0
60044,60044,Mobile Police Unit,,,,City Police,29.99
60047,60047,Police Station,,,,City Police,99.99
60067,60067,Helicopter Pursuit,,,,City Police,32.99
60069,60069,Swamp Police Station,,,,City Police,69.99
60071,60071,Hovercraft Arrest,,,,City Police,44.99
60126,60126,Tire Escape,,,,City Police,5.99
60127,60127,Prison Island Starter Set,,,,City Police,9.99
60128,60128,Police Pursuit,,,,City Police,19.99
60129,60129,Police Patrol Boat,,,,City Police,44.99
60130,60130,Prison Island,,,,City Police,89.99
60131,60131,Crooks Island,,,,City Police,34.99
60077,60077,Space Starter Set,,,City Space Port,City Space Port,9.99
60078,60078,Utility Shuttle,,,City Space Port,City Space Port,19.99
60079,60079,Training Jet Transporter,,,City Space Port,City Space Port,54.99
60080,60080,Spaceport,,,City Space Port,City Space Port,94.99
7280,7280,Rechte wegenplaten en kruising,01/06/2005,,,City Supplementary,9.99
7281,7281,T-kruising en bocht,01/06/2005,,,City Supplementary,9.99
60097,60097,City Square,,,City Town,City Town,169.99
60132,60132,Service Station,,,,City Town,79.99
60133,60133,LEGO® City Advent Calendar,,,,City Town,24.99
60134,60134,Fun in the park - City People Pack,,,,City Town,44.99
60050,60050,Treinstation,01/08/2014,,,City Trains,54.99
60051,60051,Hogesnelheidstrein,01/08/2014,,,City Trains,119.99
60052,60052,Vrachttrein,01/08/2014,,,City Trains,179.99
60098,60098,Heavy-Haul Train,,,,City Trains,169.99
66493,66493,NL/50066493,01/09/2014,,,City Trains,272.96
7499,7499,Flexibele rails,01/01/2011,,,City Trains,17.99
7895,7895,Wissels,01/08/2006,,,City Trains,19.99
10214,10214,Tower Bridge,01/10/2010,,,Creator Expert,219.99
10218,10218,Dierenwinkel,01/09/2011,,,Creator Expert,149.99
10220,10220,Volkswagen T1 Kampeerbus,01/10/2011,,,Creator Expert,99.99
10232,10232,Palace Cinema,01/06/2013,,,Creator Expert,139.99
10234,10234,Sydney Opera House,01/01/2014,,,Creator Expert,299.99
10242,10242,MINI Cooper,,,,Creator Expert,99.99
10243,10243,Parijs restaurant,01/04/2014,,,Creator Expert,159.99
10244,10244,Kermisattractie,01/10/2014,,,Creator Expert,129.99
10245,10245,Santa's Workshop,,,,Creator Expert,74.99
10246,10246,Detective’s Office,,,,Creator Expert,159.99
10247,10247,Ferris Wheel,,,Creator Expert,Creator Expert,189.99
10248,10248,Ferrari F40,,,Creator Expert,Creator Expert,89.99
10249,10249,Winter Toy Shop,,,Creator Expert,Creator Expert,79.99
10251,10251,Brick Bank,,,,Creator Expert,169.99
10252,10252,Confidential -  Expert 2 2016,,,,Creator Expert,104.99
10253,10253,Confidential - Expert 3 2016,,,,Creator Expert,249.99
10254,10254,Confidential -  Expert 4 2016,,,,Creator Expert,104.99
31027,31027,Blue Racer,,,,LEGO Creator,5.99
31028,31028,Sea Plane,,,,LEGO Creator,5.99
31029,31029,Cargo Heli,,,,LEGO Creator,9.99
31031,31031,Rainforest Animals,,,,LEGO Creator,14.99
31032,31032,Red Creatures,,,,LEGO Creator,14.99
31033,31033,Vehicle Transporter,,,,LEGO Creator,19.99
31034,31034,Future flyers,,,,LEGO Creator,19.99
31035,31035,Beach Hut,,,,LEGO Creator,26.99
31036,31036,Toy & Grocery Shop,,,,LEGO Creator,39.99
31037,31037,Adventure Vehicles,,,LEGO Creator,LEGO Creator,19.99
31038,31038,Changing Seasons,,,LEGO Creator,LEGO Creator,54.99
31039,31039,Blue Power Jet,,,LEGO Creator,LEGO Creator,59.99
31040,31040,Desert Racers,,,,LEGO Creator,5.99
31041,31041,Construction Vehicles,,,,LEGO Creator,5.99
31042,31042,Super Soarer,,,,LEGO Creator,9.99
31043,31043,Chopper Transporter,,,,LEGO Creator,9.99
31044,31044,Park Animals,,,,LEGO Creator,17.99
31045,31045,Ocean Explorer,,,,LEGO Creator,17.99
31046,31046,Fast Car,,,,LEGO Creator,19.99
31047,31047,Propeller Plane,,,,LEGO Creator,19.99
31048,31048,Lakeside Lodge,,,,LEGO Creator,29.99
31049,31049,Twin Spin Helicopter,,,,LEGO Creator,34.99
31050,31050,Corner Deli,,,,LEGO Creator,39.99
