"Product No.","Item no","Item Description English"," Local Launch"," Local          Exit","Product Category","Theme","RRP price EUR","RRP price EUR 2"
44007,6025129,"OGRUM","3/1/2013","7/31/2013","Standard Retail","Hero Factory","12.99","12.99"
44008,6025127,"SURGE","8/1/2013","12/31/2013","Standard Retail","Hero Factory","12.99","12.99"
44010,6025125,"STORMER","8/1/2013","12/31/2013","Standard Retail","Hero Factory","12.99","12.99"
44011,6025123,"FROST BEAST","8/1/2013","12/31/2013","Standard Retail","Hero Factory","12.99","12.99"
44000,6025116,"FURNO XL","3/1/2013","12/31/2013","Standard Retail","Hero Factory","19.99","19.99"
44009,6025114,"DRAGON BOLT","8/1/2013","12/31/2013","Standard Retail","Hero Factory","24.99","24.99"
70200,6025184,"CHI Laval","6/1/2013","5/31/2014","Standard Retail","LOC Constraction","14.99","14.99"
70201,6025179,"CHI Eris","6/1/2013","5/31/2014","Standard Retail","LOC Constraction","14.99","14.99"
70202,6025174,"CHI Gorzan","6/1/2013","5/31/2014","Standard Retail","LOC Constraction","14.99","14.99"
70203,6025171,"CHI Cragger","6/1/2013","5/31/2014","Standard Retail","LOC Constraction","14.99","14.99"
70204,6025169,"CHI Worriz","6/1/2013","5/31/2014","Standard Retail","LOC Constraction","14.99","14.99"
70205,6025163,"CHI Razar","6/1/2013","5/31/2014","Standard Retail","LOC Constraction","14.99","14.99"
60006,6021698,"Police ATV","1/1/2013","12/31/2014","Standard Retail","City Police","5.99","5.99"
60007,6021721,"High Speed Chase","1/1/2013","7/31/2015","Standard Retail","City Police","29.99","29.99"
60008,6021723,"Museum Break-in","1/1/2013","12/31/2015","Standard Retail","City Police","69.99","69.99"
60019,6024965,"Stunt Plane","8/1/2013","12/31/2015","Standard Retail","City Airport","12.99","12.99"
60020,6024971,"Cargo Truck","8/1/2013","12/31/2014","Standard Retail","City Airport","29.99","29.99"
60021,6024976,"Cargo Heliplane","8/1/2013","12/31/2015","Standard Retail","City Airport","44.99","44.99"
60022,6024977,"Cargo Terminal","8/1/2013","12/31/2015","Standard Retail","City Airport","99.99","99.99"
60023,6024997,"LEGO® City Starter Set","6/1/2013","12/31/2014","Standard Retail","City Town","24.99","24.99"
60024,6024999,"LEGO® City Advent Calendar","9/1/2013","12/31/2013","Standard Retail","City Town","22.99","22.99"
60016,6021700,"Tanker Truck","3/1/2013","12/31/2013","Standard Retail","City Great Vehicles","19.99","19.99"
60017,6021681,"Flatbed Truck","3/1/2013","12/31/2014","Standard Retail","City Great Vehicles","19.99","19.99"
60018,6021693,"Cement Mixer","3/1/2013","12/31/2013","Standard Retail","City Great Vehicles","19.99","19.99"
60025,6025046,"Grand Prix Truck","6/1/2013","12/31/2014","Standard Retail","City Great Vehicles","29.99","29.99"
60027,6024995,"Monster Truck Transporter","6/1/2013","12/31/2013","Standard Retail","City Great Vehicles","29.99","29.99"
60000,6021696,"Fire Motorcycle","1/1/2013","12/31/2015","Standard Retail","City Fire","5.99","5.99"
60001,6021676,"Fire Chief Car","1/1/2013","12/31/2014","Standard Retail","City Fire","9.99","9.99"
60002,6021707,"Fire Truck","1/1/2013","12/31/2015","Standard Retail","City Fire","19.99","19.99"
60003,6021709,"Fire Emergency","1/1/2013","12/31/2015","Standard Retail","City Fire","29.99","29.99"
60004,6021713,"Fire Station","1/1/2013","12/31/2015","Standard Retail","City Fire","79.99","79.99"
60011,6024980,"Surfer Rescue","6/1/2013","12/31/2014","Standard Retail","City Coast Guard","5.99","5.99"
60012,6024982,"4x4 & Diving Boat","6/1/2013","12/31/2014","Standard Retail","City Coast Guard","12.99","12.99"
60013,6024984,"Coast Guard Helicopter","6/1/2013","12/31/2013","Standard Retail","City Coast Guard","29.99","29.99"
60014,6024986,"Coast Guard Patrol","6/1/2013","12/31/2014","Standard Retail","City Coast Guard","69.99","69.99"
70400,6024761,"Forest Ambush","8/1/2013","12/31/2014","Standard Retail","Castle","9.99","9.99"
70401,6024764,"Gold Getaway","8/1/2013","12/31/2014","Standard Retail","Castle","19.99","19.99"
70402,6024769,"The Gatehouse Raid","8/1/2013","12/31/2014","Standard Retail","Castle","29.99","29.99"
70403,6024774,"Dragon Mountain","8/1/2013","12/31/2014","Standard Retail","Castle","54.99","54.99"
70404,6024776,"King's Castle","8/1/2013","12/31/2014","Standard Retail","Castle","99.99","99.99"
70700,6025064,"Space Swarmer","3/1/2013","12/31/2013","Standard Retail","Space","9.99","9.99"
70701,6025066,"Swarm Interceptor","3/1/2013","12/31/2013","Standard Retail","Space","19.99","19.99"
70702,6025175,"Warp Stinger","3/1/2013","12/31/2013","Standard Retail","Space","29.99","29.99"
70704,6025165,"Vermin Vaporizer","3/1/2013","12/31/2013","Standard Retail","Space","54.99","54.99"
70705,6025158,"Bug Obliterator","3/1/2013","12/31/2013","Standard Retail","Space","79.99","79.99"
70706,6025150,"Crater Creeper","8/1/2013","12/31/2013","Standard Retail","Space","19.99","19.99"
70707,6025122,"CLS-89 Eradicator Mech","8/1/2013","12/31/2013","Standard Retail","Space","39.99","44.99"
70708,6025120,"Hive Crawler","8/1/2013","12/31/2013","Standard Retail","Space","69.99","69.99"
70709,6025118,"Galactic Titan","8/1/2013","12/31/2013","Standard Retail","Space","99.99","109.99"
70500,6024731,"Kai's Fire Mech","1/1/2013","12/31/2013","Standard Retail","Ninjago","9.99","9.99"
70501,6024733,"Warrior Bike","1/1/2013","12/31/2013","Standard Retail","Ninjago","19.99","19.99"
70502,6024735,"Cole's Earth Driller","1/1/2013","12/31/2013","Standard Retail","Ninjago","19.99","19.99"
70503,6024737,"The Golden Dragon","1/1/2013","7/31/2014","Standard Retail","Ninjago","29.99","34.99"
70504,6024739,"Garmatron","1/1/2013","12/31/2013","Standard Retail","Ninjago","39.99","44.99"
70505,6024741,"Temple of Light","1/1/2013","7/31/2014","Standard Retail","Ninjago","69.99","79.99"
70000,6024405,"Razcal's Glider","1/1/2013","12/31/2013","Standard Retail","Chima","9.99","9.99"
70001,6024407,"Crawley's Claw Ripper","1/1/2013","12/31/2013","Standard Retail","Chima","16.99","16.99"
70002,6024409,"Lennox's Lion Attack","1/1/2013","12/31/2013","Standard Retail","Chima","19.99","19.99"
70003,6024411,"Eris' Eagle Interceptor","1/1/2013","12/31/2013","Standard Retail","Chima","34.99","34.99"
70004,6024415,"Wakz' Pack Tracker","1/1/2013","12/31/2013","Standard Retail","Chima","34.99","34.99"
70005,6024421,"Laval.s Royal Fighter","1/1/2013","7/31/2014","Standard Retail","Chima","39.99","39.99"
70006,6024426,"Cragger.s Command Ship","1/1/2013","7/31/2014","Standard Retail","Chima","89.99","89.99"
70007,6024436,"Eglor's Twin Bike","8/1/2013","7/31/2014","Standard Retail","Chima","19.99","19.99"
70008,6024453,"Gorzan's Gorilla Striker","8/1/2013","7/31/2014","Standard Retail","Chima","54.99","54.99"
70009,6024458,"Worriz' Combat Lair","8/1/2013","7/31/2014","Standard Retail","Chima","79.99","79.99"
70010,6024462,"The Lion CHI Temple","8/1/2013","7/31/2014","Standard Retail","Chima","129.99","129.99"
70100,6024556,"Ring of Fire","1/1/2013","5/31/2013","Standard Retail","Chima","14.99","14.99"
70101,6024558,"Target Practice","1/1/2013","2/28/2013","Standard Retail","Chima","14.99","14.99"
70102,6024566,"CHI Waterfall","1/1/2013","2/28/2013","Standard Retail","Chima","14.99","14.99"
70103,6024569,"Boulder Bowling","1/1/2013","2/28/2013","Standard Retail","Chima","14.99","14.99"
70104,6024572,"Jungle Gates","3/1/2013","5/31/2013","Standard Retail","Chima","14.99","14.99"
70105,6024576,"Nest Dive","3/1/2013","8/31/2013","Standard Retail","Chima","14.99","14.99"
70106,6024579,"Ice Tower","3/1/2013","5/31/2013","Standard Retail","Chima","14.99","14.99"
70107,6024600,"Skunk Attack","6/1/2013","8/31/2013","Standard Retail","Chima","14.99","14.99"
70108,6024606,"Royal Roost","6/1/2013","8/31/2013","Standard Retail","Chima","14.99","14.99"
70109,6024608,"Whirling Vines","6/1/2013","12/31/2013","Standard Retail","Chima","14.99","14.99"
70110,6024610,"Tower Target","9/1/2013","12/31/2013","Standard Retail","Chima","14.99","14.99"
70111,6024612,"Swamp Jump","9/1/2013","12/31/2013","Standard Retail","Chima","14.99","14.99"
70112,6024614,"Croc Chomp","9/1/2013","12/31/2013","Standard Retail","Chima","14.99","14.99"
70113,6024616,"CHI Battles","1/1/2013","5/31/2013","Standard Retail","Chima","19.99","19.99"
70114,6024625,"Sky Joust","6/1/2013","12/31/2013","Standard Retail","Chima","19.99","19.99"
70115,6024627,"Ultimate Speedor Tournament","1/1/2013","12/31/2013","Standard Retail","Chima","29.99","29.99"
75002,6025104,"AT-RT (TM)","1/1/2013","12/31/2014","Standard Retail","Star Wars TM","29.99","29.99"
75004,6025100,"Z-95 Headhunter""","1/1/2013","12/31/2014","Standard Retail","Star Wars TM","49.99","49.99"
75012,6025096,"BARC Speeder"" with Sidecar","1/1/2013","12/31/2014","Standard Retail","Star Wars TM","29.99","29.99"
75013,6025094,"Umbaran MHC"" (Mobile Heavy Cannon)","1/1/2013","12/31/2014","Standard Retail","Star Wars TM","59.99","59.99"
75023,6025076,"LEGO® Star Wars"" Advent Calendar","9/1/2013","12/31/2013","Standard Retail","Star Wars TM","34.99","34.99"
75000,6025108,"Clone Troopers (TM) vs. Droidekas (TM)","1/1/2013","12/31/2014","Standard Retail","Star Wars TM","14.99","14.99"
75001,6025106,"Republic Troopers (TM) vs Sith (TM) Troopers","1/1/2013","12/31/2014","Standard Retail","Star Wars TM","14.99","14.99"
75003,6025102,"A-wing Starfighter""","1/1/2013","12/31/2014","Standard Retail","Star Wars TM","29.99","29.99"
75005,6025098,"Rancor (TM) Pit","1/1/2013","12/31/2014","Standard Retail","Star Wars TM","69.99","69.99"
75015,6025090,"Corporate Alliance Tank Droid""","6/1/2013","12/31/2014","Standard Retail","Star Wars TM","29.99","29.99"
75016,6025088,"Homing Spider Droid""","6/1/2013","12/31/2014","Standard Retail","Star Wars TM","39.99","39.99"
75017,6025086,"Duel on Geonosis""","6/1/2013","12/31/2014","Standard Retail","Star Wars TM","54.99","54.99"
75018,6025084,"Jek-14's "" Stealth Starfighter","6/1/2013","12/31/2014","Standard Retail","Star Wars TM","79.99","79.99"
75019,6025082,"AT-TE""","6/1/2013","12/31/2014","Standard Retail","Star Wars TM","99.99","99.99"
75020,6025080,"Jabba's Sail Barge""","6/1/2013","12/31/2014","Standard Retail","Star Wars TM","129.99","129.99"
75021,6025074,"Republic Gunship""","6/1/2013","12/31/2014","Standard Retail","Star Wars TM","139.99","139.99"
75022,6025072,"Mandalorian"" Speeder","6/1/2013","12/31/2014","Standard Retail","Star Wars TM","29.99","29.99"
75006,6025052,"Jedi Starfighter"" & Kamino""","3/1/2013","12/31/2013","Standard Retail","Star Wars TM","12.99","12.99"
75007,6025054,"Republic Assault Ship"" & Coruscant""","3/1/2013","12/31/2013","Standard Retail","Star Wars TM","12.99","12.99"
75008,6025056,"TIE Bomber"" & Asteroid Field","3/1/2013","12/31/2013","Standard Retail","Star Wars TM","12.99","12.99"
75009,6025058,"Snowspeeder"" & Hoth""","3/1/2013","12/31/2013","Standard Retail","Star Wars TM","12.99","12.99"
75010,6025060,"B-Wing Starfighter"" & Endor""","3/1/2013","12/31/2013","Standard Retail","Star Wars TM","12.99","12.99"
75011,6025062,"Tantive IV"" & Alderaan""","3/1/2013","12/31/2013","Standard Retail","Star Wars TM","12.99","12.99"
79005,6025200,"The Wizard Battle","6/1/2013","12/31/2014","Standard Retail","LofTR and Hobbit","17.99","17.99"
79006,6025202,"The Council of Elrond","6/1/2013","12/31/2014","Standard Retail","LofTR and Hobbit","39.99","44.99"
79007,6025204,"Battle at the Black Gate","6/1/2013","12/31/2014","Standard Retail","LofTR and Hobbit","79.99","79.99"
79008,6025206,"Pirate Ship Ambush","6/1/2013","12/31/2014","Standard Retail","LofTR and Hobbit","119.99","119.99"
76000,6023819,"Arctic Batman"" vs. Mr. Freeze"": Aquaman""","1/1/2013","7/31/2014","Standard Retail","Super Heroes","29.99","29.99"
76001,6024698,"The Bat vs. Bane (TM): Tumbler Chase","1/1/2013","7/31/2014","Standard Retail","Super Heroes","49.99","49.99"
76002,6024700,"Superman"": Metropolis Showdown","6/1/2013","12/31/2014","Standard Retail","Super Heroes","17.99","17.99"
76003,6024702,"Superman"": Battle of Smallville","6/1/2013","12/31/2014","Standard Retail","Super Heroes","69.99","69.99"
76009,6043541,"Superman"": Black Zero Escape","6/1/2013","12/31/2014","Standard Retail","Super Heroes","26.99","26.99"
76004,6024704,"Spider-Man"": Spider-Cycle Chase","1/1/2013","7/31/2014","Standard Retail","Super Heroes","29.99","29.99"
76005,6024706,"Spider-Man"": Daily Bugle Showdown","1/1/2013","7/31/2014","Standard Retail","Super Heroes","59.99","59.99"
76006,6024708,"Iron Man"": Extremis"" Sea Port Battle","6/1/2013","12/31/2014","Standard Retail","Super Heroes","26.99","26.99"
76007,6024710,"Iron Man"": Malibu Mansion Attack","6/1/2013","12/31/2014","Standard Retail","Super Heroes","39.99","44.99"
76008,6043504,"Iron Man"" vs. The Mandarin"": Ultimate Sh","6/1/2013","12/31/2014","Standard Retail","Super Heroes","14.99","14.99"
79100,6024693,"Kraang Lab Escape","6/1/2013","12/31/2014","Standard Retail","Ninja Turtles TM","14.99","14.99"
79101,6024589,"Shredder's Dragon Bike","6/1/2013","12/31/2014","Standard Retail","Ninja Turtles TM","29.99","29.99"
79102,6024591,"Stealth Shell in Pursuit","6/1/2013","12/31/2014","Standard Retail","Ninja Turtles TM","29.99","29.99"
79103,6024594,"Turtle Lair Attack","6/1/2013","12/31/2014","Standard Retail","Ninja Turtles TM","54.99","54.99"
79104,6070030,"The Shellraiser Street Chase","6/1/2013","12/31/2014","Standard Retail","Ninja Turtles TM","79.99","79.99"
79106,6024668,"Cavalry Builder Set","6/1/2013","12/31/2014","Standard Retail","Lone Ranger TM","14.99","14.99"
79107,6024671,"Comanche Camp","6/1/2013","12/31/2014","Standard Retail","Lone Ranger TM","29.99","29.99"
79108,6024676,"Stagecoach Escape","6/1/2013","12/31/2014","Standard Retail","Lone Ranger TM","54.99","54.99"
79109,6024679,"Colby City Showdown","6/1/2013","12/31/2014","Standard Retail","Lone Ranger TM","69.99","69.99"
79110,6024681,"Silver Mine Shootout","6/1/2013","12/31/2014","Standard Retail","Lone Ranger TM","79.99","79.99"
79111,6024683,"Constitution Train Chase","6/1/2013","12/31/2014","Standard Retail","Lone Ranger TM","119.99","119.99"
