"Product No.","Item no","Item Description English"," Local Launch"," Local          Exit","Product Category","Theme","RRP price DKK","RRP price SEK"
41002,6024564,"Emma's Karate Class","01/01/2013","31/12/2013","Standard Retail","LEGO Friends","99.95","129.00"
41003,6024519,"Olivia's Newborn Foal","01/01/2013","31/05/2014","Standard Retail","LEGO Friends","99.95","129.00"
41004,6024522,"Rehearsal Stage","01/01/2013","31/12/2014","Standard Retail","LEGO Friends","179.95","249.00"
41005,6024532,"Heartlake High","01/08/2013","31/12/2014","Standard Retail","LEGO Friends","449.00","599.00"
41006,6024526,"Downtown Bakery","01/08/2013","31/12/2014","Standard Retail","LEGO Friends","229.95","299.00"
41007,6024560,"Heartlake Pet Salon","01/01/2013","31/12/2014","Standard Retail","LEGO Friends","269.95","399.00"
41008,6024534,"Heartlake City Pool","01/01/2013","31/12/2014","Standard Retail","LEGO Friends","349.00","499.00"
41009,6024515,"Andrea's Bedroom","01/08/2013","31/05/2014","Standard Retail","LEGO Friends","99.95","129.00"
41010,6024506,"Olivia's Beach Buggy","01/08/2013","31/05/2014","Standard Retail","LEGO Friends","99.95","129.00"
41011,6024562,"Stephanie's Soccer Practice","01/01/2013","31/12/2013","Standard Retail","LEGO Friends","99.95","129.00"
41013,6024536,"Emma's Sports Car","01/08/2013","31/12/2014","Standard Retail","LEGO Friends","129.95","179.00"
41015,6024549,"Dolphin Cruiser","01/08/2013","31/12/2014","Standard Retail","LEGO Friends","649.00","799.00"
41016,6024539,"LEGO® Friends Advent Calendar","01/09/2013","31/12/2013","Standard Retail","LEGO Friends","179.95","249.00"
42000,6024750,"Grand Prix Racer","01/03/2013","31/12/2014","Standard Retail","Technic","899.00","1099.00"
42001,6024752,"Mini Off-Roader","01/08/2013","31/12/2014","Standard Retail","Technic","99.95","129.00"
42002,6024754,"Hovercraft","01/01/2013","31/12/2014","Standard Retail","Technic","129.95","179.00"
42004,6024756,"Mini Backhoe Loader","01/01/2013","31/12/2014","Standard Retail","Technic","179.95","249.00"
42005,6023341,"Monster Truck","01/08/2013","31/12/2014","Standard Retail","Technic","349.00","499.00"
42006,6025047,"Excavator","01/01/2013","31/12/2014","Standard Retail","Technic","549.00","699.00"
42007,6025212,"Moto Cross Bike","01/01/2013","31/07/2015","Standard Retail","Technic","249.95","349.00"
42008,6025214,"Service Truck","01/08/2013","31/12/2015","Standard Retail","Technic","999.00","1299.00"
42009,6025221,"Mobile Crane MK II","01/08/2013","31/12/2015","Standard Retail","Technic","1599.00","2199.00"
42010,6025225,"Off-road Racer","01/01/2013","31/12/2014","Standard Retail","Technic","179.95","249.00"
42011,6025228,"Race Car","01/01/2013","31/12/2014","Standard Retail","Technic","179.95","249.00"
44002,6025156,"ROCKA","01/03/2013","31/07/2013","Standard Retail","Hero Factory","79.95","99.00"
44003,6025152,"SCAROX","01/03/2013","31/07/2013","Standard Retail","Hero Factory","79.95","99.00"
44004,6025145,"BULK","01/03/2013","31/12/2013","Standard Retail","Hero Factory","79.95","99.00"
44006,6025141,"BREEZ","01/03/2013","31/07/2013","Standard Retail","Hero Factory","79.95","99.00"
44012,6025137,"EVO","01/08/2013","31/12/2013","Standard Retail","Hero Factory","79.95","99.00"
44013,6025135,"AQUAGON","01/08/2013","31/12/2013","Standard Retail","Hero Factory","79.95","99.00"
44001,6025133,"PYROX","01/03/2013","31/12/2013","Standard Retail","Hero Factory","99.95","149.00"
44005,6025131,"BRUIZER","01/03/2013","31/12/2013","Standard Retail","Hero Factory","99.95","149.00"
44007,6025129,"OGRUM","01/03/2013","31/07/2013","Standard Retail","Hero Factory","99.95","149.00"
44008,6025127,"SURGE","01/08/2013","31/12/2013","Standard Retail","Hero Factory","99.95","149.00"
44010,6025125,"STORMER","01/08/2013","31/12/2013","Standard Retail","Hero Factory","99.95","149.00"
44011,6025123,"FROST BEAST","01/08/2013","31/12/2013","Standard Retail","Hero Factory","99.95","149.00"
44000,6025116,"FURNO XL","01/03/2013","31/12/2013","Standard Retail","Hero Factory","179.95","249.00"
44009,6025114,"DRAGON BOLT","01/08/2013","31/12/2013","Standard Retail","Hero Factory","229.95","299.00"
70200,6025184,"CHI Laval","01/06/2013","31/05/2014","Standard Retail","LOC Constraction","129.95","179.00"
70201,6025179,"CHI Eris","01/06/2013","31/05/2014","Standard Retail","LOC Constraction","129.95","179.00"
70202,6025174,"CHI Gorzan","01/06/2013","31/05/2014","Standard Retail","LOC Constraction","129.95","179.00"
70203,6025171,"CHI Cragger","01/06/2013","31/05/2014","Standard Retail","LOC Constraction","129.95","179.00"
70204,6025169,"CHI Worriz","01/06/2013","31/05/2014","Standard Retail","LOC Constraction","129.95","179.00"
70205,6025163,"CHI Razar","01/06/2013","31/05/2014","Standard Retail","LOC Constraction","129.95","179.00"
60006,6021698,"Police ATV","01/01/2013","31/12/2014","Standard Retail","City Police","49.95","59.00"
60007,6021721,"High Speed Chase","01/01/2013","31/07/2015","Standard Retail","City Police","249.95","349.00"
60008,6021723,"Museum Break-in","01/01/2013","31/12/2015","Standard Retail","City Police","549.00","699.00"
60019,6024965,"Stunt Plane","01/08/2013","31/12/2015","Standard Retail","City Airport","129.95","149.00"
60020,6024971,"Cargo Truck","01/08/2013","31/12/2014","Standard Retail","City Airport","249.95","349.00"
60021,6024976,"Cargo Heliplane","01/08/2013","31/12/2015","Standard Retail","City Airport","349.00","499.00"
60022,6024977,"Cargo Terminal","01/08/2013","31/12/2015","Standard Retail","City Airport","799.00","999.00"
60023,6024997,"LEGO® City Starter Set","01/06/2013","31/12/2014","Standard Retail","City Town","229.95","249.00"
60024,6024999,"LEGO® City Advent Calendar","01/09/2013","31/12/2013","Standard Retail","City Town","179.95","249.00"
60016,6021700,"Tanker Truck","01/03/2013","31/12/2013","Standard Retail","City Great Vehicles","179.95","249.00"
60017,6021681,"Flatbed Truck","01/03/2013","31/12/2014","Standard Retail","City Great Vehicles","179.95","249.00"
60018,6021693,"Cement Mixer","01/03/2013","31/12/2013","Standard Retail","City Great Vehicles","179.95","249.00"
60025,6025046,"Grand Prix Truck","01/06/2013","31/12/2014","Standard Retail","City Great Vehicles","249.95","349.00"
60027,6024995,"Monster Truck Transporter","01/06/2013","31/12/2013","Standard Retail","City Great Vehicles","249.95","349.00"
60000,6021696,"Fire Motorcycle","01/01/2013","31/12/2015","Standard Retail","City Fire","49.95","59.00"
60001,6021676,"Fire Chief Car","01/01/2013","31/12/2014","Standard Retail","City Fire","99.95","129.00"
60002,6021707,"Fire Truck","01/01/2013","31/12/2015","Standard Retail","City Fire","179.95","249.00"
60003,6021709,"Fire Emergency","01/01/2013","31/12/2015","Standard Retail","City Fire","249.95","349.00"
60004,6021713,"Fire Station","01/01/2013","31/12/2015","Standard Retail","City Fire","699.00","899.00"
60011,6024980,"Surfer Rescue","01/06/2013","31/12/2014","Standard Retail","City Coast Guard","49.95","59.00"
60012,6024982,"4x4 & Diving Boat","01/06/2013","31/12/2014","Standard Retail","City Coast Guard","129.95","149.00"
60013,6024984,"Coast Guard Helicopter","01/06/2013","31/12/2013","Standard Retail","City Coast Guard","249.95","349.00"
60014,6024986,"Coast Guard Patrol","01/06/2013","31/12/2014","Standard Retail","City Coast Guard","649.00","799.00"
70400,6024761,"Forest Ambush","01/08/2013","31/12/2014","Standard Retail","Castle","99.95","99.00"
70401,6024764,"Gold Getaway","01/08/2013","31/12/2014","Standard Retail","Castle","179.95","199.00"
70402,6024769,"The Gatehouse Raid","01/08/2013","31/12/2014","Standard Retail","Castle","249.95","299.00"
70403,6024774,"Dragon Mountain","01/08/2013","31/12/2014","Standard Retail","Castle","449.00","599.00"
70404,6024776,"King's Castle","01/08/2013","31/12/2014","Standard Retail","Castle","899.00","1099.00"
70700,6025064,"Space Swarmer","01/03/2013","31/12/2013","Standard Retail","Space","99.95","129.00"
70701,6025066,"Swarm Interceptor","01/03/2013","31/12/2013","Standard Retail","Space","179.95","249.00"
70702,6025175,"Warp Stinger","01/03/2013","31/12/2013","Standard Retail","Space","249.95","349.00"
70704,6025165,"Vermin Vaporizer","01/03/2013","31/12/2013","Standard Retail","Space","449.00","599.00"
70705,6025158,"Bug Obliterator","01/03/2013","31/12/2013","Standard Retail","Space","699.00","799.00"
70706,6025150,"Crater Creeper","01/08/2013","31/12/2013","Standard Retail","Space","179.95","249.00"
70707,6025122,"CLS-89 Eradicator Mech","01/08/2013","31/12/2013","Standard Retail","Space","349.00","499.00"
70708,6025120,"Hive Crawler","01/08/2013","31/12/2013","Standard Retail","Space","549.00","699.00"
70709,6025118,"Galactic Titan","01/08/2013","31/12/2013","Standard Retail","Space","999.00","1199.00"
70500,6024731,"Kai's Fire Mech","01/01/2013","31/12/2013","Standard Retail","Ninjago","99.95","129.00"
70501,6024733,"Warrior Bike","01/01/2013","31/12/2013","Standard Retail","Ninjago","179.95","249.00"
70502,6024735,"Cole's Earth Driller","01/01/2013","31/12/2013","Standard Retail","Ninjago","179.95","249.00"
70503,6024737,"The Golden Dragon","01/01/2013","31/07/2014","Standard Retail","Ninjago","249.95","349.00"
70504,6024739,"Garmatron","01/01/2013","31/12/2013","Standard Retail","Ninjago","349.00","499.00"
70505,6024741,"Temple of Light","01/01/2013","31/07/2014","Standard Retail","Ninjago","549.00","699.00"
70000,6024405,"Razcal's Glider","01/01/2013","31/12/2013","Standard Retail","Chima","99.95","129.00"
70001,6024407,"Crawley's Claw Ripper","01/01/2013","31/12/2013","Standard Retail","Chima","129.95","179.00"
70002,6024409,"Lennox's Lion Attack","01/01/2013","31/12/2013","Standard Retail","Chima","179.95","249.00"
70003,6024411,"Eris' Eagle Interceptor","01/01/2013","31/12/2013","Standard Retail","Chima","299.95","349.00"
70004,6024415,"Wakz' Pack Tracker","01/01/2013","31/12/2013","Standard Retail","Chima","299.95","349.00"
70005,6024421,"Laval.s Royal Fighter","01/01/2013","31/07/2014","Standard Retail","Chima","349.00","499.00"
70006,6024426,"Cragger.s Command Ship","01/01/2013","31/07/2014","Standard Retail","Chima","699.00","899.00"
70007,6024436,"Eglor's Twin Bike","01/08/2013","31/07/2014","Standard Retail","Chima","179.95","249.00"
70008,6024453,"Gorzan's Gorilla Striker","01/08/2013","31/07/2014","Standard Retail","Chima","449.00","599.00"
70009,6024458,"Worriz' Combat Lair","01/08/2013","31/07/2014","Standard Retail","Chima","599.00","799.00"
70010,6024462,"The Lion CHI Temple","01/08/2013","31/07/2014","Standard Retail","Chima","999.00","1299.00"
70100,6024556,"Ring of Fire","01/01/2013","31/05/2013","Standard Retail","Chima","129.95","149.00"
70101,6024558,"Target Practice","01/01/2013","28/02/2013","Standard Retail","Chima","129.95","149.00"
70102,6024566,"CHI Waterfall","01/01/2013","28/02/2013","Standard Retail","Chima","129.95","149.00"
70103,6024569,"Boulder Bowling","01/01/2013","28/02/2013","Standard Retail","Chima","129.95","149.00"
70104,6024572,"Jungle Gates","01/03/2013","31/05/2013","Standard Retail","Chima","129.95","149.00"
70105,6024576,"Nest Dive","01/03/2013","31/08/2013","Standard Retail","Chima","129.95","149.00"
70106,6024579,"Ice Tower","01/03/2013","31/05/2013","Standard Retail","Chima","129.95","149.00"
70107,6024600,"Skunk Attack","01/06/2013","31/08/2013","Standard Retail","Chima","129.95","149.00"
70108,6024606,"Royal Roost","01/06/2013","31/08/2013","Standard Retail","Chima","129.95","149.00"
70109,6024608,"Whirling Vines","01/06/2013","31/12/2013","Standard Retail","Chima","129.95","149.00"
70110,6024610,"Tower Target","01/09/2013","31/12/2013","Standard Retail","Chima","129.95","149.00"
