sku,category,name,url,price,dealer,image_url,shipping_cost,identifier,brand,stock
21277500038,Sofa > Leather > Recliner armchairs,Bel Air Leathaire Electric Recliner Chair,http://www.harveysfurniture.co.uk/collection/bel-air-leathaire/#/bel-air-leathaire-chair-recliner,519.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987663_18004-18024_01800_IS_0,59,2953:4279,Steinhoff Manwah,
21277500027,Sofa > Leather > Recliner armchairs,Bel Air Leathaire Manual Recliner Chair,http://www.harveysfurniture.co.uk/collection/bel-air-leathaire/#/bel-air-leathaire-chair-recliner,439.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987663_18004-18024_01800_IS_0,59,2953:4277,Steinhoff Manwah,
21277600028,Sofa > Leather > Footstools,Bel Air Leathaire Storage Footstool,http://www.harveysfurniture.co.uk/collection/bel-air-leathaire/#/bel-air-leathaire-footstool,199.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/987664_18004-18024_01800_IS_0,59,2956:4265,Steinhoff Manwah,
21279100390,Sofa > Leather > Recliner sofas,Harrier Large Electric Recliner Corner Group,http://www.harveysfurniture.co.uk/collection/harrier/#/harrier-large-corner-sofa,2209.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/123717_20005-20028_02004_IS_0,59,3588:4211,Steinpol,
21279100403,Sofa > Leather > Recliner sofas,Harrier Large Manual Recliner Corner Group,http://www.harveysfurniture.co.uk/collection/harrier/#/harrier-large-corner-sofa,2039.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/123717_20005-20028_02004_IS_0,59,3588:4212,Steinpol,
21279300063,Sofa > Leather > 3 seater recliner,Harrier 3 Seater Sofa With 2 Electric Recliner Actions,http://www.harveysfurniture.co.uk/collection/harrier/#/harrier-3-seater-sofa,1104.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/123715_20005-20028_02004_IS_0,59,3562:4216,Steinpol,
22523300052,Sofa > Leather > 3 seater recliner,Harrier Express 3 Seater Sofa With 2 Manual Recliner Actions,http://www.harveysfurniture.co.uk/collection/harrier/#/harrier-3-seater-sofa,899.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/123715_20005-20024_02004_IS_0,59,3562:4213,Steinpol,
21279300052,Sofa > Leather > 3 seater recliner,Harrier 3 Seater Sofa With 2 Manual Recliner Actions,http://www.harveysfurniture.co.uk/collection/harrier/#/harrier-3-seater-sofa,899.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/123715_20005-20028_02004_IS_0,59,3562:2373,Steinpol,
22523400053,Sofa > Leather > 2 seater recliner,Harrier Express 2 Seater Sofa With 2 Manual Recliner Actions,http://www.harveysfurniture.co.uk/collection/harrier/#/harrier-2-seater-sofa,891.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/123716_20005-20024_02004_IS_0,59,3575:2381,Steinpol,
21279400064,Sofa > Leather > 2 seater recliner,Harrier 2 Seater Sofa With 2 Electric Recliner Actions,http://www.harveysfurniture.co.uk/collection/harrier/#/harrier-2-seater-sofa,1061.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/123716_20005-20028_02004_IS_0,59,3575:4226,Steinpol,
21279400053,Sofa > Leather > 2 seater recliner,Harrier 2 Seater Sofa With 2 Manual Recliner Actions,http://www.harveysfurniture.co.uk/collection/harrier/#/harrier-2-seater-sofa,891.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/123716_20005-20028_02004_IS_0,59,3575:4219,Steinpol,
22523500021,Sofa > Leather > Recliner armchairs,Harrier Express Manual Recliner Chair,http://www.harveysfurniture.co.uk/collection/harrier/#/harrier-chair,679.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/123718_20005-20024_02004_IS_0,59,3599:2389,Steinpol,
21279500032,Sofa > Leather > Recliner armchairs,Harrier Electric Recliner Chair,http://www.harveysfurniture.co.uk/collection/harrier/#/harrier-chair,764.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/123718_20005-20028_02004_IS_0,59,3599:4233,Steinpol,
21279500021,Sofa > Leather > Recliner armchairs,Harrier Manual Recliner Chair,http://www.harveysfurniture.co.uk/collection/harrier/#/harrier-chair,679.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/123718_20005-20028_02004_IS_0,59,3599:4229,Steinpol,
22523600022,Sofa > Leather > Footstools,Harrier Express Storage Footstool,http://www.harveysfurniture.co.uk/collection/harrier/#/harrier-storage-footstool,228.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/123719_20005-20024_02004_IS_0,59,3610:2397,Steinpol,
21279600022,Sofa > Leather > Footstools,Harrier Standard Storage Footstool,http://www.harveysfurniture.co.uk/collection/harrier/#/harrier-storage-footstool,228.0000,,http://steinhoffukretailltd.scene7.com/is/image/SteinhoffUKRetailLtd/123719_20005-20028_02004_IS_0,59,3610:4239,Steinpol,
