identifier,sku,name,price,url,category,brand,image_url,shipping_cost,stock
,,Apple iPhone 3GS 16GB (Refurbished) Black,369,http://www.mobicity.co.nz/apple-iphone-3gs-16gb-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone_2.jpg,,
,,Apple iPhone 3GS 16GB (Refurbished) White,369,http://www.mobicity.co.nz/apple-iphone-3gs-16gb-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/i/p/iphone_2.jpg,,
,,LG E720b Optimus Chic - XT compatible,259,http://www.mobicity.co.nz/lg-e720b-optimus-chic-nextg.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/l/g/lg_e720b_optimus_chic_1.jpg,,
,,Sony Xperia U - XT compatible Black Pink,329,http://www.mobicity.co.nz/sony-xperia-u-nextg-compatible.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_u_nextg_1.jpg,,
,,Sony Xperia U - XT compatible Black White,339,http://www.mobicity.co.nz/sony-xperia-u-nextg-compatible.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_u_nextg_1.jpg,,
,,Sony Xperia U - XT compatible White Yellow,349,http://www.mobicity.co.nz/sony-xperia-u-nextg-compatible.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_u_nextg_1.jpg,,
,,BlackBerry 8100 Pearl (Refurbished) Black,159,http://www.mobicity.co.nz/blackberry-8100-pearl-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/b/l/blackberry_8100_pearl_1.jpg,,
,,BlackBerry 8100 Pearl (Refurbished) Gold,149,http://www.mobicity.co.nz/blackberry-8100-pearl-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/b/l/blackberry_8100_pearl_1.jpg,,
,,BlackBerry 8100 Pearl (Refurbished) Red,149,http://www.mobicity.co.nz/blackberry-8100-pearl-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/b/l/blackberry_8100_pearl_1.jpg,,
,,BlackBerry 8100 Pearl (Refurbished) White,149,http://www.mobicity.co.nz/blackberry-8100-pearl-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/b/l/blackberry_8100_pearl_1.jpg,,
,,BlackBerry Bold 9780 (Refurbished) Black,379,http://www.mobicity.co.nz/blackberry-bold-9780-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/b/l/blackberry-bold-9780-refurbished-1.jpg,,
,,BlackBerry Bold 9780 (Refurbished) White,379,http://www.mobicity.co.nz/blackberry-bold-9780-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/b/l/blackberry-bold-9780-refurbished-1.jpg,,
,,HTC A9192 Inspire (Refurbished),309,http://www.mobicity.co.nz/htc-a9192-inspire-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc-inspire-4g-1.jpg,,
,,HTC One S Z560E (with 1.7GHz Processor) Black,449,http://www.mobicity.co.nz/htc-one-s-z560e.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc-one-s-z560e-1.jpg,,
,,HTC One S Z560E (with 1.7GHz Processor) Grey aka Gradient Blue),519,http://www.mobicity.co.nz/htc-one-s-z560e.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc-one-s-z560e-1.jpg,,
,,Samsung Galaxy Note 2 N7100 16GB Brown,699,http://www.mobicity.co.nz/samsung-galaxy-note-2.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-note-ii-n7100-1.jpg,,
,,Samsung Galaxy Note 2 N7100 16GB Marble White,719,http://www.mobicity.co.nz/samsung-galaxy-note-2.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-note-ii-n7100-1.jpg,,
,,Samsung Galaxy Note 2 N7100 16GB Pebble Blue,699,http://www.mobicity.co.nz/samsung-galaxy-note-2.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-note-ii-n7100-1.jpg,,
,,Samsung Galaxy Note 2 N7100 16GB Ruby Wine,719,http://www.mobicity.co.nz/samsung-galaxy-note-2.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-note-ii-n7100-1.jpg,,
,,Samsung Galaxy Note 2 N7100 16GB Titanium Grey,689,http://www.mobicity.co.nz/samsung-galaxy-note-2.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung-galaxy-note-ii-n7100-1.jpg,,
,,HTC S910M MyTouch 4G (Refurbished),269,http://www.mobicity.co.nz/htc-s910m-mytouch-4g-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc_s910m_mytouch_4g_black_refurbished_1.jpg,,
,,Samsung I937 Focus S,539,http://www.mobicity.co.nz/samsung-i937-focus-s.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung_i937_focus_s_1_1.jpg,,
,,Samsung S7500L Galaxy Ace Plus - XT compatible Black,329,http://www.mobicity.co.nz/samsung-s7500l-galaxy-ace-plus-nextg-compatible.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung_s7500l_galaxy_ace_plus_1.jpg,,
,,Samsung S7500L Galaxy Ace Plus - XT compatible White,329,http://www.mobicity.co.nz/samsung-s7500l-galaxy-ace-plus-nextg-compatible.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung_s7500l_galaxy_ace_plus_1.jpg,,
,,Samsung i9000 Galaxy S (Refurbished),369,http://www.mobicity.co.nz/samsung-i9000-galaxy-s-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_13_6_5.jpg,,
,,HTC A8181 Desire (Refurbished) Brown,249,http://www.mobicity.co.nz/htc-a8181-desire-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc-desire-3_6.jpg,,
,,HTC A8181 Desire (Refurbished) White,249,http://www.mobicity.co.nz/htc-a8181-desire-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc-desire-3_6.jpg,,
,,HTC A7272 Desire Z (Refurbished),259,http://www.mobicity.co.nz/htc-a7272-desire-z-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/h/t/htc-desire-z-new-1_4.jpg,,
,,BlackBerry 9780 Bold - XT compatible (Refurbished),379,http://www.mobicity.co.nz/blackberry-9780-bold-nextg-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/9/7/9780_top_angle_2_2.jpg,,
,,BlackBerry 9530 Storm (Refurbished),229,http://www.mobicity.co.nz/blackberry-storm-9530-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/b/l/blackberry_storm_9530_1_1.jpg,,
,,Samsung Galaxy Ace 2 i8160  Black,259,http://www.mobicity.co.nz/samsung-i8160-galaxy-ace-2.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung_galaxy_ace_2_01.jpg,,
,,Samsung Galaxy Ace 2 i8160  White,269,http://www.mobicity.co.nz/samsung-i8160-galaxy-ace-2.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/a/samsung_galaxy_ace_2_01.jpg,,
,,Sony Xperia Neo L Black,269,http://www.mobicity.co.nz/sony-xperia-neo-l.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_neo_l_02.jpg,,
,,Sony Xperia Neo L White,269,http://www.mobicity.co.nz/sony-xperia-neo-l.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/s/o/sony_xperia_neo_l_02.jpg,,
,,BlackBerry 9630 Tour GSM+CDMA (Refurbished),229,http://www.mobicity.co.nz/blackberry-tour-9630-refurbished.html,Phones,,http://d3lawgetnu3l0g.cloudfront.net/catalog/product/cache/2/image/9df78eab33525d08d6e5fb8d27136e95/b/l/blackberry_tour_1_1.jpg,,
