sku,asin,price,quantity
AC3200100,B008OV87DY,1.6,17
AC3200200,B008PCNFGQ,1.6,23
AC3200300,B008PCNFT8,1.6,14
AC3200400,B008PCLC70,1.6,14
AC3200410,B008PCNG4M,1.6,7
AC3200500,B008PCNGHE,1.6,9
AC3200510,B008PCLCQ6,1.6,15
AC3200600,B008PCEXUS,1.6,12
AC3200700,B008PCNH9Q,1.6,12
AC3200800,B008PCLD2Y,1.6,14
AC3200900,B008PCLDRY,1.6,13
AC3201000,B008PCEW9A,1.6,6
AC3201100,B008PCL0HM,1.6,15
AC3201200,B008PCEWN6,1.6,7
AC3201300,B008PCLE9G,1.6,12
AC3201400,B008PCEWWC,1.6,10
AC3201410,B008PCEX5I,1.6,7
AC3201610,B008PCEY2K,1.6,14
AC3201620,B008PCL15I,1.6,5
AC3201630,B008PCLEJG,1.6,4
AC3201700,B008PCEYAC,1.6,4
AC32092,B000P6YNGG,15.74,10
AC32093,B000J6FE4W,31.24,2
AC32196,B00065PG62,15.74,12
AC32197,B00065PG6C,31.24,9
AC34202,B000P6YNES,21.91,2
AC34213,B000J69KZQ,10.99,11
AC34214,B000P6YNF2,10.99,3
AC34215,B000J6BAV8,10.99,3
AC34307,B0027IYPUY,37.91,4
AD.SCA4,B00IDAAOH8,25.14,3
AD.TPA4BLK,B00ECWOITG,30.54,2
ART225-921,B005CVUDA4,104.99,4
ART225-931,B00591FP46,135,2
ART225-941,B00591FP6E,195.99,2
ART225-951,B005CVW370,240,1
ART680,B005WUAGNE,3.2,7
ART6917AB,B007BU5RDC,36.95,7
ART800,B008TQJA3U,5.6,9
ART8237AB,B006K1D2X0,38.95,5
ART8627AB,B006K1D34I,16.95,5
B80809,B00AU0MW1K,6.99,5
BBCHMGG,B004LLORWG,18.99,18
BBCHMRS,B0001OZI7K,5.75,16
BC02041112,B001E63NE4,15.25,42
BC10332030,B000RMSNDM,11.05,14
BC10500171,B003ULCY64,5.35,13
BC10500364,B00004YTKR,2.5,12
BC10500425,B004BPM8OG,3.15,9
BC10500625,B000BKTGNG,2.65,9
BC10501322,B0038DZZ9W,2.5,15
BC10507290,B004I3WXEQ,3.7,8
BC10538548,B000BKQSGY,4.55,18
BC11094503,B000C1958A,20.99,8
BC11094506,B0007ZFXW8,29.99,10
BC11094509,B0007ZFXXW,27.25,7
BC11094515,B0007ZDVW2,31.99,7
BC11094516,B003AKPVSS,47.24,9
BC11094522,B000B9NAPW,79.99,3
BC11094524,B000B9RVI4,59.5,4
BC11094530,B0007ZDVRW,13.64,1
BC11094534,B0007ZHGY6,11.25,7
BC11094535,B003IFX5Z6,16.99,8
BC11094536,B0007ZHGYG,18.99,7
BC11094537,B00369V3U8,21.5,8
BC11094538,B003IG4BN0,26.25,8
BC11094552,B000C17THO,8.99,8
BC11094559,B0007ZHGWI,36.74,6
BC11094578,B0007ZFXXM,6.49,3
BC11203471,B000SKT0US,29.5,6
BC11203550,B004O7CSQ4,11.25,11
BC11203551,B008PCHGSY,11.25,6
BC11203552,B008PCHH42,11.25,7
BC11203553,B008PCHI1Y,11.25,6
BC11203554,B008PCHK4E,11.25,7
BC11203555,B008PCHKN0,11.25,7
BC11203556,B008PCHLTI,11.25,9
BC11203746,B0027ACJBO,33.5,6
BC11241226,B000CD2JAO,17.99,4
BC11241229,B0027AGDM0,20.25,7
BC11241271,B000BYVMEI,15.25,7
BC21011301,B002NULMKC,11.99,6
BC21011303,B002T4BEO6,11.99,3
BC21011304,B005D6BN98,11.99,7
BC21011305,B005D6EAJS,11.99,3
BC21011306,B005D6B6V8,11.99,4
BC21011401,B001GMH9DW,5.99,5
BC21011402,B001GMFMWW,5.99,4
BC21011403,B001GMHELE,5.99,5
BC21011404,B001GMHFKE,5.99,4
BC21011405,B00429O1VE,5.99,4
BC21011406,B0027IXEEW,5.99,6
BC40001001,B0027ILWNW,13.25,2
BC40001002,B002EA0YRI,20.15,3
BC40013149,B0027IT5DQ,27.99,4
BC40021101,B008TQVIX0,3.99,4
BC90300001,B001OBBTMW,3.6,12
BC90300002,B000UZER5Y,4.15,13
BC90300003,B000R9QHX8,5.2,17
BC90300004,B000RK2M18,6.05,29
BC90300005,B000UUJ2S6,5.4,10
BF832,886293193X,20,6
BF834,8862931980,20,2
BH031303,B001CZVLT6,12.49,7
BH031345,B00EXMRVYY,12.49,3
BH052450,B003VOIE7I,42.49,40
BH052451,B003VONVN0,44.49,39
BH052452,B003VOTWME,65.99,34
BH052500,B003VOO882,58.99,40
BH052501,B003VQX4HQ,70.99,40
BH052502,B003VQX7NW,82.99,40
BH052601,B003VQZP2S,148.99,40
BH052602,B003VR1VXY,189.99,40
BH056351,B003VR3PDI,71.99,40
BH056352,B003VQXZDE,91.99,40
BH056411,B003VR28G8,105.99,40
BH056412,B003VQYDTY,120.99,40
BOXA465B,B00HVXQ6MU,49.4,1
CF3355,B001ANVL9U,4.62,23
CF3356,B0086V4GSC,3.44,49
CF5324,B00119HMDC,19,5
CF8353,B002C2WCOG,4.79,13
CF8354,B004HG48WO,8.23,7
CF8355,B004HG2K8I,5.51,8
CF95401,B000KTB68Q,2.05,7
CF95406,B000MQ96IY,2.05,13
CF96619,B004HFZ2R0,1.39,5
CF96651,B00E8GJDA0,2.52,22
CFACW,B000I1TFMK,9.1,3
CFAWW,B001831N68,15.9,4
CFIDCW,B0038N41ZQ,13.2,27
CFPCW,B002V5AZQ6,5.3,16
CH116,8862931018,8.99,2
CH117,8862931026,8.99,4
CH218,8862931069,8.99,6
CPT 651116,B00379UG82,3.13,20
CPT6601108,B003DV9KFO,1.03,1
CPT6621104,B002IS5372,2.07,4
CPT6671108,B003DV5WX8,1.03,10
CPT6681108,B0038XOG9M,1.03,11
CR-400-32,B001EOC1RQ,16.95,3
CR-430-12,B001UNPDQC,9.95,10
CW5025R,B005BONBHE,5.99,7
D111075001,B000FJ9ALQ,3.99,4
D111075003,B000FJEIL8,3.99,4
D111075007,B000FJEIJA,3.99,6
D111075009,B000FJEIKY,3.99,8
D111075024,B000FJ7BVW,3.99,6
D111075034,B000FJEIJ0,3.99,7
D111075035,B000FJ7BYE,3.99,5
D111075065,B000FJ9AKM,3.99,5
D111075110,B000FJ9AJ8,3.99,4
D111075112,B000FJCOTG,3.99,5
D111075123,B000FJ7BY4,3.99,3
D111075135,B000FJEIKE,3.99,5
D111075137,B000FJEIJK,3.99,5
D111075142,B000FJ7BZ8,3.99,6
D111075221,B000FJEIHC,3.99,4
D111075223,B000FJ7BW6,3.99,5
D111075247,B000FJCOV4,3.99,5
D111075264,B000FJEILI,3.99,5
D111075338,B000FJEII6,3.99,6
D111075347,B000FJEIJU,3.99,4
D111075352,B000FJEIIQ,3.99,5
D111075361,B000FJEIK4,3.99,3
D111075375,B000FJEIKO,3.99,6
D111075379,B000FJ7C0C,3.99,6
D111075382,B000FJ7C0M,3.99,4
D111075388,B000FJ7C0W,3.99,5
D111075406,B000FJCOT6,3.99,6
D111075409,B000FJCOUA,3.99,5
D111075413,B000FJ9AKW,3.99,6
D111075503,B000FJ9AIE,3.99,5
D111075504,B000FJ7BWQ,3.99,4
D111075505,B007OT3YRG,3.99,6
D111075512,B000FJ9AKC,3.99,4
D111075515,B000FJCOTQ,3.99,4
D111075523,B000FJ9AJS,3.99,6
D111075527,B000FJ9AK2,3.99,4
D111075561,B007OTBCOS,3.99,5
D111075571,B000FJ7C02,3.99,5
D111075577,B000FJ9AJI,3.99,5
D111075583,B001MMU122,3.99,7
D111075588,B000FJCOVE,3.99,5
D111075617,B000FJ7BX0,3.99,6
D111075618,B007OTFZTG,3.99,4
D111075619,B002AFCWWM,3.99,5
D111075620,B000FJEIHM,3.99,3
D111075623,B000FJEIHW,3.99,4
D111075627,B000FJ7BXA,3.99,6
D111075628,B000FJ7BXU,3.99,5
D111075635,B002AFCX58,3.99,4
D111075651,B000FJ7BYO,3.99,4
D111075663,B000FJEILS,3.99,5
D111075667,B000FJ7BZS,3.99,6
D111900050,B000KNN1LW,18.45,9
D111900150,B000NM5T10,10.99,10
D114007022,B003LPS21U,6.25,6
D114030016,B0027IWTSO,11.95,3
D114050016,B002AF1EV2,14.75,1
D121150006,B004RC0F4S,4.99,5
D121150024,B004RBTKG8,4.15,3
D121150065,B004RC0F7K,4.15,4
D121150110,B004RC0F8O,4.15,3
D121150112,B004RBY2U2,4.15,3
D121150120,B004RBVOGW,4.15,3
D121150123,B004RBYPV8,4.15,4
D121150134,B004RC0FCK,4.15,4
D121150221,B004RBVOJO,4.99,4
D121150223,B004RC0FE8,4.99,2
D121150247,B004RBY2ZM,4.99,2
D121150335,B004RBTKPY,4.15,3
D121150355,B004RC0FGQ,4.15,3
D121150361,B004RC0FHA,4.15,6
D121150368,B004RBY34M,4.15,3
D121150375,B004RBVOPI,4.15,5
D121150408,B004RBY37E,4.15,4
D121150412,B004RC0FKC,4.15,2
D121150503,B004RBVORQ,4.15,4
D121150513,B004RBVOSA,4.15,3
D121150618,B004RBY3GK,4.15,5
D121150619,B004RBTKZ4,4.15,5
D121150620,B004RBTKZY,4.15,6
D121150634,B004RBVP0W,4.99,3
D121150663,B004RBYQAS,4.99,5
D121150667,B004RBTL3K,4.99,4
D121150675,B004RBYQC6,4.15,4
D128007020,B002AF9AUY,4.6,2
D128237022,B00263VREC,9.95,8
D129075006,B0009U7MQG,3.1,10
D129075009,B0009UD0KS,3.1,20
D129075024,B0009UD0P8,3.1,9
D129075036,B0009UD0K8,3.1,10
D129075040,B0009U7MNY,3.1,15
D129075065,B0009UD0JY,3.1,8
D129075078,B004RC0KXY,3.1,7
D129075100,B0009U5OB6,3.1,6
D129075110,B004RBTQ2G,3.1,7
D129075112,B0009UD0GC,3.1,9
D129075114,B00263Z9Z0,3.1,3
D129075120,B0009U7MKW,3.1,7
D129075123,B0009U7MKC,3.1,11
D129075134,B004RC0L7E,3.1,7
D129075142,B004RBYVTE,3.1,6
D129075154,B0009U7MRA,3.1,5
D129075221,B004RC2LUE,3.1,9
D129075223,B0009U5O5W,3.1,9
D129075230,B0009U5O7A,3.1,5
D129075247,B0009UFHAY,3.1,9
D129075302,B00263TPIC,3.1,5
D129075335,B0009U5O52,3.1,8
D129075349,B0009UFHHW,3.1,4
D129075352,B0009UD0HG,3.1,8
D129075355,B0009UD0H6,3.1,7
D129075361,B0009UD0GW,3.1,10
D129075367,B0009UFHAO,3.1,8
D129075368,B004RC2MJY,3.1,6
D129075375,B0009UFHKE,3.1,10
D129075404,B002R6533O,3.1,7
D129075408,B0009U5OEI,3.1,7
D129075412,B004RC2MSK,3.1,9
D129075418,B00263XTTS,3.1,4
D129075433,B0009U7MK2,3.1,9
D129075503,B0009UD0EO,3.1,6
D129075504,B007PNR5GW,3.1,7
D129075511,B004RC2MZ8,3.1,7
D129075513,B0009UFH9U,3.1,8
D129075538,B0009UFHBS,3.1,5
D129075544,B0009U5OBQ,3.1,5
D129075578,B0009U7ML6,3.1,6
D129075580,B0026436Q8,3.1,4
D129075588,B0009UFHHC,3.1,10
D129075618,B0009UFH90,3.1,9
D129075619,B0009UFH9A,3.1,7
D129075620,B0009U7MJI,3.1,7
D129075634,B004RC2NKW,3.1,10
D129075638,B004RC0MO6,3.1,5
D129075651,B0009U7MT8,3.1,7
D129075653,B0009UD0PS,3.1,1
D129075663,B0009UD0IK,3.1,8
D129075667,B004RC2NT8,3.1,5
D129075675,B0009UFHMW,3.1,6
D129075681,B0009U5O6G,3.1,3
D129075702,B0009UFHCC,3.1,4
D129075707,B0009UFHHM,3.1,7
D129075708,B0009U5OAM,3.1,5
D129075718,B004RC0N54,3.1,4
D129075719,B004RBVWHS,3.1,4
D129075720,B004RC0N7M,3.1,5
D129100005,B002LQ5DAI,7.99,17
D129100015,B000NM92KY,16.5,2
D129100025,B000NM92JK,15.5,10
D129150006,B0054VIOM6,4.15,5
D129150009,B007TQHX08,4.15,2
D129150024,B0054VHYYK,4.15,2
D129150036,B0054VIHE6,4.15,3
D129150040,B004YDC46M,4.15,4
D129150065,B004YDC3ZY,4.15,4
D129150078,B0054VIMVE,4.15,3
D129150100,B0054VJAUQ,4.15,2
D129150110,B0052MG9RY,4.15,3
D129150112,B007TQHVDM,4.15,3
D129150114,B0054VJA38,4.15,5
D129150120,B0052MGI2U,4.15,5
D129150123,B007TZ5TFU,4.15,2
D129150134,B0052MGJ56,4.15,4
D129150142,B0054VHAZI,4.15,4
D129150154,B0054VHI1O,4.15,3
D129150221,B0052MG988,4.15,3
D129150223,B0054VIBPQ,4.15,2
D129150230,B0054VIXDQ,4.15,5
D129150247,B004YDC4U8,4.15,6
D129150302,B0054VJ4WK,4.15,3
D129150335,B0054VHM74,4.15,5
D129150349,B0054VJL00,4.15,3
D129150352,B004YDC3CC,4.15,6
D129150355,B0054VHOQI,4.15,5
D129150361,B0052MGG5Y,4.15,4
D129150367,B007TZ5SSI,4.15,5
D129150368,B0052MGYSS,4.15,5
D129150375,B0052MGMO4,4.15,5
D129150404,B0054VJ682,4.15,3
D129150408,B0054VH9AO,4.15,5
D129150412,B004YDC4DK,4.15,3
D129150418,B0054VJ8US,4.15,3
D129150433,B0054VH7VU,4.15,6
D129150504,B0054VH31Y,4.15,3
D129150511,B0054VGZTU,4.15,5
D129150513,B007TQHWH2,4.15,5
D129150538,B0054VJIV2,4.15,4
D129150544,B0054VJGSW,4.15,3
D129150578,B0054VI2UU,4.15,5
D129150580,B0054VJ6VO,4.15,4
D129150588,B0054VH134,4.15,4
D129150618,B0054VGPX6,4.15,7
D129150619,B0054VGVM6,4.15,3
D129150620,B0052MGYI8,4.15,2
D129150634,B0054VI4AI,4.15,5
D129150638,B0054VGR8O,4.15,6
D129150651,B0052MGE5G,4.15,5
D129150653,B0054VJEK2,4.15,4
D129150663,B0054VI6RE,4.15,5
D129150667,B0052MGKGE,4.15,6
D129150675,B004YDC4LC,4.15,4
D129150681,B0054VJDHQ,4.15,1
D129150702,B0054VIP66,4.15,4
D129150707,B0054VITRQ,4.15,6
D129150708,B0054VIQNS,4.15,3
D129150718,B0054VIZEI,4.15,3
D129150719,B0054VJ31W,4.15,4
D129250006,B002MV832M,5.99,8
D129250009,B002AF3CGW,5.99,4
D129250024,B002AF1BNI,5.99,2
D129250036,B002AF1BPQ,5.99,3
D129250040,B002R0N55I,5.99,2
D129250065,B002AF6FXO,5.99,3
D129250100,B002AF6I3Q,5.99,1
D129250110,B002AF6GL0,5.99,3
D129250112,B002AFA8ZA,5.99,3
D129250120,B002AF19Z8,5.99,3
D129250123,B002AF1AVG,5.99,2
D129250134,B002AF19D0,5.99,2
D129250142,B002AFCRZ4,5.99,2
D129250154,B002AF6GDI,5.99,1
D129250221,B002AF8J7Y,5.99,3
D129250223,B002AF5AL2,5.99,3
D129250230,B002AFGSJA,5.99,2
D129250247,B002AF3A9G,5.99,4
D129250335,B002AF3AVO,5.99,3
D129250349,B002AF6H1O,5.99,2
D129250352,B002AF8J9W,5.99,5
D129250355,B002AF1AO8,5.99,1
D129250361,B002AF54TK,5.99,5
D129250367,B002AF58EQ,5.99,2
