chain,country,rooms,name,area,price
Independent,Indonesia,"Hotel Rooms: 282","RIMBA Jimbaran Bali by AYANA","Karang Mas Estate, Jalan Karang Mas Sejahtera , Jimbaran, Bali, 80634 Jimbaran, Indonesia",
Independent,Indonesia,"Hotel Rooms: 11","Nefatari Exclusive Villas","Jalan Katiklantang Singakerta, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 191","Bali Mandira Beach Resort & Spa","Jl. Padma2 P.O.Box 1003, Bali, 80361 Legian, Indonesia",
Independent,Indonesia,"Hotel Rooms: 120","Fairmont Sanur Beach Bali","Jl Kusuma Sari no 8, Sanur, 80227 Sanur, Indonesia",
Independent,Indonesia,"Hotel Rooms: 35","Komaneka at Tanggayuda Ubud","Jl. Raya Tanggayuda, Banjar Tanggayuda, Ubud, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 39","Kupu Kupu Barong Villas and Tree Spa by L’OCCITANE","Kedewatan PO BOX 7 80571, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 30","Beji Ubud Resort","Jl. Sangingan, Bali, 80571 Ubud, Indonesia",
"Hotel Chain:
Aston International Hotels, Resorts & Residences",Indonesia,"Hotel Rooms: 187,","Grand Aston Bali Beach Resort","Jl. Pratama No 68X, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 9","Sadeg Lembongan","Mushroom Bay, 80361 Lembongan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 46","Ulu Segara Luxury Suites & Villas","Jl. Raya Nusa Dua Selatan Desa Sawangan, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 28","Tejaprana Resort & Spa","Br. Sapat, Tegallalang - Ubud - Gianyar, Bali, 80561 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 20","Indiana Kenanga Luxury Boutique Hotel & Spa","Jalan Jungut Batu Beach No.56, 87500 Lembongan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 30","The Ubud Village Resort & Spa","Nyuh Kuning, Pengosekan, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 10","Surya Kembar Villas","Jl. Raya Kumbuh, Mas, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 20","Kinaara Resort & Spa Pemuteran Bali","Jl. Raya Pemuteran, 81155 Pemuteran, Indonesia",
Independent,Indonesia,"Hotel Rooms: 8","Villa Berawa","Jalan Pantai Berawa, Gang Sri Kahyangan, Banjar Berawa, Tibubeneng, Kuta Utara, Badung, 80361 Canggu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 68","Hotel Vila Lumbung","Jl. Raya Petitenget No.1000X, Bali, 80361 Seminyak, Indonesia",
"Hotel Chain:
Swiss-Belhotel International",Indonesia,"Hotel Rooms: 153,","Swiss-Belhotel Segara Resort & Spa","Jalan Pura Segara, 80361 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 541","Ayodya Resort Bali","Jalan Pantai Mengiat P.O Box 46, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 23","The Kayon Resort","Banjar Kepitu, Desa Kendran, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 35","Ananda Resort Seminyak","Jl. Laksamana No.1001X, Seminyak, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 12","Katala Villas","Jalan Pungutan Gang Jasmine Sanur, 80227 Sanur, Indonesia",
Independent,Indonesia,"Hotel Rooms: 22","The Menjangan","Jl. Raya Gilimanuk Singaraja KM 17, 81155  Banyuwedang, Indonesia",
Independent,Indonesia,"Hotel Rooms: 108","Maya Ubud Resort & Spa","Jl. Gunung Sari Peliatan, PO BOX 1001, Bali, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 13","Jamahal Private Resort and Spa","Jalan Uluwatu I, 80364 Jimbaran, Indonesia",
"Hotel Chain:
Bulgari Hotels and Resorts",Indonesia,"Hotel Rooms: 59,","Bulgari Resort Bali","Jalan Goa Lempeh, Banjar Dinas Kangin, 80364 Uluwatu, Indonesia",
"Hotel Chain:
Anantara Hotels & Resorts",Indonesia,"Hotel Rooms: 60,","Anantara Seminyak Bali Resort","Jl. Abimanyu (Dhyana Pura), Bali, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 130","The Breezes Bali Resort & Spa","Jalan Camplung Tanduk No. 66, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 191","Melasti Beach Resort & Spa Legian","Jl. Padma Utara, Bali, 80361 Legian, Indonesia",
Independent,Indonesia,"Hotel Rooms: 96","Grand Balisani Suites","Jl. Batubelig Beach, Seminyak-Petitenget, Bali, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 42","Rijasa Agung Resort and Villas","Br. Begawan, Ds. Melinggih Kelod, Payangan, 80572 Payangan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 5","Onlyou Villas","Jl. Raya Lipah, 80361 Amed, Indonesia",
