chain,country,rooms,name,area,price
Independent,Indonesia,"Hotel Rooms: 42","The Dreamland Luxury Villas & Spa","Jalan Raya Uluwatu, Ungasan, 80364 Uluwatu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 17","The Alena Resort","Banjar Silungan Desa Lod Tunduh, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 24","Sahadewa Resort & Spa","Jl. Hanoman, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 6","Villa Nirvana","Desa Sayan, Banjar Penestanan Kaja, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 6","Bali Eco Stay","Dusun Kanciana, Desa Gunung Salak, Selemadeg Timur, 82113 Blimbing, Indonesia",
Independent,Indonesia,"Hotel Rooms: 19","Anini Raka Resort & Spa","Jl. Raya Tjampuhan, Bali, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 20","Bagus Agro Pelaga","Jalan Raya Puncak Mangu, Desa Pelaga, Kecamatan Petang, 80353 Plaga, Indonesia",
Independent,Indonesia,"Hotel Rooms: 26","Sea Medewi Resort","Jl. Pantai Bahari, Kec. Mendoyo, 82261 Pulukan, Indonesia",
"Hotel Chain:
Holiday Inn Hotels & Resorts",Indonesia,"Hotel Rooms: 193,,","Holiday Inn Resort Baruna Bali","Jalan Wana Segara 33, 80361 Kuta, Indonesia",
Independent,Indonesia,"Hotel Rooms: 14","Saka Village Resort Ubud","Jalan Penestanan Kelod, Sayan, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 6","Villa Jakaranda and Villa Marakuya","Jalan Anturan Gang Rambutan, 81152 Lovina, Indonesia",
Independent,Indonesia,"Hotel Rooms: 96","The Seminyak Village","Jl. Beraban 888X, Banjar Taman, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 8","De Moksha Boutique Resort","Jalan Benuo, Banjar Kebilbil, Desa Belalang, Tabanan, 82121 Tanah Lot, Indonesia",
Independent,Indonesia,"Hotel Rooms: 47","Handara Golf & Resort Bali","Desa Pancasari, Sukasada, 81162 Bedugul, Indonesia",
Independent,Indonesia,"Hotel Rooms: 30","Taman Ujung Resort & Spa","Jl. Raya Taman Ujung, 80811 Jasri, Indonesia",
Independent,Indonesia,"Hotel Rooms: 75","Rumah Luwih Beach Resort and Spa Bali","Jalan Prof. Dr. Ida Bagus Mantra Km 19.9, Pantai Lebih, 80515 Keramas, Indonesia",
Independent,Indonesia,"Hotel Rooms: 24","Radha Phala Resort & Spa","Jl. Raya Kumbuh, Mas, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 10","Puri Bunga Resort and Spa Ubud","Kedewatan, 80571 Ubud, Indonesia",
"Hotel Chain:
Swiss-Belhotel International",Indonesia,"Hotel Rooms: 161,","Swiss-Belhotel Rainforest","Jl. Sunset Road No.101, 80361 Kuta, Indonesia",
Independent,Indonesia,"Hotel Rooms: 7","Bayad Ubud Bali Villa","Jl. Raya Payangan, 80572 Payangan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 22","Agata Resort Nusa Dua","Jl. Pura Segara - Sawangan, 80361 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 20","Mahagiri Resort & Restaurant","Jl. Surya Indah, Desa Rendang, 80571 Menanga, Indonesia",
Independent,Indonesia,"Hotel Rooms: 25","Suarti Boutique Village","Jalan Raya Nyuh Kuning, Pengosekan, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 15","Vision Villas Resort","Jalan Masceti Medahan, Blahbatu, 80581 Keramas, Indonesia",
Independent,Indonesia,"Hotel Rooms: 36","Rama Phala Resort & Spa","Jl. Pengosekan, 80361 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 25","Villa Diana Bali","Kresna st, Ulun Tanjung , Legian, 80361 Legian, Indonesia",
Independent,Indonesia,"Hotel Rooms: 20","Puri Taman Sari","Dusun Umabian, Desa Peken, Kecamatan Marga, Bali, 82112 Tabanan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 6","River Sakti Ubud","Jalan Suweta, Bentuyung, Ubud, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 6","Kusuma Villas","Jl Tunjung Mekar , Banjar Padang, 80361 Kerobokan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 58","Melka Excelsior Hotel","Jalan Raya Kalibukbuk, 81151 Lovina, Indonesia",
Independent,Indonesia,"Hotel Rooms: 2","Villa Uma Anyar - Rumah Tamu","Jl. Lodtunduh, Banjar Apuh, Lodtunduh, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 28","COOEE Bali Reef Resort","Jalan Pratama, Tanjung Benoa, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 26","Marbella Pool Suites Seminyak","Jalan Lebak Sari No. 20X, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 18","Sayan Kubu Resort","Jl Raya Tunon No 88, Singakerta, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 10","NusaBay Lembongan by WHM","Mushroom Bay, Lembongan Island, 80361 Lembongan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 22","Nirwana Sea Side Cottages","Lovina Beach - Kalibukbuk, 81116 Lovina, Indonesia",
Independent,Indonesia,"Hotel Rooms: 83","Sunari Beach Resort","Jl. Raya Lovina, Lovina Beach, 81151 Lovina, Indonesia",
Independent,Indonesia,"Hotel Rooms: 7","The Sanyas Retreat","Br. Dukuh, Desa Baturiti, Kerambitan, Tabanan, 80361 Tabanan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 10","Hotel Villa Ubud","Banjar Pedapdapan, Pejeng, Bali, 80552 Ubud, Indonesia",
"Hotel Chain:
Best Western",Indonesia,"Hotel Rooms: 111,,","Best Western Resort Kuta","Jl. Kubu Anyar No. 118, 80361 Kuta, Indonesia",
Independent,Indonesia,"Hotel Rooms: 19","The Tanis Hotel","Mushroom Bay, Semarapura, 80771 Lembongan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 24","Dewa Bharata Bungalows Candi Dasa","Candidasa, 80801 Candidasa, Indonesia",
Independent,Indonesia,"Hotel Rooms: 34","Matahari Tulamben Resort, Dive & SPA","Jalan Raya Abang - Kubu, 80853 Tulamben, Indonesia",
Independent,Indonesia,"Hotel Rooms: 24","Grand Jimbaran Boutique Resort & Spa","Jl. Uluwatu II, No. 108, 80364 Jimbaran, Indonesia",
Independent,Indonesia,"Hotel Rooms: 200","The Trans Resort Bali","Jalan Kerobokan, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 21","Banyualit Spa 'n Resort Lovina","Jl. Laviana, 81101 Lovina, Indonesia",
Independent,Indonesia,"Hotel Rooms: 5","The Citta Mengwi Villas","Jln Teleng No.59X Br. Cengkok - Baha, 80531 Mengwi, Indonesia",
Independent,Indonesia,"Hotel Rooms: 11","The Hamsa","Jalan Air Terjun Sing - Sing, Desa Cempaga, Banjar Dinas Corot - Buleleng - Bali, 81152 Lovina, Indonesia",
Independent,Indonesia,"Hotel Rooms: 18","Villa Mathis a Member of Secret Retreats","81 Jalan Bumbak Banjar Anyar, 80361 Canggu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 40","Holiway Garden Resort & SPA - Bali","Jl. Segara Benben, Desa Sambirenteng, Tejakula, 81173 Tejakula, Indonesia",
Independent,Indonesia,"Hotel Rooms: 40","Alit Beach Resort and Villas","Jl.Hang Tuah No.49, Sanur, Bali, Indonesia, 80227 Sanur, Indonesia",
Independent,Indonesia,"Hotel Rooms: 66","Baliwood Resort The Mansion","Jalan Penestanan, Sayan, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 4","Alam Mimpi","Jalan Tejakula-Tianyar, Kamboja, Desa Penuktukan, 81173 Tejakula, Indonesia",
Independent,Indonesia,"Hotel Rooms: 14","Bumi Ubud Resort","Jl. Raya Lodtunduh, 88, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 3","PiToBa Dive Resort Gondol","Dusun Gondol, Belakang Kantor Perikanan Gondol, 81155 Banjargondol, Indonesia",
Independent,Indonesia,"Hotel Rooms: 22","Sukun Bali Cottage","Jl Danau Poso No 102, 80228 Sanur, Indonesia",
Independent,Indonesia,"Hotel Rooms: 14","Prana Dewi Mountain Resort","Wongaya Gede, Kaja, 80361 Penebel, Indonesia",
Independent,Indonesia,"Hotel Rooms: 11","Taman Bebek Resort and Spa","Jl. Raya Sayan, Br Kutuh, Sayan, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 34","Alam Anda Ocean Front Resort & Spa","Sambirenteng, Singaraja,, 81173 Gretek, Indonesia",
Independent,Indonesia,"Hotel Rooms: 149","Padma Resort Ubud","Banjar Carik, Desa Puhu – Phayangan, 80572 Payangan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 7","Dara Ayu Villas & Spa","Jl. Raya Buahan No. 88 X, 80571 Payangan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 11","Bambu Indah","Banjar Baung, Desa Sayan , 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 12","Anahata Villas and Spa Resort","Br Umah Anyar, Pejeng Kaja Tampak Siring, Gianyar Po Box 1011, Bali, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 12","d'Nusa Beach Club","Light House Beach, Jungutbatu, 80771 Lembongan, Indonesia",
Independent,Indonesia,"Hotel Rooms: 6","Villa Agung Khalia","Banjar Sala, Pejeng Kawan, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 30","Rambutan Boutique Hotel","JL Mawar, 81151 Lovina, Indonesia",
Independent,Indonesia,"Hotel Rooms: 18","Parigata Villas Resort","Jl Duyung No: 99 Semawang, 80361 Sanur, Indonesia",
Independent,Indonesia,"Hotel Rooms: 22","Bali Mystique Hotel & Apartment","Jalan Petitenget 2000 xx , 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 34","Hideaway Villas Bali","Jl. Bangbang Bendot Gang Hideaway, 80363 Uluwatu, Indonesia",
"Hotel Chain:
Le Meridien Hotels & Resorts",Indonesia,"Hotel Rooms: 118,","Le Meridien Bali Jimbaran","Jalan Bukit Permai, 80361 Jimbaran, Indonesia",
Independent,Indonesia,"Hotel Rooms: 108","Montigo Resorts Seminyak","Jalan Petitenget Utara, Badung, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 8","Yoga Searcher Bali","Jalan Labuan Sait Suluban Pecatu Bali, 80364 Uluwatu, Indonesia",
"Hotel Chain:
Westin",Indonesia,"Hotel Rooms: 433,","The Westin Resort Nusa Dua Bali","PO Box 36 Nusa Dua, 80363 Nusa Dua, Indonesia",
"Hotel Chain:
Courtyard by Marriott",Indonesia,"Hotel Rooms: 287,,","Courtyard by Marriott Bali Seminyak Resort","Jalan Camplung Tanduk (Dhyana Pura), No. 103 SP, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 18","The Brothers Villa","Jl Labuan Sait Padang-Padang, 80361 Uluwatu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 11","Sanak Retreat Bali","Banjar Dinas Menagung, Desa Kayuputih, Kecamatan Banjar, 81152 Munduk, Indonesia",
"Hotel Chain:
Sheraton",Indonesia,"Hotel Rooms: 203,,","Sheraton Bali Kuta Resort","Jalan Pantai Kuta, 80361 Kuta, Indonesia",
Independent,Indonesia,"Hotel Rooms: 8","Puri Mangga Sea View Resort and Spa","Jl. Dewi Sri Desa Kayu Putih, 81161 Lovina, Indonesia",
"Hotel Chain:
St. Regis",Indonesia,"Hotel Rooms: 123,","The St. Regis Bali Resort","Kawasan Pariwisata Nusa Dua Lot S6 PO.BOX 44, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 12","Annora Bali Villas","Jl. Abimanyu No. 999X, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 13","kaMAYA Resort and Villas","Jl. Tanjung 41, Sanur, 80228 Sanur, Indonesia",
Independent,Indonesia,"Hotel Rooms: 90","Komune Resort & Beach Club Bali","Jl. Pantai Keramas, 80361 Keramas, Indonesia",
Independent,Indonesia,"Hotel Rooms: 80","Sadara Boutique Beach Resort","Jl. Pratama, Nusa Dua, Bali, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 184","Wina Holiday Villa Kuta Bali","Jalan Pantai Kuta, 80361 Kuta, Indonesia",
Independent,Indonesia,"Hotel Rooms: 16","Ubud Green Resort Villas","Jalan Sriwedari, No. 8, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 25","Anulekha Resort and Villa","Banjar Silungan, Desa Lodtunduh - Ubud, Bali - Indonesia, 80571 Ubud, Indonesia",
"Hotel Chain:
Sol Beach House",Indonesia,"Hotel Rooms: 128,","Sol Beach House Benoa Bali by Melia Hotels International","Jalan Pratama, Tanjung Benoa, Nusa Dua, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 156","The Kuta Playa Hotel & Villas","Kuta Beach Street 99X, Bali, 80361 Kuta, Indonesia",
"Hotel Chain:
Alila Hotels & Resorts",Indonesia,"Hotel Rooms: 68,","Alila Ubud","Desa Melinggih Kelod, Payangan, Gianyar, Bali, 80572  Ubud, Indonesia",
"Hotel Chain:
Nikko Hotels International",Indonesia,"Hotel Rooms: 408,","Grand Nikko Bali","Jl. Raya Nusa Dua Selatan, Bali, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 99","Rama Beach Resort and Villas","Jl. Jenggala ( ex. Wanasegara ) Kuta, 80361 Kuta, Indonesia",
Independent,Indonesia,"Hotel Rooms: 34","Sudamala Suites & Villas","Jalan Sudamala No. 20, 80227 Sanur, Indonesia",
Independent,Indonesia,"Hotel Rooms: 7","Sun Island Suites","Jalan Goa Gong, 80361 Uluwatu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 28","Puri Sunia Resort","Banjar Abangan, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 27","Bali Dream Resort","Jalan Penestanan Kelod, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 13","De Munut Balinese Resort","Jl, Penestanan, Ubud 80571, Gianyar, Bali, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 76","Rama Candidasa Resort & Spa","Jalan Raya Sengkidu P.O. Box 120, 80801 Candidasa, Indonesia",
Independent,Indonesia,"Hotel Rooms: 32","Abi Bali Resort and Villa","Jl Karang Mas Sejahtera No 89, 80361 Jimbaran, Indonesia",
Independent,Indonesia,"Hotel Rooms: 62","Adi Assri Beach Resorts And Spa Pemuteran","Desa Pemuteran, Kecamatan Gerogak, Singaraja, 81152 Pemuteran, Indonesia",
Independent,Indonesia,"Hotel Rooms: 24","The Bali Dream Villa & Resort Echo Beach Canggu","Br. Pengembungan, Desa Pererenan, Canggu, 80361 Canggu, Indonesia",
Independent,Indonesia,"Hotel Rooms: 32","Matahari Beach Resort & Spa","Jalan Raya Seririt-Gilimanuk, 81155 Pemuteran, Indonesia",
Independent,Indonesia,"Hotel Rooms: 17","Komaneka at Bisma Ubud","Jl. Bisma, Ubud, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 43","Agung Raka Resort and Villas","Jl. Pengosekan, 80571 Ubud, Indonesia",
"Hotel Chain:
Four Seasons Hotels and Resorts",Indonesia,"Hotel Rooms: 156,","Four Seasons Resort Bali at Jimbaran Bay","Jalan Kawasan Bukit Permai, Pantai Jimbaran, Bali, 80361 Jimbaran, Indonesia",
Independent,Indonesia,"Hotel Rooms: 16","Hotel Puri Tempo Doeloe","Jalan By Pass Ngurah Rai 209, Bali, 80221 Sanur, Indonesia",
Independent,Indonesia,"Hotel Rooms: 301","Grand Mirage Resort & Thalasso Bali - All Inclusive","Jalan Pratama No. 74, P.O. Box 43, Bali, 80363 Nusa Dua, Indonesia",
Independent,Indonesia,"Hotel Rooms: 22","Padang Bai Beach Resort","Jalan Panti Silayukti, 80872 Padangbai, Indonesia",
Independent,Indonesia,"Hotel Rooms: 146","Grand Istana Rama Hotel","Jl. Pantai Kuta, 80361 Kuta, Indonesia",
Independent,Indonesia,"Hotel Rooms: 121","Jimbaran Bay Beach Resort and Spa","Jl. Pantai Kedonganan, Tuban, 80361 Jimbaran, Indonesia",
Independent,Indonesia,"Hotel Rooms: 108","Grand Hardys Hotel & Spa - Kuta","Jl. Singosari No. 18, 80361 Kuta, Indonesia",
Independent,Indonesia,"Hotel Rooms: 80","Kuta Seaview Boutique Resorts","Jl. Pantai Kuta, 80331 Kuta, Indonesia",
Independent,Indonesia,"Hotel Rooms: 179","Bali Garden Beach Resort","Jalan Kartika, P.O. Box 1062, Tuban, Kuta, Bali 80361, 80361 Kuta, Indonesia",
Independent,Indonesia,"Hotel Rooms: 17","Wapa di Ume Resort & Spa","Jl. Suweta, Desa Sambahan, 80571 Ubud, Indonesia",
Independent,Indonesia,"Hotel Rooms: 100","Amadea Resort & Villas Seminyak Bali","Jalan Kayu Aya 55, 80361 Seminyak, Indonesia",
Independent,Indonesia,"Hotel Rooms: 26","Discovery Candidasa Cottages and Villas","Jalan Pantai Indah 06 , 80851 Candidasa, Indonesia",
Independent,Indonesia,"Hotel Rooms: 70","The Lokha Ubud","Jln Bangkiangsidem, Desa Keliki, Tegallalang, Ubud - Bali, 80561 Ubud, Indonesia",
"Hotel Chain:
Ramada",Indonesia,"Hotel Rooms: 402,,","Ramada Bintang Bali Resort","Jl Kartika Plaza P.O Box 1068, 80361 Kuta, Indonesia",
"Hotel Chain:
Ramada",Indonesia,"Hotel Rooms: 280,,","Ramada Encore Bali Seminyak","Jl. Dewi Saraswati III No.51, 80117  Seminyak, Indonesia",
"Hotel Chain:
Belmond Hotels",Indonesia,"Hotel Rooms: 64,","Belmond Jimbaran Puri","Jalan Uluwatu, 80361 Jimbaran, Indonesia",
Independent,Indonesia,"Hotel Rooms: 20","Puri Sebatu Resort","Br. Apuh, Desa Sebatu, Tegalalang - Ubud , 80571 Penginyahan, Indonesia",
