street,name,country,chain,area,price,rooms
Jalan Raya sempidi no 41 mengupura badung bali,Hotel Made Bali,Indonesia,,Denpasar,8USD,
Jl. Pura Demak IV No. 57,Dee Mansion,Indonesia,,Denpasar,17USD,
Jl.Hangtuah gang3 No.5 Sanur kaja ,Kubu Moana Villa Sanur,Indonesia,,Sanur,330USD,
Jalan Prof Ida Bagus Mantra Pantai Siyut Gianyar Bali Indonesia,Kori Maharani Villas,Indonesia,,Gianyar,95USD,
Jl. Danau Buyan III,Villa Sayang Taman,Indonesia,,Sanur,44USD,
Jl Petitenget 51B,Katamama,Indonesia,,Seminyak,270USD,
Jalan Nuansa Utama XIX No 8,Kubuku8 Guest House,Indonesia,,Jimbaran,18USD,
Jalan Buana Raya Gang Buana Turi No. 9,Hotel Kubu Indah,Indonesia,,Denpasar,42USD,
Jl Cemara Gg Camelion No 2 Semawang Sanu,Jepun Bali Villa,Indonesia,,Sanur,64USD,
JL. Melasti I gg. Intan Legian Kelod,Kartika Ayu Beach Inn,Indonesia,,Legian,27USD,
Jalan Thamrin,Hotel Intan Sari,Indonesia,,Denpasar,17USD,
Jl. Tirta Ening 2 No.1001,Balihomeholiday Mesui,Indonesia,,Sanur,66USD,
Jalan Katik Lantang Desa Singakerta Ubud Bali 80361,ZenRooms Ubud Singakerta,Indonesia,,Ubud,20USD,
Jalan Raya Lipah Amed,Cest Bon Homestay 2,Indonesia,,Amed,16USD,
"Jl. Kubu Anyar Kuta, A9 Kuta Royal Villas",Villa Jepun Kuta,Indonesia,,Kuta,129USD,
PANGKUNG SARI 3 Bali,One Eleven,Indonesia,,Seminyak,327USD,
"Jl. Raya Legian, Gang XXII, ( Across of Layali Restaurant )",Villa Kubu D Kubu,Indonesia,,Legian,335USD,
Jalan Pura Pengulapan No 9 Ungasan South Kuta Badung Regency,ZenRooms Bali Uluwatu,Indonesia,,Ungasan,25USD,
Jl Pudak Sari Kartika Plaza Kuta 80361 Indonesia,A Residence Kuta,Indonesia,,Kuta,15USD,
Jalan Raya Legian Gang Arjuna No 473 Legian 80361 Indonesia,Kumpul Kumpul Villa II Legian,Indonesia,,Legian,29USD,
"Jl. Raya Siangan, Gianyar ",Siangan Bungalow,Indonesia,,Petak,53USD,
Waka Nusa Resort Lembongan Island Indonesia,NusaBay by WHM,Indonesia,,Nusa Lembongan,161USD,
JL Srikandi Pererenan,Villa Melissa Pererenan,Indonesia,,Pererenan,"1,630USD",
Jl Cenderawasih No 27 Petitenget,Villa Alin,Indonesia,,Seminyak,289USD,
Jl Cendrawasih No 27 Petitenget,Villa Yang Seminyak,Indonesia,,Seminyak,155USD,
Jalan Raya Sayan,Sayang Manis,Indonesia,,Ubud,133USD,
Gambuh ,Villa Bukit Lovina,Indonesia,,Lovina,264USD,
"Jalan Dyana Pura, Gg. Bunga Kecil No. 5X ( Pondok Taman Sari) ",Jineng Villa Seminyak,Indonesia,,Seminyak,446USD,
Jalan Raya Seminyak Gang Keraton,Villa Olive Seminyak,Indonesia,,Seminyak,398USD,
"Jalan Braban, Gang Kmea, Seminyak-Kerobokan Bali",Abadi @ Kmea 3 Bedroom Villa,Indonesia,,Seminyak,247USD,
Jl. Basangkasa ,Ratu Alexa Villa,Indonesia,,Seminyak,274USD,
"Jl Raya Kuta 66, Banjar Ayar",ZEN Premium Tuban Airport,Indonesia,,Kuta,37USD,
Jl. Raya Semat ,Prana Villa,Indonesia,,Canggu,211USD,
Jalan Benuo Banjar Kebilbil Desa Belalang Tabanan,De Moksha Resort,Indonesia,,Tabanan,126USD,
Jalan Beji Ayu Gang 4 No 2 Sunset Road seminyak,Sunset Bungalow Seminyak,Indonesia,,Seminyak,42USD,
Jl Suweta Banjar Bentuyung Sakti Ubud Gianyar Bali,Royal Tulip Visesa,Indonesia,,Ubud,217USD,
"JL. Bunut Sari No. 8S, ",Siesta Legian Hotel,Indonesia,,Legian,32USD,
"Taman Yasa, Taman Mumbul",Villa Lakshmi,Indonesia,,Nusa Dua,594USD,
Jalan Taman Kebo Iwa,Top Homestay,Indonesia,,Nusa Dua,16USD,
Jl Pantai Nyanyi Tanah Lot,Tree Tops Villa,Indonesia,,Buwit,406USD,
Jl Lalang Temu 87 Uluwatu Road,Villa Margarita Jimbaran,Indonesia,,Jimbaran,371USD,
Jalan Sunset Road Kuta Bali,Golden Tulip Jineng Resort Bali,Indonesia,,Kuta,41USD,
Jl Raya Gilimanuk Singaraja KM 17,Plataran Menjangan Luxury Residence,Indonesia,,Banyuwedang,327USD,
Jl. Nakula V No. 2,Kembang Sari Hotel,Indonesia,,Legian,20USD,
Jl By Pas Ngurah Rai Tohpati,ZenRooms Denpasar Tohpati,Indonesia,,Denpasar,34USD,
"Jalan Bantas Kangin No. 12, Kedonganan",Cempaka Bali House,Indonesia,,Jimbaran,19USD,
Jalan Poppies I,Rita ZA Hotel,Indonesia,,Kuta,10USD,
Jl. Karang Mas Sejahtera No.89,Villa Halcyon A2,Indonesia,,Jimbaran,145USD,
Dusun Dauh Pangkung,Japanese Villa,Indonesia,,Pulukan,68USD,
"Jalan Mertenadi Gang Kubu Carik, Kerobokan Kelod",Villa Prabu,Indonesia,,Seminyak,132USD,
Jalan Gunung Batur No. 10 Br. Dlodpangkung Sukawati Gianyar,Dukuh Pande Villa,Indonesia,,Saba Bai,23USD,
Jl. Umalas 1,Ultra Modern Luxury Umalas,Indonesia,,Kerobokan,666USD,
"Banjar Tebesaya, Jl. Sukma Lorong Bedangin No. 9 Peliatan",Suastika Lodge,Indonesia,,Ubud,16USD,
"Jalan Raya Amed, Bunutan",Fisherman Family House,Indonesia,,Amed,23USD,
Jalan Raya Amed,Nyoman Abing Bungalow,Indonesia,,Amed,67USD,
Kunti Street No. 4 Seminyak,Aisha II Villa,Indonesia,,Seminyak,289USD,
"Jl. Nuansa Kori Utama no. 11A,Pedungan ",Frangipani Guest House,Indonesia,,Denpasar,17USD,
Jalan Katik Lantang ,Yogi House Ubud,Indonesia,,Ubud,118USD,
Jalan Plawa Gang Beji No. 43A,Villa Plawa,Indonesia,,Seminyak,216USD,
Jalan Perancak,Indigo House Inn,Indonesia,,Canggu,370USD,
"Jalan Raya Tumbak Bayuh, No. 77, Canggu",Ardha Chandra Villa,Indonesia,,Buwit,94USD,
"Banjar Katik Lantang, Desa Singakerta",Villa Capung Mas,Indonesia,,Ubud,87USD,
"Jalan. Monkey Forest ,Bali",Fibra Ubud,Indonesia,,Ubud,32USD,
Banjar Laing Pandak Bandung - Kediri,The Lotus Residence Bali,Indonesia,,Tabanan,283USD,
Jalan. Imam Bonjol No. 9-11,Gangga Cio Mansion Hotel,Indonesia,,Denpasar,30USD,
Jalan Mahendradata (Padang Gajah),Hotel Dwi Santika,Indonesia,,Denpasar,62USD,
Jl. Tumbak Bayuh ,Pandan Villa,Indonesia,,Canggu,419USD,
Jl. Kunti 2,Bali Kasih Villas,Indonesia,,Seminyak,231USD,
"Jalan Batuyang, Banjar Tangkeban, Kelurahan Batubulan Kangin, Kecamatan Sukowati, Kabupaten Gianyar",Puri Djojonagoro,Indonesia,,Ketewel,330USD,
Jalan Pura Demak Gang Marlboro 21 No 5 Denpasar Bali 80119 Bali Indonesia,RedDoorz @ Pura Demak Marlboro,Indonesia,,Denpasar,22USD,
Jalan Nakula Timur No 89 Denpasar Barat 80119 Bali Indonesia,RedDoorz @ Nakula Timur,Indonesia,,Denpasar,15USD,
Jalan Kartika Plaza Gang Rasta no 8a Kuta 80361 Bali Indonesia,RedDoorz near Lippo Mall 2,Indonesia,,Kuta,17USD,
Jl. Pankungsari Oberoi ,Sari Alexa Villa,Indonesia,,Seminyak,296USD,
"Perum Taman Nuansa Campuhan, Jalan Campuhan Utama Barat II, no 11, By Pass Ida Bagus Mantra ",Bali Saba House,Indonesia,,Blahbatuh,79USD,
Jalan Desa Cepaka,Green Day Villa,Indonesia,,Buwit,660USD,
Jalan Karang Tinggi No. 18,Villa Karang Kirana Bali,Indonesia,,Ungasan,211USD,
"Jalan Pantai Berawa, Gang Pura Daton Canggu Bali ",Villa Kudus,Indonesia,,Canggu,"1,589USD",
Jl. Werkudara Legian,Su s Cottages II,Indonesia,,Legian,19USD,
Jl. Kayu Aya nomor 54 ,Villa Bona Seminyak,Indonesia,,Seminyak,329USD,
Kawasan Wisata Nusa Dua Lot S-3,INAYA Putri Bali,Indonesia,,Nusa Dua,110USD,
"Jl. Subak Sari No. 63, Batu Belig",Villa Tulip Seminyak,Indonesia,,Canggu,231USD,
"Jl. Nyanyi, Banjar Braban ",Villa Tantangan,Indonesia,,Tabanan,644USD,
Jl. Lebak Sari No.19 Banjar Umasari,Paditeras Boutique Hotel,Indonesia,,Seminyak,121USD,
"Jalan Pura Kayu Putih, Tegal Gundul",Villa Sirocco,Indonesia,,Canggu,471USD,
"Jl. Raya Batu Mejan, Padang Linjong",Villa Levi,Indonesia,,Canggu,658USD,
Wongaya Gede Kaja,Prana Dewi Mountain Resort,Indonesia,,Jatiluwih,52USD,
Jalan Arjuna Gang Bulan,Villa Arjuna Legian,Indonesia,,Legian,144USD,
Jl. Pulau Galang No. 315,315 Residence,Indonesia,,Denpasar,20USD,
"Jalan Lotus M15, Dencarik, Lovina",Villa Beranda,Indonesia,,Dencarik,79USD,
"Banjar Tegalbingin, Mas, Gianyar",Puri Puncak Bukit Villa,Indonesia,,Ubud,49USD,
Jl. Sayan,Ubud Batik Villa,Indonesia,,Ubud,29USD,
Jalan Panji Tisna Kaliasem,Santhika B&B,Indonesia,,Lovina,13USD,
Sunset Road Street,ZenRooms Kuta Sunset Road,Indonesia,,Kuta,23USD,
Jl. Raya Seminyak gang Badung No. 1,O2 Luxury Villa Seminyak,Indonesia,,Seminyak,173USD,
Jalan Tangkupan Perahu Gang Saraswati No. 9,Penginapan Tegal Indah,Indonesia,,Denpasar,41USD,
Jl. Umalas I Gg XV,Villa Roman Kerobokan,Indonesia,,Kerobokan,368USD,
"Banjar Tabola, Karangasem",The Bukit Artha Guesthouse,Indonesia,,Sidemen,34USD,
Jl. Batu Belig,Cinta 1 Villa,Indonesia,,Seminyak,457USD,
"Jl. Kunti II /Dewi Saraswati 3, Seminyak",Revata Villa 3,Indonesia,,Seminyak,132USD,
Jalan Mahendradata Selatan,Hotel Penginapan Pondok Indah,Indonesia,,Denpasar,34USD,
"Tundung Penyu Dipal no 11
Jl. Balangan Ungasan ",Villa Bukit Heights,Indonesia,,Ungasan,264USD,
"Jl. Sari Temuku Gang 4 No. 2, Basangkasa ",Bobo Bungalow,Indonesia,,Seminyak,231USD,
Jalan Uluwatu - Balangan,Kumala Ocean Villa,Indonesia,,Ungasan,258USD,
Jalan Blambangan No 5 Kuta Badung 80361 Bali Indonesia,RedDoorz near Gelael Kuta,Indonesia,,Kuta,22USD,
"Jln. Pantai Nyanyi Utara, Br Kebon,Pandak Gede",Amanah Villa,Indonesia,,Buwit,202USD,
Jl Laviana Banyualit Buleleng Indonesia,Ray Beach Inn,Indonesia,,Lovina,23USD,
Jl Legian Kaja Legian 80361 Indonesia,Puri Wisata Balinesse Style Hotel,Indonesia,,Legian,29USD,
Jalan Raya Sririt - Gilimanuk Desa Pemuteran Pemuteran 81155 Indonesia,Man's Cottages and Spa,Indonesia,,Pemuteran,48USD,
Jl. Kutat Lestari 9E,Weda Homestay,Indonesia,,Sanur,27USD,
Jl. Candidasa,The Rishi Candidasa Beach Hotel,Indonesia,,Candi Dasa,27USD,
"Banjar Begawan, Desa Melinggih Kelod",COMO Shambhala Estate,Indonesia,,Payangan,604USD,
"Jl. Damai, Gang Padma No. 14 ",Villa Maryadi Sprenger,Indonesia,,Lovina,46USD,
"Jl. Tegal Sari, Banjar Tegal Gundul, Desa Tibubeneng, Kuta Utara",Villa Kalyani,Indonesia,,Canggu,981USD,
Jalan Raya Pengubengan No 168,Maharaja Villas,Indonesia,,Kerobokan,128USD,
Jl. Raya Semat ,Villa Khaizan,Indonesia,,Canggu,264USD,
Jalan Gunung Soputan I No.88,Cityzen Soputan Suites,Indonesia,,Denpasar,23USD,
Jalan Bunutan-Bangle,Star East Bungalows,Indonesia,,Bunutan,48USD,
Jalan Raya Tjampuhan Sanggingan Ubud 80571,Aniniraka Resort,Indonesia,,Ubud,41USD,
Jalan Umalas II No. 78,Umalas Villa 78,Indonesia,,Kerobokan,56USD,
"Jalan Raya Semat, Gang Jalak 22",Berawa Breeze,Indonesia,,Canggu,237USD,
"Jl. Bottle Belabang, Br.Pacung ",Villa Rock Tanah Lot,Indonesia,,Tabanan,363USD,
Jalan Merta Ayu No 18 Banjar Pengubengan Kangin ,Teras Harta Homestay,Indonesia,,Kerobokan,19USD,
"Jalan Bisma, Gang Pura Agung 8D",Studio 8D Residence,Indonesia,,Legian,28USD,
Jalan Nakula Timur,ZenRooms Legian Nakula 1,Indonesia,,Legian,20USD,
"Jl. Tegal Sari no. 57, Br. Tegal Gundul",Villa Kanten,Indonesia,,Canggu,270USD,
Jalan Merta Nadi 83 B,Villa Puri Buri,Indonesia,,Seminyak,74USD,
Jalan Umalas Klecung No 35,Andaru Villa Umalas,Indonesia,,Kerobokan,392USD,
Jl. Batursari Gg. SK IX No. 1,Fruits Villa,Indonesia,,Sanur,23USD,
"Jalan Idraprasta Br. Giri Dharma, Denpasar Bali ",Noah Villa and Chapel,Indonesia,,Ungasan,50USD,
Bali Cliff Street no 13 ,Satu Lagi Villa,Indonesia,,Ungasan,99USD,
Jalan Kusuma Dewa No 9 ,Bali Prani Apartment,Indonesia,,Denpasar,87USD,
Jalan Sriwedari,ZenRooms Ubud Sri Wedari,Indonesia,,Ubud,32USD,
Jl Bumbak Dauh,Villa Ambient,Indonesia,,Kerobokan,272USD,
Banjar Pabean Ketewel,Anapuri Villas,Indonesia,,Ketewel,503USD,
Jl. Poppies Line II Gang Dewi no 3,Pondok Krishna Poppies,Indonesia,,Kuta,18USD,
Jl Kartika Plaza Gang Samudra No 06 Kuta Kabupaten Badung 80361 Bali Indonesia,RedDoorz @ Kartika Plaza,Indonesia,,Kuta,10USD,
Perumahan Taman Mulia Jalan Arwana No 88,ZenRooms Jimbaran Taman Mulia,Indonesia,,Jimbaran,16USD,
Jalan Tukad Yeh Aya IX No 17-18 Renon Denpasar Selatan 80237 Bali Indonesia,RedDoorz @ Renon,Indonesia,,Denpasar,11USD,
Jl. Singajara Denpasar Br. Candi Kuning Bedugul ,Hotel Sorgawi Bedugul,Indonesia,,Bedugul,19USD,
Jalan By Pass Ngurah Rai No 168 Nusa Dua 80361 Bali Indonesia,RedDoorz @ By Pass Nusa Dua,Indonesia,,Nusa Dua,10USD,
Jalan Bakung Sari Kuta Kabupaten Badung 80361 Bali Indonesia,RedDoorz near Kuta Square,Indonesia,,Kuta,13USD,
14 Jalan Pantai Pererenan,FC Residence Bali,Indonesia,,Canggu,89USD,
Jalan Glogor Carik No 324,The Ayudya,Indonesia,,Denpasar,19USD,
Jalan Raya Seminyak Kuta Kabupaten Badung 80361 Bali Indonesia,RedDoorz near Double Six,Indonesia,,Seminyak,21USD,
Jl Umalas Klecung Gang VI No 1 Kerobokan 80361 Indonesia,Arwana Estate,Indonesia,,Kerobokan,212USD,
Jalan Poppies 1 Gang Sorga 80361 Bali,The Kubu Hotel,Indonesia,,Kuta,12USD,
Jalan Pantai Kuta Kuta Badung Bali 80361 Indonesia,Bali Sandy Resort,Indonesia,,Kuta,25USD,
Jalan Beji Ayu Seminyak 80361 Indonesia,@M2 Villa,Indonesia,,Seminyak,379USD,
Jalan Bypass I Gusti Ngurah Rai Gang Tatasari Blok B Kuta 80361 Bali Indonesia,RedDoorz near By Pass Ngurah Rai,Indonesia,,Kuta,18USD,
Jalan Subak Sari,Villa Rajawali,Indonesia,,Canggu,268USD,
Jl Kayu Aya Gang lebah/Aura 44,Villa Dewi Seminyak,Indonesia,,Seminyak,220USD,
Jalan Pemelisan Agung no.12 Canggu Berawa - Kuta Utara BALI,The Arradea Villas,Indonesia,,Canggu,120USD,
Jl Segara Batu Bolong No 18 Kuta Bali 80361 Indonesia,Bounty Hotel Kuta,Indonesia,,Kuta,41USD,
Jl Sekar Waru no 6 Denpasar 80361 Indonesia,Villa Seriska Dua Sanur Bali,Indonesia,,Sanur,340USD,
Jalan Desa Uma Abian Blayu Tabanan Indonesia,Uma Sari Rice Terrace,Indonesia,,Tabanan,55USD,
Jl Umalas Kelecung Umalas 2 Kauh Kerobokan 80361 Indonesia,The Grove Umalas,Indonesia,,Kerobokan,188USD,
Jalan Windusara Kedisan Kintamani 80652 Indonesia,Segara Hotel,Indonesia,,Kubupenlokan,44USD,
Jalan Ulun Suan No 324,The Ayudya Ulun Suan,Indonesia,,Denpasar,15USD,
Jl Bisma,Puri Cantik Bungalow,Indonesia,,Ubud,54USD,
Jl Bidadari I Seminyak 80361 Indonesia,Casa Bidadari,Indonesia,,Seminyak,37USD,
Jalan Benesari,Mekar Jaya Bungalows,Indonesia,,Kuta,13USD,
Jalan Batugalih,Villa Dua Bintang,Indonesia,,Munduk,45USD,
Jl Mawar Lovina Kalibukbuk Singaraja,Puri Bali Hotel,Indonesia,,Lovina,24USD,
Jalan Raya Lovina Binaria Kalibukbuk,Hotel Dupa,Indonesia,,Lovina,11USD,
Jallan Kajeng No 35,Ubud Sari Health Resort,Indonesia,,Ubud,41USD,
"Jl. Mawar, Kalibukbuk",Astina Hotel,Indonesia,,Lovina,19USD,
"Jalan Cocoa II No AA , Br Bunutan, Kedewatan",Bali Ubud Villas View,Indonesia,,Ubud,190USD,
Jl Danau Tamblingan No 50,ZenRooms Sanur Tamblingan,Indonesia,,Sanur,36USD,
"Desa Sengkidu, Mendira - Candidasa",Pondok Pisang Candidasa,Indonesia,,Candi Dasa,16USD,
Perumahan Taman Mulia Jalan Arwana No 88 Jimbaran 80361 Bali Indonesia,RedDoorz @ Jimbaran,Indonesia,,Jimbaran,11USD,
Jln Bakung Sari 13 A,ZenRooms Kuta Flora,Indonesia,,Kuta,26USD,
Jalan Raya Kesambi,Grand Kesambi Resort and Spa,Indonesia,,Kerobokan,152USD,
Jl Seririt Singaraja Tangguwisia,Prabhu Suites,Indonesia,,Banjar,30USD,
Jl Raya Nyuh Tebel BTN No 7,Ayu Taman Sari,Indonesia,,Candi Dasa,26USD,
Jl Raya Payangan Desa Puhu Kecamatan Payangan,STEP Ubud Training Hotel,Indonesia,,Payangan,26USD,
Jalan Eka Laweya Nakula No 8,ZenRooms Seminyak Eka Laweya,Indonesia,,Legian,43USD,
Jalan Nakula Timur gang Marga Ayu No 88 Kuta 80361 Bali Indonesia,RedDoorz @ Nakula Sunset 2,Indonesia,,Kuta,19USD,
Jalan Raya Uluwatu Ds Ungasan 80363 Jimbaran Indonesia,ZenRooms Uluwatu GWK,Indonesia,,Ungasan,26USD,
Jalan Kuwum II Gang Rajawali,ZenRooms Kerobokan Rajawali,Indonesia,,Kerobokan,21USD,
Jalan Raya Bunutan,ZEN Premium Ubud Nyuh Bojog,Indonesia,,Ubud,43USD,
Jalan Bisma,Pondok Indah,Indonesia,,Ubud,19USD,
Jalan Nakula No 9,ZenRooms Badung Nakula,Indonesia,,Legian,21USD,
Jalan Tanjung Simah Labuan Sait Pecatu,ZEN Premium Pecatu Tanjung Simah,Indonesia,,Uluwatu,43USD,
Jalan Raya Jungut Batu Nusa Lembongan,Risna Homestay,Indonesia,,Nusa Lembongan,9USD,
Jl Gunung Soputan,ZenRooms Denpasar Gunung Soputan,Indonesia,,Denpasar,19USD,
Jalan Raya Candidasa,Benthos Bali Dive Resort,Indonesia,,Candi Dasa,52USD,
Gang Rambutan n/a,Villa Lumbalumba,Indonesia,,Lovina,33USD,
Jl Raya Pengosekan Bali 80571 Indonesia,ZenRooms Ubud Pengosekan 1,Indonesia,,Ubud,22USD,
Jalan Raya Seminyak No 14 Seminyak 80361 Bali Indonesia,RedDoorz @ Raya Seminyak,Indonesia,,Seminyak,19USD,
Jalan Gunung Athena No 15,ZenRooms Seminyak Gunung Athena,Indonesia,,Seminyak,22USD,
Desa Sayan Banjar Sindu Sayan-Ubud Bali,ZenRooms Ubud Sayan,Indonesia,,Ubud,35USD,
Jalan Raya Penglipuran,Penglipuran Home Stay,Indonesia,,Cempaga,152USD,
Jalan Raya Kerobokan Banjar Campuhan 80361 Bali Indonesia,RedDoorz @ Raya Kerobokan,Indonesia,,Kerobokan,19USD,
Jalan Nakula Timur No 6,ZenRooms Legian Nakula 3,Indonesia,,Denpasar,21USD,
Jl Imam Bonjol No 45 Denpasar Bali 80037 Indonesia,Taman Suci Hotel,Indonesia,,Denpasar,19USD,
Jl Yudistira No 2 Banjar Basangkasa Seminyak Kuta Bali,The Citta Villas,Indonesia,,Seminyak,52USD,
Jl By Pass Ngurah Rai Denpasar Sel Kota Denpasar Bali 80221 Indonesia,ZenRooms Denpasar ByPass Suwung,Indonesia,,Denpasar,24USD,
Mahendradata Kuta Denpasar 80361 Bali,ZenRooms Denpasar Mahendradata,Indonesia,,Denpasar,20USD,
Jalan Nakula Gang Srikandi No 1,ZenRooms Legian Nakula Srikandi,Indonesia,,Legian,25USD,
"Br. Tebola, Sidemen - Karangasem",Villa Aura Surga,Indonesia,,Sidemen,53USD,
Tukad Sumaga,Villa Resort Puri Bulan,Indonesia,,Celukan Bawang,165USD,
Jl Gedong Sari 1 No 8,Villa Scena Bali,Indonesia,,Nusa Dua,240USD,
Banjar Amed Desa Purwakerti Kec. Abang,Amed Stop Inn,Indonesia,,Amed,9USD,
Jalan Nakula gang Srikandi No 1 Seminyak Kabupaten Badung 80361 Bali Indonesia,RedDoorz @ Nakula Seminyak,Indonesia,,Legian,21USD,
Pratama no 71A Tanjung Benoa,Bali Village Hotel Nusa Dua,Indonesia,,Tanjung Benoa,31USD,
Jl Pratama Tanjung Benoa PO Box 132 Nusa Dua Bali Indonesia,Rumah Bali Hotel,Indonesia,,Tanjung Benoa,89USD,
"Jalan Subak Sari no 10, Canggu Club Area",Villa Hawila Canggu,Indonesia,,Canggu,312USD,
Po Box 7 Lot 6,Club Med Bali,Indonesia,,Nusa Dua,0,
"Blok T, Kawasan Wisata",Grand Whiz Hotel Nusa Dua Bali,Indonesia,,Nusa Dua,0,
"Padma Utara Street, Po Box 2011",Balisani Padma Hotel,Indonesia,,Legian,0,
Jalan Raya Pengosekan,Green Field Hotel and Restaurant,Indonesia,,Ubud,0,
Jalan Petitenget No. 2,Hotel Neo Seminyak - Petitenget,Indonesia,,Seminyak,0,
Jl. Pantai Labuan Sait,Suarga Padang Padang,Indonesia,,Uluwatu,0,
Jl. Nakula 11 ,Puri Dewa Bharata Hotel & Villas,Indonesia,,Legian,0,
Jl Laksamana 1001x,Ananda Resort Bali,Indonesia,,Seminyak,0,
Jl. Kuta Theater No 8,The Pavilion Hotel Kuta,Indonesia,,Kuta,0,
"Jalan Hanoman, Ubud City Centre",Artini Cottages 2,Indonesia,,Ubud,0,
"Jl By Pass Ngurah Rai No 259, Simpang Siur",Mega Boutique Hotel,Indonesia,,Kuta,0,
P.O. Box. 1,Inna Putri Hotel Bali,Indonesia,,Nusa Dua,0,
Hanoman Street Padang Tegal,Tegal Sari Accommodation Bali,Indonesia,,Ubud,0,
Jalan Elang Number 5,Airport Kuta Hotel and Residences,Indonesia,,Tuban,0,
Jalan Pratama 72 Tanjung Benoa,Club Bali Mirage,Indonesia,,Tanjung Benoa,0,
Jalan Mas Lovina,The Lovina,Indonesia,,Lovina,0,
Jl. Wenara Wana / Jl. Bisma ,Nicks Pension Bali,Indonesia,,Ubud,0,
Nyuh Kuning ,Saren Indah Hotel Bali,Indonesia,,Ubud,0,
Jl Panti Silayulkti,Padang Bai Beach Bungalows Resort Bali,Indonesia,,Padangbai,0,
Komplek Burung Jl. Nuri No. 2,Anika Melati Hotel and Spa,Indonesia,,Tuban,0,
Jalan By Pass Ngurah Rai 660 Pesanggaran,Hotel Yani Bali,Indonesia,,Denpasar,0,
Jl. Drupadi No. 10,Destiny Boutique Hotel by Premier Hospitality Asia,Indonesia,,Seminyak,0,
Jalan Monkey Forest Banjar Padang Tegal Kelod Ubud - Gianyar Bali,Anumana Ubud Hotel,Indonesia,,Ubud,0,
Jalan Double Six,Bali Hotel Pearl,Indonesia,,Legian,0,
"Banjar Baung, Desa Sayan, Ubud PO.Box 3888",Bambu Indah,Indonesia,,Ubud,0,
"Br. Laplapan, Ubud",Manyi,Indonesia,,Ubud,0,
Jl R Singaraja ,Tulamben Wreck Divers Resort,Indonesia,,Tulamben,0,
Jl. Werkudara No. 464,AQ-VA Hotel & Villas,Indonesia,,Legian,0,
Jl Pura Telaga Waja Petitenget,Cicada Luxury Townhouses,Indonesia,,Seminyak,0,
Jalan Padma Utara,Bali Chaya Hotel Legian,Indonesia,,Legian,0,
Jalan Penestanan Kelod,Bali Dream Resort,Indonesia,,Ubud,0,
Jalan Danau Tamblingan Street 51 ,Laghawa Beach Hotel & Villa,Indonesia,,Sanur,0,
"Jl. Kartika Plaza, ",Rabasta Dedy Beach Inn Kuta,Indonesia,,Kuta,0,
"Jl. Jenggala - Tuban Beach, Kuta Beach",Green Garden Beach Resort Bali,Indonesia,,Kuta,0,
Nyuh Kuning Village PO BOX 165,Alam Shanti Hotel Bali,Indonesia,,Ubud,0,
Jl. Kartika Plaza Tuban,Hotel Santika Premiere Beach Resort Bali,Indonesia,,Kuta,0,
Jalan - Raya Seririt - Gilimanuk Pemuteran - Buleleng,Matahari Beach Resort And Spa Bali,Indonesia,,Pemuteran,0,
"Jalan Plawa, Gang Cempaka No 9",Kubu Cempaka Seminyak,Indonesia,,Seminyak,0,
Jl. Bypass Ngurah Rai 888 Sanur,Harrads Hotel and Spa Sanur Bali,Indonesia,,Sanur,0,
"Jalan Umalas Kelecung, Umalas 2",Pandawa All Suite Hotel,Indonesia,,Kerobokan,0,
"Po Box 165, Nyuhkuning",Alam Jiwa,Indonesia,,Ubud,0,
Jalan Raya Seminyak,Bali Yarra Villas - Seminyak,Indonesia,,Seminyak,0,
Jl. Raya Pemuteran,Kinaara Resort & Spa,Indonesia,,Pemuteran,0,
Jl. Lebak Sari 20 X Kerobokan Petitenget,Cattleya Suite Condotel at Seminyak,Indonesia,,Seminyak,0,
Jalan Pantai Sindhu ,Villa Mahapala,Indonesia,,Sanur,0,
"Kayu Putih Street # 13, Canggu-Bali",Desa Seni Resort Bali,Indonesia,,Canggu,0,
Jalan Mertanadi No 14,Savvoya Resort Seminyak by Prasanthi,Indonesia,,Seminyak,0,
Ceningan Island,Secret Point Hut,Indonesia,,Nusa Ceningan,0,
"Br Umah Anyar, Pejeng Kaja Tampak Siring",Anahata Villas & Spa Resort Bali,Indonesia,,Ubud,0,
Jalan Raya Seririt,Padmasari Resort Lovina,Indonesia,,Lovina,0,
"PO Box 54 Ubud, Gianyar",COMO Shambhala Estate Hotel Begawan Giri Bali,Indonesia,,Payangan,0,
Mushroom Bay,Sadeg Lembongan,Indonesia,,Nusa Lembongan,0,
Jl. Polonia,BaliRa Airport Hotel,Indonesia,,Tuban,0,
Jl.Legian - Gg.Troppo Zone,Troppo Zone Puri Rama Resort Kuta,Indonesia,,Kuta,0,
Jalan Kesari No. 36 ,Kembali Lagi Guest House,Indonesia,,Sanur,0,
Jalan Andong,Puri Padma Hotel,Indonesia,,Ubud,0,
Jl. By Pass Ngurah Rai,Q Hotel Bali,Indonesia,,Kuta,0,
Pejeng Kawan - Br.Tatiapi Kaja -Gianyar,Villa Areklo Resort Bali,Indonesia,,Ubud,0,
" Selang Beach, Amed, Karangasem",Blue Moon Villas Bali,Indonesia,,Amed,0,
Jalan Puri Bagus,Aquaria,Indonesia,,Candi Dasa,0,
Jalan Kubu Anyar No. 20 X,Kubu Anyar Hotel,Indonesia,,Kuta,0,
