street,name,country,chain,area,price,rooms
"Jl. Pura Dalem, Seminyak, Kuta",Villa Lalu Bali,Indonesia,,Seminyak,55USD,
Jalan Pengubugan Gang Kayu Nagasari No 7 Banjar Silayukti,Gusti Homestay Kerobokan,Indonesia,,Kerobokan,17USD,
Jalan Benesari,Grand La Walon Hotel,Indonesia,,Kuta,35USD,
Jalan Bisma,Villa Capung Mas Ubud,Indonesia,,Ubud,83USD,
Jalan Melasti/Lebak bene,Hotel Puri Tanah Lot,Indonesia,,Legian,13USD,
Dream Beach Road,The Cozy Villas Lembongan,Indonesia,,Nusa Lembongan,49USD,
Jl Pengeracikan Gang I,Srikandi Inn by Gamma Hospitality,Indonesia,,Jimbaran,17USD,
Kubu Anyar,Kuta Holiday Villas,Indonesia,,Kuta,150USD,
"Jalan Mudu Taki V No. 2 Tegal Jaya, Badung",Zizz Convention Hotel,Indonesia,,Denpasar,16USD,
Jalan Subak Catur,Echo Beach Resort,Indonesia,,Canggu,66USD,
"Jl Kesari II, Gg Tegal Sari",Aleesha Villas and Suites,Indonesia,,Sanur,100USD,
Jalan Raya Nusa Dua Selatan,The Villas at Grand Nikko Bali,Indonesia,,Nusa Dua,466USD,
Jln. I Gusti Ngurah Rai Gang Taman Sari No 8,Vidi Boutique Hotel,Indonesia,,Jimbaran,24USD,
Jl Pulau Kawe No 40,Cozy Stay Hotel Simpang Enam,Indonesia,,Denpasar,24USD,
Jl Uluwatu no 88 Uluwatu Center Point,My Dream Resort & Spa,Indonesia,,Ungasan,48USD,
"Jl. Eka Laweya (Jl. Nakula) no. 8, Seminyak-Bali",Svarna Suite Seminyak,Indonesia,,Legian,28USD,
Jl. Diponegoro No. 122,Grand Chandra Hotel,Indonesia,,Denpasar,11USD,
Jalan Ungasan Raya,Maha Ungasan,Indonesia,,Ungasan,74USD,
Tamarind Beach,Dinatah Lembongan Villas,Indonesia,,Nusa Lembongan,33USD,
Jalan Nakula Timur,Nakula Bed and Beyond,Indonesia,,Denpasar,13USD,
"Jalan Pura Dalem 2, Desa Medahan, Kemenuh",Maison Mazaya,Indonesia,,Ubud,53USD,
"Jalan. Subak Sari, Pantai Berawa",Amore Villas,Indonesia,,Canggu,64USD,
Jl. Dewi Sri No. 88x,Amaris Hotel Dewi Sri - Bali,Indonesia,,Legian,17USD,
"Jl. Air Panas, Desa Banjar",Grya Sari - the Bali Hot Springs Hotel,Indonesia,,Banjar,26USD,
Jalan Kaliasem No 1,Grand Mirah Boutique Hotel,Indonesia,,Denpasar,27USD,
Banjar Pesalakan Desa Pejeng Kangin,Pesantian Villa & Warung,Indonesia,,Ubud,61USD,
Jalan Three Brothers,Hotel Lumbung Sari,Indonesia,,Legian,43USD,
Jalan Raya Kuta No 323,Hadi Poetra Inn,Indonesia,,Kuta,17USD,
"Pantai Seseh, Munggu, Bali",Sejuk Beach Villas,Indonesia,,Pererenan,273USD,
Jalan Raya Uluwatu I no.999x,3 Princess Ocean View Spa And Hotel,Indonesia,,Jimbaran,41USD,
Jungut Batu,Ware Ware Surf Bungalows,Indonesia,,Nusa Lembongan,54USD,
Jl.Umalas Lestari No 8,The Rishi Villa Umalas,Indonesia,,Kerobokan,52USD,
Jalan Airport Ngurah Rai No 7 Kuta,Hilton Garden Inn Bali Ngurah Rai Airport,Indonesia,,Tuban,54USD,
Jalan.Udayana No 2,Jimbarwana Hotel,Indonesia,,Negara,23USD,
Jl. Werkudara (Pura Bagus Taruna) No. 532 ,Sus Beach Hotel Legian,Indonesia,,Legian,27USD,
"alan Sentanu No. 9. Bayad, Tegallalang",Bali Eco Adventure Resort,Indonesia,,Ubud,47USD,
"Jalan. A. Yani No. 48, Singaraja",Hotel Sentral - Bali,Indonesia,,Singaraja,11USD,
JL Pantai Indah No 16,Prima Resort Candidasa Bali,Indonesia,,Candi Dasa,44USD,
"Banjar Pasut, Tibubiyu, Kerambitan, Tabanan Sub-District",Amarta Retreat,Indonesia,,Antasari,62USD,
Jalan Sunset Road No 17,Hotel Santika Seminyak,Indonesia,,Legian,29USD,
Jungutbatu Beach,Scooby Doo Beach Bungalow,Indonesia,,Nusa Lembongan,41USD,
Jl Raya Siligita Permata Nusa Dua Blok III/I,Allia Residence,Indonesia,,Ungasan,26USD,
Danau Tamblingan 60 (Opposite Sanur Beach Hotel and Garuda Office),Agung & Sue Watering Hole II,Indonesia,,Sanur,26USD,
Jl Cokroaminoto No 56 Denpasar,Hotel Warta Dua,Indonesia,,Denpasar,13USD,
Bhineka Jati Jaya XI/No.18 ,Tasas Inn,Indonesia,,Kuta,9USD,
