name,country,area,chain,price,street,rooms
Redonda Bay Resort,Nicaragua,San Juan del Sur,,0,Playa Majagual,
Parador Granada,Nicaragua,San Juan del Sur,,0,Playa Majagual,
Hotel Maritimo El Cubano Leon Department,Nicaragua,San Juan del Sur,,0,Playa Majagual,
Casa Sacuanjoche,Nicaragua,San Juan del Sur,,0,Playa Majagual,
Hotel Laguna de San Martin,Nicaragua,San Juan del Sur,,0,Playa Majagual,
Malibu At Pacific Marlin,Nicaragua,San Juan del Sur,,0,Playa Majagual,
Hotel Best View Corn Island,Nicaragua,San Juan del Sur,,0,Playa Majagual,
Hostal El Momento,Nicaragua,San Juan del Sur,,0,Playa Majagual,
Latina Hostal,Nicaragua,San Juan del Sur,,0,Playa Majagual,
Hotel Gran Oceano,Nicaragua,San Juan del Sur,,0,Playa Majagual,
Managua Hills Bed and Breakfast,Nicaragua,Managua,,0,"Primera Entrada a Las Colinas, 2 cuadras Este y 2 cuadras Sur",
Bastilla Ecolodge,Nicaragua,Jinotega,,0,Comarca Las Colinas,
Finca Neblina del Bosque,Nicaragua,Ocotal,,0,"De la Rampla, 300 mts al Este",
Buena Onda Backpackers,Nicaragua,San Juan del Sur,,0,"Barrio Frente Sur,, from casa de dragon, 50 meters on your left hand",
Backpackers Manahuac,Nicaragua,Managua,,0,"Hotel Seminole 1 cuadra oeste, 4 1/2 cuadras al sur",
Hotel Yolaina,Nicaragua,Managua,,0,"De Donde Fue Restaurante Quelite 1Cuadra al Este,1Cuadra al Norte,1Cuadra al este, junto a la mezquita de Nicaragua",
Hotel Ticomo,Nicaragua,Managua,,0,Km 8 1/2 Carretera Sur,
Lobster Pot,Nicaragua,Bluefields,,0,Barrio Punta Fria,
Farmstay El Porton Verde,Nicaragua,Managua,,0,"43 Rua Bartolomeu Zunega, Pinheiros",
Inn on the Pacific,Nicaragua,San Juan del Sur,,0,Del Restaurante el Timon 175 al Norte,
Surfing Donkey,Nicaragua,San Juan del Sur,,0,De la Iglesia del calvario 1 cuadra al sur,
Tocamar,Nicaragua,San Juan del Sur,,0,9 Km From San Juan Del Sur Middle Of,
Farmstay El Porton Verde Managua,Nicaragua,Managua,,0,"Km. 10.5 Caretera a Masaya, 2 km al Sur",
Hostal Ola Italiana,Nicaragua,San Juan del Sur,,0,Del centro de salud 60 metros al sur,
Hotel Casablanca San Juan del Sur,Nicaragua,San Juan del Sur,,0,"Apartado Postal No. 86, In Front of the Beach",
Hostal El Caribe,Nicaragua,Granada,,0,"Calle Inmaculada, 050–008–4",
Hospedaje El Maltese,Nicaragua,Granada,,0,Malecon De Granada - Granada,
Hotel Nina San Juan del Sur,Nicaragua,San Juan del Sur,,0,"Market Avenue, City Market, 10 mt.eas",
Soul Free at Poza de Perla,Nicaragua,Leon,,0,"2.3 km north of El Transito, Leon Province",
Hotel El Pantano,Nicaragua,Ocotal,,0,"Banco Procredit, 8 cuadras al, Oeste, Sector 4",
Hotel Playa Marbella,Nicaragua,Montelimar,,0,Km 58.5 Carretera a Villa El Carmen,
Hotel California Rivas,Nicaragua,Rivas,,0,"De imprenta Argentina 50 mtrs, to the lake",
Hospedaje Ari,Nicaragua,Granada,,0,"1ra calle sur Xalteva,pulperia, Jennifer 20mts al oeste, Granada, Nicaragua",
Parque Maritimo El Coco Managua,Nicaragua,Managua,,0,18 Km South Of San Juan Del Sur,
Linda Guest House - Beach Casita,Nicaragua,San Juan del Sur,,0,"Main Road and Beach, Santa Cruz",
Posada La Gordita,Nicaragua,Leon,,0,"de donde fue el supermercado Salman, 1 y 1/2 abajo",
Kelkodi,Nicaragua,Granada,,0,Calle El Consulado,
Hotel Azul Pitahaya,Nicaragua,San Juan del Sur,,0,Del Mercado Municipal 1c. al Oeste,
Hotel Nicaraus,Nicaragua,Rivas,,0,100 M al norte del Hospital de Moyogalpa,
Hotel Casa Canada,Nicaragua,Corn Islands,,0,"Corn Island, Barrio South End en frente del Hotel Sun Rise",
Casa Amalia,Nicaragua,Granada,,0,Calle Cuiscoma,
Hotel Chico Largo,Nicaragua,Rivas,,0,San Jose del Sur 1 km Este del puerto Charco verde,
Sunrise Hotel Corn Islands,Nicaragua,Corn Islands,,0,Via principal,
Hacienda Colonial Hotel Boutique,Nicaragua,Granada,,0,km 44.8 Carretera Granada a Masaya,
O'Sheas San Juan del Sur,Nicaragua,San Juan del Sur,,0,"Carretera hacia El Remanso, complejo Congo Hill",
Sea View Corn Islands,Nicaragua,Corn Islands,,0,Detras de la Iglesia Penticostes,
Hotel Los Delfines,Nicaragua,Corn Islands,,0,200 Mts Al Sureste Del Muelle Minicipal,
Hotel Morgan Corn Islands,Nicaragua,Corn Islands,,0,North End,
Apartamentos Trimar,Nicaragua,San Juan del Sur,,0,Frente al Mercado Municipal de San Juan del Sur,
Casa Hola Aloha,Nicaragua,San Juan del Sur,,0,"1/2 mile east of Playa Marsella, just off La Chocolata",
Fisher's Cave,Nicaragua,Corn Islands,,0,Brig Bay next to the Municipal Pier,
La Vista Eco Properties,Nicaragua,Tola,,0,Hacienda Iguana 3km west,
Private Island - Ikaria,Nicaragua,Granada,,0,Isletas de Granada,
Quinta Irlanda,Nicaragua,San Juan del Sur,,0,De la entrada playa el remanso 200 m al norte,
EME Hotel Masachapa,Nicaragua,Montelimar,,0,"Desde el Empalme Montelimar, 150 vras hacia la playa",
Vida del Mar Beach and Golf Resort,Nicaragua,Managua,,0,Villa el Carmen km 49 road to Masachapa,
Hotel Casa El Madrono,Nicaragua,Managua,,0,Canal 2 de Television 1c al sur 50 mts oeste residencial Bolonia,
Casa Larocque,Nicaragua,Pochomil,,0,100 metros al este de Vistamar,
Casa Los Gekos Managua,Nicaragua,Managua,,0,"Linda Vista Norte, de Districto de Policia 2, 2 cuadra abajo y 25 Varas al Norte casa 122",
Miramar SurfCamp,Nicaragua,Leon,,0,De la cancha de Miramar,
Villa Petra Masaya,Nicaragua,Masaya,,0,"North Road, Laguna de Apoyo",
Hostal Casa del Mar,Nicaragua,San Juan del Sur,,0,Paseo del Rey Frente a plaza de las Artes,
Casa Frente Sur,Nicaragua,San Juan del Sur,,0,De La iglesia San Juan Bautista 3 cuadras Sur,
Posada Puesta del Sol,Nicaragua,San Juan del Sur,,0,Del parque 10 metros al oeste,
Intercontinental Hotels Hotel I-C Managua,Nicaragua,Managua,,0,101 Octava Calle Sur Oeste No 101 PO Box 3278,
Kahka Creek,Nicaragua,Southern Atlantic Autonomous Region,,0,Laguna de Perlas,
Hospedaje Libertad,Nicaragua,Granada,,0,"Calle 14 de Septiembre,",
Clandestino,Nicaragua,San Juan del Sur,,0,Playa Maderas,
Hotel El Conquistador Managua,Nicaragua,Managua,,0,Plaza Inter,
Hotel Frontera,Nicaragua,Ocotal,,0,"Km. 226 Panamerican Highway, Adjacent to Shell Ramos",
La Alcoba,Nicaragua,Granada,,0,Calle Libertad y Ave Cervantes,
Ike's Place - Vientos del Norte,Nicaragua,Corn Islands,,0,Final de la pista de aterrizaje North End,
Monte Hiedra Inn,Nicaragua,Managua,,0,27 de Mayo,
Tribal Hotel,Nicaragua,Granada,,0,Calle Cuizcoma,
Casa Angelina San Juan del Sur,Nicaragua,San Juan del Sur,,0,Frente a Bahia Nacascolo,
Hotel and Restaurante La Gran Francia,Nicaragua,Granada,,0," Se Corner Of Central Park
Central Park",
Hotel Real Granada,Nicaragua,Granada,,0,Del Inss 1cuadra al sur Calle La Bolsa,
Hospedaje del Bosque,Nicaragua,San Juan del Sur,,0,Hotel Villa Paraiso 50 varas al Sur,
Hotel Casa de Oro,Nicaragua,Granada,,0,"Calle El Caimito. Kinder Carita Feliz 1c. al Norte, 1/2c. al Oeste",
Kekoldi de Granada,Nicaragua,Granada,,0,Calle Real Xalteva,
Hotel Plaza Colon Granada,Nicaragua,Granada,,0,Ave Vega,
Hostal Real Bolonia Managua,Nicaragua,Managua,,0,Pan American Highway,
Hilton Princess Managua Hotel,Nicaragua,Masaya,,0,4,
Condo Tortuga,Nicaragua,San Juan del Sur,,0,San Juan del Sur,
Hotel Toritos Bar y Restaurante,Nicaragua,Granada,,0,Parque central 2 1/2 cuadra al este.,
Irish House San Juan del Sur,Nicaragua,San Juan del Sur,,0,Del Mercado 2 cuadras al Norte,
Casa Mateo Christian Missions House,Nicaragua,Jinotega,,0,Del BDF 1 1/2 cuadras al oeste,
Green Surf Nicaragua,Nicaragua,Managua,,0,"El Transito, Centro de salud",
Pelican Eyes Villas,Nicaragua,San Juan del Sur,,0,De la Parroquia 1 1/2 cuadra al Este,
Local Shores,Nicaragua,Leon,,0,Salinas Grandes,
Hotel Escuela Laguna de San Martin,Nicaragua,Jinotega,,0,"Carillos, Guanacaste",
Linda Guest House - Main Beach House,Nicaragua,San Juan del Sur,,0,"Main Road and Beach, Santa Cruz",
Hotel Estrella San Juan del Sur,Nicaragua,San Juan del Sur,,0,Paseo Maritimo,
Hostal Leon De Oro,Nicaragua,Leon,,0,6ta Avenida Noreste,
Tony's Lake Cabin in Balgue,Nicaragua,San Juan del Sur,,0,Lake Front Road,
Hostal Jarden,Nicaragua,Granada,,0,De la iglesia Xalteva 1 cuadra al Este 1 cuadra al Sur,
Granada 2,Nicaragua,Granada,,0,Calle La Calzada,
Hostel Casa El Roble,Nicaragua,Managua,,0,"km 12 Carretera Vieja a leon, 2 km al Sur y 300 metros abajo.",
Finca Hotel El Chipote San Juan del Sur,Nicaragua,San Juan del Sur,,0,"Altagracia, 000-000-0 Altagracia san juan del sur rivas",
Hotel Maritimo Leon,Nicaragua,El Cubano,,0,Calle Central Poneloya. Del Ensanche delas Penitas giras a la derecha 150 metros al Oeste,
Cafe-Hostal Villa Victoria,Nicaragua,Masatepe,,0,"Alcaldia Municipal 1 cuadra al Sur, 25 varas al Este",
Villa Elena San Juan del Sur,Nicaragua,San Juan del Sur,,0,"Villas de Palermo , Carretera San Juan del Sur 139 km",
Hostal Amelia,Nicaragua,San Juan del Sur,,0,Del Mercado 50 metros al norte,
Colonial House Leon,Nicaragua,Leon,,0,"Del supermercado la Colonia, Zaragosa, dos cuadras y media al oeste",
Hotel Barca de Oro,Nicaragua,El Cubano,,0,"Frente a la Bocana, Las Penitas",
Manta Raya Hospedaje,Nicaragua,San Juan del Sur,,0,Playa Ostional,
Villa America Granada,Nicaragua,Granada,,0,"Caimito Street, Half a block from Central Square",
The Landing Hotel,Nicaragua,Rivas,,0,"Main road, 30 MTRS east of the port",
Las Palmeras Corn Islands,Nicaragua,Corn Islands,,0,De la policia 150mts al noroeste,
La Casona De Los Estrada,Nicaragua,Granada,,0,Del Convento San Francisco 50 Varas Al Oeste,
