price,name,country,chain,area,rooms
"US$44","ZenRooms Denpasar Padang Mekar",Indonesia,"Hotel Chain:
ZEN Rooms","Jalan Padang Mekar No 99, Mahendradata, 80117 Denpasar, Indonesia","Hotel Rooms: 2,"
"US$17","Saimai Residence",Indonesia,Independent,"Jl. Kartika Plaza, Pertokoan Kuta Centre 8X Blok B 2nd Fl, 80361 Kuta, Indonesia","Hotel Rooms: 18"
"US$13","Budhi Beach Inn",Indonesia,Independent,"Jl. Pantai Kuta, 80361 Kuta, Indonesia","Hotel Rooms: 15"
"US$237","Pita Maha Resort & Spa",Indonesia,Independent,"Jalan Sanggingan, 80571 Ubud, Indonesia","Hotel Rooms: 24"
"US$46","Lebak Bali Residence",Indonesia,Independent,"Jalan Raya Batu Bolong, 80361 Canggu, Indonesia","Hotel Rooms: 7"
"US$72","Legong Keraton Beach Hotel",Indonesia,Independent,"Jalan Pantai Berawa, Canggu, 80361 Canggu, Indonesia","Hotel Rooms: 40"
"US$52","Nesa Sanur Bali",Indonesia,Independent,"Jalan Danau Tamblingan No. 144, 80277 Sanur, Indonesia","Hotel Rooms: 18"
"US$19","The Royal Kimberley Suite",Indonesia,Independent,"Jalan Gunung Payung, Gang Balinesia No. 2, 80363 Kerobokan, Indonesia","Hotel Rooms: 10"
"US$194","Komaneka at Monkey Forest Ubud",Indonesia,Independent,"Jl. Monkey Forest, Ubud, 80571 Ubud, Indonesia","Hotel Rooms: 14"
"US$137","KajaNe Mua at Ubud Bali",Indonesia,Independent,"Monkey Forrest Road, 80571 Ubud, Indonesia","Hotel Rooms: 23"
"US$33","Bije Suite Bisma Ubud",Indonesia,Independent,"Jalan Bisma, 80571 Ubud, Indonesia","Hotel Rooms: 10"
"US$89","Ubud Raya Resort",Indonesia,Independent,"Jalan Raya Sayan, Banjar Sindu, Sayan, 80571 Ubud, Indonesia","Hotel Rooms: 15"
"US$65","Onlyou Villas",Indonesia,Independent,"Jl. Raya Lipah, 80361 Amed, Indonesia","Hotel Rooms: 5"
"US$106","Hotel Tjampuhan Spa",Indonesia,Independent,"Jalan Tjampuhan PO Box 198, Ubud, 80571 Ubud, Indonesia","Hotel Rooms: 67"
"US$36","Kutabex Beachfront Hotel",Indonesia,Independent,"Jl. Pantai Kuta, Br. Pande Mas, 80361 Kuta, Indonesia","Hotel Rooms: 101"
"US$34","Bali Breezz Hotel",Indonesia,Independent,"Jl. Pantai Sari No. 23 , 80361 Jimbaran, Indonesia","Hotel Rooms: 36"
"US$62","Amarta Beach Retreat - by Karaniya Experience",Indonesia,Independent,"Banjar Pasut, Desa Tibubiu, Kerambitan, 82161 Tabanan, Indonesia","Hotel Rooms: 10"
"US$129","Poppies Bali",Indonesia,Independent,"Jalan Legian, Poppies Lane 1 No.19, 80361 Kuta, Indonesia","Hotel Rooms: 20"
"US$318","Jamahal Private Resort and Spa",Indonesia,Independent,"Jalan Uluwatu I, 80364 Jimbaran, Indonesia","Hotel Rooms: 13"
