name,street,country,chain,area,rooms,price
Soundwaves Resort,Gili Trawangan ,Indonesia,,Lombok,,0
Desi Bungalow,Gili Trawangan ,Indonesia,,Lombok,,0
Hotel Gili Air & Restaurant,Desa Gili Indah,Indonesia,,Lombok,,0
Desi Homestay 2,Gili Trawangan ,Indonesia,,Lombok,,0
Duarsa Bungalows,Gili Trawangan Island,Indonesia,,Lombok,,0
Bintang Beach 1 Hotel,Gili Air ,Indonesia,,Lombok,,0
Bale Langgaq,Gili Trawangan,Indonesia,,Lombok,,0
Soraya Yoga Wellness Center Lodging,"Jl. Ikan Todak, Gili Trawangan",Indonesia,,Lombok,,0
Suri Bungalows,"Gili Meno, Lombok",Indonesia,,Lombok,,0
Debby Backpacker Homestay,Gili Meno,Indonesia,,Lombok,,0
Amigos Bungalow,Gili Meno Island ,Indonesia,,Lombok,,0
Cemos Homestay,Gili Trawangan,Indonesia,,Lombok,,0
Five Elements Resort,"Sunset Point, ",Indonesia,,Lombok,,0
Fitria Homestay,"Gili Trawangan, Lombok",Indonesia,,Lombok,,0
Baiq Homestay,Gili Air,Indonesia,,Lombok,,0
Le Grand Gili Backpacker,Gili Trawangan,Indonesia,,Lombok,,0
Misel Homestay,Gili Trawangan ,Indonesia,,Lombok,,0
Locanda Gili Lombok,North Beach Gili Trawangan  Kabupaten Lombok Utara,Indonesia,,Lombok,,0
4r Bungalow,Gili Air,Indonesia,,Lombok,,0
Villa Dunia,Kelapa Villas Residence ,Indonesia,,Lombok,,0
Villa Bintang Lombok,Gili Trawangan,Indonesia,,Lombok,,0
Gili Backpackers,Poppies Gang 3,Indonesia,,Lombok,,0
Locanda 75,"North Beach, West Nusa Tenggara 006285888, Indonesia",Indonesia,,Lombok,,0
Touring Gili Trawangan Hotel,Gili Trawangan,Indonesia,,Lombok,,0
Vila Ombak,Gili Trawangan,Indonesia,,Lombok,,0
Manta Bungalows,Gili Trawangan Islandnusa Tenggara Barat,Indonesia,,Lombok,,0
Alam Gili Hotel,Trawangan Lombok,Indonesia,,Lombok,,0
Mallias Bungalows,Jl. Gili Indah ,Indonesia,,Lombok,,0
JW Homestay,Gili Air,Indonesia,,Lombok,,0
