name,area,chain,country,rooms,price
"Ibis Styles Bali Petitenget","Petitenget No 19 Kerobokan Kelod, Kuta Utara, 80361 Seminyak, Indonesia","Hotel Chain:
ibis Styles",Indonesia,"Hotel Rooms: 134,",
"Bije Sari Suite Bisma","Jalan Bisma, Ubud, Bali, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 8",
"Serela Legian Bali","Jalan Lebak Bene No.168, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 98",
"Lotus Tirta Seminyak","Jalan Drupadi II 99 TM, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 17",
"Bali Spirit Hotel & Spa","Jl. Nyuh Kuning Village, Bali, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 27",
"Om Ham Resort Ubud","Jalan Tirta Tawar, Junjungan, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 42",
"Ubud Sari Health Resort","Jalan Kajeng, No 35, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 20",
"Nipuri Resort and Restaurant","Jalan Batu Belig No.16x, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 21",
"Bali Hotel Pearl","Jalan Double Six, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 15",
"The Alea Hotel","Jalan Cenderawasih No. 78, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 144",
"Casa Kayu Aya","Jalan Kayu Jati Gang Sri Darma No.9, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 24",
"Fourteen Roses Beach Hotel","Jl. Melasti, Intan Lane No. 1, Legian , 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 40",
"Sativa Sanur Cottages","Jl.Cemara no.25, 80031 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 49",
"Hotel Neo Seminyak - Petitenget","Jalan Petitenget No. 2, 80361 Seminyak, Indonesia","Hotel Chain:
Aston International Hotels, Resorts & Residences",Indonesia,"Hotel Rooms: 101,",
"ZEN Rooms Kerobokan Umalas Klecung 2","Jalan Umalas Klecung No 50, Br. Batubelig Kangin, 80361 Canggu, Indonesia",Independent,Indonesia,"Hotel Rooms: 2",
"The Pavilion Hotel Kuta","Jalan Kuta Theater no 8, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 28",
"Palm Garden Bali","Jl.Pratama no.71 Gg. Pandu , 80361 Nusa Dua, Indonesia",Independent,Indonesia,"Hotel Rooms: 12",
"Kubu Cempaka Seminyak","Jalan Plawa, Gang Cempaka No. 9, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 20",
"Casa Ganesha Hotel","Jalan Raya Pengosekan, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 24",
"Lakeside Cottages","Toya Bungkah, Kintamani, 80652 Kubupenlokan, Indonesia",Independent,Indonesia,"Hotel Rooms: 12",
"Natya Hotel Tanah Lot","Kawasan Wisata Tanah Lot, 82171 Tanah Lot, Indonesia",Independent,Indonesia,"Hotel Rooms: 10",
"Ari Putri Hotel","Jl. Cemara, Br. Semawang, Sanur, 80361 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 56",
"Sagitarius Inn","Jl. Monkey Forest, Ubud, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 23",
"Ion Bali Benoa","Jln. Pratama no 93 Tanjung Benoa, 80363 Nusa Dua, Indonesia",Independent,Indonesia,"Hotel Rooms: 150",
"Casa Padma Kuta","Jalan Padma - Kuta, Bali, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 29",
"Villa Puri Ayu","Jl. Pantai Cemara 4B, Sumawang, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 18",
"Seaside Suites Bali","Jalan Pantai Arjuna No. 18 Double Six Beach , 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 28",
"Maxi Hotel Kedonganan","Jalan By Pas Ngurah Rai No. 99x, 80361 Jimbaran, Indonesia",Independent,Indonesia,"Hotel Rooms: 37",
"Bali Rani Hotel","Jalan Kartika Plaza, Kuta, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 104",
"Suly Resort & Spa","Jl. Cok Rai Pudak Br. Yangloni Peliatan, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 65",
"Manik Garam Boutique Villa","Jalan I Ketut Natih, 80852 Amed, Indonesia",Independent,Indonesia,"Hotel Rooms: 12",
"Adma Umalas","Jalan Umalas I No. 42, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 14",
"ZenRooms Kuta Kubu Anyar 1","Jalan Kubu Anyar No. 20, 80361 Kuta, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 6,",
"Rosani Hotel","Jl. Melasti / Lebak Bene, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 36",
"Damara Lembongan","Mushroom Bay, 80771 Lembongan, Indonesia",Independent,Indonesia,"Hotel Rooms: 10",
"Dewi Villa","Jalan Raya Padangbai KM 1,1, Manggis, Karangasem, 80871 Padangbai, Indonesia",Independent,Indonesia,"Hotel Rooms: 10",
"Indira Cottages","Jalan Bisma, 80361 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 10",
"bnb Style Hotel Seminyak","Jl. Kunti 1 No.9, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 35",
"Bali Diva Kuta","Poppies Lane I, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 24",
"Royal Casa Ganesha","Jl. Raya Lod Tunduh No. 88, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 46",
"Cendana Resort & Spa","Jl. Monkey Forest, Ubud - Bali , 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 31",
"Puri Rai Hotel","Jalan Silayukti No. 7X, 80872 Padangbai, Indonesia",Independent,Indonesia,"Hotel Rooms: 34",
"Santi Sari Boutique Hotel and Spa","Goris, Desa Pejarakan, 81155 Pemuteran, Indonesia",Independent,Indonesia,"Hotel Rooms: 10",
"Lumbung Sari Beach Inn","Jl Three Brothers , 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 35",
"POP! Legian Dewi Sri","Jl. Dewi Sri No. 1A, 80361 Legian, Indonesia","Hotel Chain:
HARRIS Hotels & Resorts",Indonesia,"Hotel Rooms: 128,",
"favehotel Umalas","Jl. Raya Petitenget 7, Kerobokan Kuta, Bali - Indonesia, 80361 Seminyak, Indonesia","Hotel Chain:
Aston International Hotels, Resorts & Residences",Indonesia,"Hotel Rooms: 119,",
"The Griya Sanur","Jalan Bay Pass Ngurah Rai Sanur No.402 , 80361 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 26",
"Hotel Karthi Kuta","Jalan Kartika Plaza, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 54",
"Akana Boutique Hotel","Jalan Sudamala No. 17, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 36",
"Siesta Legian","Jalan Bunut Sari No.8, Legian, 80361 Legian, Indonesia","Hotel Chain:
Avilla Hospitality",Indonesia,"Hotel Rooms: 121,",
"MaxOneHotels.com at Seminyak","Jalan Cendrawasih, Petitenget, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 79",
"Puri Sunny Hotel","Desa Munduk, Banjar, 81152 Munduk, Indonesia",Independent,Indonesia,"Hotel Rooms: 12",
"Lili House Ubud","Jl. Raya Pengosekan, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 7",
"Sanur Seaview Hotel","Jalan Pengembak 44, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 21",
"Gita Maha Ubud Hotel","Jl. Sriwedari, Desa Tegalantang, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 12",
"Sandat Hotel Kuta","Gang Poppies II, Benesari, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 35",
"Solaris Hotel Kuta","Jl. Jenggala Kuta, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 88",
"Devata Suites and Residence","Jalan Dewi Sri IV Gang Cendana no.67 , 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 24",
"Puri Wisata Balinese Style Hotel","Jalan Legian Kaja, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 21",
"ZenRooms Ubud Bisma 3","Jl. Bisma Ubud, 80571 Ubud, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 2,",
"Bedrock Hotel Kuta","Jalan Wana Segara No. 21, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 159",
"The Rani Hotel & Spa"," Jl. Kartika Plaza No. 46, kuta, Bali 80361, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 55",
"Horison Sunset Road-Bali","Jalan Sunset Road No. 150, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 150",
"Manggar Indonesia Hotel","Jl. Dewi Sartika / Nusa Indah No. 19, Tuban, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 42",
"Hotel Sari Bunga","Jl. Arjuna , Legian Kaja, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 22",
"Puri Padi","Jl. Hanoman Padang Tegal, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 20",
"Patrisia Hotel","Jalan By Pass Ngurah Rai No.41, 80225 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 30",
"Brown Feather Hotel","Jl. Batu Belig No. 100, Kerobokan, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 16",
"Mahalaksmi Boutique Hotel","Jalan Danau Tamblingan No. 105 Semawang, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 16",
"Permata Kuta Hotel by Prasanthi","Jl. Kediri No 5, Bali, Tuban, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 120",
"The Agung Residence","Jalan Nakula - LC. Shri Laksmi I No.18, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 28",
"D'Camel Hotel Lembongan","Jalan jungutbatu, 80176 Lembongan, Indonesia",Independent,Indonesia,"Hotel Rooms: 20",
"ZEN Premium Pecatu Tanjung Simah","Jalan Tanjung Simah Labuan Sait, Pecatu, 80361 Uluwatu, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 3,",
"ZenRooms Legian Corner","Jalan Legian No. 116, 80361 Legian, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 4,",
"Pondok Krishna","Jl. Poppies Line II Gang Dewi no 3, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 6",
"ZEN Premium Kerobokan Umalas 2","Jalan Umalas 2, Umalas Kelecung No. 8X, 80361 Seminyak, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 6,",
"Balisani Padma Hotel","Jl. Padma Utara - Legian, Bali, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 60",
"Puri Mesari Hotel","Jalan Mertasari 66, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 21",
"Fontana Hotel Bali, a PHM Collection","Jl. Dewi Sri No. 68, Legian - Kuta , 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 136",
"Mentari Sanur Hotel","Jl. Hangtuah III, No. 3, Bali, 80227 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 28",
"Paragon Ayola Seminyak Bali","Jalan Batu Belig No. 555, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 118",
"Jesen's Inn II","Jl. Bakung Sari Gg. Kresek No 07, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 40",
"Amaris Hotel Pratama Nusa Dua","Jl. Pratama Link. Celuk, Kel. Benoa,, 80361 Nusa Dua, Indonesia","Hotel Chain:
Santika Indonesia Hotels & Resorts",Indonesia,"Hotel Rooms: 130,",
"Melasti Kuta Bungalows & Spa","Jalan Kartika Plaza, Kuta, Po.Box 3295, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 139",
"Palm Beach Hotel Bali","Jl Jenggala no 1, Kuta, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 98",
"Bali Le'Mare","Perum. Taman Jimbaran IX No.14, 80361 Jimbaran, Indonesia",Independent,Indonesia,"Hotel Rooms: 16",
"The Studio","Jl. Kunti II Gang Nuansa No 11, Bali, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 16",
"ZenRooms By Pass Nusa Dua","Jl. By Pass Nusa Dua 7X, 80361 Nusa Dua, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 8,",
"favehotel Kuta Square","Jln. Khayangan Suci No.8, 80361 Kuta, Indonesia","Hotel Chain:
Aston International Hotels, Resorts & Residences",Indonesia,"Hotel Rooms: 95,",
"The Vira Bali Hotel","Jalan Kartika Plaza No.127, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 56",
"ZenRooms Legian Nakula Srikandi","Jalan Nakula Gang Srikandi No. 1, 80233 Legian, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 5,",
"ZenRooms Kerobokan Umalas I","Jalan Umalas I No. 42, 80361 Seminyak, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 2,",
"Centra Taum Seminyak Bali","Jl. Lebaksari 37-39, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 90",
"POP! Hotel Kuta Beach","Jl. Kubu Bene, 80361 Kuta, Indonesia","Hotel Chain:
HARRIS Hotels & Resorts",Indonesia,"Hotel Rooms: 223,",
"Puri Naga Sea Side Cottages","Jalan Arjuna, Double Six, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 24",
"ZenRooms Sanur Tamblingan","Jl. Danau Tamblingan No. 50, 80228 Sanur, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 3,",
"The Grand Sunti","Pengosekan street, Bali, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 52",
"Bhuwana Ubud Hotel","Jalan Pengosekan, Ubud, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 40",
"Grand La Villais Hotel and Spa Seminyak","Jl. Pangkung Sari, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 118",
"Puri Suksma Ubud","Jalan Gunung Sari, Peliatan, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 18",
"Cleopatra Beach Bungalows","Jl. Seririt Singaraja, 81152 Lovina, Indonesia",Independent,Indonesia,"Hotel Rooms: 9",
"The Royal Palm Villa","Jl. Monkey Forest No. 8, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 9",
"Samsara Inn","Jalan Legian, Gang Lingga Murti, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 44",
"Batukaru Hotel","Jalan Batukaru-Jatiluwih, Penebel, Tabanan, 82152 Jatiluwih, Indonesia",Independent,Indonesia,"Hotel Rooms: 24",
"favehotel Sunset Seminyak","Jl Sunset Road 89, 80361 Seminyak, Indonesia","Hotel Chain:
Aston International Hotels, Resorts & Residences",Indonesia,"Hotel Rooms: 100,",
"Hotel Zia Bali - Seminyak","Jl. Petitenget no 8, Seminyak, Kerobokan Kelod, Kuta Utara, Badung- Bali 80361, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 90",
"ZenRooms Seminyak Kunti Nuansa","Jalan Kunti II Gang Nuansa No. 11, 80361 Seminyak, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 2,",
"Duo Legian Hotel","Jl. Batu Pageh Gg. Melani , 80231 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 55",
"ZenRooms Ubud Sayan","Desa Sayan. Banjar Sindu Sayan-Ubud Bali, 80571 Ubud, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 2,",
"Y Resort Ubud","Jl. Raya Penestanan, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 25",
"Pondok Ayu","Jl. Sekuta, Gg. Pudak No. 3, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 5",
"Bendesa Accommodation","Jl. Legian Br. Pengabetan, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 41",
"ZenRooms Ubud Raya Andong 2","Jl. Raya Andong, 80571 Ubud, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 3,",
"Kemuning Kuta Hotel","Jalan Benesari Gang Adhi Dharma, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 25",
"Bali Summer Hotel","Jalan pantai kuta no.38, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 48",
"BaliRa Airport Hotel","Jl. Polonia, Tuban, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 12",
"Grand Mirah Boutique Hotel","Jalan Kaliasem No.1, 80232 Denpasar, Indonesia",Independent,Indonesia,"Hotel Rooms: 31",
"ZenRooms Kuta Beach Poppies Lane","Jalan Pantai Kuta Poppies Lane II, 80361 Kuta, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 5,",
"New Kuta Hotel","Jl. New Kuta Condotel, Pecatu, Kuta Selatan, 80364 Uluwatu, Indonesia",Independent,Indonesia,"Hotel Rooms: 266",
"Dayu Hotel Kuta","Jl. Kartika Plaza, Gg. Puspa Ayu Kuta, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 16",
"DenBukit Residence and Suite","Jalan Raya Kampus Udayana, 80361 Jimbaran, Indonesia",Independent,Indonesia,"Hotel Rooms: 36",
"Hana Kuta Beach Hotel","Jalan Tegal Wangi No. 2, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 12",
"Gora Beach Inn","Jalan Legian, Gang Poppies II, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 50",
"Dewa Bharata Bungalows Legian","Jl. Legian, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 40",
"ZenRooms Sanur Blanjong Sekawaru","Jl. Sekar Waru No. 4 Blanjong, 80361 Sanur, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 2,",
"Maxi Hotel, Restaurant and Spa","Jl Legian No 83A, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 30",
"Sus Beach Cottages 1 Legian","Jalan Werkudara Legian Kaja, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 27",
"Airport Kuta Hotel and Residences","Jalan Elang No 5, Tuban, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 18",
"The Harmony Seminyak","Jl. Drupadi No. 234, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 20",
"Swiss-Belhotel Petitenget","Jalan Petitenget No. 168, 80361 Seminyak, Indonesia","Hotel Chain:
Swiss-Belhotel International",Indonesia,"Hotel Rooms: 111,",
"Alron Hotel","Jl. Blambangan No.10, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 89",
"Bliss Surfer Hotel","Jl. Sriwijaya, No. 88 Legian, Kuta - Bali, 80361 Legian, Indonesia","Hotel Chain:
Avilla Hospitality",Indonesia,"Hotel Rooms: 111,",
"Puri Garden Hotel","Jalan Raya Pengosekan, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 18",
"J Boutique Hotel","Jl Kartika Plaza No. 20, 80362 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 88",
"HARRIS Hotel Kuta Galleria - Bali","Jl. By Pass Ngurah Rai No.1, 80361 Kuta, Indonesia","Hotel Chain:
HARRIS Hotels & Resorts",Indonesia,"Hotel Rooms: 165,",
"The Island Hotel Bali","JL Padma Utara, Gang Abdi #18 Legian, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 12",
"Mahogany Hotel","Jalan Taman Bali No.1, By Pass Ngurah Rai, Mumbul, 80363 Nusa Dua, Indonesia",Independent,Indonesia,"Hotel Rooms: 47",
"Allia Residence","Jl. Raya Siligita Permata Nusa Dua Blok III/I, 80361 Nusa Dua, Indonesia",Independent,Indonesia,"Hotel Rooms: 24",
"Hotel Neo - Kuta, Jelantik","Jl. Patih Jelantik No 188, 80361 Legian, Indonesia","Hotel Chain:
Aston International Hotels, Resorts & Residences",Indonesia,"Hotel Rooms: 97,",
"Balian Paradise Resort","Jln. Pantai Balian Br. Pengasahan Desa Lalang Linggah, 82162 Antasari, Indonesia",Independent,Indonesia,"Hotel Rooms: 23",
"ZenRooms Ubud Nyuh Kuning","Jln. Raya Nyuh Kuning , 80571 Ubud, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 4,",
"Ibis Styles Bali Denpasar","Jl. Teuku Umar No. 183, Denpasar, Bali, 80114 Denpasar, Indonesia","Hotel Chain:
ibis Styles",Indonesia,"Hotel Rooms: 153,",
"The Sunset Hotel & Restaurant","Jalan Dewi Sri No.11A, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 77",
"Villa Bunga Hotel & Spa","Jl. Raya Petitenget No. 18X, 80361  Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 13",
"Simpang Inn Hotel","Jl. Legian No. 133, Kuta, Bali, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 60",
"Arca Bungalow","Jalan Legian, Gang Three Brother Street, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 15",
"POP! Hotel Denpasar","Jl. H.O.S Cokroaminoto 23 - 25, 80118 Denpasar, Indonesia","Hotel Chain:
HARRIS Hotels & Resorts",Indonesia,"Hotel Rooms: 122,",
"ZenRooms Kerobokan Umalas Klecung","Jl. Klecung 38X, 80361 Canggu, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 2,",
"MaxOneHotels.com at Legian","Jl. Werkudara, Legian - Bali, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 92",
"ZEN Premium Sanur Danau Tamblingan 3","Jalan Danau Tamblingan No. 144, 80227 Sanur, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 1,",
"The Segara Suites","Jalan Segara Windu Tanjung Benoa, 80353 Nusa Dua, Indonesia",Independent,Indonesia,"Hotel Rooms: 27",
"ZenRooms Ubud Sri Wedari","Jalan Sriwedari, 80571 Ubud, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 5,",
"ZenRooms Legian Werkudara","Jalan Werkudara, 80361 Legian, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 5,",
"HARRIS Hotel & Residences Sunset Road","Jalan Pura Mertasari III/ 8x, Sunset Road, 80361 Kuta, Indonesia","Hotel Chain:
HARRIS Hotels & Resorts",Indonesia,"Hotel Rooms: 186,",
"Dedy Beach Inn Kuta","Kartika Plaza area, Jalan Samudra No. 55  (Next to Lippo Mall Kuta), 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 25",
"Nyir Cottage","Kelabang Moding, Ubud, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 8",
"Oxy House Bali","Jalan Danau Tondano IV No. 7, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 8",
"The Swaha Hotel Bali","Jalan Pasekan Br. Tubuh No. 29B Batubulan, 80582 Sukawati, Indonesia",Independent,Indonesia,"Hotel Rooms: 14",
"Litus Rinaya Canggu","Jalan Raya Canggu, Gg. Lely, 80361 Canggu, Indonesia",Independent,Indonesia,"Hotel Rooms: 21",
"Taman Rosani Hotel & Villa","Jl. Petitenget Gg. Cendrawasih No.9, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 36",
"POP! Hotel Nusa Dua","Jl. By Pass Ngurah Rai No. 188x, Mumbul, 80363 Nusa Dua, Indonesia","Hotel Chain:
HARRIS Hotels & Resorts",Indonesia,"Hotel Rooms: 100,",
"D’djabu Hotel Seminyak","Jalan Beraban No.46, Kerobokan , 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 39",
"Taxa Inn Kuta Raya","Jl. Raya Kuta No. 77 , 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 20",
"Nirmala Hotel","Jl. Uluwatu II No. 10 Jimbaran, 80361 Jimbaran, Indonesia",Independent,Indonesia,"Hotel Rooms: 40",
"Jepun Bali Hotel","Jl. Kartika Plaza, Gang Kutapura No. 9, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 19",
"Anhera Suite & Spa","Jl. Raya Sanggingan No 168, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 8",
"Gowin Hotel","Jl. Dewi Sartika No. 3, Tuban, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 38",
"Vouk Hotel and Suites","Jalan Raya Nusa Dua Selatan, Sawangan, 80363 Nusa Dua, Indonesia",Independent,Indonesia,"Hotel Rooms: 176",
"ZenRooms Kuta ByPass Ngurah Rai","Jalan Bypass Ngurah Rai No. 999, 80361 Nusa Dua, Indonesia","Hotel Chain:
ZEN Rooms",Indonesia,"Hotel Rooms: 10,",
"Bali Lovina Beach Cottages","Lovina Beach, 81152 Lovina, Indonesia",Independent,Indonesia,"Hotel Rooms: 32",
"Losari Sunset Hotel"," Jl. Sunset Road, Pertokoan Sunset Paradise , 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 59",
"ZEN Rooms Tukad Badung Renon","Jalan Tukad Badung XVI, Renon, 80114 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 5",
"Puri Saron Hotel Baruna Beach Lovina","Desa Pemaron, 81151 Lovina, Indonesia",Independent,Indonesia,"Hotel Rooms: 40",
"Green Villas Hotel and Spa","Jl. Dewi Sartika 1BB, Tuban, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 145",
"Cozy Stay Hotel Simpang Enam","Jalan Pulau Kawe No. 40, 80361 Denpasar, Indonesia","Hotel Chain:
Avilla Hospitality",Indonesia,"Hotel Rooms: 29,",
"Amaris Hotel Lebak Bene Kuta - Bali","Jl. Lebak Bene, 80361 Legian, Indonesia","Hotel Chain:
Santika Indonesia Hotels & Resorts",Indonesia,"Hotel Rooms: 86,",
"Hotel Santika Seminyak","Jalan Sunset Road No. 17, 80361 Seminyak, Indonesia","Hotel Chain:
Santika Indonesia Hotels & Resorts",Indonesia,"Hotel Rooms: 109,",
"Puri Maharani Boutique Hotel And Spa","Jl. By Pass Ngurah Rai Tohpati, 80227 Denpasar, Indonesia",Independent,Indonesia,"Hotel Rooms: 20",
"D'Kubu Legian","Jl. Legian 363 Kuta, 80363 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 17",
"Abian Srama Hotel and Spa","Jalan By Pass Ngurah Rai No. 23, Sindhu, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 44",
"Sense Sunset Hotel Seminyak","Jalan Sunset Road No.88 S , 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 168",
