name,area,chain,country,rooms,price
"Grand La Walon Hotel","Jalan Benesari, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 97",
"HARRIS Hotel Seminyak","Jl. Drupadi 99, 80361 Seminyak, Indonesia","Hotel Chain:
HARRIS Hotels & Resorts",Indonesia,"Hotel Rooms: 231,",
"The Lokha Legian Resort and Spa","Jalan Padma Legian, Kuta, Bali, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 49",
"The Haven Bali Seminyak","Jl. Raya Seminyak #500, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 192",
"Asana Agung Putra Bali","Jl. Poppies 1, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 85",
"Tonys Villas & Resort","Jalan Petitenget, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 31",
"Katamama","Jl. Petitenget 51B, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 58",
"Alamdini Resort Ubud","Jalan Bisma, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 12",
"The ONE Legian","Jalan Raya Legian No.117, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 300",
"All Seasons Resort Legian","Jalan Padma Utara Legian, PO Box 1004, 80361 Legian, Indonesia","Hotel Chain:
all seasons (Accor)",Indonesia,"Hotel Rooms: 113,",
"Pertiwi Bisma 1","Jalan Bisma, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 35",
"Anumana Ubud Hotel","Jl. Wenara Wana, Banjar Padang Tegal Kelod, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 39",
"The Akmani Legian","Legian Raya 91, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 154",
"Maison at C Boutique Hotel & Spa by Renotel","Jalan Cendrawasih no 89, Petitenget, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 79",
"EDEN Hotel Kuta Bali","Jl. Kartika Plaza No.42, 80361 Kuta, Indonesia","Hotel Chain:
HARRIS Hotels & Resorts",Indonesia,"Hotel Rooms: 277,",
"Alaya Resort Kuta","Jl. Kartika Plaza, Gang Puspa Ayu No. 99, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 116",
"Ubud Village Hotel","Jl. Monkey Forest, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 62",
"Mamo Hotel Uluwatu","Jalan Pantai Suluban, 80361 Uluwatu, Indonesia",Independent,Indonesia,"Hotel Rooms: 30",
"PinkCoco Bali","Jalan Melasti Labuan Sait, Padang Padang Beach, 80364 Uluwatu, Indonesia",Independent,Indonesia,"Hotel Rooms: 12",
"The Magani Hotel & Spa","Jl. Melasti, Legian Kelod, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 108",
"Nick's Pension","Jalan Bisma, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 24",
"Kupu Kupu Jimbaran - Beach Club and Spa by L'OCCITANE","Jl. Bukit Permai, Banjar Pesalakan, Bali, 80364 Jimbaran, Indonesia",Independent,Indonesia,"Hotel Rooms: 33",
"AQ-VA Hotel & Villas","Jl. Werkudara No. 464, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 27",
"Bije Suite Bisma Ubud","Jalan Bisma, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 10",
"Champlung Sari Hotel Ubud","Monkey Forest Street, Ubud - Bali, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 101",
"Bali Nusa Dua Hotel","Kawasan Pariwisata Nusa Dua Lot NW/I, 80363 Nusa Dua, Indonesia",Independent,Indonesia,"Hotel Rooms: 96",
"Legong Keraton Beach Hotel","Jalan Pantai Berawa, Canggu, 80361 Canggu, Indonesia",Independent,Indonesia,"Hotel Rooms: 40",
"Svarga Loka Resort","Jl. Penestanan Kelod, Gianyar, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 44",
"Ashana Hotel","Jalan Raya Labuansait No. 10, Suluban, 80361 Uluwatu, Indonesia",Independent,Indonesia,"Hotel Rooms: 15",
"Champlung Mas Hotel, Legian","Jalan Melasti, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 171",
"Adi Dharma Hotel","Jl. Benesari, Bali, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 87",
"Satriya Cottages","Poppies Lane II Kuta Beach, Kuta , 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 61",
"Legian Paradiso Hotel","Jl.Legian No 118, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 122",
"Bali Breezz Hotel","Jl. Pantai Sari No. 23 , 80361 Jimbaran, Indonesia",Independent,Indonesia,"Hotel Rooms: 36",
"Mercure Kuta Bali","Jalan Pantai Kuta 10 X, Bali, 80361 Kuta, Indonesia","Hotel Chain:
Mercure",Indonesia,"Hotel Rooms: 130,,",
"Sanur Paradise Plaza Hotel","Jalan Hang Tuah 46 Sanur, Bali, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 329",
"Puri Padma Hotel","Jl Andong Br Nagi, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 15",
"Puri Raja Hotel","Jalan Padma Utara, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 72",
"Adi Cottage","Jalan Monkey Forest, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 21",
"Komaneka at Rasa Sayang Ubud","Jalan Monkey Forest, Ubud, Gianyar, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 17",
"Puri Dewa Bharata Hotel & Villas","Jl. Nakula 11, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 48",
"b Hotel Bali & Spa","Jl. Imam Bonjol No. 508, 80117 Denpasar, Indonesia",Independent,Indonesia,"Hotel Rooms: 235",
"Losari Hotel & Villas Kuta Bali","Sahadewa No 19, Legian Kuta- Bali - Indonesia, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 86",
"Febri's Hotel & Spa","Jl. Kartika Plaza, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 69",
"Hotel NEO+ Kuta Legian","Jl. Troppozone No. 8, 80361 Legian, Indonesia","Hotel Chain:
Aston International Hotels, Resorts & Residences",Indonesia,"Hotel Rooms: 117,",
"Jati 3 Bungalows and Spa","Jl. Monkey Forest, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 21",
"Rama Shinta Hotel Candidasa","Jalan Raya Candidasa, Dusun Samuh, Bugbug, 80871 Candidasa, Indonesia",Independent,Indonesia,"Hotel Rooms: 15",
"Dekuta","Pantai Kuta, Poppies Lane II, no 8, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 49",
"Sapu Lidi Resort Spa and Gallery","Jl. Raya Pengosekan, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 30",
"Lebak Bali Residence","Jalan Raya Batu Bolong, 80361 Canggu, Indonesia",Independent,Indonesia,"Hotel Rooms: 7",
"Mega Boutique Hotel","Jl. By Pass Ngurah Rai No. 259 Simpang Siur, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 69",
"Sun Island Hotel Kuta","Jl. Kartika Plaza 88, 80361, Bali-Indonesia, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 135",
"Kuta Angel Hotel - Luxurious Living","Jl. Pantai Kuta, Banjar Pandemas No.33, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 27",
"Bakung Sari Resort and Spa","Jl. Kubu Anyar, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 101",
"La Walon Hotel","Poppies Lane 1, 82361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 59",
"Komaneka at Monkey Forest Ubud","Jl. Monkey Forest, Ubud, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 14",
"Le Grande Bali","Jalan Uluwatu Complex Pecatu Graha Block 5 , 80361 Uluwatu, Indonesia",Independent,Indonesia,"Hotel Rooms: 190",
"Ida Hotel Kuta Bali","Jl. Khayangan Suci off Jl. Tegal Wangi, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 57",
"Novotel Bali Benoa","Jalan Pratama, Tanjung Benoa, 80363 Nusa Dua, Indonesia","Hotel Chain:
Novotel",Indonesia,"Hotel Rooms: 187,,",
"Artini 2 Cottage Ubud","Jalan Hanoman, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 26",
"Astagina Resort and Spa","Jalan Werkudara No. 8 Legian Bali, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 72",
"HARRIS Resort Kuta Beach","Pantai Kuta Street, Bali, 80361 Kuta, Indonesia","Hotel Chain:
HARRIS Hotels & Resorts",Indonesia,"Hotel Rooms: 191,",
"Tamukami Hotel","Jl. Danau Tamblingan, 64X, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 18",
"Hotel Terrace at Kuta","Jl. Benesari no. 2 Kuta, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 88",
"Kuta Central Park Hotel","Jl. Patih Jelantik, Bali, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 225",
"Grandmas Seminyak Hotel","Jalan Camplung Tanduk 99, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 112",
"Bali Paragon Resort Hotel","Jalan Raya Kampus Udayana, 80361 Jimbaran, Indonesia",Independent,Indonesia,"Hotel Rooms: 379",
"Mathis Retreat (Ex-Kenanga)","Jalan Lungsiakan, 5555 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 21",
"Park Regis Kuta","Jl. Raya Kuta No. 88, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 175",
"Puri Sading Hotel","Jl. Danau Tamblingan 102, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 22",
"Ivory Resort Seminyak","Jln. Raya Petitenget 35, Banjar Umasari, Seminyak, 80361 Seminyak, Indonesia",Independent,Indonesia,"Hotel Rooms: 25",
"The Sintesa Jimbaran Bali","Jalan Kencana No 1, 80361 Jimbaran, Indonesia",Independent,Indonesia,"Hotel Rooms: 206",
"JOCS Boutique Hotel & Spa","JL. Melasti No. 3 , 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 45",
"Inna Grand Bali Beach","Jalan Hang Tuah, 80032 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 523",
"Puri Mango Hotel","Jalan Danau Toba No 18, 80228 Sanur, Indonesia",Independent,Indonesia,"Hotel Rooms: 33",
"Grandmas Plus Hotel Legian","Jl. Sriwijaya No. 368, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 111",
"Bakung Ubud Resort and Villa","Jalan Sriwedari, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 42",
"Adirama Beach Hotel","Jalan Raya Singaraja - Seririt Kaliasem, 81152 Lovina, Indonesia",Independent,Indonesia,"Hotel Rooms: 23",
"Hotel Puri Bambu","Jl. Pengeracikan, Kedonganan, Bali, 80361 Jimbaran, Indonesia",Independent,Indonesia,"Hotel Rooms: 48",
"H Sovereign Bali","Jalan Raya Tuban No. 2, Lingkungan Tuban Griya, Tuban, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 198",
"U Tube Hotel & Spa by Shailendra","Jalan Uluwatu No. 200X, 80361 Uluwatu, Indonesia",Independent,Indonesia,"Hotel Rooms: 20",
"HARRIS Hotel Tuban Bali","Jl. Dewi Sartika, Tuban, Tuban, 80361 Kuta, Indonesia","Hotel Chain:
HARRIS Hotels & Resorts",Indonesia,"Hotel Rooms: 146,",
"Bali Sandy Resort","Jl. Poppies II, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 55",
"The Kana Kuta Hotel","Jalan Setiabudi No 8, 80361 Kuta, Indonesia",Independent,Indonesia,"Hotel Rooms: 92",
"Best Western Kuta Beach","Jalan Benesari, Pantai Kuta, 80361 Kuta, Indonesia","Hotel Chain:
Best Western",Indonesia,"Hotel Rooms: 144,,",
"Swiss-Belhotel Tuban","Jalan Kubu Anyar No. 31 , 80361 Kuta, Indonesia","Hotel Chain:
Swiss-Belhotel International",Indonesia,"Hotel Rooms: 324,",
"Rama Garden Hotel Bali"," Jalan Padma Legian, 80361 Legian, Indonesia",Independent,Indonesia,"Hotel Rooms: 30",
"Biyukukung Suite & Spa","Jl. Sugriwa, No 89, Bali, 80571 Ubud, Indonesia",Independent,Indonesia,"Hotel Rooms: 24",
"Sugiras Living","Jalan Kerta Bedulu 1A, Merta Sari, Banjar Suwung Kangin-Sidakarya., 80224 Denpasar, Indonesia",Independent,Indonesia,"Hotel Rooms: 7",
