rooms,area,name,country,price,chain
"Hotel Rooms: 41"," Tamarindo, Guanacaste , 50309 Tamarindo, Costa Rica","Cala Luna Boutique Hotel & Villas",Costa Rica,,Independent
"Hotel Rooms: 3","Calle Papagayo Ojochal, Ojochal, Costa Rica","Bali Rica",Costa Rica,,Independent
"Hotel Rooms: 14","Playa Platanares 5 KM Sur de Aeropuerto, 60702 Puerto Jiménez, Costa Rica","Iguana Lodge Beach Resort and Spa",Costa Rica,,Independent
"Hotel Rooms: 25","Bodhi Tree, 50206 Nosara, Costa Rica","Bodhi Tree Yoga Resort",Costa Rica,,Independent
"Hotel Rooms: 16","Los Angeles de Chires, Parrita., 12001 Guarumal, Costa Rica","Hotel Ecológico Paraíso Carlisa",Costa Rica,,Independent
"Hotel Rooms: 130","4 km antes de Playa del Coco, 50503 Coco, Costa Rica","Hotel Villas Nacazcol & Beach Club",Costa Rica,,Independent
"Hotel Rooms: 62","El arroyo carretera a Quepos, 60101 Jacó, Costa Rica","Hotel Terraza del Pacifico",Costa Rica,,Independent
"Hotel Rooms: 87","Aguas Zarcas, 21004 Quesada, Costa Rica","El Tucano Resort & Thermal Spa",Costa Rica,,Independent
"Hotel Rooms: 14","Los Angeles de Atenas, de la Iglesia Católica dos kilometros al este. Finca Huetares, 00011 La Garita, Costa Rica","Valley View Lodge - Finca Huetares",Costa Rica,,Independent
"Hotel Rooms: 402,","Bahia Ballena, Playa Tambor, 60101 Tambor, Costa Rica","Barceló Tambor Beach All Inclusive",Costa Rica,,"Hotel Chain:
Barceló Hotels & Resorts"
"Hotel Rooms: 50","18 kilómetros del aeropuerto de Liberia, carretera al Parque Nacional Rincón de la Vieja ., 00000 Liberia, Costa Rica","Cañon de la Vieja Lodge",Costa Rica,,Independent
"Hotel Rooms: 175,","Papagayo Peninsula, 50205 Culebra, Costa Rica","Four Seasons Resort Costa Rica at Peninsula Papagayo",Costa Rica,,"Hotel Chain:
Four Seasons Hotels and Resorts"
"Hotel Rooms: 11","4km norte del Hotel Frank place, 00011 Santa Teresa, Costa Rica","Florblanca Resort",Costa Rica,,Independent
"Hotel Rooms: 201,,","800 meters west of Herradura Entrance, 61102 Jacó, Costa Rica","Los Sueños Marriott Ocean & Golf Resort",Costa Rica,,"Hotel Chain:
Marriott Hotels & Resorts"
"Hotel Rooms: 25","De la iglesia catolica en la fortuna 6.5 Km Norte, 20101 Fortuna, Costa Rica","Hotel Arenal Volcano Inn",Costa Rica,,Independent
"Hotel Rooms: 413","Playa El Jobo, El Jobo  La Cruz de Guanacaste, Costa Rica, 00010 El Jobo, Costa Rica","Dreams Las Mareas Costa Rica",Costa Rica,,Independent
"Hotel Rooms: 12","Ur Tambor - Puntarenas, Tambor, Costa Rica","Tambor Tropical Beach Resort",Costa Rica,,Independent
"Hotel Rooms: 4","Playa Chiquita, frente al restaurante Alice, Puerto Viejo, 70403 Puerto Viejo, Costa Rica","El Nido Cabinas Resort",Costa Rica,,Independent
"Hotel Rooms: 54","A 20 minutos del Aeropuerto Internacional de Liberia, 12169 Playa Hermosa, Costa Rica","Villas Sol Costa Rica",Costa Rica,,Independent
"Hotel Rooms: 20","Blvr Rohrmoser Esquina NO del Triangulo, 60111 San José, Costa Rica","Colours Oasis Resort",Costa Rica,,Independent
"Hotel Rooms: 17","De la entrada de Bejuco 800 metros este frente a la playa Bejuco, 20109 Esterillos Este, Costa Rica","Hotel Delfin Beach Front Resort",Costa Rica,,Independent
"Hotel Rooms: 64","Sarapiquí , 41003 Tigre, Costa Rica","Hotel Hacienda Sueño Azul",Costa Rica,,Independent
"Hotel Rooms: 10","Santa Teresa, 99999 Santa Teresa, Costa Rica","Pranamar Villas & Yoga Retreat",Costa Rica,,Independent
"Hotel Rooms: 106","Costado Sur, Southwest side from Parque de la Paz, 10303 San José, Costa Rica","Hotel & Suites Casa Conde",Costa Rica,,Independent
"Hotel Rooms: 27","Sabana Sur costado Este de la Contraloria General de la Republica, 10101 San José, Costa Rica","Sports & Tennis Club Hotel",Costa Rica,,Independent
"Hotel Rooms: 30","Playa Quizales, La Abuela de Cobano, 10200 Tambor, Costa Rica","Tango Mar Beach Hotel, Spa & Golf Resort",Costa Rica,,Independent
"Hotel Rooms: 11","2 km sur de el cruze de playa caarmen, 10100 Mal País, Costa Rica","Indigo Yoga Surf Resort",Costa Rica,,Independent
"Hotel Rooms: 32","a 100 metros al este del ranario de Monteverde, Santa Elena, 60109 Monteverde, Costa Rica","Hotel & Spa Poco a Poco",Costa Rica,,Independent
"Hotel Rooms: 9","50 al norte de Shawanda Lodge, 50101 Cocles, Costa Rica","Tierra de Sueños Lodge & Wellness Center",Costa Rica,,Independent
"Hotel Rooms: 120","Playa Flamingo, 50302 Potrero, Costa Rica","Flamingo Beach Resort & Spa",Costa Rica,,Independent
"Hotel Rooms: 40","Frente de la plaza deportes Puerto viejo, 41001  Sarapiquí, Costa Rica","Hotel El Bambu",Costa Rica,,Independent
"Hotel Rooms: 38","Playa Playitas Manuel Antonio Quepos, 60601 Manuel Antonio, Costa Rica","Arenas del Mar Beachfront & Rainforest Resort",Costa Rica,,Independent
"Hotel Rooms: 3","Isla de Palo Seco, 60901 Pocares, Costa Rica","Tres Amigos Island Villas",Costa Rica,,Independent
"Hotel Rooms: 47","Santa Ana de San Jose, 21003 Fortuna, Costa Rica","Hotel Lomas del Volcan",Costa Rica,,Independent
"Hotel Rooms: 98","6 Km oeste del Parque Central, 21007 Fortuna, Costa Rica","Hotel Los Lagos Spa & Resort",Costa Rica,,Independent
"Hotel Rooms: 26","La Paz Rio Celeste, 21504 San Rafael, Costa Rica","Rio Celeste Hideaway Resort",Costa Rica,,Independent
"Hotel Rooms: 153,","End of route 253, 50104 Culebra, Costa Rica","Andaz Peninsula Papagayo",Costa Rica,,"Hotel Chain:
Hyatt, Andaz"
"Hotel Rooms: 315,","El Roble, 00111 El Roble, Costa Rica","DoubleTree Resort by Hilton Costa Rica - Puntarenas/All-Inclusive",Costa Rica,,"Hotel Chain:
Doubletree by Hilton"
