rooms,chain,street,area,price,country,name
,,"Across the river in front of Tortuguero airstrip,",Tortuguero,184USD,Costa Rica,Tortuga Lodge & Gardens
,,Manuel Antonio National Park,Manuel Antonio,190USD,Costa Rica,Hotel Costa Verde Manuel Antonio
,,Arenal,La Fortuna,188USD,Costa Rica,Arenal Kioro
,,La Fortuna De San Carlos,La Fortuna,93USD,Costa Rica,Casa Luna Hotel & Spa
,,Pastor Diaz Avenida,Jaco,234USD,Costa Rica,Best Western Jaco Beach Resort
,,200 Meters South of the Munici,Jaco,86USD,Costa Rica,Morgan's Cove Resort & Casino on the Beach
,,Sabana Norte Contiguo Agencia Datsun,San Jose,111USD,Costa Rica,Crowne Plaza Hotel Corobici
,, P.O. Box 10-7209,Tortuguero,21USD,Costa Rica,Cabinas Icaco Tortuguero
,, 50 Meters Sur De Si Como No,Manuel Antonio,99USD,Costa Rica,Falls Resort at Manuel Antonio
,,Manuel Antonio National Park,Manuel Antonio,180USD,Costa Rica,Hotel Si Como No
,,Playa Negra,Puerto Viejo de Talamanca,123USD,Costa Rica,Hotel Banana Azul
,,700 meter west of national park Tenorio la paza del rio 16,Bijagua de Upala,109USD,Costa Rica,Rio Celeste Hideaway Hotel
,,Ruta 27 350 Metros Oeste Multiplaza,Escazu,135USD,Costa Rica,Sheraton San Jose Hotel Costa Rica
