area,name,rooms,price,chain,country
"catedral 1 cuadra al sur, 21000 León, Nicaragua","Hotel Austria","Hotel Rooms: 35",,Independent,Nicaragua
"Del Parque Arlen Siu 50 metros Sur, 21100 León, Nicaragua","Hotel Mariposa","Hotel Rooms: 9",,Independent,Nicaragua
"15 Avenida Sureste,  500 m. al sur de Villa Fontana del Club Terraza, Managua, Nicaragua","Altos de Fontana","Hotel Rooms: 15",,Independent,Nicaragua
"Sector Bolonia; CST 2C..al Sur, 1/2 c. al este M/D .#555 Managua, Nicaragua, 50884 Managua, Nicaragua","Hotel y Apartments Los Cisneros","Hotel Rooms: 20",,Independent,Nicaragua
"Calle La Calzada casa #424, Del Parque Central 3 1/2 cuadras al lago, frente el Colegio Carlos A. Bravos, 43000 Granada, Nicaragua","The Surfing Donkey - Deluxe","Hotel Rooms: 9",,Independent,Nicaragua
"carretera de guasacate, 00131 Popoyo, Nicaragua","Hotel Ola Verde","Hotel Rooms: 8",,Independent,Nicaragua
"Parque Central 100 mts al Este, 100 mts al Sur, 50 mts al este Centro Histórico Granada Calle Morazán, 43000 Granada, Nicaragua","Hotel El Familiar Granada","Hotel Rooms: 10",,Independent,Nicaragua
"Hotel La Polvora , 627 Calle La Loquera, Granada, Nicaragua","Hotel La Polvora","Hotel Rooms: 7",,Independent,Nicaragua
"De la Policinica Nicaraguense 50 vrs. al Oeste, a un costado de las Pipitos, Bolonia, 00011 Managua, Nicaragua","Executive Managua","Hotel Rooms: 15",,Independent,Nicaragua
"One block and 7 meters North of the Restaurant La Marsellaise, 46. Los Robles, 050-088-4 Managua, Nicaragua","Hostal Real - Los Robles","Hotel Rooms: 15",,Independent,Nicaragua
"Km 20.3 Carretera Masaya, Nindiri, 050-088-4 Masaya, Nicaragua","Hotel El Raizon","Hotel Rooms: 26",,Independent,Nicaragua
"141, calle Santa Lucía, 50000 Granada, Nicaragua","Hotel con Corazón","Hotel Rooms: 15",,Independent,Nicaragua
"Villa Fontana, del Club Terraza 1c.Este, 75vrs. Norte, 60111 Managua, Nicaragua","Hotel Angel Azul Managua","Hotel Rooms: 8",,Independent,Nicaragua
"Calle Real, s/n (40mts al este del Banco Banpro Sutiava), 10000 León, Nicaragua","Hotel Leon Viejo","Hotel Rooms: 8",,Independent,Nicaragua
"Calle Libertad de la Piedra Bocona,  1 Cuadra al Oeste, 050-088-4 Granada, Nicaragua","Hotel El Club","Hotel Rooms: 15",,Independent,Nicaragua
"Iglesia Catedral 1 cuadra al lago Calle la Calzada., 00505 Granada, Nicaragua","Hotel Casa San Martín","Hotel Rooms: 8",,Independent,Nicaragua
"La Islita Street, from Supermarket La Colonia 3 blocks south., 050-088-4 Granada, Nicaragua","Hotel La Mar Dulce","Hotel Rooms: 16",,Independent,Nicaragua
"De la gasolinera UNO 1 cuadra al oeste, 050-088-4 San Juan del Sur, Nicaragua","Hotel La Dolce Vita","Hotel Rooms: 6",,Independent,Nicaragua
"Reparto San Juan, Zona Hippo, 1c al sur 1c al oeste, 90000 Managua, Nicaragua","Hotel Brandts Los Robles de San Juan","Hotel Rooms: 18",,Independent,Nicaragua
"Reparto San Juan, Gimnasio Hercules 1C al sur 1/2 al este. #314, 10000 Managua, Nicaragua","Hotel Los Pinos","Hotel Rooms: 16",,Independent,Nicaragua
"Residencial Bolonia del canal 2 de TV, 75 Metros Oeste, 10000 Managua, Nicaragua","Hotel Europeo","Hotel Rooms: 33",,Independent,Nicaragua
"C/ Real Xalteva 205 contiguo a farmacia Praga, Granada, Nicaragua","Hotel Glifoos","Hotel Rooms: 7",,Independent,Nicaragua
"Calle La otra Banda, contiguo a Farmacia Santa Rosa, 43000 Granada, Nicaragua","Hotel Jardin de Granada","Hotel Rooms: 10",,Independent,Nicaragua
"Rotonda, Centro America Neighborhood , 10000	 Managua, Nicaragua","Hotel Internacional Managua","Hotel Rooms: 22",,Independent,Nicaragua
"In front of shopping mall multicentro las Americas, 000-000-0 Managua, Nicaragua","Hotel Hex","Hotel Rooms: 100",,Independent,Nicaragua
"Calle Corrales Ferreteria Datisa, 111, 050-088-4 Granada, Nicaragua","El Almirante","Hotel Rooms: 20",,Independent,Nicaragua
"Semáforos del 7 Sur 100 vrs al sur, 050-088-4 Managua, Nicaragua","Hotel Casa del Sol","Hotel Rooms: 10",,Independent,Nicaragua
"Km 11 Carretera Masaya 400Mts W, 10000 Managua, Nicaragua","Hotel Contempo","Hotel Rooms: 18",,Independent,Nicaragua
"De Restaurante El Timon 2 cuadras al norte y dos cuadras el este, 48600 San Juan del Sur, Nicaragua","Park Avenue Villas","Hotel Rooms: 12",,Independent,Nicaragua
"Car. Masaya KM.7.2 de Plaza Familiar 400 Mts al Sur Oeste, 10000 Managua, Nicaragua","Apartamentos Vistas de Santo Domingo","Hotel Rooms: 12",,Independent,Nicaragua
"5km de la entrada del Quino, Carretera Santo Domingo, Santa Cruz, Nicaragua","Hotel Finca Santo Domingo","Hotel Rooms: 16",,Independent,Nicaragua
"One block south from Hercules Gym at Reparto San Juan, 10000 Managua, Nicaragua","La Pyramide","Hotel Rooms: 10",,Independent,Nicaragua
"Calle Paseo del Rey, Del Restaurante El Timon, 150 mts al Norte, San Juan del Sur, 48600 San Juan del Sur, Nicaragua","Hotel Alcazar","Hotel Rooms: 7",,Independent,Nicaragua
"50 metres from the wharf, 82100 Little Corn Island, Nicaragua","Sunshine Hotel","Hotel Rooms: 5",,Independent,Nicaragua
"from Pescanova 50 mts south / al sur, Las Peñitas, Nicaragua","El Cardhu del Mar","Hotel Rooms: 1",,Independent,Nicaragua
"14 de Septiembre street, Firemen station, half block west, 050-088-4 Granada, Nicaragua","Hotel Casa de Alto","Hotel Rooms: 7",,Independent,Nicaragua
"Del Mercado Municipal 1 cuadra al este, 355-533-3 San Juan del Sur, Nicaragua","Hotel Royal Chateau","Hotel Rooms: 20",,Independent,Nicaragua
"Semaforo de Metrocentro, 1c al este 150 varas al norte, Managua, Nicaragua","Hotel Brandts Ejecutivo Los Robles","Hotel Rooms: 32",,Independent,Nicaragua
"Calle Corrales 525 , 48600 Granada, Nicaragua","Los Patios Hotel Granada","Hotel Rooms: 5",,Independent,Nicaragua
"Planes de Altamira 12, 050-088-4 Managua, Nicaragua","Hotel Villa Americana","Hotel Rooms: 14",,Independent,Nicaragua
"Calle El Caimito, de Alcaldia 2 1/2 c. al Lago, 44100 Granada, Nicaragua","Hotel Patio del Malinche","Hotel Rooms: 16",,Independent,Nicaragua
"caretera norte, managua, nicaragua, 11057 Managua, Nicaragua","Hostal Monte Cristi","Hotel Rooms: 6",,Independent,Nicaragua
"Avenida 14 de Septiembre, de la Iglesia La Merced 3 cuadras al Sur 2, 43000 Granada, Nicaragua","Fullmoon Hotel","Hotel Rooms: 20",,Independent,Nicaragua
"207 Calle Corral, 050-088-4 Granada, Nicaragua","Hotel Casa San Francisco","Hotel Rooms: 9",,Independent,Nicaragua
"Shipwreck Beach, 355-533-3 Big Corn Island, Nicaragua","Paraiso Beach Hotel","Hotel Rooms: 14",,Independent,Nicaragua
"Banpro 30 vrs. abajo, 43000 Granada, Nicaragua","Hotel Casa del Consulado","Hotel Rooms: 13",,Independent,Nicaragua
"KM 4.5, Carretera a Masaya, 10000 Managua, Nicaragua","Hilton Princess Managua","Hotel Rooms: 104,,",,"Hotel Chain:
Hilton Hotels & Resorts",Nicaragua
"del triangulo 200 mts al nte., Plan de la Laguna de Apoyo, 10000 La Laguna, Nicaragua","Hotel SelvAzul","Hotel Rooms: 10",,Independent,Nicaragua
"McDonalds metrocentro, una cuadra al oeste, dos cuadras al norte 25 metros al este, 10000 Managua, Nicaragua","Hotel Aloha","Hotel Rooms: 12",,Independent,Nicaragua
"Del Costado Noroeste de Catedral, 1/2 cuadra al Norte, 55555 Estelí, Nicaragua","Hotel Los Arcos","Hotel Rooms: 32",,Independent,Nicaragua
"Playa Santo Domingo, 48700 Santo Domingo, Nicaragua","Hotel Villa Paraiso","Hotel Rooms: 25",,Independent,Nicaragua
"200 mts al sureste del muelle minicipal, Little Corn Island, Nicaragua","Hotel Los Delfines","Hotel Rooms: 18",,Independent,Nicaragua
"Big Corn Island, Barrio South End en frente del Hotel Sun Rise, 000-000-0 Big Corn Island, Nicaragua","Hotel Casa Canada","Hotel Rooms: 20",,Independent,Nicaragua
"Octava Calle Sur Oeste, 101 , 3278 Managua, Nicaragua","Crowne Plaza Managua","Hotel Rooms: 140,",,"Hotel Chain:
Crowne Plaza Hotels & Resorts
",Nicaragua
"Residencial Bolonia, de INTUR 1c al sur 1c al oeste, 10000 Managua, Nicaragua","Hotel Mansion Teodolinda","Hotel Rooms: 6",,Independent,Nicaragua
"Semaforos de Villa Fontana, 400 mts al Sur, 50884 Managua, Nicaragua","Barceló Managua","Hotel Rooms: 147,",,"Hotel Chain:
Barceló Hotels & Resorts
",Nicaragua
"Calle Real frente a la Iglesia La Merced, 557-115-1 Granada, Nicaragua","Casa La Merced","Hotel Rooms: 11",,Independent,Nicaragua
"2 blocks north of Parque Las Palmas, 10000 Managua, Nicaragua","Art Hotel Managua","Hotel Rooms: 13",,Independent,Nicaragua
"Catedral 50 mts al Norte , 21000 León, Nicaragua","Best Western Las Mercedes Leon","Hotel Rooms: 20,,",,"Hotel Chain:
Best Western",Nicaragua
"Calle La Libertad 1 Cuadra al Oeste del BAC, 10000 Granada, Nicaragua","Hotel La Bocona","Hotel Rooms: 6",,Independent,Nicaragua
"Plaza España 50 mts al Sur - Malecón de Granada, 11101 Granada, Nicaragua","Hotel El Maltese","Hotel Rooms: 11",,Independent,Nicaragua
"Costado Norte, parque San Juan, 51234 León, Nicaragua","Hotel San Juan de Leon","Hotel Rooms: 19",,Independent,Nicaragua
"Ciudad Jardin, de la Clinica Santa Maria una cuadra al Oeste, 10000 Managua, Nicaragua","Hotel Don Carmelo","Hotel Rooms: 15",,Independent,Nicaragua
"Planes de Altamira Frente a Pasteleria Sampson. Casa # 76, 355-533-3 Managua, Nicaragua","Hotel Le Chateau","Hotel Rooms: 23",,Independent,Nicaragua
"Iglesia Recoleccion 1 1/2 cuadra al este., 10000 León, Nicaragua","Hotel Real Leon","Hotel Rooms: 14",,Independent,Nicaragua
"Bahia Nacascolo, 0500884 San Juan del Sur, Nicaragua","El Jardin","Hotel Rooms: 11",,Independent,Nicaragua
"Calle Obispo Ulloa, 050-008-4 Granada, Nicaragua","Hotel Xalteva","Hotel Rooms: 16",,Independent,Nicaragua
"Residencial Las Colinas 105, 10000 Managua, Nicaragua","Hotel Boutique Villa Maya","Hotel Rooms: 9",,Independent,Nicaragua
"Calle Libertad, 050-088-4 Granada, Nicaragua","Hotel Colonial Granada","Hotel Rooms: 37",,Independent,Nicaragua
"From La Merced Church 150 meters north, 00505 León, Nicaragua","Hotel la Perla Leon","Hotel Rooms: 23",,Independent,Nicaragua
"Residencial Bolonia, PriceSmart 1.5 cuadras al norte., 10000 Managua, Nicaragua","Hotel Mozonte","Hotel Rooms: 24",,Independent,Nicaragua
"Villa Fontana-Managua | Pizza Hut Villa Fontana 1c Oeste 1c Norte 1c Est, 10000 Managua, Nicaragua","Hotel RDG","Hotel Rooms: 32",,Independent,Nicaragua
"Rotonda Ruben Dario Metrocentro 1 cuadra al Sur 3 cuadras al Oeste, 050-088-4 Managua, Nicaragua","Hotel El Almendro","Hotel Rooms: 23",,Independent,Nicaragua
"Avenida Central, de la catedral (entrada principal) 2 1/2 cuadras al norte, 21100 León, Nicaragua","Hotel Azul","Hotel Rooms: 10",,Independent,Nicaragua
"Calle Atravesada, frente a Bancentro, 50309 Granada, Nicaragua","Mansion De Chocolate","Hotel Rooms: 15",,Independent,Nicaragua
"Contiguo Iglesia San Francisco, 10000 León, Nicaragua","Hotel El Convento","Hotel Rooms: 31",,Independent,Nicaragua
"Km 139 Carretera San Juan del Sur, 500 metros al  Norte, 355-533-3 San Juan del Sur, Nicaragua","Villas de Palermo Hotel and Resort","Hotel Rooms: 49",,Independent,Nicaragua
"Esquina Sureste del Parque Central de Granada., 050-088-4 Granada, Nicaragua","Hotel & Restaurante La Gran Francia","Hotel Rooms: 35",,Independent,Nicaragua
"Residencial Los Robles, contiguo a Plaza Cuba, 000-000-0 Managua, Nicaragua","Elements Hotel Boutique","Hotel Rooms: 18",,Independent,Nicaragua
"Rotonda Rubén Darío,  Del hotel Seminole 3c. al lago , 1/2c. abajo, 14003 Managua, Nicaragua","Hotel Casa Real","Hotel Rooms: 13",,Independent,Nicaragua
"In front of the Restaurant Marsellaise, 30 meters to the South of Los Robles, 10000 Managua, Nicaragua","Hotel Los Robles","Hotel Rooms: 13",,Independent,Nicaragua
"Frente a Iglesia la Merced, 00111 Granada, Nicaragua","Hotel Real La Merced","Hotel Rooms: 17",,Independent,Nicaragua
"Residencial Montechristi, 11055 Managua, Nicaragua","Airport X Managua","Hotel Rooms: 40",,Independent,Nicaragua
"Boulevard de la Mar, contiguo Edificio Claro, 050-088-4 San Juan del Sur, Nicaragua","Hotel Victoriano","Hotel Rooms: 23",,Independent,Nicaragua
"Carretera Masaya Km 8.2       , 10000 Managua, Nicaragua","Hyatt Place Managua","Hotel Rooms: 140,",,"Hotel Chain:
Hyatt Place
",Nicaragua
"Park 1.5 block south, 01009 San Juan del Sur, Nicaragua","Hotel Posada Bahia Azul","Hotel Rooms: 15",,Independent,Nicaragua
"Blvd. Jean Paul Genie, rotonda 800 mts al oeste, 50000 Managua, Nicaragua","Holiday Inn Express Managua","Hotel Rooms: 114,,",,"Hotel Chain:
Holiday Inn Express",Nicaragua
"Frente a Centro Comercial Metrocentro, 10000 Managua, Nicaragua","Real Intercontinental Metrocentro Managua","Hotel Rooms: 157,",,"Hotel Chain:
InterContinental Hotels & Resorts
",Nicaragua
"Calle De La Calzada, 43000 Granada, Nicaragua","Hotel Dario","Hotel Rooms: 22",,Independent,Nicaragua
"Frente al Parque Central, 43000 Granada, Nicaragua","Hotel Plaza Colon","Hotel Rooms: 27",,Independent,Nicaragua
