area,street,rooms,chain,country,name,price
Kuta,Jl. Pantai Kuta 43,,,Indonesia,Yulia Beach Inn,34USD
Kuta,88 Jalan Raya Kuta,,,Indonesia,Park Regis Kuta,30USD
Kuta,"Jl. Pantai Kuta, Br. Pande Mas.",,,Indonesia,The Kuta Beach Heritage Hotel,84USD
Kuta,Jalan Singosari 18,,,Indonesia,Grand Hardys Hotel & Spa - Kuta,32USD
Kuta,Jalan Kartika Plaza Number 127,,,Indonesia,The Vira Bali Hotel,52USD
Kuta,Jalan Kartika Plaza,,,Indonesia,Bali Dynasty Resort,119USD
Kuta,Jl. Legian No. 123,,,Indonesia,Sun Island Hotel Legian,46USD
Kuta,Jalan Benesari ,,,Indonesia,Adi Dharma Hotel,33USD
Kuta,Jl. Wanasegara ,,,Indonesia,Aston Kuta Hotel & Residence,54USD
Kuta,Jalan Kartika Plaza ,,,Indonesia,Ramada Bintang Bali Resort,101USD
Kuta,Jl. Kediri No. 9,,,Indonesia,Quest Hotel Kuta,26USD
Kuta,Jl. Kartika Plaza,,,Indonesia,Green Garden Hotel Kuta,31USD
Kuta,Jl. Sunset Road No.101,,,Indonesia,Swiss-Belhotel Rainforest,30USD
Kuta,Jl. Khayangan Suci No. 8,,,Indonesia,Fave Hotel Kuta Square,22USD
Kuta,Jl. Pantai Kuta No.33,,,Indonesia,Kuta Angel Hotel,25USD
Kuta,Jl. Troppozone No. 8,,,Indonesia,Neo+ Kuta Legian,28USD
Kuta,Jalan Kubu Anyar Number-20,,,Indonesia,Ohana Hotel Kuta,25USD
Kuta,Jalan Pantai Kuta,,,Indonesia,Maharani Beach Hotel,42USD
Kuta,Jl. Kartika Plaza No.20,,,Indonesia,J Boutique Hotel,21USD
Kuta,Nyangnyang Sari Street Number 7B,,,Indonesia,Pondok Sari,18USD
Kuta,Jalan Kubu Anyar Number 31,,,Indonesia,Swiss-Belhotel Tuban,38USD
Kuta,Jl. Legian Gang Lingga Murti ,,,Indonesia,Samsara Inn,28USD
Kuta,"Jalan Kartika Plaza,",,,Indonesia,Rabasta Resort @ Kuta,11USD
Kuta,"Jl. Raya Kuta, Banjar Anyar, Badung",,,Indonesia,PrimeBiz Kuta,30USD
Kuta,Sunset Road,,,Indonesia,D'Lima Hotel & Villas,36USD
Kuta,Jl. Nakula Timur Gg. Marga Ayu No. 88,,,Indonesia,Nakula Stay Kuta,16USD
Kuta,"Jalan Raya Kuta No. 139,",,,Indonesia,Berry Glee Hotel,33USD
Ubud,"Jl. Wenara Wana, Monkey Forest",,,Indonesia,KajaNe Mua at Ubud Bali,108USD
Nusa Dua,P.O. Box 36,,,Indonesia,The Westin Resort Bali,105USD
Kuta,"Discover Shopping Mall, Jl. Kartika Plaza",,,Indonesia,Home@36 Condotel,33USD
Nusa Dua,Jl. Raya Nusa Dua Selatan Kawasan Sawangan,,,Indonesia,Mulia Resort,186USD
Seminyak,Jl. Drupadi No. 99,,,Indonesia,Harris Hotel Seminyak,34USD
Ubud,Jalan Gunung Sari Peliatan PO Box 1001 ,,,Indonesia,Maya Ubud Resort & Spa,204USD
Seminyak,Jl. Kayu Aya No. 68,,,Indonesia,Ize Seminyak,72USD
Kuta,Jalan Pantai ,,,Indonesia,Sheraton Bali Kuta Resort,169USD
Seminyak,Jl.Raya Petitenget Number 1000X,,,Indonesia,Hotel Vila Lumbung,59USD
Nusa Dua,Jl. Raya Nusa Dua Selatan,,,Indonesia,Grand Nikko Bali,143USD
Kuta,Jalan Benesari,,,Indonesia,The Bene,54USD
Sanur,Jalan Danau Tamblingan 47,,,Indonesia,Griya Santrian a Beach Resort,140USD
Seminyak,Jalan Camplung Tanduk No. 66,,,Indonesia,The Breezes Bali Resort & Spa,75USD
Legian,Jl. Melasti,,,Indonesia,The Magani Hotel and Spa,92USD
Sanur,Jl. Cemara 35,,,Indonesia,Puri Santrian,132USD
Jimbaran,"Karang Mas Estate, Jalan Karang Mas Sejahtera",,,Indonesia,RIMBA Jimbaran Bali by AYANA,163USD
Jimbaran,"Jalan Mrajapati, P.O. Box 2023",,,Indonesia,Keraton Jimbaran Beach Resort,82USD
Legian,"Jl. Werkudara, PO BOX 3244",,,Indonesia,Jayakarta Residence and Spa Hotel Bali,74USD
Legian,Jl. Sriwijaya No 88 ,,,Indonesia,Bliss Surfer Hotel,25USD
Ubud,Jalan Penestanan Sayan ,,,Indonesia,The Mansion Resort Hotel & Spa Bali,70USD
Ubud,Jln. Raya Campuhan,,,Indonesia,Hotel Tjampuhan Spa,63USD
Kuta,Jalan Kartika Plaza,,,Indonesia,Bintang Kuta Bali,47USD
Seminyak,"Jl. Kayu Aya, PO. Box 1085 TBB",,,Indonesia,The Seminyak Beach Resort & Spa,212USD
Seminyak,Jl. Batubelig Beach,,,Indonesia,Grand Balisani Suites,61USD
Kuta,Jl. Nyang Nyang Sari No. 2,,,Indonesia,Best Western Kuta Villa,28USD
Legian,Jl. Padma Utara,,,Indonesia,Swiss-Belinn Legian,38USD
Legian,Jalan Pantai Kuta,,,Indonesia,Alam Kulkul Boutique Resort,68USD
Ubud,"Jalan Andong, Banjar Nagi",,,Indonesia,Kamandalu Ubud,220USD
Legian,Jl. Legian No. 118,,,Indonesia,Legian Paradiso Hotel,28USD
Ubud,Jalan Tirta Tawar Km 3.5 Banjar Junjungan,,,Indonesia,Junjungan Ubud Hotel and Spa,46USD
Legian,JI Arjuna 88X,,,Indonesia,FuramaXclusive Ocean Beach Seminyak Bali,73USD
Kuta,"Jalan Raya Kuta, 62A",,,Indonesia,HARRIS Hotel & Residences Riverview Kuta,27USD
Seminyak,Jalan Petitenget,,,Indonesia,Vasanti Seminyak Resort,77USD
Kuta,"Jl. Kartika Plaza, 92",,,Indonesia,Grand Ixora Kuta Resort,31USD
Seminyak,Jalan Camplung Tanduk,,,Indonesia,Pelangi Bali Hotel,86USD
Legian,Melasti Street ,,,Indonesia,Champlung Mas Hotel Bali,20USD
Kuta,"Jl Kahyangan Suci, off Jl Tegal Wangi",,,Indonesia,Ida Hotel,28USD
Payangan,"Br.Tanggayuda, Kedewatan, Ubud",,,Indonesia,Komaneka at Tanggayuda Ubud,228USD
Kuta,Puri Gerenceng 46,,,Indonesia,The Radiant Hotel & Spa,25USD
Kuta,Jl. Benesari No.2,,,Indonesia,Hotel Terrace at Kuta,30USD
Seminyak,Jl. Nakula No. 18,,,Indonesia,TS Suites Bali,119USD
Ubud,Jalan Hanoman,,,Indonesia,Alaya Resort Ubud,135USD
Legian,Jalan Kubu Bene,,,Indonesia,Pop Hotel Kuta Beach,21USD
