area,street,rooms,chain,country,name,price
Uluwatu,"Jl.Melasti Labuan Sait, Padang-Padang Beach Pecatu",,,Indonesia,Pinkcoco Bali,67USD
Payangan,Banjar Kumbuh,,,Indonesia,Sankara Ubud Resort,144USD
Legian,Jl. Padma,,,Indonesia,Legian Village Hotel,15USD
Kuta,1 Poppies Lane,,,Indonesia,Kuta Puri Bungalows,58USD
Ubud,"Banjar Silungan, Desa Lodtunduh",,,Indonesia,Anulekha Resort & Villa,25USD
Payangan,Desa Melinggih Kelod,,,Indonesia,Ayung Resort Ubud,125USD
Ubud,Jalan Sanggingan ,,,Indonesia,Pita Maha Resort and Spa,181USD
Tanjung Benoa,Jl. Pratama 97 A,,,Indonesia,The Tanjung Benoa Beach Resort - Bali,59USD
Lovina,Jl. Kalibukbuk,,,Indonesia,Hotel Suma,23USD
Jimbaran,Jalan Uluwatu,,,Indonesia,Belmond Jimbaran Puri,224USD
Legian,"l. Pantai Kuta No. 99X, Kuta",,,Indonesia,The Kuta Playa Hotel and Villas,68USD
Legian,Jl Legian No 328,,,Indonesia,Mercure Bali Legian Hotel,53USD
Sanur,Jalan Pantai Sindhu 14,,,Indonesia,Inna Sindhu Beach,55USD
Denpasar,Jalan Teuku Umar Number 74,,,Indonesia,POP Hotel Teuku Umar,19USD
Legian,"Jalan Kresna - Ulun Tanjung, Legian, Kuta,Bal",,,Indonesia,Villa Diana Bali Hotel,31USD
Pecatu,"Block 5, Pecatu Indah Resort, Jl. Raya Uluwatu",,,Indonesia,Le Grande Bali,49USD
Sanur,Jalan Danau Tamblingan No. 87 ,,,Indonesia,Parigata Resort & Spa,61USD
Ubud,Jl. Raya Pengosekan,,,Indonesia,Casa Ganesha Hotel Bali,22USD
Seminyak,"Jalan Petitenget, Gang Gagak No.1",,,Indonesia,The Dipan Resort Villas and Spa,80USD
Kuta,Jl. Dewi Sartika,,,Indonesia,Melasti Beach Bungalows & Spa,24USD
Ubud,Jl. Raya Pengosekan,,,Indonesia,Sapu Lidi Resort Spa,42USD
Legian,Jl. Padma,,,Indonesia,The Lokha Legian Resort and Spa,58USD
Kuta,Jln Sunset Road No 23,,,Indonesia,Sun Boutique Hotel,29USD
Nusa Dua,Jalan Nusa Dua Selatan,,,Indonesia,Vouk Hotel & Suites,46USD
Sanur,Jl. Danau Tamblingan No. 45,,,Indonesia,Besakih Beach Resort Bali,66USD
Legian,Jl. Padma,,,Indonesia,Casa Padma Kuta,32USD
Sanur,Jalan By Pass Ngurah Rai 209,,,Indonesia,Hotel Puri Tempo Doeloe,37USD
Nusa Dua,Jalan Pintas Siligita 3A Banjar Peminge ,,,Indonesia,Hotel Santika Siligita Nusa Dua,35USD
Kuta,Jalan Kubu Anyar Gg. Biduri,,,Indonesia,Ozz Hotel Kuta Bali,34USD
Sanur,Jalan Cemara,,,Indonesia,Ari Putri Hotel Bali,31USD
Nusa Lembongan,Dream Beach,,,Indonesia,Dream Beach Huts,49USD
Nusa Dua,Jl. Kebo Iwa Taman Mumbul,,,Indonesia,Park Hotel Nusa Dua Bali,104USD
Ungasan,Jalan Raya Uluwatu Ds. Ungasan,,,Indonesia,MaxOneHotels at Bukit Jimbaran,20USD
Payangan,Banjar Susut,,,Indonesia,Nandini Bali Resort & Spa Ubud,135USD
Legian,Jl. Padma Utara No. 41,,,Indonesia,Garden View Resort,34USD
Amed,"Jl. Raya Bunutan, Amed, Karangasem",,,Indonesia,Puri Wirata Resort And Spa Bali,46USD
Canggu,pantai berawa Str.,,,Indonesia,Legong Keraton Beach Hotel Bali,52USD
Legian,Jl. Raya Legian 363,,,Indonesia,Kuta Lagoon Resort and Pool Villas,35USD
Legian,"Jl. Werkudara, Bulan",,,Indonesia,Astagina Resort Villa and Spa,60USD
Ubud,Jalan Raya Lungsiakan,,,Indonesia,Mathis Retreat Ex-Kenanga,121USD
Lovina,"Jl. Ketapang, Lovina",,,Indonesia,Rambutan Boutique Hotel Bali,29USD
Banyuwedang,Jl. Raya Gilimanuk Singaraja KM 17,,,Indonesia,The Menjangan,119USD
Sanur,Jalan Danau Tamblingan 64X ,,,Indonesia,Tamukami Hotel,73USD
Tanjung Benoa,Jalan Pratama Tanjung Benoa Nusa Dua,,,Indonesia,The Bali Khama Beach Resort & Spa,170USD
Sanur,Jl. Danau Tamblingan 29,,,Indonesia,Hotel La Taverna,155USD
Sanur,Jalan Kesari Number 16B,,,Indonesia,Klumpu Bali Resort,167USD
Ubud,Banjar Laplapan Ubud Gianyar,,,Indonesia,Natura Villa Ubud Bali,108USD
Nusa Dua,Jalan Raya Nusa Dua Selatan,,,Indonesia,The Bale Resort Bali,453USD
Ungasan,"Jalan Villa Kandara, Banjar Wijaya Kusuma",,,Indonesia,Karma Kandara,343USD
Nusa Lembongan,"Jalan Jungut Batu Beach, Lembongan",,,Indonesia,Lembongan Beach Club & Resort,209USD
Seminyak,Jalan Petitenget 72X Seminyak Kuta,,,Indonesia,Putu Bali Villa And Spa,48USD
Seminyak,Jl. Abimanyu (Dhyana Pura) No. 9A,,,Indonesia,Primera Hotel Seminyak,18USD
Jimbaran,"Jl Gedong Sari #888, Mumbul",,,Indonesia,Jimbaran Cliffs Private Hotel & Spa,145USD
Ubud,Jalan Raya Nyuh Kuning,,,Indonesia,Bali Spirit Hotel And Spa,75USD
Kuta,Jalan Puri Gerenceng No. 9xx,,,Indonesia,Next Tuban Bali,13USD
Sanur,Jalan Cemara Semawang ,,,Indonesia,Villa Puri Ayu,43USD
Ubud,"Jalan Banjar Panestanan Kaja, Sayan",,,Indonesia,Ubud Heaven Villas Bali,84USD
Nusa Dua,Jalan Pura Barong-Barong Sawangan,,,Indonesia,Samabe Bali Suites & Villas,364USD
Ubud,Jalan Pengosekan,,,Indonesia,Bhuwana Ubud Hotel,58USD
Ubud,Jalan Raya Pengosekan ,,,Indonesia,The Grand Sunti,44USD
Tulamben,Jalan Kubu-Abang,,,Indonesia,Matahari Tulamben Resort Dive & Spa,19USD
Ubud,"Jalan Sukma Br.Tebesaya Peliatan Ubud,Bali",,,Indonesia,SenS Hotel and Spa Conference Ubud Town Centre,64USD
Seminyak,Jalan Kunti,,,Indonesia,Kanishka Villas,88USD
Tuban,Jalan Raya Kuta No. 77,,,Indonesia,Ibis Bali Kuta,26USD
Kuta,"Jalan Pudak Sari, Kartika Plaza",,,Indonesia,A Residence Hotel Bali,15USD
Kuta,"Jl. Kartika Plaza, Gang Puspa Ayu, No. 2 ",,,Indonesia,Radha Bali Hotel,39USD
Canggu,"Br. Pengembungan, Desa Pererenan",,,Indonesia,The Bali Dream Villa & Resort Echo Beach Canggu,50USD
Ubud,"Jalan Nyuhbojog, Nyuh Kuning Desa Mas",,,Indonesia,Ubud Wana Resort,72USD
Ubud,Jalan Raya Campuhan,,,Indonesia,Warwick Ibah Luxury Villas & Spa Bali,181USD
Kuta,Jalan Kartika Plaza 9x,,,Indonesia,The Tusita Hotel,21USD
Pecatu,"Jl. Nabor 29, Pecatu",,,Indonesia,Hidden Valley Resort Bali,87USD
Ubud,"Br. Bucuan, Ds. Batuan",,,Indonesia,Santi Mandala Villa & Spa,79USD
Kuta,Jalan Raya Legian No. 121,,,Indonesia,Love F Hotel by fashiontv,37USD
Legian,Jl. Sahadewa No. 19,,,Indonesia,Losari Hotel & Villas Kuta Bali,28USD
Ubud,Jalan Raya Pengosekan ,,,Indonesia,Puri Garden Hotel Bali,34USD
Kuta,Jl. Bypass Ngurah Rai no 28 Kuta,,,Indonesia,Hawaii Bali Hotel,25USD
Seminyak,"Jl. Dewi Saraswati 3, No. 4 - Seminyak",,,Indonesia,Seminyak Lagoon All Suites Hotel,35USD
Legian,"Jl. Padma Utara, P.O. Box 2041",,,Indonesia,Hotel Puri Raja Bali,98USD
Lovina,Jl. Raya Singaraja Seririt Lovina,,,Indonesia,Adirama Beach Hotel Bali,36USD
Ubud,Jalan Melayang ,,,Indonesia,Tanah Merah Resort & Gallery,75USD
Kuta,"Jl. Pantai Kuta, Br. Pande Mas",,,Indonesia,Kutabex Beachfront Hotel,53USD
Nusa Dua,Jl. Raya Nusa Dua Selatan,,,Indonesia,The Mulia,195USD
Denpasar,Jl Gatot Subroto Barat 283 ,,,Indonesia,Aston Denpasar Hotel,35USD
Kuta,Jalan Legian No.120,,,Indonesia,Sandat Hotel Legian,13USD
Ubud,Jl. Hanoman-Pengosekan,,,Indonesia,Plataran Ubud Hotel & Resort,84USD
Seminyak,Jalan Abimanyu,,,Indonesia,Seminyak Paradiso Hotel Bali,27USD
Canggu,Jalan Pantai Batu Bolong,,,Indonesia,Hotel Tugu Bali,328USD
Denpasar,Jl. Teuku Umar No. 183,,,Indonesia,All Seasons Bali Denpasar,28USD
Nusa Dua,Kawasan Pariwisata Nusa Dua Lot NW/1,,,Indonesia,Bali Nusa Dua Hotel,89USD
Ubud,"Jl.Penestanan kelod, Sayan, Gianyar",,,Indonesia,D'Omah Hotel,35USD
Pecatu,"Jl Raya Uluwatu, Pecatu Kuta Selatan",,,Indonesia,New Kuta Hotel,38USD
Jimbaran,"Balangan Beach Street, Pecatu",,,Indonesia,Flower Bud Bungalow Balangan,41USD
Canggu,Jalan Raya Batu Bolong,,,Indonesia,The Kirana Hotel Resto & Spa,49USD
Padangbai,Jalan Raya Silayukti,,,Indonesia,Beji Bay Resort,29USD
Candi Dasa,Desa Samuh Candi Dasa Karangasem,,,Indonesia,Bali Shangrila Beach Club,48USD
Sanur, Jalan Tanjung Pinggir Pantai Sanur Baliindonesia,,,Indonesia,WakaMaya Resort Bali,67USD
Kuta,Jalan Buni Sari Mo. 14 A. Br Buni ,,,Indonesia,Hotel Suardana,20USD
Nusa Lembongan,Lembongan Island,,,Indonesia,Batu Karang Lembongan Resort and Day Spa,191USD
Candi Dasa,"Jalan Raya Sengkidu, Amplapura",,,Indonesia,Nirwana Resort and Spa Bali,65USD
Kuta,"Jl. Kartika Plaza, Pertokoan Kuta Centre 8X Blok B 2nd Fl",,,Indonesia,Saimai Residence,11USD
Kuta,Jl. Bakung Sari Gg. Kresek No 07,,,Indonesia,Jesen's Inn II,17USD
Candi Dasa,"Jl. Raya Candidasa, Karangasem",,,Indonesia,The Natia,28USD
Ubud,Jalan Raya Sanggingan 18 Tjampuhan ,,,Indonesia,Kori Ubud Resort Bali,50USD
Kuta,"Jl. Ciung Wanara No. 17, Br. Tegal",,,Indonesia,Holiday Inn Express Bali Kuta Square,32USD
Lovina,Jalan Raya Kalibukbuk Lovina,,,Indonesia,Melka Excelsior Hotel Bali,33USD
Sanur,Jalan Hangtuah No 23 PO Box 3224,,,Indonesia,Puri Dalem Hotel Bali,30USD
Tuban,Jl.Uluwatu I No.389 Kedongan,,,Indonesia,Horison Jimbaran Hotel,25USD
Legian,Jalan Melasti Lebak Bena 15x ,,,Indonesia,Vilarisi Hotel Bali,13USD
Kuta,Jl Raya 88 ,,,Indonesia,Rhadana Kuta Bali,27USD
Kuta,Jalan. Legian No. 153,,,Indonesia,Fourteen Roses Hotel,23USD
Denpasar,South of Ubud Jalan Trenggana No 108 Penatih ,,,Indonesia,Alam Puri Art Museum & Resort,36USD
Jimbaran,Jalan Uluwatu 1 ,,,Indonesia,Jamahal Private Resort & SPA,277USD
Seminyak,"Jl. Beraban, Banjar Taman Kerobokan, Kuta",,,Indonesia,The Seminyak Village Resort Bali,17USD
Pecatu,Jalan Goa Lempeh Banjar Dinas Kangin,,,Indonesia,Bulgari Resort Bali,688USD
Kuta,Jl. Blambangan No.10 Kuta,,,Indonesia,Alron Hotel,15USD
Tanjung Benoa,"Jl. Pratama No.93, Tanjung Benoa",,,Indonesia,Ion Bali Benoa,32USD
Ubud,Jl. Penestanan,,,Indonesia,Y Resort Ubud,54USD
Ubud,Jalan Raya Pengosekan ,,,Indonesia,Arma Museum & Resort,101USD
Nusa Lembongan,Jungut Batu,,,Indonesia,Indiana Kenanga Luxury Boutique Hotel & Spa,146USD
Amed,"Bunutan, Amed, Karangasem",,,Indonesia,Arya Amed Beach Resort,36USD
Ubud,Jalan Sriwedari,,,Indonesia,Bakung Ubud Resort and Villa,34USD
Ubud,Jalan Penestanan Ubud Gianyar,,,Indonesia,The Sungu Resort & Spa,83USD
Kerobokan,"Jl. Dukuh Indah, Banjar Semer",,,Indonesia,Dewani Villa Resort Bali,26USD
Ubud,"Tromol Pos 03, Kantor Post Tegallalang",,,Indonesia,Alam Sari Keliki Resort Bali,46USD
Ubud,Jl. Bisma - Ubud,,,Indonesia,Pertiwi Bisma 2,45USD
Munduk,"Br. Dinas Asa, Ds. Gobleg, Kec. Banjar, Buleleng",,,Indonesia,Munduk Moding Plantation,130USD
Nusa Dua,Jalan Raya Nusa Dua Selaton Lot III,,,Indonesia,The Ritz-Carlton Bali,368USD
Seminyak,Jalan Cendrawasih No 89 Petitenget,,,Indonesia,Maison At C Boutique Hotel and Spa,41USD
Legian,Jl.Melasti No.1 Legian Kuta Bali 80361 Indonesia,,,Indonesia,Rivavi Fashion Hotel,36USD
Sanur,Jl. Raya By Pass Ngurah Rai No. 402,,,Indonesia,The Griya Sanur,42USD
Tulamben,Jalan Raya Tulamben - Kubu,,,Indonesia,Liberty Dive Resort,50USD
Nusa Dua,Jalan Nusa Dua Selatan - Lot SW 03,,,Indonesia,Mercure Bali Nusa Dua,43USD
Legian,"Jalan Nakula - LC. Shri Laksmi I No.18, Legian - Seminyak - Bali",,,Indonesia,The Agung Residence,13USD
Seminyak,Jalan Camplung Tanduk ,,,Indonesia,Puri Cendana Resort Bali,53USD
Ubud,"Jl. Tirta Tawar, Banjar Kutuh Kaja",,,Indonesia,The Purist Villas & Spa Ubud,178USD
Ubud,"P.O. Box 141, Kedewataan",,,Indonesia,Puri Bunga Resort and Spa Bali,31USD
Kuta,Jalan Sunset Road,,,Indonesia,Adhi Jaya Sunset Hotel,23USD
Sanur,Jalan Mertasari 66 Sanur,,,Indonesia,Puri Mesari,56USD
Ubud,Jalan Monkey Forest Ubud Gianyar,,,Indonesia,Barong Resort And Spa Bali,92USD
Kuta,Jalan Pantai,,,Indonesia,Bali Bungalo,18USD
Nusa Dua,Jalan Nusa Dua Selatan No. 8,,,Indonesia,The Grand Bali Nusa Dua,49USD
Nusa Dua,Jalan Raya Nusa Dua Selatan,,,Indonesia,Ulu Segara Luxury Suites & Villas,198USD
Ubud,"Jl. Raya Kedewatan, Ubud, Gianyar",,,Indonesia,D'Bulakan Boutique Resort Ubud,68USD
Ubud,Monkey Forest Road,,,Indonesia,Cendana Resort and Spa,56USD
Ubud,Jalan Bisma No. 8,,,Indonesia,Bisma Eight,174USD
Ubud,Jl. Raya Sebali,,,Indonesia,Chapung SeBali Resort and Spa,269USD
Kuta,Jl. Wana Segara Tuban,,,Indonesia,The Sandi Phala,116USD
Kuta,Jalan Raya Kuta Number 83 E,,,Indonesia,HARRIS Hotel Raya Kuta Bali,29USD
Lovina,Jalan Laviana no. 7,,,Indonesia,Hotel Melamun,33USD
Candi Dasa,"Jl. Candi Dasa, Nyuh Tebel, Manggis, Amlapura",,,Indonesia,Bali Palms Resort,42USD
Ubud,"Banjar Dapdapan (Jalan ke Cagan), Pejeng",,,Indonesia,Bali Villa Ubud,59USD
Ubud,Jl. Penestanan Kelod,,,Indonesia,Svarga Loka Resort,146USD
Kuta,Jalan Legian No 133 ,,,Indonesia,Simpang Inn,11USD
Nusa Dua,"Jalan Kebo Iwa, No 2, Taman Mumbul",,,Indonesia,The Amaroossa Suite Bali,34USD
Ubud,Bisma Street,,,Indonesia,Bisma Sari Resort,22USD
Legian,Jl. Dewi Sri No.9,,,Indonesia,Gosyen Hotel,13USD
Kuta,"Jl. Legian No.190, ",,,Indonesia,The Niche Bali,35USD
Legian,Jl.Raya Dewi Sri I Numer 16,,,Indonesia,Berry Hotel,18USD
Sanur,Jalan Pengembak,,,Indonesia,Sanur Seaview Hotel,28USD
Lovina,"Jalan Raya Seririt Singaraja, Desa Pemaron",,,Indonesia,Puri Bagus Lovina Hotel Bali,108USD
Kuta,Jl. Kartika Plaza ,,,Indonesia,Rani Hotel & Spa,47USD
Gianyar,"Jl. Pantai Keramas,",,,Indonesia,Komune Resort and Beach Club,95USD
Jimbaran,"Jalan Taman Bali No.1, By Pass Ngurah Rai, Mumbul",,,Indonesia,Mahogany Hotel Bali,33USD
Kerobokan,81 Jalan Bumbak Banjar Anyar Umalas,,,Indonesia,Villa Mathis a Member of Secret Retreats,112USD
Amed,"Jalan Banyuning, Amed, Karangasem",,,Indonesia,Baliku Dive Resort,66USD
Kuta,"Jl. Raya Legian, (Ground Zero) Troppozone Lane No. 8",,,Indonesia,The Spot Legian,19USD
Seminyak,Jalan Arjuna Gg. Raja No.6,,,Indonesia,Kusuma Resort,29USD
Nusa Lembongan,Mushroom Bay,,,Indonesia,MolaMola House,57USD
Ubud,Banjar Baturning,,,Indonesia,Fivelements Puri Ahimsa,162USD
Kuta,Legian Street 83A ,,,Indonesia,Maxi Hotel & Spa,25USD
Lovina,"Lovina Beach, Desa Kaliasem, Kecamatan Banjar, Kabupaten, Buleleng",,,Indonesia,Nugraha Lovina Seaview Resort & Spa,70USD
Tuban,Jalan I Gusti Ngurah Rai,,,Indonesia,Grandmas Tuban Hotel,21USD
Kuta,Jl. Pantai Kuta No. 42,,,Indonesia,Kodja Beach Hotel,13USD
Lovina,Desa Kaliasem,,,Indonesia,Lovina Beach Hotel,21USD
Kuta,Jalan Raya Kuta No. 81,,,Indonesia,Grand Zuri Kuta Bali,22USD
Legian,Jl. Padma Utara,,,Indonesia,Amaris Hotel Legian - Bali,17USD
Pemuteran,"Jl Arjuna, Pemuteran, Buleleng, Bali",,,Indonesia,Arjuna Homestay Pemuteran,26USD
Seminyak,Jl. Petitenget/Cenderawasih No. 9 Banjar Uma Sari,,,Indonesia,Taman Rosani Hotel Bali,18USD
Kuta,"Jl. Blambangan No. 5, Kuta, Bali",,,Indonesia,Suris Boutique Hotel,17USD
Legian,Jalan Dewi Sri No 17 Kuta Badung BALI,,,Indonesia,Ibis Styles Bali Kuta Dewi Sri,30USD
Kuta,"Jalan Legian Gang Poppies II, Benesari",,,Indonesia,Sandat Hotel Kuta,14USD
Kuta,Poppies Lane 1,,,Indonesia,La Walon Hotel,32USD
Tabanan,"Kawasan Wisata Tanah Lot, Tabanan",,,Indonesia,Natya Hotel Tanah Lot,49USD
Denpasar,Jl. By Pass Ngurah Rai Sanur,,,Indonesia,Puri Maharani Boutique Hotel & Spa,23USD
Legian,Jl. Dewi Sri no. 20,,,Indonesia,Spazzio Hotel,13USD
Seminyak,Jl. Petitenget,,,Indonesia,Golden Tulip Devins Seminyak,93USD
Nusa Lembongan,Song Lambung Beach,,,Indonesia,Song Lambung Beach Hut,64USD
Jimbaran,"Jalan Pemelisan Agung, No 25",,,Indonesia,The Open House Bali,124USD
Jimbaran,Jalan Bypass Ngurah Rai Number 188 X ,,,Indonesia,POP Hotel Nusa Dua,15USD
Jimbaran,Jalan Pondok Mekar Kampus,,,Indonesia,Anumana Bay View,20USD
Legian,"JL Padma Utara, Gang Abdi #18 ",,,Indonesia,The Island Hotel Bali,10USD
Seminyak,JaLan Laksmana no 22,,,Indonesia,The Colony Hotel Bali,326USD
Seminyak,Jl. Batu Belig No. 100,,,Indonesia,Brown Feather Hotel,35USD
Kuta,"Jl. Sunset Road No.100 C, Kuta",,,Indonesia,100 Sunset 2 Hotel,21USD
Denpasar,"Jalan Nakula Timur,",,,Indonesia,Legian Guest House,22USD
Ubud,Jalan Tengkulak Ubud,,,Indonesia,Bhanuswari Resort And Spa Bali,48USD
Kuta,"Jalan Merdeka Raya no 17 AG, Kuta, Bali",,,Indonesia,Bakung Sunset Hotel,9USD
Banyuwedang,"Banyuwedang 81155, Buleleng,",,,Indonesia,Mimpi Resort Menjangan Bali,89USD
Seminyak,Jl. Petitenget 18X,,,Indonesia,Villa Bunga Hotel & Spa,19USD
Jimbaran,Jalan Bukit Permai,,,Indonesia,Karma Jimbaran,357USD
Kuta,Jl. Dewi Sartika Gg. Nusa Indah No.9,,,Indonesia,Bali Segara Hotel,23USD
Seminyak,Jalan Kayu Aya 100,,,Indonesia,Seminyak Square Hotel,36USD
Legian,Jl. Werkudara No. 526,,,Indonesia,Club Bali Family Suites @ Legian Beach,61USD
Jimbaran,"Uluwatu II, Taman Mulia, Jl. Arwana 88, Jimbaran",,,Indonesia,Dream @ Jimbaran,14USD
Umeanyar,PO Box 18 Ds Ume Anyar Seririt Singaraja,,,Indonesia,Zen Resort Bali,233USD
Seminyak,Jalan Lebak Sari 8 Kerobokan,,,Indonesia,The Kunja Villa Hotel Bali,282USD
Sanur,Jalan Kesuma Sari No 4 ,,,Indonesia,Stana Puri Gopa Hotel,26USD
Ubud,Kedewatan,,,Indonesia,The Jungle Retreat by Kupu Kupu Barong,126USD
Lovina,"Jalan Rava Lovina, Singaraja",,,Indonesia,Aditya Beach Resort Bali,34USD
Ubud,Jalan Raya Sayan,,,Indonesia,Four Seasons Resort Bali at Sayan,632USD
Ubud,Jl. Bangkiang Sidem,,,Indonesia,Bali Bliss Resort & Spa,60USD
Banyuwedang,West Bali National Park,,,Indonesia,Naya Gawana Resort & Spa,86USD
Bondalem,Jalan Singaraja-Amlapura No.100 Desa Tembok Tejakula,,,Indonesia,Spa Village Resort Tembok Bali,125USD
Denpasar,"Jalan Kerta Bedulu 1A, Merta Sari, Banjar Suwung Kangin-Sidakarya. Denpasar Selatan, Bali",,,Indonesia,Sugiras Living,16USD
Ungasan,Jalan Uluwatu No. 200X,,,Indonesia,U Tube Hotel & Spa by Shailendra,21USD
Kuta,Jalan Majapahit No 18 ,,,Indonesia,Bali Kuta Resort,17USD
Seminyak,"Jalan Raya Seminyak, Kuta",,,Indonesia,Puri Wisata Bungalows,24USD
Legian,Jalan Padma Utara ,,,Indonesia,Hotel Grand Sinar Indah,27USD
Sanur,Jalan Kesumasari no. 3,,,Indonesia,Hotel Palm Garden Sanur,50USD
Uluwatu,Jalan Pantai Suluban No 313,,,Indonesia,De Sapphire Cliff Villa,60USD
Kuta,Jl. By Pass Ngurah Rai No. 8 Simpang Siur Kuta DENPASAR,,,Indonesia,Mercure Bali Harvestland Kuta,34USD
Canggu,Jalan Discovery No. 8,,,Indonesia,Lv8 Resort Hotel,114USD
Legian,Jalan Melasti Lebak Bene Legian Kuta Denpasar,,,Indonesia,Rosani Hotel Bali,22USD
Tulamben,"Jln. Raya Tulamben - Kubu, Karangasem",,,Indonesia,Ocean View Dive Resort Tulamben,47USD
Seminyak,Jl Kunti 1 No 9,,,Indonesia,Bnb Style Hotel Seminyak,15USD
Tanjung Benoa,Jl. Pratama No.86,,,Indonesia,Holiday Inn Resort Bali Benoa,138USD
Kuta,JL Bakung sari (Singosari) no 14 Badung,,,Indonesia,Bagus Hayden Hotel,18USD
Candi Dasa,Jalan Raya Candidasa  Dusun Samuh Bugbug,,,Indonesia,Rama Shinta Hotel Candidasa,44USD
Pulukan,"Jl. Ngurah Rai, Pekutatan,",,,Indonesia,Kelapa Retreat Bali,148USD
Kuta,Jalan Kartika Plaza Kuta Beach,,,Indonesia,Hotel Karthi,22USD
Ubud,"Jalan Tirta Tawar, Banjar Junjungan",,,Indonesia,Villa Junjungan Resort Pool & Spa,39USD
Kuta,Jl. Kartika Plaza no. 108,,,Indonesia,The Edelweiss Boutique Hotel Kuta,21USD
Ubud,"Jl. Hanoman, Pengosekan",,,Indonesia,Rama Phala Resort & Spa,81USD
Denpasar,Jalan Sunset Road Number 99,,,Indonesia,Berry Biz Hotel,22USD
Ubud,Jalan Suweta Desa Bentuyung,,,Indonesia,Blue Karma Ubud,105USD
Seminyak,Jl. Bidadari IV No.7,,,Indonesia,Ariva 7 Bidadari Boutique Hotel,21USD
Kuta,"Jl. Sunset Road no. 100, Kuta",,,Indonesia,100 Sunset Boutique Hotel,41USD
Jimbaran,"Jl. Uluwatu II, No. 108",,,Indonesia,Grand Jimbaran Boutique Hotel & Spa,26USD
Tigawasa,"Dsn. Gunung Sari, Ds. Cempaga Banja",,,Indonesia,The Hamsa,27USD
Sanur,Jalan Hangtuah No 54 PO Box 3120 Denpasar Sanur Beach,,,Indonesia,Diwangkara Beach Hotel & Resort,30USD
Canggu,"Jalan Kubu Manyar, Br. Pipitan, Canggu",,,Indonesia,Lubdhaka Canggu Residence,23USD
Ubud,Jalan Hanoman Padang Tegal ,,,Indonesia,Sahadewa Resort & Spa,52USD
Lovina,"Kartika Street, Kalibukbuk ,Bali 81511",,,Indonesia,Bali Paradise - Boutique Resort,46USD
Kuta,Jl Kediri No. 5 Tuban ,,,Indonesia,Permata Kuta Hotel Bali,46USD
Seminyak,Jalan Cenderawasih No. 78,,,Indonesia,The Alea Hotel,21USD
Tanjung Benoa,Jln. Segara Windu No 1,,,Indonesia,The Segara Suites,59USD
Kuta,Jalan Bhineka Jati Jaya XI No 2 Banjar Anyar,,,Indonesia,RaBaSTa Mahayana Kuta Hotel,13USD
Denpasar,Jl. Gunung Soputan 88,,,Indonesia,Cozy Stay,18USD
Kuta,Jalan Benesari Banjar Pengabetan,,,Indonesia,Four Points By Sheraton Bali Kuta,86USD
Sanur,Jalan Danau Tamblingan No. 89M,,,Indonesia,Maya Sanur Resort & Spa,181USD
Kerobokan,"Jalan Pengubugan, Banjar Silayukti Kerobokan, Kuta",,,Indonesia,Plataran Canggu Bali Resort & Spa,143USD
Kuta,Jalan By Pass Ngurah Rai number 1,,,Indonesia,Harris Hotel Kuta Galleria - Bali,31USD
Sanur,Jalan Pantai Sindhu,,,Indonesia,Aquarius Beach Hotel Sanur,66USD
Nusa Lembongan,Jalan By Pass Ngurah Rai 622 Suwung,,,Indonesia,Coconut Beach Resort Bali,118USD
Denpasar,"Jl. Mohamad Yamin IV No 2A, Renon - Denpasar",,,Indonesia,Praja Hotel,27USD
Legian,133 Jl. Batu Belig,,,Indonesia,The Harmony Legian,18USD
Sanur,Jl. Danau Tamblingan No. 76,,,Indonesia,Bali Pavilions Villa,228USD
Legian,Jalan Dewi Sri,,,Indonesia,The Grey Boutique Inn,14USD
Legian,Jalan Patih Jelantik No. 11-12,,,Indonesia,Euphoria Hotel Legian,17USD
Jimbaran,Jalan Uluwatu II No 10 Jimbaran Kuta Denpasar,,,Indonesia,Nirmala Hotel Bali,19USD
Sanur,Jalan Ngurah Rai By Pass no. 28,,,Indonesia,Abian Srama Hotel & Spa,21USD
Manggis,Bali-Manggis Indonesia,,,Indonesia,Amankila,584USD
Kuta,Jl. Legian 116,,,Indonesia,Aquarius Star Hotel,25USD
Munduk,"Banjar Gesing 2, Desa Gesing",,,Indonesia,Lesong Hotel and Restaurant,42USD
Sanur,Jalan Duyung 43 Semawang ,,,Indonesia,Segara Agung Hotel,38USD
Legian,"Jalan Arjuna, Kuta",,,Indonesia,Puri Naga Seaside Cottages,66USD
Denpasar,Jl. Mertasari 59 Sidakarya Suwung Kangin,,,Indonesia,Puri Yuma Hotel & Villa,10USD
Lovina,PO Box 116 Singaraja,,,Indonesia,Banyualit Spa 'n Resort Bali,32USD
Kuta,Jl. Raya Kuta No. 108x,,,Indonesia,Maria Hotel,14USD
Jimbaran,Perum. Taman Jimbaran IX No.14,,,Indonesia,Bali Le'Mare,24USD
Kuta,Jl. Sunset Road No.6,,,Indonesia,7 Days Premium Kuta,26USD
Kubupenlokan,"Penelokan, Kintamani",,,Indonesia,Lakeview Hotel and Restaurant,57USD
Amed,Bunutan Village,,,Indonesia,Bedulu Resort Amed,30USD
Ubud,"Jalan Raya Sayan, Banjar Sindu, Sayan",,,Indonesia,Ubud Raya Resort,116USD
Legian,Jalan Nakula No.10,,,Indonesia,Casa Minha Bali,20USD
Seminyak,Jln. Batu Belig No. 16X,,,Indonesia,Nipuri Hotel,47USD
