ProductID,WebTitle,ModelNo
114083,Bosch GBH36VFLI PLUS 36v SDS Hammer Drill 2 x 4.0ah with Quick Chuck,GBH36VFLI PLUS
90922,Makita DJV180Z 18v LXT Jigsaw Bare Unit,DJV180Z
60555,Paslode IM360Ci Lithium Gas Framing Nailer Kit,IM360Ci
116831,Makita DLX2012MJ 18v 2x4.0ah Li-ion Twin Combi and Impact MakPac Kit,DLX2012MJ
60880,Makita MLT100X 240v 260mm Table Saw and Stand,MLT100X
59295,Bosch 108GSBGDR 10.8v Impact Driver and Drill in L-Boxx 2 x 2.0Ah Li-ion,108GSBGDR
78762,Festool CTL MIDI GB 110v CTL Midi Dust Extractor,CTL MIDI GB
91579,Makita DEAWST05 General Use Mitre Saw Stand,DEAWST05
29606,Makita DKP180Z 18v LXT Cordless 82mm Planer Bare Unit,DKP180Z
70535,DeWalt DCD795M2 18v Compact Brushless Combi Hammer Drill Driver,DCD795M2
94421,Makita DGA504Z 18v 125mm Brushless Angle Grinder Bare Unit,DGA504Z
117234,DeWalt DCN660P2 18v XR Brushless Second Fix Nailer 2 x 5.0Ah Li-Ion,DCN660P2
26262,Makita DHR202Z 18v SDS Plus LXT Hammer Drill Bare Unit,DHR202Z
50597,Festool TS55REBQ-Plus GB 240v Circular/Plunge Saw in Systainer 4,TS55REBQ-Plus GB
114237,Makita DLX2040SPE 18v LXT Combi and Impact 2 x 5Ah in Makpac 100 Year Anniversary,DLX2040SPE
26785,Makita BL1830 LXT 18v 3.0ah Li-ion Battery,BL1830
85449,DeWalt DCK694M3 18v Cordless 6 Piece Kit 3 x 4.0AH Li-Ion,DCK694M3
17361,DeWalt DW777-GB 240v 216mm Sliding Crosscut Mitre Saw,DW777-GB
28630,DeWalt DW088K Cross Line Laser Level Kit,DW088K
91485,Makita DLX6000 18v LXT 6 Piece Mixed Kit 3 x 3.0ah Li-ion,DLX6000
50142,Sealey SUPERMIG230 230V MIG Welder 230Amp with Binzel Euro Torch,SUPERMIG230
88300,DeWalt DCN692N 18v XR Li-Ion Brushless Framing Nailer - Bare Unit,DCN692N
60348,DeWalt DCR017 XR DAB Radio Charger 110v,DCR017 
49468,DeWalt DCK285M2 18v XR Combi Drill and Impact Driver 2 x 4.0ah,DCK285M2
91309,Hitachi KTL718S/JJ3 18v 7 Piece Cordless Tool Kit 3 x 5.0Ah Li-Ion,KTL718S/JJ3
58042,Makita LS1216L 240v 305mm Slide Compound Mitre Saw with Laser,LS1216L
92301,Stanley STA074134 6 Piece Fat Max Thru Tang Chisel Set,STA074134
91804,Makita DTW281Z 18v 1/2in Square LXT Impact Wrench Bare Unit,DTW281Z
31208,Sealey SUPERMIG150 Professional MIG Welder 150Amp 230V,SUPERMIG150
50625,Festool TS55 REQ-Plus-FS 110v Plunge Saw with Guide Rail in Systainer,TS55 REQ-Plus-FS
115427,Makita DLX6000PM 18v 6 Piece Kit 3 x 4.0Ah Li-Ion Twin Port Charger,DLX6000PM
81793,Husqvarna K760 350 350mm Cut Off Saw Disc Cutter Plus Diamond Blade Kit,K760 350
88846,Makita DJV181Z 18v LXT Jigsaw Bare Unit,DJV181Z
87288,Bosch GDX18VECN 18v Brushless Impact Driver / Wrench Bare Unit,GDX18VECN
50124,Stanley STA179215 FatMax Backpack Tool Bag on Wheels Wheeled,STA179215
93396,DeWalt DCK211D2T 10.8v XR Drill Driver and Impact Driver 2 x 2.0ah,DCK211D2T
94208,Festool TSC55 REB-Plus/XL-GS Li 18-36v Plunge Saw 2 x 5.2Ah and Rail,TSC55 REB-Plus/XL-GS Li
102232,Stanley 1-92-980 FatMax Telescopic Saw Horse Twin Pack,1-92-980
59914,DeWalt DCH253M2 18v SDS Plus Rotary Hammer Drill Kit 2 x 4.0ah,DCH253M2
60778,DeWalt DWS778 Compact Sliding Mitre Saw 250mm - 240v,DWS778
51266,Festool 491952 Fine Tooth Saw Blade TS55 160mm x 20mm x 48T,491952
115476,Makita DHS680Z 18v Brushless Circular Saw Bare Unit,DHS680Z
94050,DeWalt DCH273P2 18v 2x5.0ah XR Brushless SDS Plus Rotary Hammer,DCH273P2
25923,Bosch GSBRSTWIN 18v Combi Drill and Impact Driver Twin Kit 2 x 4.0ah,GSBRSTWIN
26266,Makita LCT204W 10.8v Twin Impact and Drill Driver in Aluminium Case,LCT204W
57019,Makita MLT100 240v 260mm Table Saw,MLT100
49070,Makita DUR181Z 18v Cordless Grass Line Trimmer Strimmer Bare Unit,DUR181Z
113836,DeWalt DCF899P2 XR High Torque Impact Wrench 18v 2 x 5.0ah,DCF899P2
21908,DeWalt DW745RSL 110v Portable Site Saw with DE7400 Stand,DW745RSL
58060,Metabo TS254 230v Compact Table Saw with Integrated Stand Kit,TS254 
113838,DeWalt DCF620D2K 18v 2x2.0Ah Li-Ion Brushless Collated Screwdriver,DCF620D2K 
57899,Makita DTD129RFE 18v LXT Brushless Impact Driver 2 x 3.0ah Li-ion,DTD129RFE
115136,Makita DHR242RMJ 18v 2x4.0Ah LXT SDS Plus Rotary Hammer MakPac,DHR242RMJ
26149,Makita DGA452Z 18v 115mm LXT Angle Grinder Bare Unit,DGA452Z
60556,Paslode PPN35Ci Lithium Positive Placement Nailer Kit,PPN35Ci
21906,DeWalt DW745L 110v Portable Site Saw,DW745L
81188,Bosch GSBGDR18 18v Dynamic Combi Drill and Impact Driver 2 x 4.0ah,GSBGDR18
85717,Milwaukee M18PP6C-402B 18v M18 HD 6 Piece Kit with 2 x 4.0Ah,M18PP6C-402B
90667,DeWalt DCK255P2 18v Brushless Hammer Drill & Impact Driver 2 x 5.0ah,DCK255P2
26636,Makita DLS713Z 18v Slide Compound Mitre Saw Bare Unit,DLS713Z
26249,Makita DSS610Z 18v 165mm LXT Circular Saw Bare Unit,DSS610Z
26625,Makita 2012NB 240v Portable Planer Thicknesser,2012NB
88806,Makita DLX4002M 18v LXT 4 Piece Kit 3 x 4.0Ah DHP458 DTD146 DSS610 BML185,DLX4002M
85096,Makita DHS710ZJ 18v Twin LXT 190mm Circular Saw Makpac Connector Case,DHS710ZJ
101514,Milwaukee M18CHIWF34-502X M18 Fuel 3/4in High Torque Impact Wrench with Friction Ring 2 x 5.0ah,M18CHIWF34-502X
102617,Festool CTL SYS CLEANTEC 4.5 Litre Systainer Dust Extractor 240v,CTL SYS
50586,DeWalt DEWDCK285C2 18v XR 2 Speed Combi + Impact Driver 2 x 1.5 Ah Li Ion,DEWDCK285C2
29876,Bosch GSB1082LIN 10.8v Combi Drill Bare Unit,GSB1082LIN
90862,Teng TCMM1001N 1001pc Mega Master Tool Kit plus Free Service Case and Cover,TCMM1001N
117232,DeWalt DCN660D2 18v XR Brushless Second Fix Nailer 2 x 2.0Ah Li-Ion,DCN660D2
21420,Bostitch GBT-1850KE Cordless 18G Straight Brad Nailer Kit 15 to 50mm,GBT-1850KE
91550,Bosch GLL380PBMCC 40m Line Laser with Wall Mount + Ceiling Clamp,GLL380PBMCC
28532,DeWalt DWS780 240v Compound Slide Mitre Saw 305mm,DWS780
58583,Fiskars X27 Splitting Axe,X27
6748,Stanley STA197475 Folding Metal Leg Saw Horse (Twin Pack),STA197475
114489,Makita DHP458RMJ 18v LXT Combi Drill 2 x 4.0ah Makpac Connector,DHP458RMJ
90602,Milwaukee M18RC-0 18v-240v M18 Jobsite Radio plus Charger,M18RC-0
30884,Evolution EVOBELT Mini Belt Sander 240v,EVOBELT
94415,Makita DTD148Z 18v Brushless Impact Driver Bare Unit,DTD148Z
25935,Bosch GDR108Li 10.8v Cordless Impact Driver 2 x 2.0 Ah L-BOXX,GDR108Li
94211,Festool BHC18 Li 5.2 GB 18v Cordless Hammer Drill 2 x 5.2Ah Li-Ion,BHC18 Li 5.2 GB
80349,Makita DHP458RME 18v 2 Speed Combi Drill 2 x 4.0ah Li-ion,DHP458RME
26767,Makita RP2301FCXK 240v 1/2in Variable Speed Plunge Router with Case,RP2301FCXK
101545,Milwaukee M18SET2S-503W M18 Fuel 18v Combi & SDS Drill Powerpack 3 Battery Kit,M18SET2S-503W
86191,Trend H/JIG/C 2 Part Skeleton Hinge Jig,H/JIG/C
86248,Bosch GSB1082LI 10.8v Cordless Combi Drill 2 x 2.0Ah,GSB1082LI
13131,Teng TT1236 12 Piece Metric Combi Spanner Set,TT1236 
56302,Makita DHR243Z 18v Li-Ion SDS Rotary Hammer Drill Bare Unit,DHR243Z
28644,Makita DTD146Z 18v Li-ion Impact Driver Bare Unit,DTD146Z
26221,Makita KP0800 240v 82mm Planer,KP0800
51336,Festool MFT/3 Multifunction Table 1157 x 775mm,MFT/3
49009,Husqvarna K760 300 300mm Cut Off Saw Disc Cutter and Diamond Blade,K760 300
21251,Bostitch MFN201E 38 to 50mm Manual Ratchet Floor Nailer,MFN201E
101550,Milwaukee M18PP2A-502C 18v Combi & Impact Driver Twin Kit 2 x 5.0Ah,M18PP2A-502C
94419,Makita DGA454Z 18v LXT 115mm Brushless Angle Grinder Bare Unit,DGA454Z
47051,DeWalt DW089K 3 Way Self-Levelling Multi Line Laser,DW089K
58038,Makita LS1216 240v 305mm Slide Compound Mitre Saw,LS1216
58037,Makita LS1216 110v 305mm Slide Compound Mitre Saw,LS1216
114961,Brinno BCC100 Time Lapse Construction Camera Project Pack,BCC100
58034,Makita LS1018L 260mm Slide Compound Mitre Saw with Laser 240v,LS1018L
49116,Stanley 1-77-123 FatMax CLLi Self Levelling Cross Line Laser Kit,1-77-123
49465,DeWalt DCB182 XR 18v Li-Ion Battery Pack 4.0ah,DCB182
17741,Metabo TKHS315M 240v 2500w Site Table saw with 24T TCT Blade,TKHS315M 
90613,DeWalt DCB184 18v XR Li-Ion Battery 5.0ah Battery,DCB184
58021,Makita DPT351Z 18v Cordless Pin Nailer Bare Unit,DPT351Z
50623,Festool OF1400 EBQ-Plus GB 240v 1/2in Router 1400w in Systainer 4,OF1400 EBQ-Plus GB
60779,DeWalt DWS778L 110v Compact Sliding Mitre Saw 250mm,DWS778L
26189,Makita DHP456Z 18v LXT Combi Drill Bare Unit,DHP456Z
85095,Makita DHR264ZJ 18v Twin SDS Hammer Drill in Makpac Connector,DHR264ZJ
88808,Makita DLX4002 18v LXT Cordless 4 Piece Tool Kit 3 x 3.0Ah Li-ion,DLX4002
114056,Festool HKC 55 EB Li-Basic 18v Circular Saw Bare Unit in SYS 4 T-LOC,HKC 55 EB Li-Basic
50596,Festool TS55REQ-Plus 110v Circular/Plunge Saw in Systainer 4,TS55REQ-Plus
26549,Makita SP6000J1 230v 165mm Plunge Saw with 1.4m Guide Rail,SP6000J1
92080,Makita DHP481RMJ 18V Brushless Combi Drill LXT 2 x 4ah,DHP481RMJ
24357,Evolution EVOSTANDEXT Mitre Saw Stand With Extension,EVOSTANDEXT
51529,Festool LHS225-IP/CTM 36-Set 110v Long Reach Sander and Dust Extractor,LHS225-IP/CTM 36-Set
28533,DeWalt DWS780 110v Compound Slide Mitre Saw 305mm,DWS780
47650,Arbortech BLAFG4110 Plunge TCT Blade For Allsaw AS170,BLAFG4110
49476,DeWalt DCF880N 18v XR Compact Impact Wrench - Bare Unit,DCF880N
50595,Festool FS1400/2 1.4m / 1400mm Guide Rail for TS55R,FS1400/2
85621,Hitachi CL18DSL/JW Stud Cutter 18 Volt 2 x 4.0Ah Li-Ion Batteries,CL18DSL/JW
24435,Bosch GLL 3-80P Professional Cross Line Laser,GLL 3-80P
101527,Milwaukee M18CHPX-502C M18 Fuel 18v SDS Plus Hammer Drill 2 x 5.0ah Li-Ion,M18CHPX-502C
21919,DeWalt DW717XPS 240v 250mm Sliding Compound Mitre Saw XPS,DW717XPS
85222,Metabo COMBOSET 2.1.5 18v LTX Combi Hammer Drill and Impact Driver 2 x 5.2Ah,COMBOSET 2.1.5 
58035,Makita LS1018L 260mm Slide Compound Mitre Saw with Laser 110v,LS1018L
113835,DeWalt DCF899N XR High Torque Impact Wrench 18v Bare Unit,DCF899N 
55634,Makita DBO180Z 18v Random Orbit Disc Sander 125mm Disc Bare Unit,DBO180Z
25937,Bosch GDR108LiN 10.8v Cordless Impact Driver Bare Unit,GDR108LiN
100219,Makita DLX2005MJ 18V Combi and Impact Driver 2 x 4.0ah Li-ion,DLX2005MJ
24340,Evolution EVOEDC 305mm Electric Disc Cutter 2000w 110v,EVOEDC
53066,Festool OF2200 EB-Plus GB 110v 1/2in Router in Systainer T-Loc,OF2200 EB-Plus GB
