"code","ean","name","brand","model","category"
10018299,"8021704050131","NASTRO AQUASTOP 70 KERAKOLL P/IMPERMEABILIZZANTI H140mm PER GIUNTI VERTICALI","KERAKOLL",,"building/materials"
10010152,8021704010562,"MALTA RASANTE KERAKOLL ISOBUILD BLOCK PER BLOCCHI YTONG,GASBETON CERTIFICATA REI 120 25kg","KERAKOLL",,"building/materials"
10010173,"8021704023302","COLLA KERAKOLL PER TUBI PVC 33 125gr","KERAKOLL",,"building/materials"
10010166,"8021704031468","VERNICE BITUMINOSA ECOIDROCOVER KERAKOLL 5kg","KERAKOLL",,"building/materials"
10010155,"8021704018438","RASANTE RASOBUILD ECO GESSO KERAKOLL 20kg, X FINITURE A PLATRIO SOLO PER INTERNI","KERAKOLL",,"building/materials"
10017343,"8021704110231","BIOCALCE ZOCCOLATURA KERAKOLL 25kg A BASA DI CALCE NHL 2,5 RISANAMENTO UMIDITA'","KERAKOLL",,"building/materials"
10017338,"8021704110286","BIOCALCE INTONACHINO GRANELLO KERAKOLL 25kg","KERAKOLL",,"building/materials"
10017337,"8021704110279","BIOCALCE INTONACHINO FINO KERAKOLL 25kg A BASA DI CALCE NHL 2,5 RISANAMENTO UMIDITA'","KERAKOLL",,"building/materials"
10018618,"8021704034520","ANTIGELO PER CEMENTO 1kg KERAKOLL ACCELERATORE DI PRESA PER BASSE TEMPERATURE","KERAKOLL",,"building/materials"
10028297,"2000000037448","CASSERO A PERDERE PROJECT 50x75x10cm IN POLIPROPILENE RICICLATO PER VESPAI AREATI","PROJECT FOR BUILDING",,"building/materials"
10028295,"2000000037424","CASSERO A PERDERE PROJECT 50x75x5cm IN POLIPROPILENE RICICLATO PER VESPAI AREATI","PROJECT FOR BUILDING",,"building/materials"
10030751,"2000000045955"," BETONIERA 350l MONOFASE 220 hp 2 kw1,5 ","OFFICINE POLIERI S",,"building/materials"
10030752,"2000000045962"," BETONIERA 300l MONOFASE 220 hp 2 kw1,5 ","OFFICINE POLIERI S",,"building/materials"
10030753,"2000000045979"," BETONIERA 250l MONOFASE 220 hp 2 kw1,5 ","OFFICINE POLIERI S",,"building/materials"
10030754,"2000000045986","BETONIERA 190lt MONO 220 hp 0,75 kw 0,5 ","OFFICINE POLIERI S",,"building/materials"
10030755,"2000000045993","BETONIERA 130l MONO220 hp 0,5 kw 0,37   ","OFFICINE POLIERI S",,"building/materials"
10032252,"8033201780244","ELEVATORE ELETTRICO DM150 PORTATA 150kg ","OFFICINE IORI SRL ",,"building/materials"
10032253,"8033201780251","ELEVATORE ELETTRICO DM200E PORTATA 200kg","OFFICINE IORI SRL ",,"building/materials"
10032254,"8033201780442","ELEVATORE RAPIDO DM150/200V PORTATA150kg","OFFICINE IORI SRL ",,"building/materials"
10032255,"8033201780503","ELEVATORE C/SBRACCIO CONDOR DM200       ","OFFICINE IORI SRL ",,"building/materials"
10032246,"8033201780336","ELEVATORE ELETTRICO DM100/E PORTATA100kg","OFFICINE IORI SRL ",,"building/materials"
10036795,"7612894966732","IMPERMEABILIZZANTE SIKALASTIC N A+B 33kg","SIKA ITALIA       ",,"building/materials"
10033064,"2000000053189","FIBRA SINTETICA SIKAFIBRESINT 12mm 600gr","SIKA ITALIA       ",,"building/materials"
10033065,"2000000053196","FIBRA SINTETICA SIKAFIBRESINT 18mm 600gr","SIKA ITALIA       ",,"building/materials"
10007479,"7612894022230","SIGILLANTE BITUMINOSO PER COPERTUR.300ml","SIKA ITALIA       ",,"building/materials"
10014164,"7612894636703","BANDA BITUM.MULTISEAL ALLUMINIO 50mmx10m","SIKA ITALIA       ",,"building/materials"
10007480,"7612894021929","BANDA BITUM.MULTISEAL ALLUMIN.100mmx10m ","SIKA ITALIA       ",,"building/materials"
10007481,"7612894021936","BANDA BITUM.MULTISEAL ALLUMIN.150mmx10m ","SIKA ITALIA       ",,"building/materials"
10007476,"7612894377194","BANDA BITUM.MULTISEAL GRIGIA 50mmX10m   ","SIKA ITALIA       ",,"building/materials"
10007478,"7612894377132","BANDA BITUM.MULTISEAL GRIGIA 100mmX10m  ","SIKA ITALIA       ",,"building/materials"
10007477,"7612894377170","BANDA BITUM.MULTISEAL GRIGIA 150mmX10m  ","SIKA ITALIA       ",,"building/materials"
10014025,"3240240006043","ADESIVO SIGILLANTE SIKAFLEX 11FC GRIGIO ","SIKA ITALIA       ",,"building/materials"
10014024,"3240240006050","ADESIVO SIGILLANTE SIKAFLEX 11FC BIANCO ","SIKA ITALIA       ",,"building/materials"
10007494,"7612894811940","ADESIVO SIG.METAL+ PER LATTONERIA GRIGIO","SIKA ITALIA       ",,"building/materials"
10007495,"7612894458749","ADESIVO SIG.METAL+ PER LATTONERIA MARRON","SIKA ITALIA       ",,"building/materials"
10007493,"7612894459128","ADESIVO SIG.METAL+ PER LATTONERIA RAME  ","SIKA ITALIA       ",,"building/materials"
10007489,"7612894822885","SANISIL ANTIMUFFA FUNGHICIDA 300ml TRASP","SIKA ITALIA       ",,"building/materials"
10007488,"7612894822908","SANISIL ANTIMUFFA FUNGHICIDA 300ml BIANC","SIKA ITALIA       ",,"building/materials"
10007473,"7612894267396","SCHIUMA POLIURETANICA SIKA PER TEGOLE   ","SIKA ITALIA       ",,"building/materials"
10028917,"5902411550356","SENSORE DI CHIUSURA PIOGGIA FAKRO 24V","FAKRO","ZRD","wood"
10028916,"5900988500101","TELECOMANDO PER MOTORE FAKRO 24V","FAKRO","ZRC","wood"
10028915,"5900988500057","KIT TRASFORMATORE FAKRO 24V INTERRUTTORE MURO","FAKRO","ZICI","wood"
10028914,"5900988500132","MOTORE PER FINESTRA DA TETTO FAKRO 24 V","FAKRO","ZC24","wood"
10028913,"5902411550271","MOTORE PER FINESTRA DA TETTO FAKRO 230 V SENZA INTERRUTTORE","FAKRO","ZC230","wood"
10000902,"5902411244026","TENDINA AVVOLGIBILE FAKRO BEIGE 55x98 cm","FAKRO","ARF","wood"
10000901,"5902411244057","TENDINA AVVOLGIBILE FAKRO BEIGE 78x98 cm","FAKRO","ARF","wood"
10000900,"5902411244040","TENDINA AVVOLGIBILE FAKRO BEIGE 66x118 cm","FAKRO","ARF","wood"
10000899,"5902411870027","RACCORDO PER FINESTRA DA TETTO FAKRO 55x98 cm","FAKRO","EHN","wood"
10000898,"5902411870058","RACCORDO PER FINESTRA DA TETTO FAKRO 78x98 cm","FAKRO","EHN","wood"
10000897,"5902411870041","RACCORDO PER FINESTRA DA TETTO FAKRO 66x118 cm","FAKRO","EHN","wood"
10000896,"5900988722022","FINESTRA DA TETTO FAKRO IN PINO 55x98 cm CON DOPPIO VETRO APERTURA A BILICO","FAKRO","FTSVZ1","wood"
10000895,"5900988722053","FINESTRA DA TETTO FAKRO IN PINO 78x98 cm CON DOPPIO VETRO APERTURA A BILICO","FAKRO","FTSVZ1","wood"
10000894,"5900988722046","FINESTRA DA TETTO FAKRO IN PINO 66x118cm CON DOPPIO VETRO APERTURA A BILICO","FAKRO","FTSVZ1","wood"
10015419,"8033765690379","FINESTRA DA TETTO IN PINO 78x98 cm CON RACCORDO CON DOPPIO VETRO","FAKRO","TVR","wood"
10013916,"4001895906619","NASTRO ISOLANTE 25M 19 x 0,15mm G/VERDE","3M",,"Electrical"
10013915,"4001895906572","NASTRO ISOLANTE 25M 19 x 0,15mm MARRONE","3M",,"Electrical"
10013914,"4001895906558","NASTRO ISOLANTE 25M 19 x 0,15mm BLU","3M",,"Electrical"
10013913,"4001895906633","NASTRO ISOLANTE 25M 19 x 0,15mm GRIGIO","3M",,"Electrical"
