Code,Web description,Brand,model,category,price,EAN,url,image_url
10007473,SIGILLANTE BITUMINOSO SIKA PER COPERTURE SU SUPERFICI UMIDE 300ml COLORE NERO,SIKA,7612894267396,building/materials,4.85,7612894267396,http://www.bricoman.it/negozio/rezzato/10007473,http://www.bricoman.it/media/foto_articoli/2012/1/10007473.jpg
10007495,ADESIVO SIG.METAL+ PER LATTONERIA SIKA SIGILLA SU METALLO RAME PER INFISSI E SCOSSALINE,SIKA,7612894458749,building/materials,5.85,7612894458749,http://www.bricoman.it/negozio/rezzato/10007495,http://www.bricoman.it/media/foto_articoli/2012/5/10007495.jpg
10007493,ADESIVO SIG.METAL+ PER LATTONERIA SIKA SIGILLA SU METALLO GRIGIO PER INFISSI E SCOSSALINE,SIKA,7612894459128,building/materials,5.85,7612894459128,http://www.bricoman.it/negozio/rezzato/10007493,http://www.bricoman.it/media/foto_articoli/2012/5/10007493.jpg
10014164,SCHIUMA POLIURETANICA SIKA PER TEGOLE  ,SIKA,7612894636703,building/materials,7.5,7612894636703,http://www.bricoman.it/negozio/rezzato/10014164,http://www.bricoman.it/media/foto_articoli/2012/4/10014164.jpg
10007494,ADESIVO SIG.METAL+ PER LATTONERIA SIKA SIGILLA SU METALLO MARRONE PER INFISSI E SCOSSALINE,SIKA,7612894811940,building/materials,5.85,7612894811940,http://www.bricoman.it/negozio/rezzato/10007494,http://www.bricoman.it/media/foto_articoli/2012/5/10007494.jpg
10007489,"ADESIVO SIGILLANTE SIKAFLEX 11FC SIKA RAPIDO, ELASTICO BIANCO SU TUTTE LE SUPERFICI",SIKA,7612894822885,building/materials,5.9,7612894822885,http://www.bricoman.it/negozio/rezzato/10007489,http://www.bricoman.it/media/foto_articoli/2012/5/10007489.jpg
10007488,"ADESIVO SIGILLANTE SIKAFLEX 11FC SIKA RAPIDO, ELASTICO GRIGIO SU TUTTE LE SUPERFICI",SIKA,7612894822908,building/materials,5.9,7612894822908,http://www.bricoman.it/negozio/rezzato/10007488,http://www.bricoman.it/media/foto_articoli/2012/5/10007488.jpg
10036795,"IMPERMEABILIZZANTE SIKALASTIC N A+B 33kg BICOMPONENTE, FLESSIBILE A BASE CEMENTIZIA",SIKA,7612894966732,building/materials,49.9,7612894966732,http://www.bricoman.it/negozio/rezzato/10036795,http://www.bricoman.it/media/foto_articoli/2013/1/10036795.jpg
10009119,"SCALA PROFESSIONALE FARAONE H 2,5m/4,46m ALLUMINIO 3 RAMPE  7+8+8 17 kg - PORTATA 150 kg",FARAONE,ST250/3N,building/materials,189,8014802002317,http://www.bricoman.it/negozio/rezzato/10009119,http://www.bricoman.it/media/foto_articoli/2012/1/10009119.jpg
10009120,"SCALA PROFESSIONALE FARAONE H3,01m/6,65m ALLUMINIO 3 RAMPE 9+10+10 23 kg - PORTATA 150 kg",FARAONE,ST300/3N,building/materials,244,8014802002331,http://www.bricoman.it/negozio/rezzato/10009120,http://www.bricoman.it/media/foto_articoli/2012/3/10009120.jpg
10009121,"SCALA PROFESSIONALE FARAONE H3,52m/7,72m ALLUMINIO 3 RAMPE 11+12+12 27 kg - PORTATA 150 kg",FARAONE,ST350/3N,building/materials,281.68,8014802002355,http://www.bricoman.it/negozio/rezzato/10009121,http://www.bricoman.it/media/foto_articoli/2012/3/10009121.jpg
10009123,INTERMEDIO FARAONE TRABATTELLO RAPIDO160 BASE 80x160cm ALLUMINIO 2m CERTIFICATO UNI EN 1004,FARAONE,8014802002485,building/materials,169,8014802002485,http://www.bricoman.it/negozio/rezzato/10009123,http://www.bricoman.it/media/foto_articoli/2013/1/10009123.JPG
10009124,TERMINALE FARAONE TRABATTELLO RAPIDO 160 BASE 80x160cm ALLUMINIO 2m CERTIFICATO UNI EN 1004,FARAONE,8014802002492,building/materials,198,8014802002492,http://www.bricoman.it/negozio/rezzato/10009124,http://www.bricoman.it/media/foto_articoli/2013/1/10009124.JPG
10009127,PIANO C/BOTOLA FARAONE UNI EN 1004 PER TRABATTELLO RAPIDO160 IN COMPENSATO MARINO,FARAONE,8014802002508,building/materials,178,8014802002508,http://www.bricoman.it/negozio/rezzato/10009127,http://www.bricoman.it/media/foto_articoli/2013/1/10009127.jpg
10009126,KIT4STABILIZZATORI FARAONE P/TRABATTELLO RAPIDO160 H 2m IN ALLUMINIO CERTIFICATO UNI EN 1004,FARAONE,8014802002515,building/materials,144.9,8014802002515,http://www.bricoman.it/negozio/rezzato/10009126,http://www.bricoman.it/media/foto_articoli/2013/1/10009126.JPG
10009125,TERMINALE FARAONE TRABATTELLO RAPIDO160 BASE 80x160cm ALLUMINIO 1m CERTIFICATO UNI EN 1004,FARAONE,8014802003079,building/materials,135,8014802003079,http://www.bricoman.it/negozio/rezzato/10009125,http://www.bricoman.it/media/foto_articoli/2013/1/10009125.JPG
10009122,BASE TRABATTELLO FARAONE RAPIDO 160 BASE 80x160cm ALLUMINIO 2m CERTIFICATO UNI EN 1004,FARAONE,8014802005813,building/materials,310,8014802005813,http://www.bricoman.it/negozio/rezzato/10009122,http://www.bricoman.it/media/foto_articoli/2012/3/10009122.jpg
10010152,"MALTA RASANTE KERAKOLL ISOBUILD BLOCK PER BLOCCHI YTONG,GASBETON CERTIFICATA REI 120 25kg",KERAKOLL,8021704010562,building/materials,10.9,8021704010562,http://www.bricoman.it/negozio/rezzato/10010152,http://www.bricoman.it/media/foto_articoli/2013/5/10010152.jpg
10018298,"IMPERMEABILIZZANTE NANOFLEX KERAKOLL20kg MONOCOMPONENTE, A PENNELLO RESA 1,1kg/mq PER mm SPESS.",KERAKOLL,8021704011071,building/materials,54,8021704011071,http://www.bricoman.it/negozio/rezzato/10018298,http://www.bricoman.it/media/foto_articoli/2012/3/10018298.jpg
10010157,MASSETTO KERACEM ECO PRONTO KERAKOLL ASCIUGAMENTO RAPIDO 30kg,KERAKOLL,8021704011743,building/materials,4.9,8021704011743,http://www.bricoman.it/negozio/rezzato/10010157,http://www.bricoman.it/media/foto_articoli/2012/7/10010157.jpg
10010156,INTONACHINO RASOBUILD ECO KERAKOLL EXTRAFINO P/FINITURE PLATR. P/INTERNO ED ESTERNO 20kg,KERAKOLL,8021704018421,building/materials,10.68,8021704018421,http://www.bricoman.it/negozio/rezzato/10010156,http://www.bricoman.it/media/foto_articoli/2012/7/10010156.jpg
10010155,"RASANTE RASOBUILD ECO GESSO KERAKOLL 20kg, X FINITURE A PLATRIO SOLO PER INTERNI",KERAKOLL,8021704018438,building/materials,7.85,8021704018438,http://www.bricoman.it/negozio/rezzato/10010155,http://www.bricoman.it/media/foto_articoli/2012/12/10010155.jpg
10016638,RASANTE RASOBUILD GRANELL.BIANC.KERAKOLL FINITURA INTONACO CIVILE PER INTERNO ED ESTERNO 25kg,KERAKOLL,8021704018445,building/materials,8.2,8021704018445,http://www.bricoman.it/negozio/rezzato/10016638,http://www.bricoman.it/media/foto_articoli/2013/5/10016638.jpg
10010160,"CEMENTO RAPIDO PRESTOCEM ECO KERAKOLL 25kg, PER ZANCARE E FISSARE MISCELATO",KERAKOLL,8021704019510,building/materials,7.95,8021704019510,http://www.bricoman.it/negozio/rezzato/10010160,http://www.bricoman.it/media/foto_articoli/2012/7/10010160.jpg
10001830,CONSOLIDANTE P/MASSETTO KERADUR KERAKOLL ANTISPOLVERO P/MASSETTO 5kg DA DARE A PENNELLO,KERAKOLL,8021704020936,building/materials,14.2,8021704020936,http://www.bricoman.it/negozio/rezzato/10001830,http://www.bricoman.it/media/foto_articoli/2013/11/10001830.jpg
10014328,GUAINA BITUMINOSA ECO IDROPREN KERAKOLL 10kg ,KERAKOLL,8021704031420,building/materials,21.95,8021704031420,http://www.bricoman.it/negozio/rezzato/10014328,http://www.bricoman.it/media/foto_articoli/2012/6/10014328.jpg
10010166,VERNICE BITUMINOSA ECOIDROCOVER KERAKOLL 5kg ,KERAKOLL,8021704031468,building/materials,19.9,8021704031468,http://www.bricoman.it/negozio/rezzato/10010166,http://www.bricoman.it/media/foto_articoli/2012/6/10010166.jpg
10018618,ANTIGELO PER CEMENTO 1kg KERAKOLL ACCELERATORE DI PRESA PER BASSE TEMPERATURE,KERAKOLL,8021704034520,building/materials,3.5,8021704034520,http://www.bricoman.it/negozio/rezzato/10018618,http://www.bricoman.it/media/foto_articoli/2012/3/10018618.jpg
10010163,CEMENTO OSMOCEM KERAKOLL 25kg PROTEZIONE SPINTA POSITIVA CERTIFICATO ACQUA POTABILE,KERAKOLL,8021704047599,building/materials,23.9,8021704047599,http://www.bricoman.it/negozio/rezzato/10010163,http://www.bricoman.it/media/foto_articoli/2012/1/10010163.jpg
10018299,NASTRO AQUASTOP 70 KERAKOLL P/IMPERMEABILIZZANTI H140mm PER GIUNTI VERTICALI,KERAKOLL,8021704050131,building/materials,1.49,8021704050131,http://www.bricoman.it/negozio/rezzato/10018299,http://www.bricoman.it/media/foto_articoli/2012/2/10018299.jpg
