SKU,Product,Category,John Lewis URL,JL product code,Habitat URL,Heals URL,West Elm URL,Next URL,Next product code
SOFMRT025GRY-UK,"Mortimer 4 Seater Modular Corner Sofa, Shadow Grey",Upholstery,,,http://www.habitat.co.uk/porto-natural-fabric-reversible-chaise-sofa-bed/fabric-sofas//fcp-product/239537,,,http://www.next.co.uk/homeware/sofas-chairs/stamford/size-corner-chaise-left-hand-(4-seats),
SOFMRT019GRY-UK,Mortimer 4 seater sofa,Upholstery,http://www.johnlewis.com/house-by-john-lewis-finlay-grand-sofa-quinn-blue-grey/p1587349,87010380,http://www.habitat.co.uk/sidney-dark-brown-fabric-large-3-seater-sofa-with-storage/porto//fcp-product/25343,,,http://www.next.co.uk/homeware/sofas-chairs/stamford/size-extra-large-sofa-(4-seats)-fabric-belgian-soft-twill-dark-natural-feet-squareangle-light#size,
SOFMRT007GRY-UK,"Mortimer Modular Corner Sofa Group, Shadow Grey",Upholstery,http://www.johnlewis.com/house-by-john-lewis-flex-large-lhf-corner-unit-configuration/p1437120,87133856,http://www.habitat.co.uk/chester-charcoal-fabric-left-arm-corner-sofa/modular-sofas//fcp-product/292116,,,http://www.next.co.uk/homeware/sofas-chairs/sonoma-ii/size-corner-chaise-left-hand-(4-seats),
SOFMTI002GRY-UK,"Motti Sofa Bed, Bunting Grey",Upholstery,http://www.johnlewis.com/john-lewis-cubic-pocket-sprung-small-sofa-bed/p1583321,87166732,,http://healssofas.co.uk/sofas/cord-sofabed-in-grey-vision/invt/623681,,http://www.next.co.uk/homeware/sofas-chairs/stamford/size-memory-foam-sofa-bed--medium-(2-people),
SOFNLS001BLA-UK,"Nielsen 3 Seater Sofa, Black Premium Leather",Upholstery,,,,http://healssofas.co.uk/sofas/hepburn-sofa-collection/pcat/sofahepburn,,,
SOFORS046GRY-UK,"Orson 2 seater sofa, Graphite Grey",Upholstery,http://www.johnlewis.com/john-lewis-penryn-small-sofa/p749075,87116081,http://www.habitat.co.uk/byron-blue-2-seater-sofa///fcp-product/26561,http://healssofas.co.uk/sofas/heals-regal-medium-sofa/invt/regal_medium,,http://www.next.co.uk/homeware/sofas-chairs/sofia/size-small-sofa-(2-seats),
SOFORS051GRY-UK,"Orson 3 seater sofa, Graphite Grey",Upholstery,http://www.johnlewis.com/john-lewis-penryn-large-sofa/p749073,87116065,,http://healssofas.co.uk/sofas/heals-regal-large-sofa/invt/regal_sofa,,http://www.next.co.uk/homeware/sofas-chairs/sofia/size-large-sofa-(3-seats)-fabric-belgian-soft-twill-light-natural-feet-castor-light#size,
CHAORS054BEI-UK,"Orson Armchair, Biscuit Beige",Upholstery,http://www.johnlewis.com/john-lewis-penryn-armchair/p749070,87116089,http://www.habitat.co.uk/emlyn-cotton-blend-fabric-armchair/armchairs//fcp-product/25537,http://healssofas.co.uk/armchairs/heals-regal-armchair/invt/regal_armchair,,http://www.next.co.uk/homeware/sofas-chairs/ashford/size-chair-(1-seat),
SOFORS059BEI-UK,Orson corner sofa,Upholstery,http://www.johnlewis.com/john-lewis-sacha-large-sofa-bed/p749085,87160557,http://www.habitat.co.uk/porto-charcoal-fabric-reversible-chaise-sofa///fcp-product/226484,,,http://www.next.co.uk/homeware/sofas-chairs/sofia/size-corner-chaise-right-hand-(4-seats)-fabric-belgian-soft-twill-light-natural-feet-castor-light#size,
STLORS069BEI-UK,Orson footstool,Upholstery,http://www.johnlewis.com/john-lewis-penryn-footstool/p749071,87116097,,,http://www.westelm.co.uk/everett-upholstered-ottoman-g505-uk,http://www.next.co.uk/homeware/sofas-chairs/sofia/size-footstool-fabric-belgian-soft-twill-light-natural-feet-castor-light#size,
