Product Title,Lens Type,Vendor,AU,NZ,$au,$NZ,Priority,PLU
Air Optix Night & Day Aqua,Monthly Disposables,Alcon (Ciba Vision),https://www.specsavers.com.au/contact-lenses/monthly-disposables/air-optix-night-day-aqua,https://www.specsavers.co.nz/contact-lenses/monthly-disposables/air-optix-night-day-aqua,"37,5",42,9,4000572
Avaira,Fortnightly,CooperVision,https://www.specsavers.com.au/contact-lenses/fortnightly/avaira,https://www.specsavers.co.nz/contact-lenses/fortnightly/avaira,30,32,17,4001643
Biofinity,Monthly Disposables,CooperVision,https://www.specsavers.com.au/contact-lenses/monthly-disposables/biofinity,https://www.specsavers.co.nz/contact-lenses/monthly-disposables/biofinity,35,36,14,4001920
Focus Dailies All Day Comfort,Daily Disposables,Alcon (Ciba Vision),https://www.specsavers.com.au/contact-lenses/daily-disposables/focus-dailies-all-day-comfort,https://www.specsavers.co.nz/contact-lenses/daily-disposables/focus-dailies-all-day-comfort,22,"23,5",6,9996140
Focus Dailies All Day Comfort Toric,Daily,Alcon,,,,,,9996120
Focus Dailies Aqua Comfort Plus,Daily Disposables,Alcon (Ciba Vision),https://www.specsavers.com.au/contact-lenses/daily-disposables/focus-dailies-aqua-comfort-plus,https://www.specsavers.co.nz/contact-lenses/daily-disposables/focus-dailies-aqua-comfort-plus,28,30,5,4000859
Focus Dailies Aqua Comfort Plus Multifocal,Daily Multifocal,Alcon (Ciba Vision),https://www.specsavers.com.au/contact-lenses/daily-multifocal/focus-dailies-aqua-comfort-plus-multifocal,https://www.specsavers.co.nz/contact-lenses/daily-multifocal/focus-dailies-aqua-comfort-plus-multifocal,38,42,12,5000227
Focus Dailies Aqua Comfort Plus Toric,Daily Toric,Alcon (Ciba Vision),https://www.specsavers.com.au/contact-lenses/daily-toric/focus-dailies-aqua-comfort-plus-toric,https://www.specsavers.co.nz/contact-lenses/daily-toric/focus-dailies-aqua-comfort-plus-toric,37,42,13,5000226
Proclear,Monthly Disposables,CooperVision,https://www.specsavers.com.au/contact-lenses/monthly-disposables/proclear,https://www.specsavers.co.nz/contact-lenses/monthly-disposables/proclear,21,21,11,9996133
Proclear 1 Day,Daily Disposables,CooperVision,https://www.specsavers.com.au/contact-lenses/daily-disposables/proclear-1-day,https://www.specsavers.co.nz/contact-lenses/daily-disposables/proclear-1-day,"28,5",28,10,9996173
Purevision,Monthly,Bausch & Lomb,,,,,,9995798
Purevision Multifocal,Monthly,Bausch & Lomb,,,,,,9996143
Purevision Toric,Monthly,Bausch & Lomb,,,,,,9996135
easyvision Clarision Sphere,Daily,easyvision,https://www.specsavers.com.au/contact-lenses/daily-disposables/easyvision-clarision-sphere,https://www.specsavers.co.nz/contact-lenses/daily-disposables/easyvision-clarision-sphere," 22,00 "," 26,00 ",,4002000
easyvision Tearium,Daily,easyvision,https://www.specsavers.com.au/contact-lenses/daily-disposables/easyvision-tearium,https://www.specsavers.co.nz/contact-lenses/daily-disposables/easyvision-tearium," 21,00 "," 23,00 ",,4001756
easyvision Vusion Daily,Daily,easyvision,https://www.specsavers.com.au/contact-lenses/daily-disposables/easyvision/vusion,https://www.specsavers.co.nz/contact-lenses/daily-disposables/easyvision-vusion-daily," 26,00 "," 26,60 ",,9996150
easyvision Opsys,Daily,easyvision,https://www.specsavers.com.au/contact-lenses/daily-disposables/easyvision-opsys,https://www.specsavers.co.nz/contact-lenses/daily-disposables/easyvision-opsys," 20,90 "," 22,33 ",,4000461
easyvision Vitrea,Daily,easyvision,https://www.specsavers.com.au/contact-lenses/daily-disposables/easyvision-vitrea,https://www.specsavers.co.nz/contact-lenses/daily-disposables/easyvision-vitrea," 26,00 "," 28,50 ",,4000571
easyvision Umere,Daily,easyvision,https://www.specsavers.com.au/contact-lenses/daily-disposables/easyvision-umere,https://www.specsavers.co.nz/contact-lenses/daily-disposables/easyvision-umere," 29,50 "," 36,00 ",,4000590
easyvision Clarision Toric,Daily Toric,easyvision,https://www.specsavers.com.au/contact-lenses/daily-toric/easyvision-clarision-toric,https://www.specsavers.co.nz/contact-lenses/daily-toric/easyvision-clarision-toric," 35,00 "," 43,00 ",,9996156
easyvision Umere Toric,Daily Toric,easyvision,https://www.specsavers.com.au/contact-lenses/daily-toric/easyvision-umere-toric,https://www.specsavers.co.nz/contact-lenses/daily-toric/easyvision-umere-toric," 35,00 "," 47,50 ",,4001525
easyvision Umere Multifocal,Daily Multifocal,easyvision,https://www.specsavers.com.au/contact-lenses/daily-multifocal/easyvision-umere-multifocal,https://www.specsavers.co.nz/contact-lenses/daily-multifocal/easyvision-umere-multifocal," 37,00 "," 47,50 ",,4001902
easyvision Vusion,Monthly,easyvision,https://www.specsavers.com.au/contact-lenses/monthly-disposables/easyvision/vusion,https://www.specsavers.co.nz/contact-lenses/monthly-disposables/easyvision-vusion," 19,00 "," 19,00 ",,9995790
easyvision Lacrima Plus,Monthly,easyvision,https://www.specsavers.com.au/contact-lenses/monthly-disposables/easyvision-lacrima-plus,https://www.specsavers.co.nz/contact-lenses/monthly-disposables/easyvision-lacrima-plus," 28,00 "," 28,50 ",,4002381
easyvision Irisian Sphere,Monthly,easyvision,https://www.specsavers.com.au/contact-lenses/monthly-disposables/easyvision-irisian-sphere,https://www.specsavers.co.nz/contact-lenses/monthly-disposables/easyvision-irisian-sphere," 28,00 "," 28,50 ",,4001438
easyvision Opteyes,Monthly,easyvision,https://www.specsavers.com.au/contact-lenses/monthly-disposables/easyvision-opteyes,https://www.specsavers.co.nz/contact-lenses/monthly-disposables/easyvision-opteyes," 33,25 "," 34,20 ",,9996144
