id,title,description,google_product_category,product_type,link,image_link,availability,price ex VAT,brand,mpn
XC-XLAT64-SL,Cisco XC-XLAT64-SL - SW license for Stateless NAT64,SW license for Stateless NAT64,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=195814&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=195814,available for order,44131,Cisco,XC-XLAT64-SL
XC-XLAT-ANY-10M,Cisco XC-XLAT-ANY-10M - CGN 10M Flexi License,CGN 10M Flexi License,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=367229&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=367229,available for order,29421,Cisco,XC-XLAT-ANY-10M
XC-XLAT-ANY-10M=,Cisco XC-XLAT-ANY-10M= - CGN 10M Flexi License Spare,CGN 10M Flexi License Spare,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=367230&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=367230,available for order,29421,Cisco,XC-XLAT-ANY-10M=
XC-XLAT-DSLITE-15M,Cisco XC-XLAT-DSLITE-15M - CRS CGSE License for 15M Dual Stack Lite,CRS CGSE License for 15M Dual Stack Lite (DSLITE),Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=367231&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=367231,available for order,44131,Cisco,XC-XLAT-DSLITE-15M
XC-XLAT-DSLITE-5M,Cisco XC-XLAT-DSLITE-5M - CRS CGSE License for 5M Dual Stack Lite,CRS CGSE License for 5M Dual Stack Lite (DSLITE),Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=367232&sl=EN,http://shop.mcidiventi.co.uk/image.php?type=P&id=367232,available for order,14710,Cisco,XC-XLAT-DSLITE-5M
XENPAK-10GB-CX4,Cisco XENPAK-10GB-CX4 - Cisco 10GBASE-CX4 XENPAK Module,Cisco 10GBASE-CX4 XENPAK Module,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=41878&sl=EN,http://shop.mcidiventi.co.uk/images/P/cisco-01.png,available for order,221,Cisco,XENPAK-10GB-CX4
XENPAK-10GB-CX4=,Cisco XENPAK-10GB-CX4= - Cisco 10GBASE-CX4 XENPAK Module,Cisco 10GBASE-CX4 XENPAK Module,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=41879&sl=EN,http://shop.mcidiventi.co.uk/images/P/ic_467695.jpg,available for order,221,Cisco,XENPAK-10GB-CX4=
XENPAK-10GB-ER+,Cisco XENPAK-10GB-ER+ - 10GBASE-ER XENPAK Module with DOM support,10GBASE-ER XENPAK Module with DOM support,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=41880&sl=EN,http://shop.mcidiventi.co.uk/images/P/ic_4353099.jpg,available for order,500,Cisco,XENPAK-10GB-ER+
XENPAK-10GB-ER+=,Cisco XENPAK-10GB-ER+= - 10GBASE-ER XENPAK Module with DOM support,10GBASE-ER XENPAK Module with DOM support,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=41881&sl=EN,http://shop.mcidiventi.co.uk/images/P/ic_896676.jpg,available for order,500,Cisco,XENPAK-10GB-ER+=
XENPAK-10GB-LR+,Cisco XENPAK-10GB-LR+ - 10GBASE-LR XENPAK Module with DOM support,10GBASE-LR XENPAK Module with DOM support,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=41882&sl=EN,http://shop.mcidiventi.co.uk/images/P/ic_1633467.jpg,available for order,738,Cisco,XENPAK-10GB-LR+
XENPAK-10GB-LR+=,Cisco XENPAK-10GB-LR+= - 10GBASE-LR XENPAK Module with DOM support,10GBASE-LR XENPAK Module with DOM support,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=41883&sl=EN,http://shop.mcidiventi.co.uk/images/P/ic_1224707.jpg,available for order,738,Cisco,XENPAK-10GB-LR+=
XENPAK-10GB-LRM,Cisco XENPAK-10GB-LRM - 10G Base LRM Xenpak,10G Base LRM Xenpak,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=41884&sl=EN,http://shop.mcidiventi.co.uk/images/P/cisco-01.png,available for order,550,Cisco,XENPAK-10GB-LRM
XENPAK-10GB-LRM=,Cisco XENPAK-10GB-LRM= - 10G Base LRM Xenpak,10G Base LRM Xenpak,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=41885&sl=EN,http://shop.mcidiventi.co.uk/images/P/ic_1571868.jpg,available for order,550,Cisco,XENPAK-10GB-LRM=
XENPAK-10GB-LW,Cisco Systems XENPAK-10GB-LW - Pending EoL. Limited,Pending EoL. Limited Orderability.10GBASE-LW XENPAK Module.,Electronics > Networking,Networking,http://shop.mcidiventi.co.uk/product.php?productid=41886&sl=EN,http://shop.mcidiventi.co.uk/images/P/cisco-01.png,available for order,6206.9,Cisco,XENPAK-10GB-LW
XENPAK-10GB-LW=,Cisco Systems XENPAK-10GB-LW= - Pending EoL. Limited,Pending EoL. Limited Orderability.10GBASE-LW XENPAK Module.,Electronics > Networking,Networking > network switches > switch components,http://shop.mcidiventi.co.uk/product.php?productid=41887&sl=EN,http://shop.mcidiventi.co.uk/images/P/ic_467696.jpg,available for order,6206.9,Cisco,XENPAK-10GB-LW=
