identifier,sku,name,price,url
,,ICT en Internet / MBO Systeem- en Netwerkbeheerder,1440.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Systeem-en-Netwerkbeheerder.html
,,ICT en Internet / MBO Netwerkbeheerder (niveau 4),2730.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Netwerkbeheerder-niveau-4.html
,,ICT en Internet / MBO Netwerkbeheerder,1200.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Netwerkbeheerder.html
,,ICT en Internet / MBO Medewerker ICT (niveau 2),1320.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Medewerker-ICT-niveau-2.html
,,ICT en Internet / MBO Medewerker Beheer ICT (niveau 3),1800.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Medewerker-Beheer-ICT-niveau-3.html
,,ICT en Internet / MBO ICT-beheerder (niveau 4),2730.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-ICT-beheerder-niveau-4.html
,,ICT en Internet / MBO ICT Helpdesk- en Servicedeskmedewerker,1440.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-ICT-Helpdesk--en-Servicemedewerker.html
,,ICT en Internet / MBO Game-developer (niveau 4),2730.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Game-developer-niveau-4.html
,,ICT en Internet / MBO Applicatieontwikkeling,1440.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Applicatieontwikkeling.html
,,ICT en Internet / MBO Applicatieontwikkelaar (niveau 4),2730.0,http://www.scheidegger.nl/opleiding/2012-SD-Basisopleidingen-en-MBO-MBO-Applicatieontwikkelaar-niveau-4.html
,,ICT en Internet / HBO Bachelor Bedrijfskundige Informatica,5200.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Bachelor-Bedrijfskundige-Informatica.html
,,Marketing / Google AdWords,790.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Google-Adwords.html
,,Marketing / Online Marketeer,880.0,http://www.scheidegger.nl/opleiding/2012-SD-Trainingen-Online-Marketeer.html
,,Marketing / MHBO Marketingcommunicatie,1530.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-MHBO-Marketingcommunicatie.html
,,Marketing / MHBO Commerciële Economie,1530.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-MHBO-Commerciele-Economie.html
,,Marketing / HBO Leergang Marketingmanagement,2080.0,http://www.scheidegger.nl/opleiding/2012-SD-MHBO-HBO-opleidingen-en-Leergangen-HBO-Leergang-Marketingmanagement.html
