ProductID,FoldingType,LaminationType,PaperSize,PaperType,PaperTypeID,PrintOrientationID,PrintType,ProdQty,ProductType,Price,SalePrice,PrintPageNumber,IsActive,ProductTurnaroundID,VatRate,EmailArtwork,ProductCoverID,SubProductTypeID,ApplicationID,NoArtwork,ProdRange,ProductFinishingID,DateCreated
53949,NULL,Gloss Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,10000,Flyers & Leaflets,159,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53950,NULL,Velvet Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,100,Flyers & Leaflets,22,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53951,NULL,Velvet Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,250,Flyers & Leaflets,29,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53952,NULL,Velvet Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,500,Flyers & Leaflets,38,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53953,NULL,Velvet Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,1000,Flyers & Leaflets,56,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53954,NULL,Velvet Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,2000,Flyers & Leaflets,89,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53955,NULL,Velvet Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,5000,Flyers & Leaflets,179,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53956,NULL,Velvet Lamination,A6,Economy 150gsm Silk,87,NULL,Single Sided,10000,Flyers & Leaflets,329,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53957,NULL,No Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,100,Flyers & Leaflets,13,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53958,NULL,No Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,250,Flyers & Leaflets,14,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53959,NULL,No Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,500,Flyers & Leaflets,16,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53960,NULL,No Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,1000,Flyers & Leaflets,26,22,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53961,NULL,No Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,2000,Flyers & Leaflets,30,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53962,NULL,No Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,5000,Flyers & Leaflets,55,45,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
53963,NULL,No Lamination,A6,Standard 250gsm Silk,88,NULL,Single Sided,10000,Flyers & Leaflets,78,0,NULL,1,42,NULL,0,NULL,NULL,2,0,NULL,NULL,29:15.3
