Product No.,Item no,Item Description English, Local Launch, Local          Exit,Product Category,Theme,RRP price DKK,RRP price SEK
70229,70229,Lion Tribe Pack,,,Chima,Chima,99.95,
70230,70230,Ice Bear Tribe Pack,,,Chima,Chima,99.95,
70231,70231,Crocodile Tribe Pack,,,Chima,Chima,99.95,
70232,70232,Saber-tooth Tiger Tribe Pack,,,Chima,Chima,99.95,
71008,71008,"LEGO® Minifigures, Series 13",,,LEGO Minifigures,LEGO Minifigures,24.95,
71009,71009,"LEGO® Minifigures, The Simpsons™ Series",,,LEGO Minifigures,LEGO Minifigures,24.95,
71010,71010,"LEGO® Minifigures, Series 14: Monsters",,,LEGO Minifigures,LEGO Minifigures,24.95,
70745,70745,Anacondrai Crusher,,,Ninjago,Ninjago,179.95,
70750,70750,Ninja DB X,,,Ninjago,Ninjago,699,
70752,70752,Jungle Trap,,,Ninjago,Ninjago,59.95,
70753,70753,Lava Falls,,,Ninjago,Ninjago,69.95,
70754,70754,ElectroMech,,,Ninjago,Ninjago,129.95,
70756,70756,Dojo Showdown,,,Ninjago,Ninjago,229.95,
70409,70409,Shipwreck Defense,,,Pirates,Pirates,99.95,
70410,70410,Soldiers Outpost,,,Pirates,Pirates,179.95,
70411,70411,Treasure Island,,,Pirates,Pirates,179.95,
70412,70412,Soldiers Fort,,,Pirates,Pirates,299.95,
70413,70413,The Brick Bounty,,,Pirates,Pirates,899,
75920,75920,Raptor Escape,,,Jurassic World,Jurassic World,449,
70817,70817,Batman™ & Super Angry Kitty Attack,,,LEGO Movie,LEGO Movie,129.95,
70818,70818,Double-Decker Couch,,,LEGO Movie,LEGO Movie,149.95,
70819,70819,Bad Cop Car Chase,,,LEGO Movie,LEGO Movie,229.95,
75072,75072,ARC-170 Starfighter™,,,Star Wars TM,Star Wars TM,99.95,
75073,75073,Vulture Droid™,,,Star Wars TM,Star Wars TM,99.95,
75076,75076,Republic Gunship™,,,Star Wars TM,Star Wars TM,99.95,
75077,75077,Homing Spider Droid™,,,Star Wars TM,Star Wars TM,99.95,
75080,75080,AAT™,,,Star Wars TM,Star Wars TM,249.95,
75081,75081,T-16 Skyhopper™,,,Star Wars TM,Star Wars TM,249.95,
75083,75083,AT-DP™,,,Star Wars TM,Star Wars TM,549,
75084,75084,Wookiee™ Gunship,,,Star Wars TM,Star Wars TM,649,
75090,75090,Ezra’s Speeder Bike™,,,Star Wars TM,Star Wars TM,229.95,
75097,75097,LEGO® Star Wars™ Advent Calendar,,,Star Wars TM,Star Wars TM,249.95,
76027,76027,Black Manta Deep Sea Strike,,,Super Heroes,Super Heroes,449,
76028,76028,Darkseid Invasion,,,Super Heroes,Super Heroes,649,
76039,76039,Ant-Man Final Battle,,,Super Heroes,Super Heroes,229.95,
76040,76040,Brainiac Attack,,,Super Heroes,Super Heroes,249.95,
76041,76041,The Hydra Fortress Smash,,,Super Heroes,Super Heroes,549,
10604,10604,Jake and the Never Land Pirates Treasure,,,DUPLO Jake,DUPLO Jake,179.95,
10518,10518,My First Construction Site,,,DUPLO Town,DUPLO Town,0,
10583,10583,Forest: Fishing Trip,,,DUPLO Town,DUPLO Town,229.95,
10585,10585,Mom and Baby,,,DUPLO Town,DUPLO Town,99.95,
10602,10602,Camping Adventure,,,DUPLO Town,DUPLO Town,269.95,
6136,6136,My First Zoo,,,DUPLO Town,DUPLO Town,229.95,
66525,66525,DUPLO Farm Value Pack,,,DUPLO Town,DUPLO Town,599,
30202,30202,Smoothie Stand,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30203,30203,Mini golf,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30204,30204,Wish Fountain,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30205,30205,Pop Star Red Carpet,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30217,30217,LEGO® DUPLO® Forest,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30218,30218,LEGO® DUPLO® Snail,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30256,30256,Ice Bear Mech,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30259,30259,Azari’s Magic Fire,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30272,30272,A-Wing Starfighter™,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30274,30274,AT-DP™,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30275,30275,TIE Advanced Prototype™,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30276,30276,SW2,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30283,30283,Off-Road,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30284,30284,Tractor,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30285,30285,Tiger,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30286,30286,Christmas Tree,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30291,30291,Anacondrai Battle Mech,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30292,30292,Jay NanoMech,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30293,30293,Kai Drifter,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30294,30294,The Cowler Dragon,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30303,30303,The Joker Bumper Car,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30304,30304,Avengers #8,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30305,30305,Spider-Man Super Jumper,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30311,30311,Swamp Police Helicopter,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30312,30312,Demolition Driller,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30313,30313,Garbage Truck,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30314,30314,Go-Kart Racer,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30315,30315,Space Vehicle,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
30320,30320,PT IP B 2015 co pro,,,Brick Based Promotions Themed,Brick Based Promotions Themed,29.95,
21301,21301,Birds,,,LEGO Ideas,LEGO Ideas,399,
4000020,4000020,LEGO Inside Tour 2015,,,LEGO Inside Tour,LEGO Inside Tour,0,
