Product No.,Item no,Item Description English, Local Launch, Local          Exit,Product Category,Theme,RRP price DKK,RRP price SEK
7281,7281,T-junction & Curve,,,City Supplementary,City Supplementary,99.95,
60097,60097,City Square,,,City Town,City Town,1399,
60132,60132,Service Station,,,,City Town,649,
60133,60133,LEGO® City Advent Calendar,,,,City Town,179.95,
60134,60134,Fun in the park - City People Pack,,,,City Town,349,
60050,60050,Train Station,,,,City Trains,449,549
60051,60051,High-speed Passenger Train,,,,City Trains,999,1299
60052,60052,Cargo Train,,,,City Trains,1699,1999
60098,60098,Heavy-Haul Train,,,City Trains,City Trains,1499,
66493,66493,CITY Train Value Pack,,,,City Trains,2477.9,2996
7499,7499,Flexible Tracks,,,,City Trains,149.95,199
7895,7895,Switch Tracks,,,,City Trains,179.95,249
10214,10214,Tower Bridge,,,,Creator Expert,2099,2999
10218,10218,Pet Shop,,,,Creator Expert,1399,1849
10220,10220,Volkswagen T1 Camper Van,,,,Creator Expert,799,1099
10232,10232,Palace Cinema,,,,Creator Expert,1099,1299
10234,10234,Sydney Opera House™,,,,Creator Expert,2499,3199
10242,10242,MINI Cooper,,,,Creator Expert,799,999
10243,10243,Parisian Restaurant,,,,Creator Expert,1299,1699
10244,10244,Fairground Mixer,,,,Creator Expert,1199,1499
10245,10245,Santa's Workshop,,,,Creator Expert,649,799
10246,10246,Detective’s Office,,,Creator Expert,Creator Expert,1399,
10247,10247,Ferris Wheel,,,Creator Expert,Creator Expert,1499,
10248,10248,Ferrari F40,,,Creator Expert,Creator Expert,799,
10249,10249,Winter Toy Shop,,,Creator Expert,Creator Expert,599,
10251,10251,Brick Bank,,,,Creator Expert,1399,
10252,10252,Confidential -  Expert 2 2016,,,,Creator Expert,799,
10253,10253,Confidential - Expert 3 2016,,,,Creator Expert,1999,
10254,10254,Confidential -  Expert 4 2016,,,,Creator Expert,799,
31027,31027,Blue Racer,,,LEGO Creator,LEGO Creator,39.95,
31028,31028,Sea Plane,,,LEGO Creator,LEGO Creator,39.95,
31029,31029,Cargo Heli,,,LEGO Creator,LEGO Creator,99.95,
31031,31031,Rainforest Animals,,,LEGO Creator,LEGO Creator,129.95,
31032,31032,Red Creatures,,,LEGO Creator,LEGO Creator,129.95,
31033,31033,Vehicle Transporter,,,LEGO Creator,LEGO Creator,179.95,
31034,31034,Future flyers,,,LEGO Creator,LEGO Creator,179.95,
31035,31035,Beach Hut,,,LEGO Creator,LEGO Creator,229.95,
31036,31036,Toy & Grocery Shop,,,LEGO Creator,LEGO Creator,299.95,
31037,31037,Adventure Vehicles,,,LEGO Creator,LEGO Creator,179.95,
31038,31038,Changing Seasons,,,LEGO Creator,LEGO Creator,449,
31039,31039,Blue Power Jet,,,LEGO Creator,LEGO Creator,499,
31040,31040,Desert Racers,,,,LEGO Creator,49.95,
31041,31041,Construction Vehicles,,,,LEGO Creator,49.95,
31042,31042,Super Soarer,,,,LEGO Creator,99.95,
31043,31043,Chopper Transporter,,,,LEGO Creator,99.95,
31044,31044,Park Animals,,,,LEGO Creator,129.95,
31045,31045,Ocean Explorer,,,,LEGO Creator,129.95,
31046,31046,Fast Car,,,,LEGO Creator,179.95,
31047,31047,Propeller Plane,,,,LEGO Creator,179.95,
31048,31048,Lakeside Lodge,,,,LEGO Creator,229.95,
31049,31049,Twin Spin Helicopter,,,,LEGO Creator,269.95,
31050,31050,Corner Deli,,,,LEGO Creator,299.95,
31051,31051,Lighthouse Point,,,,LEGO Creator,449,
31052,31052,Vacation Getaways,,,,LEGO Creator,549,
31053,31053,Treehouse Adventures,,,,LEGO Creator,269.95,
41554,41554,Kuffs,,,,Mixels,29.95,
41555,41555,Busto,,,,Mixels,29.95,
41556,41556,Tiketz,,,,Mixels,29.95,
41557,41557,Camillot,,,,Mixels,29.95,
41558,41558,Mixadel,,,,Mixels,29.95,
41559,41559,Paladum,,,,Mixels,29.95,
41560,41560,Jamzy,,,,Mixels,29.95,
41561,41561,Tapsy,,,,Mixels,29.95,
41562,41562,Trumpsy,,,,Mixels,29.95,
41563,41563,Splasho,,,,Mixels,29.95,
41564,41564,Aquad,,,,Mixels,29.95,
41565,41565,Hydro,,,,Mixels,29.95,
41566,41566,Sharx,,,,Mixels,29.95,
41567,41567,Skulzy,,,,Mixels,29.95,
41568,41568,Lewt,,,,Mixels,29.95,
41569,41569,Surgeo,,,,Mixels,29.95,
41570,41570,Skrubz,,,,Mixels,29.95,
41571,41571,Tuth,,,,Mixels,29.95,
41572,41572,Gobbol,,,,Mixels,29.95,
41573,41573,Sweepz,,,,Mixels,29.95,
41574,41574,Compax,,,,Mixels,29.95,
41575,41575,Cobrax,,,,Mixels,29.95,
41576,41576,Spinza,,,,Mixels,29.95,
41577,41577,Mysto,,,,Mixels,29.95,
41578,41578,Screeno,,,,Mixels,29.95,
41579,41579,Camsta,,,,Mixels,29.95,
41580,41580,Myke,,,,Mixels,29.95,
88000,88000,Power Functions AAA Battery Box,,,LEGO Functions,LEGO Functions,129.95,
88002,88002,Power Functions Train Motor,,,LEGO Functions,LEGO Functions,129.95,
88003,88003,Power Functions L-Motor,,,LEGO Functions,LEGO Functions,129.95,
88004,88004,Power Functions Servo Motor,,,LEGO Functions,LEGO Functions,229.95,
8869,8869,Power Functions Control Switch,,,LEGO Functions,LEGO Functions,59.95,
8870,8870,Power Functions Light,,,LEGO Functions,LEGO Functions,69.95,
8871,8871,Power Functions Extension Wire 20”,,,LEGO Functions,LEGO Functions,39.95,
8878,8878,Power Functions Rechargeable Battery box,,,LEGO Functions,LEGO Functions,599,
8879,8879,Power Functions IR Speed Remote Control,,,LEGO Functions,LEGO Functions,129.95,
8881,8881,Power Functions Battery Box,,,LEGO Functions,LEGO Functions,69.95,
8882,8882,Power Functions XL-Motor,,,LEGO Functions,LEGO Functions,99.95,
8883,8883,Power Functions M-Motor,,,LEGO Functions,LEGO Functions,79.95,
8884,8884,Power Functions IR RX,,,LEGO Functions,LEGO Functions,149.95,
8885,8885,Power Functions IR TX,,,LEGO Functions,LEGO Functions,99.95,
8886,8886,Power Functions Extension Wire 8”,,,LEGO Functions,LEGO Functions,29.95,
4000010,4000010,LEGO House Box,,,LEGO General,LEGO General,149.95,
2000409,2000409,LEGO® SERIOUS PLAY® Window Exploration B,,,LEGO Serious Play,LEGO Serious Play,2675.95,
2000414,2000414,LEGO® SERIOUS PLAY® Starter Kit,,,LEGO Serious Play,LEGO Serious Play,199.95,
2000430,2000430,LEGO® SERIOUS PLAY® Identity and Landsca,,,LEGO Serious Play,LEGO Serious Play,4349.95,
2000431,2000431,LEGO® SERIOUS PLAY® Connections Kit,,,LEGO Serious Play,LEGO Serious Play,4159.95,
31313,31313,LEGO® MINDSTORMS® EV3,,,,MINDSTORMS,2999,
71170,71170,Starter Pack PLAYSTATION® 3,,,,Dimensions,0,
71171,71171,Starter Pack PLAYSTATION® 4,,,,Dimensions,0,
71172,71172,Starter Pack Xbox One™,,,,Dimensions,0,
71173,71173,Starter Pack Xbox 360®,,,,Dimensions,0,
71174,71174,Starter Pack Wii U™,,,,Dimensions,0,
71200,71200,Starter Pack,,,TTL,TTL,749,
71201,71201,Back to the Future,,,TTL,TTL,449,
71202,71202,Simpsons,,,TTL,TTL,449,
71203,71203,Portal,,,TTL,TTL,449,
71204,71204,Doctor Who,,,TTL,TTL,449,
71205,71205,Jurassic World,,,TTL,TTL,399,
71206,71206,Scooby Doo,,,TTL,TTL,399,
71207,71207,Ninjago,,,TTL,TTL,399,
71209,71209,Wonder Woman,,,TTL,TTL,229.95,
71210,71210,Cyborg,,,TTL,TTL,229.95,
71211,71211,Bart Simpson,,,TTL,TTL,229.95,
71212,71212,Emmet,,,TTL,TTL,229.95,
71213,71213,Bad Cop,,,TTL,TTL,229.95,
71214,71214,Benny,,,TTL,TTL,229.95,
71215,71215,Jay,,,TTL,TTL,229.95,
71216,71216,Nya,,,TTL,TTL,229.95,
71217,71217,Zane,,,TTL,TTL,229.95,
71218,71218,Gollum,,,TTL,TTL,229.95,
71219,71219,Legolas,,,TTL,TTL,229.95,
71220,71220,Gimli,,,TTL,TTL,229.95,
71221,71221,Wicked Witch,,,TTL,TTL,229.95,
71222,71222,Laval,,,TTL,TTL,229.95,
71223,71223,Cragger,,,TTL,TTL,229.95,
71227,71227,Krusty,,,TTL,TTL,249.95,
71228,71228,The Ghostbusters™ Level Pack,,,,Dimensions,229.95,
71229,71229,DC Comics™ Team Pack,,,,Dimensions,229.95,
71230,71230,Doc Brown Fun Pack,,,,Dimensions,269.95,
71231,71231,UniKitty,,,TTL,TTL,249.95,
71232,71232,Eris,,,TTL,TTL,249.95,
71233,71233,Stay Puft Fun Pack,,,,Dimensions,269.95,
71234,71234,Sensei Wu Fun Pack,,,,Dimensions,269.95,
71235,71235,Midway Arcade™ Level Pack,,,,Dimensions,229.95,
71236,71236,Superman™ Fun Pack,,,,Dimensions,269.95,
71237,71237,Aquaman™ Fun Pack,,,,Dimensions,269.95,
71238,71238,Cyberman™ Fun Pack,,,,Dimensions,269.95,
71239,71239,Lloyd Fun Pack,,,,Dimensions,269.95,
71240,71240,Bane™ Fun Pack,,,,Dimensions,269.95,
71241,71241,Slimer Fun Pack,,,,Dimensions,269.95,
71242,71242,Opus GBB,,,,Dimensions,0,
71243,71243,Opus HVP,,,,Dimensions,0,
71244,71244,Opus SL,,,,Dimensions,0,
71245,71245,Opus ADTL,,,,Dimensions,0,
71246,71246,Opus ATT,,,,Dimensions,0,
71247,71247,Opus HRHT,,,,Dimensions,0,
71248,71248,Opus MIL,,,,Dimensions,0,
71249,71249,Opus ADTF,,,,Dimensions,0,
71250,71250,Opus GBF,,,,Dimensions,0,
71251,71251,Opus ATMF,,,,Dimensions,0,
71252,71252,Opus KRF,,,,Dimensions,0,
71253,71253,Opus BB,,,,Dimensions,0,
71254,71254,Opus TGL,,,,Dimensions,0,
71255,71255,Opus TGT,,,,Dimensions,0,
71256,71256,Opus GT,,,,Dimensions,0,
71257,71257,Opus BF,,,,Dimensions,0,
71258,71258,Opus ETF,,,,Dimensions,0,
71259,71259,Opus C1PK,,,,Dimensions,0,
71260,71260,Opus C2PK,,,,Dimensions,0,
71261,71261,Opus C3PK,,,,Dimensions,0,
71262,71262,Opus C4PK,,,,Dimensions,0,
71263,71263,Opus C5PK,,,,Dimensions,0,
71340,71340,Opus TPPS,,,,Dimensions,0,
71341,71341,Opus CPP,,,,Dimensions,0,
71342,71342,Opus TPPR,,,,Dimensions,0,
71011,71011,Series 15,,,,LEGO Minifigures,24.95,
71012,71012,Confidential Minifigures May 2016,,,,LEGO Minifigures,24.95,
71013,71013,Confidential Minifigures Sept. 2016,,,,LEGO Minifigures,24.95,
71040,71040,MF D2C 2016 Confidential,,,,LEGO Minifigures,2999,
70310,70310,Knighton Battle Blaster,,,,Nexo Knights,99.95,
70311,70311,Chaos Catapult,,,,Nexo Knights,99.95,
70312,70312,Lance’s Mecha Horse,,,,Nexo Knights,179.95,
70313,70313,Moltor’s Lava Smasher,,,,Nexo Knights,179.95,
70314,70314,Beast Master’s Chaos Chariot,,,,Nexo Knights,299.95,
70315,70315,Clay’s Rumble Blade,,,,Nexo Knights,349,
70316,70316,Jestro’s Evil Mobile,,,,Nexo Knights,449,
70317,70317,The Fortrex,,,,Nexo Knights,899,
70318,70318,The Glob Lobber,,,,Nexo Knights,99.95,
70319,70319,Macy’s Thunder Mace,,,,Nexo Knights,179.95,
70320,70320,Aaron Fox’s Aero-Striker V2,,,,Nexo Knights,299.95,
70321,70321,General Magmar's Siege Machine of Doom,,,,Nexo Knights,449,
70322,70322,Axl’s Tower Carrier,,,,Nexo Knights,749,
70323,70323,Jestro’s Volcano Lair,,,,Nexo Knights,999,
70324,70324,Merlok's Library 2.0,,,,Nexo Knights,229.95,
70325,70325,Infernox captures the Queen,,,,Nexo Knights,229.95,
70326,70326,The Black Knight Mech,,,,Nexo Knights,449,
70327,70327,The King's Mech,,,,Nexo Knights,299.95,
70330,70330,ULTIMATE Clay,,,,Nexo Knights,79.95,
70331,70331,ULTIMATE Macy,,,,Nexo Knights,79.95,
70332,70332,ULTIMATE Aaron,,,,Nexo Knights,79.95,
70333,70333,ULTIMATE Robin,,,,Nexo Knights,79.95,
70334,70334,Ultimate Beast Master,,,,Nexo Knights,79.95,
70335,70335,ULTIMATE Lavaria,,,,Nexo Knights,79.95,
70336,70336,Ultimate Axl,,,,Nexo Knights,79.95,
70337,70337,Ultimate Lance,,,,Nexo Knights,79.95,
70338,70338,Ultimate General Magmar,,,,Nexo Knights,79.95,
70339,70339,Ultimate Flama,,,,Nexo Knights,79.95,
70588,70588,Titanium Ninja Tumbler,,,,Ninjago,269.95,
70589,70589,Rock Roader,,,,Ninjago,349,
70590,70590,Airjitzu Battle Grounds,,,,Ninjago,549,
70591,70591,Kryptarium Prison Breakout,,,,Ninjago,179.95,
70592,70592,Salvage M.E.C.,,,,Ninjago,349,
70593,70593,The Green NRG Dragon,,,,Ninjago,449,
70594,70594,The Lighthouse Siege,,,,Ninjago,649,
70595,70595,Ultra Stealth Raider,,,,Ninjago,799,
70596,70596,Samurai X Cave Chaos,,,,Ninjago,999,
70599,70599,Cole's Dragon,,,,Ninjago,99.95,
70600,70600,Ninja Bike Chase,,,,Ninjago,179.95,
70601,70601,Sky Shark,,,,Ninjago,179.95,
70602,70602,Jay’s Elemental Dragon,,,,Ninjago,299.95,
70603,70603,Raid Zeppelin,,,,Ninjago,299.95,
70604,70604,Tiger Widow Island,,,,Ninjago,449,
70605,70605,Misfortune’s Keep,,,,Ninjago,749,
70730,70730,Chain Cycle Ambush,,,Ninjago,Ninjago,249.95,
70731,70731,Jay Walker One,,,Ninjago,Ninjago,349,
70732,70732,City of Stiix,,,Ninjago,Ninjago,899,
70733,70733,Blaster Bike,,,Ninjago,Ninjago,179.95,
70734,70734,Master Wu Dragon,,,Ninjago,Ninjago,449,
70735,70735,Ronin R.E.X.,,,Ninjago,Ninjago,449,
70736,70736,Attack of the Morro Dragon,,,Ninjago,Ninjago,649,
70737,70737,Titan Mech Battle,,,Ninjago,Ninjago,499,
70738,70738,Final Flight of Destiny's Bounty,,,Ninjago,Ninjago,999,
70739,70739,Airjitzu Kai Flyer,,,Ninjago,Ninjago,79.95,
70740,70740,Airjitzu Jay Flyer,,,Ninjago,Ninjago,79.95,
70741,70741,Airjitzu Cole Flyer,,,Ninjago,Ninjago,79.95,
70742,70742,Airjitzu Zane Flyer,,,Ninjago,Ninjago,79.95,
70743,70743,Airjitzu Morro Flyer,,,Ninjago,Ninjago,79.95,
70744,70744,Airjitzu Wrayth Flyer,,,Ninjago,Ninjago,79.95,
70746,70746,Condrai Copter Attack,,,Ninjago,Ninjago,249.95,
70747,70747,Boulder Blaster,,,Ninjago,Ninjago,249.95,
70748,70748,Titanium Dragon,,,Ninjago,Ninjago,349,
70749,70749,Enter the Serpent,,,Ninjago,Ninjago,449,
70751,70751,Temple of Airjitzu,,,Ninjago,Ninjago,1799,
70755,70755,Jungle Raider,,,Ninjago,Ninjago,179.95,
75821,75821,Confidential - PT IP A_2016_1,,,,Angry Birds,129.95,
75822,75822,Confidential -PT IP A_2016_2,,,,Angry Birds,229.95,
75823,75823,Confidential -PT IP A_2016_3,,,,Angry Birds,349,
75824,75824,Confidential - PT IP A_2016_4,,,,Angry Birds,449,
75825,75825,Confidential -PT IP A_2016_5,,,,Angry Birds,649,
75826,75826,Confidential -PT IP A_2016_6,,,,Angry Birds,799,
75827,75827,Firehouse Headquarters,,,,Ghostbusters,2999,
75828,75828,Ghostbusters_2,,,,Ghostbusters,0,
75915,75915,Pteranodon Capture,,,Jurassic World,Jurassic World,229.95,
75916,75916,Dilophosaurus Ambush,,,Jurassic World,Jurassic World,349,
75917,75917,Raptor Rampage,,,Jurassic World,Jurassic World,549,
75918,75918,T. rex Tracker,,,Jurassic World,Jurassic World,699,
75919,75919,Indominus rex™ Breakout,,,Jurassic World,Jurassic World,999,
75900,75900,Mummy Museum Mystery,,,Scooby-Doo,Scooby-Doo,129.95,
75901,75901,Mystery Plane Adventures,,,Scooby-Doo,Scooby-Doo,229.95,
75902,75902,The Mystery Machine,,,Scooby-Doo,Scooby-Doo,299.95,
75903,75903,Haunted Lighthouse,,,Scooby-Doo,Scooby-Doo,449,
75904,75904,Mystery Mansion,,,Scooby-Doo,Scooby-Doo,799,
71006,71006,The Simpsons™ House,,,,Simpsons,1699,2199
71016,71016,The Kwik-E-Mart,,,Simpsons,Simpsons,1699,
75870,75870,Chevrolet Corvette Z06,,,,Speed Champions,129.95,
75871,75871,Ford Mustang GT,,,,Speed Champions,129.95,
75872,75872,Audi R18 e-tron quattro,,,,Speed Champions,129.95,
75873,75873,Audi R8 LMS ultra,,,,Speed Champions,129.95,
75874,75874,Chevrolet Camaro Drag Race,,,,Speed Champions,299.95,
75875,75875,Ford F-150 Raptor & Ford Model A Hot Rod,,,,Speed Champions,449,
75876,75876,Porsche 919 Hybrid and 917K Pit Lane,,,,Speed Champions,749,
75899,75899,LaFerrari,,,Speed Champions,Speed Champions,129.95,
75908,75908,458 Italia GT2,,,Speed Champions,Speed Champions,129.95,
75909,75909,McLaren P1™,,,Speed Champions,Speed Champions,129.95,
75910,75910,Porsche 918 Spyder,,,Speed Champions,Speed Champions,129.95,
75911,75911,McLaren Mercedes Pit Stop,,,Speed Champions,Speed Champions,299.95,
75912,75912,Porsche 911 GT Finish Line,,,Speed Champions,Speed Champions,449,
75913,75913,F14 T & Scuderia Ferrari Truck,,,Speed Champions,Speed Champions,899,
10236,10236,Ewok™ Village,,,,Star Wars TM,2099,2799
75059,75059,Sandcrawler™,,,,Star Wars TM,2799,3199
75060,75060,Slave I™,,,Star Wars TM,Star Wars TM,1699,
75074,75074,Snowspeeder™,,,Star Wars TM,Star Wars TM,99.95,
75075,75075,AT-AT™,,,Star Wars TM,Star Wars TM,99.95,
75078,75078,Imperial Troop Transport,,,Star Wars TM,Star Wars TM,129.95,
75079,75079,Shadow Troopers,,,Star Wars TM,Star Wars TM,129.95,
75082,75082,TIE Advanced Prototype™,,,Star Wars TM,Star Wars TM,449,
75085,75085,Hailfire Droid™,,,Star Wars TM,Star Wars TM,229.95,
75086,75086,Battle Droid™ Troop Carrier,,,Star Wars TM,Star Wars TM,449,
75087,75087,Anakin’s Custom Jedi Starfighter™,,,Star Wars TM,Star Wars TM,449,
75088,75088,Senate Commando Troopers™,,,Star Wars TM,Star Wars TM,129.95,
75089,75089,Geonosis Troopers™,,,Star Wars TM,Star Wars TM,129.95,
75091,75091,Flash Speeder™,,,Star Wars TM,Star Wars TM,349,
75092,75092,Naboo Starfighter™,,,Star Wars TM,Star Wars TM,549,
75093,75093,Death Star™ Final Duel,,,Star Wars TM,Star Wars TM,799,
75094,75094,Imperial Shuttle Tydirium™,,,Star Wars TM,Star Wars TM,899,
75095,75095,TIE Fighter™,,,Star Wars TM,Star Wars TM,1799,
75096,75096,Sith Infiltrator™,,,Star Wars TM,Star Wars TM,899,
75098,75098,Star Wars Direct Confidential,,,Star Wars TM,Star Wars TM,2199,
75099,75099,Star Wars Wolf 1,,,Star Wars TM,Star Wars TM,229.95,
75100,75100,Star Wars Wolf 2,,,Star Wars TM,Star Wars TM,449,
75101,75101,Star Wars Wolf 3,,,Star Wars TM,Star Wars TM,649,
75102,75102,Star Wars Wolf 4,,,Star Wars TM,Star Wars TM,799,
75103,75103,Star Wars Wolf 5,,,Star Wars TM,Star Wars TM,899,
75104,75104,Star Wars Wolf 6,,,Star Wars TM,Star Wars TM,999,
75105,75105,Star Wars Wolf 7,,,Star Wars TM,Star Wars TM,1399,
75106,75106,Imperial Assault Carrier™,,,Star Wars TM,Star Wars TM,1099,
75125,75125,Resistance X-Wing Fighter™,,,,Star Wars TM,99.95,
75126,75126,First Order Snowspeeder™,,,,Star Wars TM,99.95,
75127,75127,The Ghost™,,,,Star Wars TM,99.95,
75128,75128,TIE Advanced Prototype™,,,,Star Wars TM,99.95,
75129,75129,Wookiee™ Gunship,,,,Star Wars TM,99.95,
75130,75130,AT-DP™,,,,Star Wars TM,99.95,
75131,75131,Resistance Trooper Battle Pack,,,,Star Wars TM,129.95,
75132,75132,First Order Battle Pack,,,,Star Wars TM,129.95,
75133,75133,Rebel Alliance Battle Pack,,,,Star Wars TM,129.95,
75134,75134,Galactic Empire™ Battle Pack,,,,Star Wars TM,129.95,
75135,75135,Obi-Wan’s Jedi Interceptor™,,,,Star Wars TM,249.95,
75136,75136,Droid™ Escape Pod,,,,Star Wars TM,249.95,
75137,75137,Carbon-Freezing Chamber,,,,Star Wars TM,249.95,
75138,75138,Hoth™ Attack,,,,Star Wars TM,249.95,
75139,75139,Battle on Takodana™,,,,Star Wars TM,549,
75140,75140,Resistance Troop Transporter,,,,Star Wars TM,649,
75141,75141,Kanan's Speeder Bike™,,,,Star Wars TM,249.95,
75142,75142,Homing Spider Droid™,,,,Star Wars TM,349,
75145,75145,Confidential_TV Special 1,,,,Star Wars TM,349,
75146,75146,LEGO® Star Wars™ Advent Calendar,,,,Star Wars TM,249.95,
75147,75147,Confidential_TV Special 2,,,,Star Wars TM,549,
75148,75148,Confidential_Retail 5,,,,Star Wars TM,649,
75149,75149,Confidential_Retail 6,,,,Star Wars TM,799,
75150,75150,Vader’s TIE Advanced vs. A-Wing Starfigh,,,,Star Wars TM,899,
75151,75151,Clone Turbo Tank™,,,,Star Wars TM,1099,
75152,75152,Confidential SW 9,,,,Star Wars TM,349,
75153,75153,Confidential SW 10,,,,Star Wars TM,449,
75154,75154,Confidential SW 11,,,,Star Wars TM,649,
75155,75155,Confidential SW 12,,,,Star Wars TM,749,
75156,75156,Confidential SW 13,,,,Star Wars TM,849.99,
75157,75157,Captain Rex’s AT-TE™,,,,Star Wars TM,1199,
75158,75158,Rebel Combat Frigate,,,,Star Wars TM,1099,
75159,75159,Confidential SW Direct 2,,,,Star Wars TM,4499,
76025,76025,Green Lantern vs. Sinestro,,,Super Heroes,Super Heroes,229.95,
76026,76026,Gorilla Grodd goes Bananas,,,Super Heroes,Super Heroes,549,
76029,76029,Iron Man vs. Ultron,,,Super Heroes,Super Heroes,129.95,
76030,76030,Avengers Hydra Showdown,,,Super Heroes,Super Heroes,229.95,
76031,76031,The Hulk Buster Smash,,,Super Heroes,Super Heroes,299.95,
76032,76032,The Avengers Quinjet City Chase,,,Super Heroes,Super Heroes,749,
76034,76034,The Batboat Harbor Pursuit,,,Super Heroes,Super Heroes,349,
76035,76035,Jokerland,,,Super Heroes,Super Heroes,899,
76036,76036,Carnage’s SHIELD Sky Attack,,,Super Heroes,Super Heroes,129.95,
76037,76037,Rhino and Sandman Super Villain Team-up,,,Super Heroes,Super Heroes,449,
76038,76038,Attack on Avengers Tower,,,Super Heroes,Super Heroes,649,
76042,76042,The SHIELD Helicarrier,,,Super Heroes,Super Heroes,2999,
76044,76044,Clash of the Heroes,,,,Super Heroes,129.95,
76045,76045,Kryptonite Interception,,,,Super Heroes,299.95,
76046,76046,Heroes of Justice: Sky High Battle,,,,Super Heroes,649,
76047,76047,Confidential Captain America Movie 3,,,,Super Heroes,299.95,
76048,76048,Iron Skull Sub Attack,,,,Super Heroes,299.95,
76049,76049,Avenjet Space Mission,,,,Super Heroes,549,
76050,76050,Confidential - Captain America Movie 1,,,,Super Heroes,229.95,
76051,76051,Confidential - Captain America Movie 2,,,,Super Heroes,799,
76052,76052,Confidential - Super Heroes,,,,Super Heroes,2499,
76053,76053,Batman™: Gotham City Cycle Chase,,,,Super Heroes,229.95,
76054,76054,Batman™: Scarecrow™ Harvest of Fear,,,,Super Heroes,649,
76055,76055,Batman™: Killer Croc™ Sewer Smash,,,,Super Heroes,799,
76056,76056,Batman™: Rescue from Ra’s al Ghul™,,,,Super Heroes,299.95,
76057,76057,Spider-Man: Web Warriors Ultimate Bridge,,,,Super Heroes,899,
76058,76058,Spider-Man: Ghost Rider Team-up,,,,Super Heroes,229.95,
76059,76059,Spider-Man: Doc Ock’s Tentacle Trap,,,,Super Heroes,449,
76060,76060,Confidential Spider-Man 4,,,,Super Heroes,299.95,
76061,76061,Mighty Micros: Batman™ vs. Catwoman™,,,,Super Heroes,99.95,
76062,76062,Mighty Micros: Robin™ vs. Bane™,,,,Super Heroes,99.95,
76063,76063,Mighty Micros: The Flash™ vs. Captain Co,,,,Super Heroes,99.95,
76064,76064,Mighty Micros: Spider-Man vs. Green Gobl,,,,Super Heroes,99.95,
76065,76065,Mighty Micros: Captain America vs. Red S,,,,Super Heroes,99.95,
76066,76066,Mighty Micros: Hulk vs. Ultron,,,,Super Heroes,99.95,
76067,76067,Confidential Marvel 2016 MDP,,,,Super Heroes,299.95,
10600,10600,Disney Pixar Cars™ Classic Race,,,DUPLO Cars TM,DUPLO Cars TM,229.95,
10597,10597,Mickey & Minnie Birthday Parade,,,DUPLO Disney TM,DUPLO Disney TM,229.95,
10827,10827,Mickey & Friends Beach House,,,,DUPLO Disney TM,299.95,
10829,10829,Mickey's Workshop,,,,DUPLO Disney TM,179.95,
10830,10830,Minnie's Café,,,,DUPLO Disney TM,179.95,
10605,10605,Doc McStuffins Rosie the Ambulance,,,DUPLO Doc McStuffins,DUPLO Doc McStuffins,179.95,
10606,10606,Doc McStuffins Backyard Clinic,,,DUPLO Doc McStuffins,DUPLO Doc McStuffins,269.95,
10828,10828,Doc McStuffins´ Pet Vet Care,,,,DUPLO Doc McStuffins,229.95,
10824,10824,Miles' Space Adventures,,,,DUPLO Miles,179.95,
10825,10825,Miles´ Exo-Flex Suit,,,,DUPLO Miles,229.95,
10826,10826,Miles' Stellosphere Hangar,,,,DUPLO Miles,299.95,
10558,10558,Number Train,,,,DUPLO My First,179.95,
10565,10565,LEGO® DUPLO® Creative Suitcase,,,,DUPLO My First,349,449
10570,10570,LEGO® DUPLO® All-in-One-Gift-Set,,,,DUPLO My First,149.95,
10571,10571,LEGO® DUPLO® All-in-One-Pink-Box-of-Fun,,,,DUPLO My First,249.95,
10572,10572,LEGO® DUPLO® All-in-One-Box-of-Fun,,,,DUPLO My First,249.95,
10573,10573,Creative Animals,,,,DUPLO My First,129.95,
10580,10580,LEGO® DUPLO® Deluxe Box of fun,,,,DUPLO My First,399,499
10603,10603,My First Bus,,,DUPLO My First,DUPLO My First,129.95,
10615,10615,My First Tractor,,,DUPLO My First,DUPLO My First,129.95,
10616,10616,My First Playhouse,,,DUPLO My First,DUPLO My First,149.95,
10617,10617,My First Farm,,,DUPLO My First,DUPLO My First,149.95,
10618,10618,LEGO® DUPLO® Creative Building Box,,,DUPLO My First,DUPLO My First,229.95,
10622,10622,LEGO® DUPLO® Large Creative Box,,,DUPLO My First,DUPLO My First,549,
10623,10623,LEGO® DUPLO® Basic Bricks – Large,,,,DUPLO My First,149.95,
10815,10815,My First Rocket,,,,DUPLO My First,99.95,
10816,10816,My First Cars and Trucks,,,,DUPLO My First,149.95,
10817,10817,LEGO® DUPLO® Creative Chest,,,,DUPLO My First,229.95,
10818,10818,My First Truck,,,,DUPLO My First,149.95,
10819,10819,My First Garden,,,,DUPLO My First,149.95,
10820,10820,LEGO® DUPLO® Creative Building Basket,,,,DUPLO My First,349,
10831,10831,My First Caterpillar,,,,DUPLO My First,99.95,
2304,2304,LEGO® DUPLO® Large Green Building Plate,,,,DUPLO My First,129.95,149
6176,6176,LEGO® DUPLO® Basic Bricks – Deluxe,,,,DUPLO My First,199.95,249
10596,10596,Disney Princess™ Collection,,,DUPLO Princess TM,DUPLO Princess TM,349,
10594,10594,Sofia the First Royal Stable,,,DUPLO Sofia the First,DUPLO Sofia the First,229.95,
10595,10595,Sofia the First Royal Castle,,,DUPLO Sofia the First,DUPLO Sofia the First,449,
10822,10822,Sofia the First Magical Carriage,,,,DUPLO Sofia the First,269.95,
