identifier,sku,name,price,url,category,brand,image_url,shipping_cost
,hlult2c,Hahnel Ultima II Canon Charger,80,http://www.camerahouse.com.au/products/Battery-Chargers-Adapters/Hahnel-Ultima-II-Canon-Charger.aspx,,,,
,hlult2f,Hahnel Ultima II Fuji Charger,80,http://www.camerahouse.com.au/products/Battery-Chargers-Adapters/Hahnel-Ultima-II-Fuji-Charger.aspx,,,,
,hlult2n,Hahnel Ultima II Nikon Charger,80,http://www.camerahouse.com.au/products/Battery-Chargers-Adapters/Hahnel-Ultima-II-Nikon-Charger.aspx,,,,
,hlult2o,Hahnel Ultima II Olympus Charger,80,http://www.camerahouse.com.au/products/Battery-Chargers-Adapters/Hahnel-Ultima-II-Olympus-Charger.aspx,,,,
,hlult2p,Hahnel Ultima II Panasonic Charger,80,http://www.camerahouse.com.au/products/Battery-Chargers-Adapters/Hahnel-Ultima-II-Panasonic-Charger.aspx,,,,
,hlult2s,Hahnel Ultima II Sony Charger,80,http://www.camerahouse.com.au/products/Battery-Chargers-Adapters/Hahnel-Ultima-II-Sony-Charger.aspx,,,,
,hvlf20am,Sony HVLF20AM GN20 Bounce Flash,179,http://www.camerahouse.com.au/products/Flashgun/Sony-HVLF20AM-GN20-Bounce-Flash.aspx,,,,
,hvlf20s,Sony HVLF20S Flash,179,http://www.camerahouse.com.au/products/Flashgun/Sony-HVLF20S-Flash.aspx,,,,
,hvlf43am,Sony HVLF43AM Flash,449,http://www.camerahouse.com.au/products/Flashgun/Sony-HVLF43AM-Flash.aspx,,,,
,hx-dc2gn-h,Panasonic HX-DC2GN Grey Digital Video Camera,249,http://www.camerahouse.com.au/products/Video-Cameras/Panasonic-HX-DC2GN-Grey-Digital-Video-Camera.aspx,,,,
,hx-wa2gn-a,Panasonic HX-WA2GN Blue Waterproof Digital Video Camera,299,http://www.camerahouse.com.au/products/Video-Cameras/Panasonic-HX-WA2GN-Blue-Waterproof-Digital-Video-Camera.aspx,,,,
,hx-wa2gn-d,Panasonic HX-WA2GN Orange Waterproof Digital Video Camera,299,http://www.camerahouse.com.au/products/Video-Cameras/Panasonic-HX-WA2GN-Orange-Waterproof-Digital-Video-Camera.aspx,,,,
,ip113,Impossible PX 70 Colour Shade PUSH Instant Film,35,http://www.camerahouse.com.au/products/General-Accessories/Impossible-PX-70-Colour-Shade-PUSH-Instant-Film.aspx,,,,
,ixus115hss,Canon IXUS 125 HS Silver Digital Compact Camera,219,http://www.camerahouse.com.au/products/Compact-Cameras/Canon-IXUS-125-HS-Silver-Compact-Digital-Camera.aspx,,,,
,ixus125hsbk,Canon IXUS 125 HS Black Digital Compact  Camera,219,http://www.camerahouse.com.au/products/Compact-Cameras/Canon-IXUS-125-HS-Black-Compact-Digital-Camera.aspx,,,,
,ixus220hsbk,Canon IXUS 510 HS Black Digital Compact Camera,329,http://www.camerahouse.com.au/products/Compact-Cameras/Canon-IXUS-510HS-Black-Compact-Digital-Camera.aspx,,,,
,ixus230hsbl,Canon IXUS 240 HS Blue Digital Compact Camera,269,http://www.camerahouse.com.au/products/Compact-Cameras/Canon-IXUS-240-HS-Blue-Digital-Compact-Camera.aspx,,,,
,ixus240hss,Canon IXUS 240 HS Silver Digital Compact Camera,269,http://www.camerahouse.com.au/products/Compact-Cameras/Canon-IXUS-240-HS-Silver-Digital-Compact-Camera.aspx,,,,
,ixus500hsr,Canon IXUS 500 HS Red Digital Compact Camera,279,http://www.camerahouse.com.au/products/Compact-Cameras/Canon-IXUS-500-HS-Red-Compact-Digital-Camera.aspx,,,,
,ixus500hss,Canon IXUS 500 HS Silver Digital Compact Camera,279,http://www.camerahouse.com.au/products/Compact-Cameras/Canon-IXUS-500-HS-Silver-Compact-Digital-Camera.aspx,,,,
,ixus510hswh,Canon IXUS 510 HS White Digital Compact Camera,329,http://www.camerahouse.com.au/products/Compact-Cameras/Canon-IXUS-510HS-White-Compact-Digital-Camera.aspx,,,,
,jaa014da,Nikon AF-S 50mm f/1.4G Lens,549,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-S-50mm-f14G.aspx,,,,
,jaa015da,Nikon AF-S 50mm f/1.8G Lens,299,http://www.camerahouse.com.au/products/Lenses/Nikon-AF-S-50mm-f18G-Lens.aspx,,,,
