identifier,name,price,url,brand,category,image_url,stock
PYCVG/P,Cover Girl Wig by Paula Young (P),82,http://www.naturalimagewigs.co.uk/Cover-Girl-Wig-by-Paula-Young-P.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/Cover_Girl_T.jpg,in stock
CVG,Cover Girl Wig by Raquel Welch,295,http://www.naturalimagewigs.co.uk/Cover-Girl-Wig-by-Raquel-Welch.html,Raquel Welch,Wigs,http://www.naturalimagewigs.co.uk/images/T/cover%20girl%20thumb.jpg,in stock
CRTE/P,Create Wig by Natural Image,195,http://www.naturalimagewigs.co.uk/Create-Wig-by-Natural-Image.html,Inspired,Wigs,http://www.naturalimagewigs.co.uk/images/T/create_t.jpg,in stock
 PYCTH,Crowning Touch Hairpiece by Paula Young,49,http://www.naturalimagewigs.co.uk/Crowning-Touch-by-Paula-Young.html,Paula Young,Hairpieces,http://www.naturalimagewigs.co.uk/images/T/crown_touch_whisperlite_t-01.jpg,in stock
PYCT,Crowning Touch Human Hair Hairpiece by Paula Young,59,http://www.naturalimagewigs.co.uk/Crown-Touch-Human-Hair.html,Paula Young,Hairpieces,http://www.naturalimagewigs.co.uk/images/T/crown_touch_whisperlite_t-02.jpg,in stock
PYCTW,Crowning Touch Whisperlite Hairpiece by Paula Young,54,http://www.naturalimagewigs.co.uk/Crown-Touch-Whisperlite.html,Paula Young,Hairpieces,http://www.naturalimagewigs.co.uk/images/T/crown_touch_whisperlite_t.jpg,in stock
CRY,Crystal Wig by Natural Image,130,http://www.naturalimagewigs.co.uk/Crystal-Wig.html,Hothair,Wigs,http://www.naturalimagewigs.co.uk/images/T/crystal_t.jpg,in stock
CURV01/A,Curve Appeal Wig by Raquel Welch ,239,http://www.naturalimagewigs.co.uk/Curve-Appeal-Wig-by-Raquel-Welch.html,Raquel Welch,Wigs,http://www.naturalimagewigs.co.uk/images/T/Curve%20Appeal%201.2%20thmb.jpg,in stock
DSY,Daisy Wig by Hot Hair,120,http://www.naturalimagewigs.co.uk/Daisy-Wig-by-Hothair.html,Hothair,Wigs,http://www.naturalimagewigs.co.uk/images/T/daisy_t_Hothair.jpg,in stock
PYDSY,Daisy Wig by Paula Young (A),95,http://www.naturalimagewigs.co.uk/Daisy-DAI.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/daisy_t-02.jpg,in stock
PYDSY/L,Daisy Wig by Paula Young (L),95,http://www.naturalimagewigs.co.uk/Daisy-Wig-by-Paula-Young-L.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/daisy_t-02.jpg,in stock
PYDSY/P,Daisy Wig by Paula Young (P),95,http://www.naturalimagewigs.co.uk/Daisy-Wig-by-Paula-Young.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/daisy_t-02.jpg,in stock
PYDN,Dance Wig by Paula Young (A),85,http://www.naturalimagewigs.co.uk/Dance.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/dance_t-01.jpg,in stock
PYDN/P,Dance Wig by Paula Young (P),85,http://www.naturalimagewigs.co.uk/Dance-Wig-by-Paula-Young-P.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/dance_t-01.jpg,in stock
PYDNI/A,Dani Wig by Paula Young,89,http://www.naturalimagewigs.co.uk/Dani-Wig-by-Paula-Young.html,Paula Young,Wigs,http://www.naturalimagewigs.co.uk/images/T/A4557_DANI_THUMB~.jpg,in stock
