identifier,sku,name,price,url,category,brand,image_url,shipping_cost
,k660015,25 Top Christmas Songs Guitar Songbook,10.95,http://www.axemusic.com/store/product/10501/25-Top-Christmas-Songs-Guitar-Songbook/,Books,,,
,00690988,38 Special Anthology,22.99,http://www.axemusic.com/store/product/25526/38-Special-Anthology/,Books,,,
,00691009,5 Finger Death Punch,19.99,http://www.axemusic.com/store/product/25293/5-Finger-Death-Punch/,Books,,,
,00320377,50 Licks Blues Style Guitar DVD,14.95,http://www.axemusic.com/store/product/22608/50-Licks-Blues-Style-Guitar-DVD/,Books,,,
,00320378,50 Licks Country Style DVD,14.95,http://www.axemusic.com/store/product/22674/50-Licks-Country-Style-DVD/,Books,,,
,00320379,50 Licks Jazz Style DVD,14.95,http://www.axemusic.com/store/product/22623/50-Licks-Jazz-Style-DVD/,Books,,,
,aw370nt,Ibanez AW Series AW370NT Dreadnought Acoustic Guitar with Solid Cedar Top - Natural High Gloss Finish,389.99,http://www.axemusic.com/store/product/29216/Ibanez-AW-Series-AW370NT-Dreadnought-Acoustic-Guitar-with-Solid-Cedar-Top-Natural-High-Gloss-Finish/,6 String Acoustic Guitars,,,
,aw3000nt,Ibanez AW3000 Dreadnought Acoustic Guitar with Solid Engelmann Spruce Top and Solid Mahogany Back and Sides - Natural Finish,569.99,http://www.axemusic.com/store/product/24238/Ibanez-AW3000-Dreadnought-Acoustic-Guitar-with-Solid-Engelmann-Spruce-Top-and-Solid-Mahogany-Back-and-Sides-Natural-Finish/,6 String Acoustic Guitars,,,
,v72ebk,Ibanez V72E Acoustic Guitar with built in Tuner - Black,219.99,http://www.axemusic.com/store/product/583/Ibanez-V72E-Acoustic-Guitar-with-built-in-Tuner-Black/,6 String Acoustic Guitars,,,
,v72ent,Ibanez V72E Acoustic Guitar with Integrated Electronic Tuner - Natural Gloss Finish,219.99,http://www.axemusic.com/store/product/14361/Ibanez-V72E-Acoustic-Guitar-with-Integrated-Electronic-Tuner-Natural-Gloss-Finish/,6 String Acoustic Guitars,,,
,ancu,Paul Reed Smith SE Angelus Custom Signature Acoustic Guitar with Cutaway - Solid Sitka Spruce Top - Rosewood Back and Sides - Ebony Fingerboard with Bird Inlays - Hard Case included,831.56,http://www.axemusic.com/store/product/28283/Paul-Reed-Smith-SE-Angelus-Custom-Signature-Acoustic-Guitar-with-Cutaway-Solid-Sitka-Spruce-Top-Rosewood-Back-and-Sides-Ebony-Fingerboard-with-Bird-Inlays-Hard-Case-included/,6 String Acoustic Guitars,,,
,anst,Paul Reed Smith SE Angelus Standard Signature Acoustic Guitar 15.5 Inch Cutaway - Solid Sitka Spruce Top - Mahogany Back and Sides - Ebony - Wide Mahogany Neck- Bird Inlays with Hardshell Case,722.76,http://www.axemusic.com/store/product/29177/Paul-Reed-Smith-SE-Angelus-Standard-Signature-Acoustic-Guitar-15.5-Inch-Cutaway-Solid-Sitka-Spruce-Top-Mahogany-Back-and-Sides-Ebony-Wide-Mahogany-Neck-Bird-Inlays-with-Hardshell-Case/,6 String Acoustic Guitars,,,
,composersb,Peavey 03014420 Composer Parlor Guitar - Sunburst Finish,179.99,http://www.axemusic.com/store/product/28276/Peavey-03014420-Composer-Parlor-Guitar-Sunburst-Finish/,6 String Acoustic Guitars,,,
,composernat,Peavey Composer Series Parlor-Size  Acoustic Guitar - Natural Finish,179.99,http://www.axemusic.com/store/product/28275/Peavey-Composer-Series-Parlor-Size-Acoustic-Guitar-Natural-Finish/,6 String Acoustic Guitars,,,
,hdr1100n2,Rainsong H-DR1100N2 Hybrid Series Six String  Dreadnought Acoustic Guitar with Graphite Top and Neck Carbon/Glass Hybrid Body includes Gigbag,1499.00,http://www.axemusic.com/store/product/23735/Rainsong-H-DR1100N2-Hybrid-Series-Six-String-Dreadnought-Acoustic-Guitar-with-Graphite-Top-and-Neck-Carbon-Glass-Hybrid-Body-includes-Gigbag/,6 String Acoustic Guitars,,,
,hdr1100n2blu,Rainsong H-DR1100N2BLU Hybrid Series Six String  Dreadnought Acoustic Guitar with Graphite Top and Neck Carbon/Glass Hybrid Body includes Gigbag - Blue Finish,1649.00,http://www.axemusic.com/store/product/29967/Rainsong-H-DR1100N2BLU-Hybrid-Series-Six-String-Dreadnought-Acoustic-Guitar-with-Graphite-Top-and-Neck-Carbon-Glass-Hybrid-Body-includes-Gigbag-Blue-Finish/,6 String Acoustic Guitars,,,
,096-3001-021,Fender MA-1 3/4 Steel String Acoustic Guitar - Satin Finish,129.99,http://www.axemusic.com/store/product/26760/Fender-MA-1-3-4-Steel-String-Acoustic-Guitar-Satin-Finish/,6 String Acoustic Guitars,,,
,ac2040opn,Ibanez Artwood Series AC2040OPN Acoustic Guitar - Grand Concert Body - Solid Mahogany - Open Pore Natural Finish,549.99,http://www.axemusic.com/store/product/29168/Ibanez-Artwood-Series-AC2040OPN-Acoustic-Guitar-Grand-Concert-Body-Solid-Mahogany-Open-Pore-Natural-Finish/,6 String Acoustic Guitars,,,
