SKU,Barcode,Descritpion,Price,Product images,ASIN,use_barcode
210322600,0024147181583,"Le Creuset 26cm Classic Cast Iron Shallow Casserole, Satin Black",160.00,http://ecx.images-amazon.com/images/I/51u7fVa8I1L._SL1000_.jpg,B000WPV1BK,false
211802600,0024147263289,"Le Creuset 26cm Signature Cast Iron Shallow Casserole, Satin Black",160.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/30cm_Signature_Shallow_Satin_Black.jpg,,false
210322634,0024147247807,"Le Creuset 26cm Classic Cast Iron Shallow Casserole, Cassis",160.00,http://ecx.images-amazon.com/images/I/71g4kpDEdCL._SL1500_.jpg,B004P3NSSE,false
211802634,0024147263333,"Le Creuset 26cm Signature Cast Iron Shallow Casserole, Cassis",160.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/30cm_Signature_Shallow_Cassis.jpg,,false
210322642,0024147228301,"Le Creuset 26cm Classic Cast Iron Shallow Casserole, Coastal Blue",160.00,http://ecx.images-amazon.com/images/I/81OGit-6NRL._SL1500_.jpg,B005F4121W,false
211802642,0024147263654,"Le Creuset 26cm Signature Cast Iron Shallow Casserole, Coastal Blue",160.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/30cm_Signature_Shallow_Coastal_Blue.jpg,,false
201212609,0021417057284,"Le Creuset 26cm Square Gillit, Volcanic",99.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/cast_iron_square_grillit_26cm_volcanic.jpg,B00004SBI4,false
201212606,0024147057260,"Le Creuset 26cm Square Gillit, Cerise",99.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/cast_iron_square_grillit_26cm_cerise.jpg,B00004SBI7,false
201212620,0024147231783,"Le Creuset 26cm Square Gillit, Marseille",99.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/Cast_Iron_Grillet_Marseille.jpg,B007A4K3TM,false
201212600,0024147057345,"Le Creuset 26cm Square Gillit, Satin Black",99.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/cast_iron_square_grillit_26cm_satin_black.jpg,B0002EK392,false
201212634,0024147202042,"Le Creuset 26cm Square Gillit, Cassis",99.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/cast_iron_square_grillit_26cm_cassis.jpg,B002RWZJLE,false
201212642,0024147219521,"Le Creuset 26cm Square Gillit, Coastal Blue",99.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/cast-iron-Square-Grillit--26cm-Coastal-Blue.jpg,B005F412RG,false
290809,0630870018944,"Le Creuset 3 Piece Cast Iron Saucepan Set, Volcanic",318.00,http://ecx.images-amazon.com/images/I/61Hn8jHR51L._SL1000_.jpg,B000NNYZOQ,true
290806,0630870018937,"Le Creuset 3 Piece Cast Iron Saucepan Set, Cerise",318.00,http://ecx.images-amazon.com/images/I/61PiIcgmqqL._SL1000_.jpg,B000RK2DNU,true
962090001,0630870042185,Le Creuset 3Ply 3 Piece Saucepan Set,269.00,http://www.lecreuset.co.uk/EInBusinessTemplates/Everything/Images/catalogue/xlarge/3ply-3piecesaucepanset_10_year.jpg,B002VXWA1G,false
